pddikti_institution_code,institution_name,address,province,contact,average_semester_fee,starting_semester_fee,ending_semester_fee,average_yearly_fee,starting_yearly_fee,ending_yearly_fee,body_type,link,student_amount,lecturer_amount,description
15,UNIVERSITAS PRASETIYA MULYA,"Jl. RA. Kartini  Cilandak Barat, KOTA JAKARTA SELATAN",D.K.I. JAKARTA,"{""website"": ""www.prasetiyamulya.ac.id"", ""email"": ""bpm@pmbs.ac.id"", ""phone"": ""021-7511126/30450500 / 021-7500460/30450505""}",25500000,1000000,50000000,51000000,2000000,100000000,SWASTA,-,-1,-1,-
16,UNIVERSITAS MUHAMMADIYAH TASIKMALAYA,"Jalan Tamansari Gobras, KOTA TASIKMALAYA",JAWA BARAT,"{""website"": ""www.umtas.ac.id"", ""email"": ""kotaksurat@umtas.ac.id"", ""phone"": ""0265-2350982 / 0265-2350982""}",8725000,100000,17350000,17450000,200000,34700000,SWASTA,-,-1,-1,-
17,SEKOLAH TINGGI ILMU KESEHATAN BANTUL,KABUPATEN BANTUL,D.I. YOGYAKARTA,"{""website"": ""www.stikesbantul.ac.id"", ""email"": ""stikesbantul@gmail.com"", ""phone"": ""0274367760""}",4400000,800000,8000000,8800000,1600000,16000000,SWASTA,-,-1,-1,-
18,SEKOLAH TINGGI ILMU KESEHATAN HAKLI,"Jalan Dr Ismangil 27, KOTA SEMARANG",JAWA TENGAH,"{""website"": ""www.stikeshaklismg.ac.id"", ""email"": ""stikeshaklismg@yahoo.co.id"", ""phone"": ""024-7601844 / 024-76632464""}",4800000,4800000,4800000,9600000,9600000,9600000,SWASTA,-,-1,-1,-
19,SEKOLAH TINGGI ILMU KESEHATAN NOTOKUSUMO YOGYAKARTA,"Kampus I  : Jl. masjid PA No 5 Yogyakarta  Kampus II : Jl. Bener No 26 Tegalrejo, KOTA YOGYAKARTA",D.I. YOGYAKARTA,"{""website"": ""www.stikes-notokusumo.ac.id"", ""email"": ""admisi@stikes-notokusumo.ac.id"", ""phone"": ""587208 / 587402""}",3975000,500000,7450000,7950000,1000000,14900000,SWASTA,-,-1,-1,-
20,POLITEKNIK PRASETIYA MANDIRI,KOTA BOGOR,JAWA BARAT,"{""website"": ""https://prasetiyamandiri.ac.id/"", ""email"": ""info@prasetiyamandiri.ac.id"", ""phone"": ""02518356102 / 0251-8356102""}",4500000,4000000,5000000,9000000,8000000,10000000,SWASTA,-,-1,-1,-
21,INSTITUT CITRA INTERNASIONAL,KOTA PANGKALPINANG,BANGKA BELITUNG,"{""website"": ""www.ici.ac.id"", ""email"": ""institutcitrainternasional@gmail.com"", ""phone"": ""0717-422531""}",10175000,2400000,17950000,20350000,4800000,35900000,SWASTA,-,-1,-1,-
22,SEKOLAH TINGGI TEKNIK ISKANDAR THANI,"Jl. Alue Naga Desa Tibang Banda Aceh, KOTA BANDA ACEH",ACEH,"{""website"": ""sttit.ac.id"", ""email"": ""universitasiskandarthani@gmail.com"", ""phone"": ""065127545 / 065127545""}",16200000,2400000,30000000,32400000,4800000,60000000,SWASTA,-,-1,-1,-
23,UNIVERSITAS DOKTOR HUSNI INGRATUBUN PAPUA,KOTA JAYAPURA,PAPUA,"{""website"": ""www.uningratpapua.ac.id"", ""email"": ""humas@uningratpapua.ac.id"", ""phone"": """"}",3000000,3000000,3000000,6000000,6000000,6000000,SWASTA,-,-1,-1,-
24,UNIVERSITAS PAMULANG,"Jalan Suryakencana No 1 Pamulang  Kota Tangerang Selatan Provinsi Banten, KOTA TANGERANG SELATAN",BANTEN,"{""website"": ""www.unpam.ac.id"", ""email"": ""admin@unpam.ac.id"", ""phone"": ""7412566 / 74709855""}",3650000,2400000,4900000,7300000,4800000,9800000,SWASTA,-,-1,-1,-
25,UNIVERSITAS WERISAR,KABUPATEN SORONG SELATAN,PAPUA BARAT,"{""website"": ""unsar.ac.id"", ""email"": ""unsar47eo2022@gmail.com"", ""phone"": ""081240940380""}",2600000,2600000,2600000,5200000,5200000,5200000,SWASTA,-,-1,-1,-
26,UNIVERSITAS INDONESIA MEMBANGUN,KOTA BANDUNG,JAWA BARAT,"{""website"": ""https://inaba.ac.id/"", ""email"": ""universitasinaba@inaba.ac.id"", ""phone"": ""7563919 / 7563921""}",5600000,50000,11150000,11200000,100000,22300000,SWASTA,-,-1,-1,-
27,AKADEMI INFORMATIKA DAN KOMPUTER MEDICOM,"Jalan Bantam No 12, KOTA MEDAN",SUMATERA UTARA,"{""website"": ""www.medicom.ac.id"", ""email"": ""sahabatmedicom@gmail.com"", ""phone"": ""061-4152616 / 061-4578074""}",7250000,6500000,8000000,14500000,13000000,16000000,SWASTA,-,-1,-1,-
28,POLITEKNIK ADIGUNA MARITIM INDONESIA MEDAN,"Jalan Brigjend. Bejo. d/h Pertempuran No.125  Pulo Brayan Kota, KOTA MEDAN",SUMATERA UTARA,"{""website"": ""http://poltek-amimedan.ac.id"", ""email"": ""info@poltek-amimedan.ac.id"", ""phone"": ""6615034 / 6627964""}",-1,-1,-1,-1,-1,-1,SWASTA,-,-1,-1,-
29,POLITEKNIK PRAKTISI BANDUNG,"Jalan Merdeka No. 46, KOTA BANDUNG",JAWA BARAT,"{""website"": ""www.praktisi.ac.id"", ""email"": ""info@praktisi.ac.id"", ""phone"": ""022-4219740 / 022-4219741""}",4200000,1200000,7200000,8400000,2400000,14400000,SWASTA,-,-1,-1,-
30,AKADEMI KEPERAWATAN YAPENAS 21 MAROS,"Jl Perintis Kemerdekaan KM 19 Mandai, KABUPATEN MAROS",SULAWESI SELATAN,"{""website"": ""http://akper.yapenas21maros.ac.id"", ""email"": ""info@yapenas21maros.ac.id"", ""phone"": ""0411-3881920 / 0411-3881920""}",2750000,2750000,2750000,5500000,5500000,5500000,SWASTA,-,-1,-1,-
31,INSTITUT BISNIS DAN INFORMATIKA KESATUAN,"Jl. Rangga Gading No.1  Gudang  Kecamatan Bogor Tengah  Kota Bogor  Jawa Barat, KOTA BOGOR",JAWA BARAT,"{""website"": ""http://www.ibik.ac.id"", ""email"": ""info@ibik.ac.id"", ""phone"": ""0251 8381112 / 0251 8319925""}",-1,-1,-1,-1,-1,-1,SWASTA,-,-1,-1,-
32,SEKOLAH TINGGI ILMU KESEHATAN ST. ELISABETH KEUSKUPAN MAUMERE,KABUPATEN SIKKA,NUSA TENGGARA TIMUR,"{""website"": ""https://stikes-kum.ac.id/"", ""email"": ""stikeskumelisabeth@gmail.com"", ""phone"": """"}",-1,-1,-1,-1,-1,-1,SWASTA,-,-1,-1,-
33,UNIVERSITAS HALMAHERA,"Kompleks UNIERA  Jl. Wari Raya  Tobelo - Maluku Utara, KABUPATEN HALMAHERA UTARA",MALUKU UTARA,"{""website"": ""www.uniera.ac.id"", ""email"": ""info@uniera.ac.id"", ""phone"": ""0924-2622408 / 0924-2621837""}",7630000,960000,14300000,15260000,1920000,28600000,SWASTA,-,-1,-1,-
34,AKADEMI KEUANGAN PERBANKAN NUSANTARA,Jl Medan Banda Aceh IDI KABUPATEN ACEH TIMUR,ACEH,"{""website"": ""www.akubank-nusantara.ac.id"", ""email"": ""akubank.nusantara@gmail.com"", ""phone"": ""06""}",1700000,1000000,2400000,3400000,2000000,4800000,SWASTA,-,-1,-1,-
35,INSTITUT TEKNOLOGI HARAPAN BANGSA,"Jalan Dipatiukur No 80-84, KOTA BANDUNG",JAWA BARAT,"{""website"": ""www.ithb.ac.id"", ""email"": ""humas@ithb.ac.id"", ""phone"": ""022-2506636  2506604 / 022-2507901""}",9200000,1450000,16950000,18400000,2900000,33900000,SWASTA,-,-1,-1,-
36,POLITEKNIK STIBISNIS,"Jalan Arif Rahman Hakim no.71  Kelurahan Mangkukusuma   Kecamatan Tegal Timur, KOTA TEGAL",JAWA TENGAH,"{""website"": ""www.politeknikstibisnis.ac.id"", ""email"": ""pol.stibisnis@gmail.com"", ""phone"": ""0283 353800""}",-1,-1,-1,-1,-1,-1,SWASTA,-,-1,-1,-
37,SEKOLAH TINGGI ILMU KESEHATAN BUDI MULIA SRIWIJAYA,KOTA PALEMBANG,SUMATERA SELATAN,"{""website"": ""budimulia.ac.id"", ""email"": ""budimulia_03@yahoo.com"", ""phone"": ""0711-417995 / 0711-417995""}",20800000,4000000,37600000,41600000,8000000,75200000,SWASTA,-,-1,-1,-
38,UNIVERSITAS MUHAMMADIYAH BANDUNG,"Jl. Palasari No.9A, KOTA BANDUNG",JAWA BARAT,"{""website"": ""www.umbandung.ac.id"", ""email"": ""unmuhbandung@gmail.com"", ""phone"": ""022-6374-5992-4992""}",-1,-1,-1,-1,-1,-1,SWASTA,-,-1,-1,-
39,POLITEKNIK KESEHATAN BHAKTI PERTIWI HUSADA,"Jl. Pilang Setrayasa VIII no. 9  Sukapura  Kota Cirebon, KOTA CIREBON",JAWA BARAT,"{""website"": ""www.poltekesbph.ac.id"", ""email"": ""info@poltekesbph.ac.id"", ""phone"": ""8250777 / 8250777""}",-1,-1,-1,-1,-1,-1,SWASTA,-,-1,-1,-
40,AKADEMI KOMUNIKASI RADYA BINATAMA,"Jalan Raya Janti No. 3/47 Yogyakarta, KABUPATEN SLEMAN",D.I. YOGYAKARTA,"{""website"": ""www.akrb.ac.id"", ""email"": ""akrb@akrb.ac.id"", ""phone"": ""0274 4333577 / 4333577""}",4000000,4000000,4000000,8000000,8000000,8000000,SWASTA,-,-1,-1,-
41,UNIVERSITAS JAKARTA INTERNASIONAL,"Jakarta International Tower  Jalan Letjen S. Parman 1AA  Taman Cattleya  Slipi, KOTA JAKARTA BARAT",D.K.I. JAKARTA,"{""website"": ""https://www.uniji.ac.id/"", ""email"": ""-"", ""phone"": ""6281119167363""}",-1,-1,-1,-1,-1,-1,SWASTA,-,-1,-1,-
42,AKADEMI KEBIDANAN AISYAH KABUPATEN PANGKEP,"Jln. Kemakmuran No.107  Pangkajene  Kab.Pangkep, KABUPATEN PANGKAJENE KEPULAUAN",SULAWESI SELATAN,"{""website"": ""https://www.facebook.com/groups/akbid.aisyah/"", ""email"": ""akbid.aisyah.pangkep@gmail.com"", ""phone"": ""323969 / 323969""}",1900000,1900000,1900000,3800000,3800000,3800000,SWASTA,-,-1,-1,-
43,UNIVERSITAS KRISTEN PAPUA,"Jalan F Kalasuat Malanu, KOTA SORONG",PAPUA BARAT,"{""website"": ""www.ukip.ac.id"", ""email"": ""ukipsrg141005@gmail.com"", ""phone"": ""0951 334115 / 0951 334117""}",2812500,125000,5500000,5625000,250000,11000000,SWASTA,-,-1,-1,-
44,SEKOLAH TINGGI KEGURUAN DAN ILMU PENDIDIKAN SURYA KASIH,KABUPATEN TIMOR TENGAH UTARA,NUSA TENGGARA TIMUR,"{""website"": ""-"", ""email"": ""yskattu@yahoo.co.id  stkipsuryakasih@gmail.com"", ""phone"": ""081338757999""}",2400000,2400000,2400000,4800000,4800000,4800000,SWASTA,-,-1,-1,-
45,UNIVERSITAS SARI MULIA,KOTA BANJARMASIN,KALIMANTAN SELATAN,"{""website"": ""www.unism.ac.id"", ""email"": ""biroadmin@unism.ac.id"", ""phone"": ""3268105 / 3270134""}",20925000,850000,41000000,41850000,1700000,82000000,SWASTA,-,-1,-1,-
46,AKADEMI KEBIDANAN TUNAS HARAPAN BANGSA,"Jl Angkatan 66 Lr Suka Damai, KOTA PALEMBANG",SUMATERA SELATAN,"{""website"": ""www.akbidthb.ac.id"", ""email"": ""akbid_thb@yahoo.com"", ""phone"": ""0711813243 / 0711813243""}",-1,-1,-1,-1,-1,-1,SWASTA,-,-1,-1,-
47,UNIVERSITAS MEGAREZKY,"Jalan Antang Raya No. 45  Antang  Manggala, KOTA MAKASSAR",SULAWESI SELATAN,"{""website"": ""www.unimerz.ac.id"", ""email"": ""info@unimerz.ac.id"", ""phone"": ""492401 / 492401""}",16800000,100000,33500000,33600000,200000,67000000,SWASTA,-,-1,-1,-
48,UNIVERSITAS BUNG KARNO,"Jalan Kimia No 20, KOTA JAKARTA PUSAT",D.K.I. JAKARTA,"{""website"": ""www.ubk.ac.id"", ""email"": ""rektorat@ubk.ac.id"", ""phone"": ""021-3901076 3901278 / 021-3901278""}",-1,-1,-1,-1,-1,-1,SWASTA,-,-1,-1,-
49,UNIVERSITAS YAYASAN PENDIDIKAN IMAM BONJOL MAJALENGKA,KABUPATEN MAJALENGKA,JAWA BARAT,"{""website"": ""univypib.ac.id"", ""email"": ""kampus@univypib.ac.id"", ""phone"": ""0811-2221-913 / 0233-284-098""}",4550000,2500000,6600000,9100000,5000000,13200000,SWASTA,-,-1,-1,-
50,STIKES DARMAIS PADANGSIDIMPUAN,"Jl. Belibis No. 1 Perumahan Sopo Indah Sigulang                       Kec.Padang, KOTA PADANG SIDEMPUAN",SUMATERA UTARA,"{""website"": ""www.stikesdarmaispadangsidimpuan.ac.id"", ""email"": ""info@stikesdarmaispadangsidimpuan.ac.id"", ""phone"": ""7020950 / 28672""}",3000000,3000000,3000000,6000000,6000000,6000000,SWASTA,-,-1,-1,-
51,SEKOLAH TINGGI ILMU ADMINISTRASI AMUNTAI,"Jalan Kuripan Murung Sari 54, KABUPATEN HULU SUNGAI UTARA",KALIMANTAN SELATAN,"{""website"": ""stia-amuntai@ac.id"", ""email"": ""stiaamt@gmail.com"", ""phone"": ""052762520 / 052762520""}",2865000,1800000,3930000,5730000,3600000,7860000,SWASTA,-,-1,-1,-
52,SEKOLAH TINGGI ILMU EKONOMI PEMNAS INDONESIA,"Graha Wisata Jalan Thamrin No 1 Malang    Jawa - Timur  Indonesia, KOTA MALANG",JAWA TIMUR,"{""website"": ""http://www.stiepemnas.ac.id"", ""email"": ""pemnasindonesia@gmail.com"", ""phone"": ""0341-5080639""}",3750000,2500000,5000000,7500000,5000000,10000000,SWASTA,-,-1,-1,-
53,UNIVERSITAS KRISTEN KRIDA WACANA,"Jl Tanjung Duren Raya No 4, KOTA JAKARTA BARAT",D.K.I. JAKARTA,"{""website"": ""www.ukrida.ac.id"", ""email"": ""univ.secretary@ukrida.ac.id"", ""phone"": ""021 566 6952-55 / 021 566 6956""}",28000000,28000000,28000000,56000000,56000000,56000000,SWASTA,-,-1,-1,-
54,AKADEMI KOMUNITAS DEWINATALIA,"Jl. Bulu Mas Blok K3 No. 10 Kelurahan Manarang, KABUPATEN PINRANG",SULAWESI SELATAN,"{""website"": ""-"", ""email"": ""akademikomunitasdewinatalia@gmail.com"", ""phone"": ""082350060002""}",-1,-1,-1,-1,-1,-1,SWASTA,-,-1,-1,-
55,AKADEMI KESEHATAN GIGI DITKESAD JAKARTA,"Jln. Abdul Rahman saleh No.18  Jakarta Pusat, KOTA JAKARTA PUSAT",D.K.I. JAKARTA,"{""website"": ""www.akgpuskesad.ac.id"", ""email"": ""akgditkesad@gmail.com"", ""phone"": ""021-3447614 / 021-3447614""}",-1,-1,-1,-1,-1,-1,SWASTA,-,-1,-1,-
56,AKADEMI SEKRETARIS DAN MANAJEMEN KENCANA BANDUNG,"Jl. Wastukencana No. 5C Kel. Babakan Ciamis Kec. Sumur Bandung, KOTA BANDUNG",JAWA BARAT,"{""website"": ""https://www.asmkencana.ac.id"", ""email"": ""info@asmkencana.ac.id"", ""phone"": ""25028987 / 25028987""}",4000000,4000000,4000000,8000000,8000000,8000000,SWASTA,-,-1,-1,-
57,STISIP MARGARANA,"Jalan Majapahit No 16 A, KABUPATEN TABANAN",BALI,"{""website"": ""http://www.stisip-margarana.ac.id/"", ""email"": ""stisipmarga@gmail.com"", ""phone"": ""812035""}",3675000,3100000,4250000,7350000,6200000,8500000,SWASTA,-,-1,-1,-
58,POLITEKNIK KRAKATAU,"Jl Sultan Ageng Tirtayasa 49 Komplek Bonakarta Blok B-7, KOTA CILEGON",BANTEN,"{""website"": ""www.polka.ac.id"", ""email"": ""politeknikrakatau@gmail.com"", ""phone"": ""0254-388-630 / 0254-388-312""}",3300000,500000,6100000,6600000,1000000,12200000,SWASTA,-,-1,-1,-
59,UNIVERSITAS KRISTEN INDONESIA TOMOHON,"Jalan Raya Talete II Kampus II UKIT Kuranga, KOTA TOMOHON",SULAWESI UTARA,"{""website"": ""-"", ""email"": ""rektorat.ukit@gmail.com"", ""phone"": ""081343606077""}",15725000,50000,31400000,31450000,100000,62800000,SWASTA,-,-1,-1,-
60,STKIP PGRI TULUNGAGUNG,"Jl Mayor Sujadi Timur No 7, KABUPATEN TULUNGAGUNG",JAWA TIMUR,"{""website"": ""www.stkippgritulungagung.ac.id"", ""email"": ""info@stkippgritulungagung.ac.id"", ""phone"": ""0355-321426 / 0355-321426""}",-1,-1,-1,-1,-1,-1,SWASTA,-,-1,-1,-
61,STKIP YAPIS DOMPU,"Jl Syech Muhammad Lingkar Utara Bali I, KABUPATEN DOMPU",NUSA TENGGARA BARAT,"{""website"": ""http://stkipyapisdompu.ac.id"", ""email"": ""akademik@stkipyapisdompu.ac.id"", ""phone"": ""085237083899""}",-1,-1,-1,-1,-1,-1,SWASTA,-,-1,-1,-
62,UNIVERSITAS MUHAMMADIYAH BREBES,KABUPATEN BREBES,JAWA TENGAH,"{""website"": ""umbs.ac.id"", ""email"": ""humas@stmikmpb.ac.id"", ""phone"": ""08112909939""}",3100000,2400000,3800000,6200000,4800000,7600000,SWASTA,-,-1,-1,-
63,SEKOLAH TINGGI PENERBANGAN AVIASI,"Wisma Aldiron Dirgantara Jl Gatot Subroto No 72, KOTA JAKARTA SELATAN",D.K.I. JAKARTA,"{""website"": ""www.stp-aviasi.ac.id"", ""email"": ""sekretariat@stp-aviasi.ac.id"", ""phone"": """"}",3275000,700000,5850000,6550000,1400000,11700000,SWASTA,-,-1,-1,-
64,POLITEKNIK KOTABARU,"Jalan Raya Stagen KM 9 5, KABUPATEN KOTA BARU",KALIMANTAN SELATAN,"{""website"": ""poltekab.ac.id"", ""email"": ""politeknik.kotabaru@poltekab.ac.id"", ""phone"": ""0518-6076838 / 0518-6076838""}",3200000,2400000,4000000,6400000,4800000,8000000,SWASTA,-,-1,-1,-
65,POLITEKNIK WILMAR BISNIS INDONESIA,"Jalan Batu Sihombing  Desa Medan Estate, KABUPATEN DELI SERDANG",SUMATERA UTARA,"{""website"": ""http://wbi.ac.id/"", ""email"": ""humas@wbi.ac.id"", ""phone"": ""+626142074111 / +626180011100""}",1073741824,1,2147483647,2147483648,2,4294967294,SWASTA,-,-1,-1,-
66,SEKOLAH TINGGI ILMU EKONOMI STUDI EKONOMI MODERN,KABUPATEN SUKOHARJO,JAWA TENGAH,"{""website"": ""http://stiestekom.ac.id/"", ""email"": ""stie@stekom.ac.id"", ""phone"": ""+62 813-8777-5758""}",16305000,750000,31860000,32610000,1500000,63720000,SWASTA,-,-1,-1,-
67,UNIVERSITAS MUHAMMADIYAH SAMPIT,KABUPATEN KOTAWARINGIN TIMUR,KALIMANTAN TENGAH,"{""website"": ""www.umsa.ac.id"", ""email"": ""umsa@umsa.ac.id / umsampit@gmail.com"", ""phone"": ""31141""}",3250000,2000000,4500000,6500000,4000000,9000000,SWASTA,-,-1,-1,-
68,AKADEMI ANALIS KESEHATAN DELIMA HUSADA GRESIK,"Gresik, KABUPATEN GRESIK",JAWA TIMUR,"{""website"": ""www.aakdelimahusadagresik.ac.id"", ""email"": ""aakdelimahusadagresik@gmail.com"", ""phone"": ""0313981918 / 0313978628""}",3852515,5030,7700000,7705030,10060,15400000,SWASTA,-,-1,-1,-
69,UNIVERSITAS MUHAMMADIYAH AHMAD DAHLAN PALEMBANG,KOTA PALEMBANG,SUMATERA SELATAN,"{""website"": ""um-ad.ac.id"", ""email"": ""hms.umadplg@gmail.com"", ""phone"": ""0711-516231  516233""}",8705000,1600000,15810000,17410000,3200000,31620000,SWASTA,-,-1,-1,-
70,UNIVERSITAS KALTARA,"Jl. Sengkawit RT.023 Tanjung Selor  Kabupaten Bulungan Kalimantan Utara, KABUPATEN BULUNGAN",KALIMANTAN UTARA,"{""website"": ""www.unikaltar.ac.id"", ""email"": ""univ.kaltara@gmail.com"", ""phone"": ""0552-23190 / 0552-23190""}",4200000,2400000,6000000,8400000,4800000,12000000,SWASTA,-,-1,-1,-
71,STIKES AMANAH MAKASSAR,"Jl. Meranti Raya No. 1 Panakukang Makassar, KOTA MAKASSAR",SULAWESI SELATAN,"{""website"": ""stikesamanah-mks.ac.id"", ""email"": ""stikesamanahmks09@yahoo.com"", ""phone"": ""0411-422048 / 0411-422870""}",-1,-1,-1,-1,-1,-1,SWASTA,-,-1,-1,-
72,SEKOLAH TINGGI TEKNIK ATLAS NUSANTARA,"Jalan Teluk Pacitan No 50 Arjosari Lantai 1, KOTA MALANG",JAWA TIMUR,"{""website"": ""www.sttar.ac.id"", ""email"": ""info@sttar.ac.id"", ""phone"": ""0341-475898 / 0341-475897""}",-1,-1,-1,-1,-1,-1,SWASTA,-,-1,-1,-
73,AKADEMI PARIWISATA DAN PERHOTELAN GANESHA,"Jalan Teluk Mandar Tomol Pos 5  Arjosari -  Malang, KOTA MALANG",JAWA TIMUR,"{""website"": ""http://www.apartel-ganesha.ac.id"", ""email"": ""info@apartel-ganesha.ac.id"", ""phone"": ""0341-0000 / 0341-0000""}",-1,-1,-1,-1,-1,-1,SWASTA,-,-1,-1,-
74,UNIVERSITAS ASAHAN,"Jalan Jenderal Ahmad Yani Asahan, KABUPATEN ASAHAN",SUMATERA UTARA,"{""website"": ""una.ac.id"", ""email"": ""admin@una.ac.id"", ""phone"": ""-- / --""}",2500000,2500000,2500000,5000000,5000000,5000000,SWASTA,-,-1,-1,-
75,UNIVERSITAS BINA SEHAT PPNI MOJOKERTO,KABUPATEN MOJOKERTO,JAWA TIMUR,"{""website"": ""-"", ""email"": ""-"", ""phone"": ""390203""}",8500000,4000000,13000000,17000000,8000000,26000000,SWASTA,-,-1,-1,-
76,SEKOLAH TINGGI PARIWISATA BOGOR,"Jl. Curug Mekar No. 17 Yasmin, KOTA BOGOR",JAWA BARAT,"{""website"": ""www.stpbogor.ac.id"", ""email"": ""lpmi@stpbogor.ac.id"", ""phone"": ""0251-7534343 / 0251-7534513""}",6075000,2400000,9750000,12150000,4800000,19500000,SWASTA,-,-1,-1,-
77,SEKOLAH TINGGI ILMU KESEHATAN KENDEDES,"Malang, KOTA MALANG",JAWA TIMUR,"{""website"": ""www.stikeskendedes.ac.id"", ""email"": ""stikeskendedesmalang@gmail.com"", ""phone"": ""0341 488762 / 0341 488763""}",6600000,200000,13000000,13200000,400000,26000000,SWASTA,-,-1,-1,-
78,AKADEMIK KEBIDANAN ARMINA CENTRE PANYABUNGAN,"Jalan William Iskandar 176, KABUPATEN MANDAILING NATAL",SUMATERA UTARA,"{""website"": ""http://akbidarminacentre.ac.id"", ""email"": ""arminacentrepybakbid@gmail.com"", ""phone"": ""0636-321716 / 0636-321236""}",2650000,1300000,4000000,5300000,2600000,8000000,SWASTA,-,-1,-1,-
