pddikti_institution_code,institution_name,ownership,address,regency,province,contact,average_semester_fee,starting_semester_fee,ending_semester_fee,average_yearly_fee,starting_yearly_fee,ending_yearly_fee,body_type,link,student_amount,lecturer_amount,description
11,AKADEMI KEBIDANAN MADINA HUSADA,-1,Jl Willem Iskandar No 154-f Panyabungan Mandailing Natal,KAB. MANDAILING NATAL,PROV. SUMATERA UTARA,"{""website"": ""Http//akbidmadinahusada.ac.id"", ""email"": ""husada_madina@yahoo.com"", ""phone"": ""0636-7003136 / 0636-3213136""}",3500000,1500000,5500000,7000000,3000000,11000000,-1,-1,-1,-1,-1
12,SEKOLAH TINGGI TEKNOLOGI WARGA SURAKARTA,-1,-,KAB. SUKOHARJO,PROV. JAWA TENGAH,"{""website"": ""sttw.ac.id"", ""email"": ""stt_warga@sttw.ac.id"", ""phone"": ""0271621178 / 0271621176""}",14237500,4750000,23725000,28475000,9500000,47450000,-1,-1,-1,-1,-1
13,UNIVERSITAS MUHAMMADIYAH JAKARTA,-1,Kampus A Jl. Cempaka Putih Tengah 27  Cempaka Putih,KOTA JAKARTA PUSAT,PROV. D.K.I. JAKARTA,"{""website"": ""www.umj.ac.id"", ""email"": ""info@umj.ac.id"", ""phone"": ""7401894 / 7430756""}",12255600,11201,24500000,24511201,22402,49000000,-1,-1,-1,-1,-1
14,INSTITUT MARITIM PRASETIYA MANDIRI,-1,-,KOTA BANDAR LAMPUNG,PROV. LAMPUNG,"{""website"": ""impm.ac.id"", ""email"": ""admin@impm.ac.id"", ""phone"": ""082186808887""}",4500000,3000000,6000000,9000000,6000000,12000000,-1,-1,-1,-1,-1
15,SEKOLAH TINGGI ILMU TARBIYAHISLAMIYAH NUSA TENGGARA BARAT,-1,-,KAB. LOMBOK UTARA,PROV. NUSA TENGGARA BARAT,"{""website"": ""stitintb.ac.id"", ""email"": ""stitislamiyahntb@gmail.com"", ""phone"": ""081805718146""}",1200000,1200000,1200000,2400000,2400000,2400000,-1,-1,-1,-1,-1
16,SEKOLAH TINGGI ILMU MANAJEMEN INDONESIA YAPMI,-1,Jl Perintis Kemerdekaan KM 9,KOTA MAKASSAR,PROV. SULAWESI SELATAN,"{""website"": ""stimi-yapmi.ac.id"", ""email"": ""kampus.stimiyapmi@gmail.com"", ""phone"": ""4773029 / 4773031""}",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
17,STAI AL-FURQAN MAKASSAR  SULAWESI SELATAN,-1,Jl.Perintis KM. 15 Daya,KOTA MAKASSAR,PROV. SULAWESI SELATAN,"{""website"": ""www.staialfurqanmakassar.ac.id"", ""email"": ""admin1@Staialfurqanmakassar.ac.id"", ""phone"": ""0411512050 / 125577""}",1500000,1500000,1500000,3000000,3000000,3000000,-1,-1,-1,-1,-1
18,SEKOLAH TINGGI ILMU EKONOMI BALIKPAPAN,-1,Perkampungan Pelajar Gn Pasir   Balikpapan,KOTA BALIKPAPAN,PROV. KALIMANTAN TIMUR,"{""website"": ""www.stiebalikpapan.ac.id"", ""email"": ""info@stiebalikpapan.ac.id"", ""phone"": ""0542-8500850/424819""}",4462500,1125000,7800000,8925000,2250000,15600000,-1,-1,-1,-1,-1
19,AKADEMI TEKNOLOGI BOGOR,-1,Jalan Bina Marga No. 17 Bogor,KOTA BOGOR,PROV. JAWA BARAT,"{""website"": ""akatek-bogor.ac.id"", ""email"": ""akademi_teknologi@yahoo.com"", ""phone"": ""0251-8316-556""}",4000000,4000000,4000000,8000000,8000000,8000000,-1,-1,-1,-1,-1
20,SEKOLAH TINGGI TEKNOLOGI PAYAKUMBUH,-1,Khatib Sulaiman,KOTA PAYAKUMBUH,PROV. SUMATERA BARAT,"{""website"": ""www.sttpyk.ac.id"", ""email"": ""stt.payakumbuh@yahoo.com"", ""phone"": ""0752-796063 / 0752-90063""}",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
21,IKIP SARASWATI,-1,Jalan Pahlawan No 2,KAB. TABANAN,PROV. BALI,"{""website"": ""https://www.ikip-saraswati.ac.id/"", ""email"": ""ikipsaraswati@yahoo.co.id / ikipsaraswati240983@gmail.com"", ""phone"": ""0361814909 / 0361814909""}",3190000,3190000,3190000,6380000,6380000,6380000,-1,-1,-1,-1,-1
22,UNIVERSITAS ANNUQAYAH,-1,-,KAB. SUMENEP,PROV. JAWA TIMUR,"{""website"": ""www.ua.ac.id"", ""email"": ""info@ua.ac.id"", ""phone"": """"}",3725000,950000,6500000,7450000,1900000,13000000,-1,-1,-1,-1,-1
23,SEKOLAH TINGGI TEOLOGI SABDA AGUNG,-1,-,KOTA SURABAYA,PROV. JAWA TIMUR,"{""website"": ""https://sttsabdaagung.ac.id"", ""email"": ""sttsabdaagung@gmail.com"", ""phone"": ""082141794060""}",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
24,INSTITUT BISNIS DAN TEKNOLOGI KALIMANTAN,-1,-,KOTA BANJARMASIN,PROV. KALIMANTAN SELATAN,"{""website"": ""https://ibitek.ac.id/"", ""email"": ""baak@ibitek.ac.id"", ""phone"": ""+6285250345454""}",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
25,UNIVERSITAS PRASETIYA MULYA,-1,Jl. RA. Kartini  Cilandak Barat,KOTA JAKARTA SELATAN,PROV. D.K.I. JAKARTA,"{""website"": ""www.prasetiyamulya.ac.id"", ""email"": ""bpm@pmbs.ac.id"", ""phone"": ""021-7511126/30450500 / 021-7500460/30450505""}",25500000,1000000,50000000,51000000,2000000,100000000,-1,-1,-1,-1,-1
26,UNIVERSITAS MUHAMMADIYAH TASIKMALAYA,-1,Jalan Tamansari Gobras,KOTA TASIKMALAYA,PROV. JAWA BARAT,"{""website"": ""www.umtas.ac.id"", ""email"": ""kotaksurat@umtas.ac.id"", ""phone"": ""0265-2350982 / 0265-2350982""}",8725000,100000,17350000,17450000,200000,34700000,-1,-1,-1,-1,-1
27,SEKOLAH TINGGI AGAMA KRISTEN SABDA HOLISTIK MALANG,-1,Dusun Cemoro RT.003/RW.002 Desa Pungging  Kecamatan Tutur,KAB. PASURUAN,PROV. JAWA TIMUR,"{""website"": ""https://www.staksh.ac.id/"", ""email"": ""staksabdaholistik@gmail.com"", ""phone"": """"}",4700000,4700000,4700000,9400000,9400000,9400000,-1,-1,-1,-1,-1
28,SEKOLAH TINGGI ILMU KESEHATAN BANTUL,-1,-,KAB. BANTUL,PROV. D.I. YOGYAKARTA,"{""website"": ""www.stikesbantul.ac.id"", ""email"": ""stikesbantul@gmail.com"", ""phone"": ""0274367760""}",4400000,800000,8000000,8800000,1600000,16000000,-1,-1,-1,-1,-1
29,SEKOLAH TINGGI ILMU TARBIYAH MUHAMMADIYAH TANJUNG REDEB BERAU,-1,Jl. Jend. Sudirman Kel. Bugis Tg. Redeb  Berau,KAB. BERAU,PROV. KALIMANTAN TIMUR,"{""website"": ""www.stitmberkemajuan.ac.id"", ""email"": ""info@stitmberkemajuan.ac.id"", ""phone"": ""0554 2020230 / 0554 2020230""}",5075000,3650000,6500000,10150000,7300000,13000000,-1,-1,-1,-1,-1
30,SEKOLAH TINGGI ILMU KESEHATAN HAKLI,-1,Jalan Dr Ismangil 27,KOTA SEMARANG,PROV. JAWA TENGAH,"{""website"": ""www.stikeshaklismg.ac.id"", ""email"": ""stikeshaklismg@yahoo.co.id"", ""phone"": ""024-7601844 / 024-76632464""}",4800000,4800000,4800000,9600000,9600000,9600000,-1,-1,-1,-1,-1
31,SEKOLAH TINGGI ILMU KESEHATAN NOTOKUSUMO YOGYAKARTA,-1,Kampus I  : Jl. masjid PA No 5 Yogyakarta  Kampus II : Jl. Bener No 26 Tegalrejo,KOTA YOGYAKARTA,PROV. D.I. YOGYAKARTA,"{""website"": ""www.stikes-notokusumo.ac.id"", ""email"": ""admisi@stikes-notokusumo.ac.id"", ""phone"": ""587208 / 587402""}",3975000,500000,7450000,7950000,1000000,14900000,-1,-1,-1,-1,-1
32,POLITEKNIK PRASETIYA MANDIRI,-1,-,KOTA BOGOR,PROV. JAWA BARAT,"{""website"": ""https://prasetiyamandiri.ac.id/"", ""email"": ""info@prasetiyamandiri.ac.id"", ""phone"": ""02518356102 / 0251-8356102""}",4500000,4000000,5000000,9000000,8000000,10000000,-1,-1,-1,-1,-1
33,SEKOLAH TINGGI ILMU EKONOMI SYARIAH NAHDLATUL ULAMA BENGKULU,-1,-,KOTA BENGKULU,PROV. BENGKULU,"{""website"": ""stiesnu-bengkulu.ac.id"", ""email"": ""humas@stiesnu-bengkulu.ac.id"", ""phone"": ""085369179919""}",2500000,2500000,2500000,5000000,5000000,5000000,-1,-1,-1,-1,-1
34,SEKOLAH TINGGI TEOLOGI HARAPAN BARU MEDAN,-1,Jalan Helvetia By Pass Kapten Sumarsono Aronta Nomor 79 Kecamatan Sunggal,KAB. DELI SERDANG,PROV. SUMATERA UTARA,"{""website"": ""-"", ""email"": ""-"", ""phone"": """"}",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
35,STAIN ZAWIYAH COT KALA LANGSA,-1,Jl Meurandeh Kota Langsa,KOTA LANGSA,PROV. ACEH,"{""website"": ""www.stainlangsa.ac.id"", ""email"": ""info@stainlangsa.ac.id"", ""phone"": ""23129 / 425139""}",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
36,UNIVERSITAS PAPUA,-1,Jl Gunung Salju  Amban Manokwari,KAB. MANOKWARI,PROV. PAPUA BARAT,"{""website"": ""https://bpak.unipa.ac.id/"", ""email"": ""rektor@unipa.ac.id"", ""phone"": ""0986-211974  211754 / 0986-211455""}",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
37,SEKOLAH TINGGI AGAMA HINDU BHATARA GURU KENDARI SULAWESI TENGGARA,-1,Jln. Cempaka Putih Nomor: 19 Kendari Sulawesi tenggara,KOTA KENDARI,PROV. SULAWESI TENGGARA,"{""website"": ""stahbgk.ac.id"", ""email"": ""stahbgkendari@gmail.com"", ""phone"": """"}",1000000,1000000,1000000,2000000,2000000,2000000,-1,-1,-1,-1,-1
38,INSTITUT CITRA INTERNASIONAL,-1,-,KOTA PANGKALPINANG,PROV. BANGKA BELITUNG,"{""website"": ""www.ici.ac.id"", ""email"": ""institutcitrainternasional@gmail.com"", ""phone"": ""0717-422531""}",10175000,2400000,17950000,20350000,4800000,35900000,-1,-1,-1,-1,-1
39,SEKOLAH TINGGI TEKNIK ISKANDAR THANI,-1,Jl. Alue Naga Desa Tibang Banda Aceh,KOTA BANDA ACEH,PROV. ACEH,"{""website"": ""sttit.ac.id"", ""email"": ""universitasiskandarthani@gmail.com"", ""phone"": ""065127545 / 065127545""}",16200000,2400000,30000000,32400000,4800000,60000000,-1,-1,-1,-1,-1
40,SEKOLAH TINGGI ILMU TARBIYAH AL WAFI BOGOR,-1,Jalan Raya Arco Nomor 1 RT. 002/RW. 01 Desa Citayam  Kecamatan Tajurhalang,KAB. BOGOR,PROV. JAWA BARAT,"{""website"": ""-"", ""email"": ""-"", ""phone"": """"}",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
41,UNIVERSITAS DOKTOR HUSNI INGRATUBUN PAPUA,-1,-,KOTA JAYAPURA,PROV. PAPUA,"{""website"": ""www.uningratpapua.ac.id"", ""email"": ""humas@uningratpapua.ac.id"", ""phone"": """"}",3000000,3000000,3000000,6000000,6000000,6000000,-1,-1,-1,-1,-1
42,UNIVERSITAS PAMULANG,-1,Jalan Suryakencana No 1 Pamulang  Kota Tangerang Selatan Provinsi Banten,KOTA TANGERANG SELATAN,PROV. BANTEN,"{""website"": ""www.unpam.ac.id"", ""email"": ""admin@unpam.ac.id"", ""phone"": ""7412566 / 74709855""}",3650000,2400000,4900000,7300000,4800000,9800000,-1,-1,-1,-1,-1
43,SEKOLAH TINGGI AGAMA ISLAM AL GAZALI BARRU,-1,Jl. Sultan Hasanuddin No. 65Kecama,KAB. BARRU,PROV. SULAWESI SELATAN,"{""website"": ""................."", ""email"": ""staialgazalibarru@ymail.com"", ""phone"": ""0427-2323259 / 0427-2323259""}",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
44,UNIVERSITAS WERISAR,-1,-,KAB. SORONG SELATAN,PROV. PAPUA BARAT,"{""website"": ""unsar.ac.id"", ""email"": ""unsar47eo2022@gmail.com"", ""phone"": ""081240940380""}",2600000,2600000,2600000,5200000,5200000,5200000,-1,-1,-1,-1,-1
45,UNIVERSITAS INDONESIA MEMBANGUN,-1,-,KOTA BANDUNG,PROV. JAWA BARAT,"{""website"": ""https://inaba.ac.id/"", ""email"": ""universitasinaba@inaba.ac.id"", ""phone"": ""7563919 / 7563921""}",5600000,50000,11150000,11200000,100000,22300000,-1,-1,-1,-1,-1
46,AKADEMI INFORMATIKA DAN KOMPUTER MEDICOM,-1,Jalan Bantam No 12,KOTA MEDAN,PROV. SUMATERA UTARA,"{""website"": ""www.medicom.ac.id"", ""email"": ""sahabatmedicom@gmail.com"", ""phone"": ""061-4152616 / 061-4578074""}",7250000,6500000,8000000,14500000,13000000,16000000,-1,-1,-1,-1,-1
47,POLITEKNIK ADIGUNA MARITIM INDONESIA MEDAN,-1,Jalan Brigjend. Bejo. d/h Pertempuran No.125  Pulo Brayan Kota,KOTA MEDAN,PROV. SUMATERA UTARA,"{""website"": ""http://poltek-amimedan.ac.id"", ""email"": ""info@poltek-amimedan.ac.id"", ""phone"": ""6615034 / 6627964""}",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
48,INSTITUT AGAMA ISLAM LATIFAH MUBAROKIYAHSURYALAYA TASIKMALAYA,-1,Ds. Tanjungkerta  Kec. Pagerageung,KAB. TASIKMALAYA,PROV. JAWA BARAT,"{""website"": ""iailm.ac.id"", ""email"": ""iailm@iailm.ac.id"", ""phone"": ""0265-455808 / 0265-455809""}",4395000,280000,8510000,8790000,560000,17020000,-1,-1,-1,-1,-1
49,INSTITUT SENI BUDAYA INDONESIA BANDUNG,-1,Jalan Buahbatu No. 212 Bandung,KOTA BANDUNG,PROV. JAWA BARAT,"{""website"": ""www.isbi.ac.id"", ""email"": ""isbi@isbi.ac.id"", ""phone"": ""022-7314982 / 022-7303021""}",4000000,500000,7500000,8000000,1000000,15000000,-1,-1,-1,-1,-1
50,POLITEKNIK PRAKTISI BANDUNG,-1,Jalan Merdeka No. 46,KOTA BANDUNG,PROV. JAWA BARAT,"{""website"": ""www.praktisi.ac.id"", ""email"": ""info@praktisi.ac.id"", ""phone"": ""022-4219740 / 022-4219741""}",4200000,1200000,7200000,8400000,2400000,14400000,-1,-1,-1,-1,-1
51,AKADEMI KEPERAWATAN YAPENAS 21 MAROS,-1,Jl Perintis Kemerdekaan KM 19 Mandai,KAB. MAROS,PROV. SULAWESI SELATAN,"{""website"": ""http://akper.yapenas21maros.ac.id"", ""email"": ""info@yapenas21maros.ac.id"", ""phone"": ""0411-3881920 / 0411-3881920""}",2750000,2750000,2750000,5500000,5500000,5500000,-1,-1,-1,-1,-1
52,SEKOLAH TINGGI TEOLOGI ISTTO HIKMAT WAHYU,-1,,KAB. MINAHASA,PROV. SULAWESI UTARA,"{""website"": """", ""email"": ""sttisttohw@yahoo.com"", ""phone"": ""0431-893410""}",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
53,STAI BANI SALEH BEKASI,-1,Jl. M. Hasibuan No.68 Bekasi Timur,KOTA BEKASI,PROV. JAWA BARAT,"{""website"": ""www.stai.banisaleh.ac.id"", ""email"": ""staibanisaleh@yahoo.co.id"", ""phone"": ""021-88343360 / 021-88343360""}",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
54,INSTITUT BISNIS DAN INFORMATIKA KESATUAN,-1,Jl. Rangga Gading No.1  Gudang  Kecamatan Bogor Tengah  Kota Bogor  Jawa Barat,KOTA BOGOR,PROV. JAWA BARAT,"{""website"": ""http://www.ibik.ac.id"", ""email"": ""info@ibik.ac.id"", ""phone"": ""0251 8381112 / 0251 8319925""}",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
55,SEKOLAH TINGGI ILMU KESEHATAN HUSADA GEMILANG,-1,-,KAB. INDRAGIRI HILIR,PROV. RIAU,"{""website"": ""husadagemilang.ac.id"", ""email"": ""stikeshusadagemilang@gmail.com"", ""phone"": ""076821621 / 076821621""}",4950000,4500000,5400000,9900000,9000000,10800000,-1,-1,-1,-1,-1
56,SEKOLAH TINGGI ILMU KESEHATAN ST. ELISABETH KEUSKUPAN MAUMERE,-1,-,KAB. SIKKA,PROV. NUSA TENGGARA TIMUR,"{""website"": ""https://stikes-kum.ac.id/"", ""email"": ""stikeskumelisabeth@gmail.com"", ""phone"": """"}",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
57,UNIVERSITAS HALMAHERA,-1,Kompleks UNIERA  Jl. Wari Raya  Tobelo - Maluku Utara,KAB. HALMAHERA UTARA,PROV. MALUKU UTARA,"{""website"": ""www.uniera.ac.id"", ""email"": ""info@uniera.ac.id"", ""phone"": ""0924-2622408 / 0924-2621837""}",7630000,960000,14300000,15260000,1920000,28600000,-1,-1,-1,-1,-1
58,SEKOLAH TINGGI EKONOMI ISLAM HAJI ABDUL MALIK CIKARANG BARAT,-1,Jl. Desa Telaga Murni Bojong Koneng Cikarang Barat Kab Bekasi,KAB. BEKASI,PROV. JAWA BARAT,"{""website"": ""-"", ""email"": ""-"", ""phone"": """"}",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
59,STIT AL-QURANIYAH  MANNA  BENGKULU SELATAN,-1,Jl. Affan Backsin n0 13 Manna Bengkulu Selatan,KAB. BENGKULU SELATAN,PROV. BENGKULU,"{""website"": """", ""email"": ""stitqmanna2019@gmail.com"", ""phone"": ""21689 / 21689""}",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60,SEKOLAH TINGGI TEOLOGI PARAUSORAT NAULI JAKARTA,-1,Jl. Jatinegara Barat IV No. 11-D Jakarta Telp.8584952 ; 8190963,KOTA JAKARTA TIMUR,PROV. D.K.I. JAKARTA,"{""website"": ""www.sttparausorat.ac.id"", ""email"": ""sttparausoratnaulijakarta04@yahoo.com"", ""phone"": ""8511037 / 8511165""}",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
61,AKADEMI KEUANGAN PERBANKAN NUSANTARA,-1,Jl Medan Banda Aceh IDI KABUPATEN ACEH TIMUR,KAB. ACEH TIMUR,PROV. ACEH,"{""website"": ""www.akubank-nusantara.ac.id"", ""email"": ""akubank.nusantara@gmail.com"", ""phone"": ""06""}",1700000,1000000,2400000,3400000,2000000,4800000,-1,-1,-1,-1,-1
62,INSTITUT TEKNOLOGI HARAPAN BANGSA,-1,Jalan Dipatiukur No 80-84,KOTA BANDUNG,PROV. JAWA BARAT,"{""website"": ""www.ithb.ac.id"", ""email"": ""humas@ithb.ac.id"", ""phone"": ""022-2506636  2506604 / 022-2507901""}",9200000,1450000,16950000,18400000,2900000,33900000,-1,-1,-1,-1,-1
63,STAI TUANKU TAMBUSAI,-1,Jl. Riau No. 02 Kelurahan Pasir Pengaraian Kecamatan Rambah Kabupaten Rokan Hulu,KAB. ROKAN HULU,PROV. RIAU,"{""website"": ""staituankutambusai.ac.id"", ""email"": ""stai.tuankutambusai@yahoo.com"", ""phone"": ""+62 762 7392031""}",2250000,2250000,2250000,4500000,4500000,4500000,-1,-1,-1,-1,-1
64,POLITEKNIK STIBISNIS,-1,Jalan Arif Rahman Hakim no.71  Kelurahan Mangkukusuma   Kecamatan Tegal Timur,KOTA TEGAL,PROV. JAWA TENGAH,"{""website"": ""www.politeknikstibisnis.ac.id"", ""email"": ""pol.stibisnis@gmail.com"", ""phone"": ""0283 353800""}",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
65,SEKOLAH TINGGI TEOLOGI TABERNAKEL LAWANG,-1,Jl. Ov. Slamet Riyadi 39  P.O. Box 101  Lawang Jawa Timur - Indonesia,KAB. MALANG,PROV. JAWA TIMUR,"{""website"": ""www.stttabernakel.ac.id"", ""email"": ""stttabernakel@ymail.com"", ""phone"": ""426361 / 426212""}",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
66,SEKOLAH TINGGI ILMU KESEHATAN BUDI MULIA SRIWIJAYA,-1,-,KOTA PALEMBANG,PROV. SUMATERA SELATAN,"{""website"": ""budimulia.ac.id"", ""email"": ""budimulia_03@yahoo.com"", ""phone"": ""0711-417995 / 0711-417995""}",20800000,4000000,37600000,41600000,8000000,75200000,-1,-1,-1,-1,-1
67,UNIVERSITAS MUHAMMADIYAH BANDUNG,-1,Jl. Palasari No.9A,KOTA BANDUNG,PROV. JAWA BARAT,"{""website"": ""www.umbandung.ac.id"", ""email"": ""unmuhbandung@gmail.com"", ""phone"": ""022-6374-5992-4992""}",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
68,POLITEKNIK KESEHATAN BHAKTI PERTIWI HUSADA,-1,Jl. Pilang Setrayasa VIII no. 9  Sukapura  Kota Cirebon,KOTA CIREBON,PROV. JAWA BARAT,"{""website"": ""www.poltekesbph.ac.id"", ""email"": ""info@poltekesbph.ac.id"", ""phone"": ""8250777 / 8250777""}",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
69,AKADEMI KOMUNIKASI RADYA BINATAMA,-1,Jalan Raya Janti No. 3/47 Yogyakarta,KAB. SLEMAN,PROV. D.I. YOGYAKARTA,"{""website"": ""www.akrb.ac.id"", ""email"": ""akrb@akrb.ac.id"", ""phone"": ""0274 4333577 / 4333577""}",4000000,4000000,4000000,8000000,8000000,8000000,-1,-1,-1,-1,-1
70,UNIVERSITAS JAKARTA INTERNASIONAL,-1,Jakarta International Tower  Jalan Letjen S. Parman 1AA  Taman Cattleya  Slipi,KOTA JAKARTA BARAT,PROV. D.K.I. JAKARTA,"{""website"": ""https://www.uniji.ac.id/"", ""email"": ""-"", ""phone"": ""6281119167363""}",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
71,AKADEMI KEBIDANAN AISYAH KABUPATEN PANGKEP,-1,Jln. Kemakmuran No.107  Pangkajene  Kab.Pangkep,KAB. PANGKAJENE KEPULAUAN,PROV. SULAWESI SELATAN,"{""website"": ""https://www.facebook.com/groups/akbid.aisyah/"", ""email"": ""akbid.aisyah.pangkep@gmail.com"", ""phone"": ""323969 / 323969""}",1900000,1900000,1900000,3800000,3800000,3800000,-1,-1,-1,-1,-1
72,UNIVERSITAS KRISTEN PAPUA,-1,Jalan F Kalasuat Malanu,KOTA SORONG,PROV. PAPUA BARAT,"{""website"": ""www.ukip.ac.id"", ""email"": ""ukipsrg141005@gmail.com"", ""phone"": ""0951 334115 / 0951 334117""}",2812500,125000,5500000,5625000,250000,11000000,-1,-1,-1,-1,-1
73,SEKOLAH TINGGI KEGURUAN DAN ILMU PENDIDIKAN SURYA KASIH,-1,-,KAB. TIMOR TENGAH UTARA,PROV. NUSA TENGGARA TIMUR,"{""website"": ""-"", ""email"": ""yskattu@yahoo.co.id  stkipsuryakasih@gmail.com"", ""phone"": ""081338757999""}",2400000,2400000,2400000,4800000,4800000,4800000,-1,-1,-1,-1,-1
74,UNIVERSITAS SARI MULIA,-1,-,KOTA BANJARMASIN,PROV. KALIMANTAN SELATAN,"{""website"": ""www.unism.ac.id"", ""email"": ""biroadmin@unism.ac.id"", ""phone"": ""3268105 / 3270134""}",20925000,850000,41000000,41850000,1700000,82000000,-1,-1,-1,-1,-1
75,SEKOLAH TINGGI TEKNOLOGI PEKANBARU,-1,Jalan Dirgantara No 4 Arengka,KOTA PEKANBARU,PROV. RIAU,"{""website"": ""www.sttp-yds.ac.id"", ""email"": ""humas@sttp-yds.ac.id"", ""phone"": ""0761-61815 / 0761-61815""}",3000000,2500000,3500000,6000000,5000000,7000000,-1,-1,-1,-1,-1
