id_sp,kab_kota_pt,provinsi_pt,akreditasi,nama_singkat,status_pt,nama_pt,jenis_pt,jumlah_prodi,range_biaya_kuliah,kelompok,pembina,kode_pt,email,no_tel,no_fax,website,alamat,nm_singkat,kode_pos,kecamatan_pt,lintang_pt,bujur_pt,tgl_berdiri_pt,tgl_sk_pendirian_sp,sk_pendirian_sp,akreditasi_pt,status_akreditasi
qhWjOI9tnhEEmHa3rDo3PorZL9SgEvKVWb4egUv9s9s7bfp43Qy2_-PK9u7x4i0bAOm2hA==,Kota Jakarta Pusat,Prov. D.K.I. Jakarta,Unggul,UMJ,Aktif,Universitas Muhammadiyah Jakarta,Swasta,65,11.201 - 24.500.000,Perguruan Tinggi Swasta,LLDIKTI III,031011  ,info@umj.ac.id,(021)7401894,(021) 7430756,www.umj.ac.id,"Kampus A Jl. Cempaka Putih Tengah 27, Cempaka Putih",UMJ,10510,Tidak Diisi,-6.2991107,106.7672557,1955-11-18T00:00:00Z,2017-09-18T00:00:00Z,488/KPT/I/2017,Unggul,-
ZFjN_skioAtdiU1c1Mm2tN_c7BwRT93nk0QQOwg05q4edfBi13l-G1xYzI_OWzBXTW5CYg==,Kota Bandar Lampung,Prov. Lampung,-,IMPM,Aktif,Institut Maritim Prasetiya Mandiri,Swasta,7,3.000.000 - 6.000.000,Perguruan Tinggi Swasta,LLDIKTI II,022007  ,admin@impm.ac.id,082186808887,-,impm.ac.id,-,IMPM,-,Tidak Diisi,-5.3789616,105.2563851,2021-02-23T00:00:00Z,2021-02-23T00:00:00Z,59/E/O/2021,-,-
kgLz9r1MpKYj9H1NCeXHCuBsSRPe1wY5GD9mMd1Yl9twsGLYGJ744Aro700nC96P_SUEBw==,Kota Makassar,Prov. Sulawesi Selatan,Baik Sekali,STIMI YAPMI Makassar,Aktif,Sekolah Tinggi Ilmu Manajemen Indonesia YAPMI,Swasta,1,-,Perguruan Tinggi Swasta,LLDIKTI IX,093046  ,kampus.stimiyapmi@gmail.com,(0411) 4773029,(0411) 4773031, stimi-yapmi.ac.id,Jl Perintis Kemerdekaan KM 9 ,STIMI YAPMI Makassar,90222,Tidak Diisi,-5.141641,119.479007,1986-12-27T00:00:00Z,1986-12-27T00:00:00Z,220,Baik Sekali,-
pm76gOQmcTCFlCTw0PCjoJJPzNLvvYk8Y41-Ke3445ot97XqlHWpu52sum9jS35z-LSSZQ==,Kota Balikpapan,Prov. Kalimantan Timur,Baik Sekali,STIE Balikpapan,Aktif,Sekolah Tinggi Ilmu Ekonomi Balikpapan,Swasta,3,1.125.000 - 7.800.000,Perguruan Tinggi Swasta,LLDIKTI XI,113012  ,info@stiebalikpapan.ac.id,0542-8500850/424819,-,www.stiebalikpapan.ac.id,"Perkampungan Pelajar Gn Pasir , Balikpapan",STIE Balikpapan,76111,Tidak Diisi,-1.252092,116.854047,1984-09-20T00:00:00Z,1984-09-20T00:00:00Z,03,Baik Sekali,-
Ne2qgUYMZwZtMcSPbZ0EzUFsFso3u_Fvmzpd9aaqarFrvVjhIfGaXeEnf-RKHupXM7C4IQ==,Kota Bogor,Prov. Jawa Barat,Baik,Akatek,Aktif,Akademi Teknologi Bogor,Swasta,2,4.000.000 - 4.000.000,Perguruan Tinggi Swasta,LLDIKTI IV,044078  ,akademi_teknologi@yahoo.com,0251-8316-556,-, akatek-bogor.ac.id,Jalan Bina Marga No. 17 Bogor,Akatek,16143,Kec. Kota Bogor Timur,-6.6023333,106.8115855,1998-02-11T00:00:00Z,1998-02-11T00:00:00Z,07/D/O/1998,Baik,-
T0RzyAPobea_LBi0_MUgaVTQnPQIOJQOGI5aIKclZn8b0N2J6jt5Um9DmftZWlHCgMVYXA==,Kota Gorontalo,Prov. Gorontalo,Baik,STMIK Ichsan,Alih Bentuk,Sekolah Tinggi Manajemen Informatika dan Komputer Ichsan Gorontalo,Swasta,5,-,Perguruan Tinggi Swasta,LLDIKTI XVI,163024  ,akademik@stmik-ichsan.ac.id,085256994441,(0435) 831247,www.stmik-ichsan.ac.id,Jalan Raden Saleh No 17 ,STMIK Ichsan,96115,Tidak Diisi,0.555558,123.057075,2000-06-09T00:00:00Z,2000-06-09T00:00:00Z,86/D/O/2000,Baik,-
ynRkG13tFMvSH5chp7sbRAOdm0n5yrysDq7xTP3LtVpoFUmQOVEzc3NpYvYq4rvMT2TTzA==,Kota Payakumbuh,Prov. Sumatera Barat,Baik,STT-PAYAKUMBUH,Aktif,Sekolah Tinggi Teknologi Payakumbuh,Swasta,3,-,Perguruan Tinggi Swasta,LLDIKTI X,103080  ,stt.payakumbuh@yahoo.com,0752-796063, 0752-90063, www.sttpyk.ac.id,Khatib Sulaiman ,STT-PAYAKUMBUH,26227,Kec. Payakumbuh Selatan,-0.2491183,100.6272061,2005-07-18T00:00:00Z,2005-07-18T00:00:00Z,99DO2005,Baik,-
luIoHnrOLK6WkBaikeeMiiN0ulFk9aAUpB53AO6m6sBbnPXaOkZ-mTZXfm9F-R_soa_mjA==,Kab. Tabanan,Prov. Bali,B,IKIP SARASWATI,Aktif,IKIP Saraswati,Swasta,7,3.190.000 - 3.190.000,Perguruan Tinggi Swasta,LLDIKTI VIII,082001  , ikipsaraswati@yahoo.co.id / ikipsaraswati240983@gmail.com,0361814909,0361814909,https://www.ikip-saraswati.ac.id/,Jalan Pahlawan No 2 ,IKIP SARASWATI,82113,Tidak Diisi,-8.5379791,115.1359516,1989-12-16T00:00:00Z,1989-12-16T00:00:00Z,0829O1989,B,-
AT-vKs6GSgQpzCeiltGWjR5bAkYp3Y7P3t-hKmotsC81eFxD5EZ23OATvkuM1LRoLElxLw==,Kab. Sumenep,Prov. Jawa Timur,Baik,UA,Aktif,Universitas Annuqayah,Swasta,8,950.000 - 6.500.000,Perguruan Tinggi Swasta,LLDIKTI VII,071116  ,info@ua.ac.id,-,-,www.ua.ac.id,-,UA,-,Tidak Diisi,-7.06434,113.6745,2023-12-20T00:00:00Z,2023-12-20T00:00:00Z,979/E/O/2023,Baik,-
0KVsSM2qEF2VEL6Q0N0PVNWdnYR3HhTxnT3lSm86Tq_MxF79dQbPkeQ5lFdBNCE-MSWP9Q==,Kab. Kudus,Prov. Jawa Tengah,-,-,Alih Bentuk,Akademi Keperawatan Krida Husada,Swasta,1,-,Perguruan Tinggi Swasta,LLDIKTI VI,064126  ,akperkridahusada@yahoo.co.id,0291.4248655,0291.4248657, akperkridahusada.ac.id,Jalan lambao Singocandi No 1 ,-,12345,Tidak Diisi,0.0,0.0,1995-08-14T00:00:00Z,2009-06-12T00:00:00Z,2490DTK-VI2009,-,-
F4WmFjBHlbTUAc2BfxiMUpxzEXWOjaT9WvZi6Npip73xJF_cAkviV2ILBjS_ebckrkkQQw==,Kota Kendari,Prov. Sulawesi Tenggara,-,-,Alih Bentuk,Akademi Kesehatan Gigi Kendari,Swasta,1,-,Perguruan Tinggi Swasta,LLDIKTI IX,094108  , akademikesehatangigikendari@gmail.com,0401-3190193,0401-3190193, ,Jalan Asrama Haji No 17 ,-,93117,Kec. Baruga,0.0,0.0,2007-09-03T00:00:00Z,2007-09-03T00:00:00Z,166DO2007,-,-
kiunts4W7V1lqtv-k0dymlMrmxuFzdH4Ggfr_9cCkw-V28MxBoNZtlnIUKpZAe639Z63VA==,Kota Banjarmasin,Prov. Kalimantan Selatan,Baik Sekali,IBITEK,Aktif,Institut Bisnis dan Teknologi Kalimantan,Swasta,5,-,Perguruan Tinggi Swasta,LLDIKTI XI,112011  ,baak@ibitek.ac.id,+6285250345454,-,https://ibitek.ac.id/,-,IBITEK,-,Tidak Diisi,-3.3011672,114.58931,2024-10-17T00:00:00Z,2024-10-17T00:00:00Z,698/E/O/2024,Baik Sekali,-
NcrUJ2FlGrSJBbi-kzGi0BiPigLa8c9BuxMTPzQQepzbGF2XDIspqzJLDJYE7D6Z7haQFw==,Kota Jakarta Selatan,Prov. D.K.I. Jakarta,Baik Sekali,Prasmul,Aktif,Universitas Prasetiya Mulya,Swasta,13,1.000.000 - 50.000.000,Perguruan Tinggi Swasta,LLDIKTI III,031063  ,bpm@pmbs.ac.id,021-7511126/30450500,021-7500460/30450505,www.prasetiyamulya.ac.id,"Jl. RA. Kartini, Cilandak Barat ",Prasmul,12430,Kec. Cilandak,-6.29129,106.78877,1982-08-31T00:00:00Z,2015-11-18T00:00:00Z,87/KPT/I/2015,Baik Sekali,-
ekuH1XzOnxjBOMEAM-ltaEOy7d1CwKLt76YQW9isq9AEBEtIhZAIXUosO78tuc5NOA86gg==,Kota Tasikmalaya,Prov. Jawa Barat,Baik,UMTAS,Aktif,Universitas Muhammadiyah Tasikmalaya,Swasta,16,100.000 - 17.350.000,Perguruan Tinggi Swasta,LLDIKTI IV,041061  , kotaksurat@umtas.ac.id,0265-2350982,0265-2350982,www.umtas.ac.id,Jalan Tamansari Gobras,UMTAS,46196,Tidak Diisi,-7.3702981,108.2311678,2014-10-17T00:00:00Z,2014-10-17T00:00:00Z,598/E/O/2014,Baik,-
trPRHUPVfM1OA0wICoe2KhyFanCcAhyFiAwrZsjM3AXr4nErc-1p6M4Xfcj8wahOPWoDpA==,Kota Sukabumi,Prov. Jawa Barat,Baik,IMWI,Alih Bentuk,Institut Manajemen Wiyata Indonesia,Swasta,6,-,Perguruan Tinggi Swasta,LLDIKTI IV,042011  ,info@imwi.ac.id,0266-6253500,0266-6253800,www.imwi.ac.id,Jalan Gudang No. 9 Sukabumi,IMWI,43112,Tidak Diisi,-6.9189128,106.9256938,2014-10-16T00:00:00Z,2014-10-16T00:00:00Z,505/E/O/2014,Baik,-
o79DTJU2coT9F6QRZCq2s1Ps8zDcK7VdyUku7lnLIhN_1AZqbbTVrKTG4qX0pA6mhP5fiA==,Kota Lhokseumawe,Prov. Aceh,-,ASM T. Rencong,Tutup,Akademi Sekretari Manajemen Tanah Rencong,Swasta,1,-,Perguruan Tinggi Swasta,LLDIKTI XIII,134004  ,asmtanahrencong@gmail.com,0645-40521,064541215,www//http.asmtr/lsm.com,Jalan Teuku Maharaja No 16 Mon Geudong,ASM T. Rencong,24351,Tidak Diisi,0.0,0.0,1987-03-20T00:00:00Z,2021-04-26T00:00:00Z,083/D/OT/2021,-,-
hCwdVaKzjR6yaljF7bvmn7WYx73WpiKbx3Z3Pm2jmkc5ebn4_dbK3laXp117U9nG0ifMzw==,Kota Makassar,Prov. Sulawesi Selatan,-,Akper Muhammadiyah M,Alih Bentuk,Akademi Keperawatan Muhammadiyah Makassar,Swasta,1,-,Perguruan Tinggi Swasta,LLDIKTI IX,094015  ,info@akpermuhammadiyahmks.ac.id,0411-859127,0411-859127,http://akpermuhammadiyahmks.ac.id,Jalan Dr Ratulangi No 101 ,Akper Muhammadiyah M,90132,Tidak Diisi,0.0,0.0,1992-06-22T00:00:00Z,1981-04-20T00:00:00Z,824,-,-
-ql_laRd5CmJtjUpwBSGUf3d7ZWRa3jZwTevHdqJ0TGV_MT_xkoKegpDnrGS6KbMZejVog==,Kab. Bantul,Prov. D.I. Yogyakarta,Baik,-,Aktif,Sekolah Tinggi Ilmu Kesehatan Bantul,Swasta,2,800.000 - 8.000.000,Perguruan Tinggi Swasta,LLDIKTI V,053053  ,stikesbantul@gmail.com,0274367760,-,www.stikesbantul.ac.id,-,-,-,Tidak Diisi,-7.894207,110.3523767,2022-03-23T00:00:00Z,2022-03-23T00:00:00Z,231/E/O/2022,Baik,-
h4YpYAOEdnJoSvZ2OpdukeCq3xiMY5J9PBlseRnwVtYvjJQAWLgqL-c8_EVVDg1Xui4eZA==,Kota Semarang,Prov. Jawa Tengah,Baik,-,Aktif,Sekolah Tinggi Ilmu Kesehatan Hakli,Swasta,7,4.800.000 - 4.800.000,Perguruan Tinggi Swasta,LLDIKTI VI,063053  , stikeshaklismg@yahoo.co.id,024-7601844,024-76632464, www.stikeshaklismg.ac.id,Jalan Dr Ismangil 27 ,-,50148,Tidak Diisi,0.0,0.0,2003-08-05T00:00:00Z,2003-08-05T00:00:00Z,119DO2003,Baik,-
HWafZy68aZ8xNprFoSbQWgp_a0KIvxPOOrX73xfw8cd9hBfFN7EvRxVw7Tun37BZheNV2A==,Kota Yogyakarta,Prov. D.I. Yogyakarta,Baik Sekali,-,Aktif,Sekolah Tinggi Ilmu Kesehatan Notokusumo Yogyakarta,Swasta,4,500.000 - 7.450.000,Perguruan Tinggi Swasta,LLDIKTI V,053048  ,admisi@stikes-notokusumo.ac.id ,(0274) 587208,(0274) 587402,www.stikes-notokusumo.ac.id,"Kampus I  : Jl. masjid PA No 5 Yogyakarta
Kampus II : Jl. Bener No 26 Tegalrejo",-,-,Kec. Tegalrejo,-7.779166,110.352591,2019-08-20T00:00:00Z,2019-08-20T00:00:00Z,739/KPT/I/2019,Baik Sekali,-
OnrrlRkzVPa2nBRn2buVKbYtvbkD818x-ZvQb2eomiQ3oHIaKz4gkjwvoip428uDE1hfqw==,Kota Bogor,Prov. Jawa Barat,Baik,-,Aktif,Politeknik Prasetiya Mandiri,Swasta,13,4.000.000 - 5.000.000,Perguruan Tinggi Swasta,LLDIKTI IV,045071  ,info@prasetiyamandiri.ac.id,02518356102,0251-8356102,https://prasetiyamandiri.ac.id/,-,-,-,Tidak Diisi,-6.6016198,106.8122533,2023-11-06T00:00:00Z,2023-11-06T00:00:00Z,303/D/OT/2023,Baik,-
LZvR4l5L2ToBVkRghR74ZzQKq-NJyzHlDJx2oqPzUhpa69iDCG5quBae8883nb9UXyUeow==,Kab. Sleman,Prov. D.I. Yogyakarta,-,STIKES 'Aisyiyah Yog,Alih Bentuk,Sekolah Tinggi Ilmu Kesehatan Aisyiyah Yogyakarta,Swasta,6,-,Perguruan Tinggi Swasta,LLDIKTI V,053033  ,stikesayo@stikesaisyiyah.ac.id,0274-4469199,0274-4469204,www.stikesaisyiyah.ac.id,Jalan Ring Road Barat No. 63 Mlangi Nogotirto Gamping Sleman DIY,STIKES 'Aisyiyah Yog,55292,Kec. Gamping,0.0,0.0,2003-10-14T00:00:00Z,2003-10-14T00:00:00Z,181/D/O/2003,-,-
qc_bstR0K_b0qo4lGgi2yLs_nQu8BP_kqtSrXvdRdK7OWEdmfb5vuEi8kaIawtLmOrlMZw==,Tidak Diisi,Prov. D.I. Yogyakarta,-,-,Tutup,Akademi Kesejahteraan Sosial Tarakanita,Swasta,2,-,Perguruan Tinggi Swasta,LLDIKTI V,054002  ,akstarki@indosat.net.id,0274-514-250,0274-512-494,-,Jalan Tantular Pringwulung Condongcatur,-,55012,Tidak Diisi,0.0,0.0,1952-07-07T00:00:00Z,2017-04-19T00:00:00Z,166/M/KPT/2017,-,-
qYIrXLZ3Qn_l4PpNHne8lyNvkagmAYJUDcI1gB3_9XPnQzYxw19p_X94skDtY3ui8UVQmw==,Kota Denpasar,Prov. Bali,Baik,Primakara,Alih Bentuk,STMIK Primakara,Swasta,4,-,Perguruan Tinggi Swasta,LLDIKTI VIII,083080  ,info@primakara.ac.id,0361-8956084,0361-8956084,www.primakara.ac.id,"Jalan Tukad Badung No. 135, Renon",Primakara,80226,Tidak Diisi,-8.6893593,115.23789,2013-09-27T00:00:00Z,2013-09-27T00:00:00Z,458/E/O/2013,Baik,-
4LRMgI9d7TOn-P36I_zzie2Ypa8Cdjxze6UbD8ftirIA69y4epyVO1g6YnsBBTIlBFStSQ==,Kota Semarang,Prov. Jawa Tengah,Baik,AKFAR 17-08-1945,Alih Bentuk,Akademi Farmasi 17 Agustus 1945 Semarang,Swasta,1,3.750.000 - 30.750.000,Perguruan Tinggi Swasta,LLDIKTI VI,064158  ,info@akfar17smg.ac.id,024-7608694,024-7625060,www.akfar17smg.ac.id, Jln. Jendral Sudirman No. 350 Semarang - Jawa Tengah,AKFAR 17-08-1945,50149,Kec. Semarang Barat,-6.9839025,110.3882714,2011-12-07T00:00:00Z,2015-07-13T00:00:00Z,437/M/Kp/VII/2015,Baik,-
26pehxLASvuEAa8dD85UgEfAC3WYy90ZX-_iCOBLupN7hq_L0MP_-AYPZbJP3Vml8NEPIA==,Kab. Maluku Tengah,Prov. Maluku,-,STIA SP,Alih Bentuk,Sekolah Tinggi Ilmu Administrasi Said Perintah,Swasta,2,-,Perguruan Tinggi Swasta,LLDIKTI XII,123046  ,stiasaidp@gmail.com,0914-22425,0914-22425, www.stiasaidperintah.masohi.ac.id,Jalan Nuri ,STIA SP,97511,Kec. Masohi,-3.305966,128.969487,2005-03-18T00:00:00Z,2005-03-18T00:00:00Z,31DO2005,-,-
HLM58ACuZQTEDZ84cNb7cM5d5Im1-TAt8nLd5wyVkc5xF9vqFRE3i_vax9iGf23DZUV3vg==,Kota tangerang Selatan,Prov. Banten,-,-,Tutup,STKIP Suluh Bangsa,Swasta,1,-,Perguruan Tinggi Swasta,LLDIKTI III,033159  ,-,-,-,-,Gedung D YAN Jl. Legoso Raya No. 31 Ciputat ,-,15419,Kec. Ciputat,0.0,0.0,2001-08-15T00:00:00Z,2015-12-23T00:00:00Z,675/M/Kp/XII/2015,-,-
Y-suJX5HA8-gxhDeb4GG6Qa2hYm7XRhKPGf4-HoBhYMxWE73UlnOhKVxHljUH9oJ_yoDfg==,Kota Pangkalpinang,Prov. Bangka Belitung,Baik,ICI,Aktif,Institut Citra Internasional,Swasta,6,2.400.000 - 17.950.000,Perguruan Tinggi Swasta,LLDIKTI II,022018  ,institutcitrainternasional@gmail.com,0717-422531,-,www.ici.ac.id,-,ICI,-,Tidak Diisi,-2.1206046,106.0957787,2023-06-06T00:00:00Z,2023-06-06T00:00:00Z,475/E/O/2023,Baik,-
gsA2CFKpalXPsdwyTd8yvkVXuzB2Q1m_UO2JeiE7jMSNAeBgZzSRV6k48X0rSyj4dn2cMw==,Kota Surakarta,Prov. Jawa Tengah,-,ABA Pignatelli,Alih Bentuk,Akademi Bahasa Asing St Pignatelli,Swasta,1,-,Perguruan Tinggi Swasta,LLDIKTI VI,064013  ,abapignatelli@gmail.com,0271-715333,0271-715333, www.abapignatelli.ac.id,Karangasem Laweyan Po Box 227 ,ABA Pignatelli,57101,Tidak Diisi,-7.553508,110.777284,1968-01-16T00:00:00Z,1968-01-16T00:00:00Z,12,-,-
DCgXtjLHNH2nm1Zd4_ks2XebKRnwtEljmHNxBpiIRu9GWFrjPQrcYkz3bhKNhKrunlMYiQ==,Kota Banda Aceh,Prov. Aceh,Baik,STTIT,Aktif,Sekolah Tinggi Teknik Iskandar Thani,Swasta,3,2.400.000 - 30.000.000,Perguruan Tinggi Swasta,LLDIKTI XIII,133007  ,universitasiskandarthani@gmail.com,065127545,065127545,sttit.ac.id,Jl. Alue Naga Desa Tibang Banda Aceh,STTIT,12345,Tidak Diisi,0.0,0.0,1987-04-27T00:00:00Z,1987-04-27T00:00:00Z,184SKSKPPSKOP-11987,Baik,-
cAuUbjjPre-aBUaKX-XF2KswCr-X-LBskAYQtdfv1IHd72n0ey_r5p0Q6VytS6w659OtNA==,Kota Medan,Prov. Sumatera Utara,-,-,Alih Bentuk,Akademi Kebidanan Imelda,Swasta,1,-,Perguruan Tinggi Swasta,LLDIKTI I,014056  ,-,061-6610072,-,-,Jalan Bilal No 24 ,-,20239,Kec. Medan Timur,0.0,0.0,2002-05-13T00:00:00Z,2002-05-13T00:00:00Z,82/D/O/2002,-,-
dOM_0vCJXX3Ep3fXuu74yYmN1bDHnaX53zsKVpE7h-ajd5fdQZSPO7MblSIjTJpQM6Nzng==,Kota Jayapura,Prov. Papua,B,Uningrat Papua,Aktif,Universitas Doktor Husni Ingratubun Papua,Swasta,9,3.000.000 - 3.000.000,Perguruan Tinggi Swasta,LLDIKTI XIV,141017  ,humas@uningratpapua.ac.id,-,-,www.uningratpapua.ac.id,-,Uningrat Papua,-,Tidak Diisi,-2.6003775,140.6764126,2023-03-08T00:00:00Z,2023-03-08T00:00:00Z,262/E/O/2023,B,-
LS7NCnRlGfb_Up9cyty3lhH-Khi8ZHkawujBAmGgR38LtDIX-E3d2YsRp0T8-V-P672fNg==,Kab. Mandailing Natal,Prov. Sumatera Utara,-,AKADEMI KEBIDANAN NA,Alih Bentuk,Akademi Kebidanan Namira Madina Panyabungan,Swasta,1,-,Perguruan Tinggi Swasta,LLDIKTI I,014173  ,namiramadina2007@gmail.com,0636321875,0636321875,www.akbid-namiramadina.ac.id,Jl BHAYANGKARA NO. 125 GUNUNG TUA LUMBAN PASIR. PANYABUNGAN,AKADEMI KEBIDANAN NA,22918,Kec. Panyabungan Kota,0.0,0.0,2007-06-14T00:00:00Z,2017-07-26T00:00:00Z,415/KPT/I/2017,-,-
hhEu4M24fGgcF-Ar7_S98YiJfu_9HOitG_ek1lU7v2wxgFSZfVtrhuClzKtYmFBzzPuAJA==,Kab. Bantul,Prov. D.I. Yogyakarta,-,Stikes Alma Ata Yogy,Alih Bentuk,Sekolah Tinggi Ilmu Kesehatan Alma Ata Yogyakarta,Swasta,4,-,Perguruan Tinggi Swasta,LLDIKTI V,053036  ,stikes@almaata.ac.id,(0274)4342288,(0274)4342269,www.almaata.ac.id,Jalan Ringroad Barat Daya No 1 Tamantirto,Stikes Alma Ata Yogy,55011,Kec. Kasihan,0.0,0.0,2006-06-29T00:00:00Z,2006-06-29T00:00:00Z,108DO2006,-,-
