institution_code,institution_name,body_type,link,fee,student_amount,lecturer_amount,contact,description,unknown_field
quipper-11,Institut Agama Kristen Negeri Ambon,Institut Negeri,https://campus.quipper.com/directory/institut-agama-kristen-negeri-ambon,Rp0-Rp1.500.000 per semester,1118,108,"{""website"": ""www.iaknambon.ac.id"", ""email"": ""info@iaknambon.ac.id"", ""phone"": ""0911-346161""}","Sebelum berubah status menjadi institut pada tahun 2018, Institut Agama Kristen Negeri (IAKN) Ambon sempat terdaftar sebagai Akademi Pendidikan Guru Agama Kristen yang kemudian berganti nama menjadi Sekolah Tinggi Agama Kristen Protestan Negeri Ambon di tahun 1999. Saat ini, IAKN Ambon memiliki tiga fakultas yang mengelola program sarjana (S1) yakni Fakultas Ilmu Pendidikan Kristen, Fakultas Ilmu Sosial Keagamaan, dan Fakultas Seni Keagamaan. Selain program S1, IAKN juga membuka program Pascasarjana untuk jenjang magister (S2) dan doktor (S3).",{}
quipper-12,Universitas Trilogi,Universitas Swasta,https://campus.quipper.com/directory/universitas-trilogi,Rp4.000.000 - Rp8.750.000 per semester,3011,92,"{""website"": ""www.trilogi.ac.id"", ""email"": ""info@trilogi.ac.id"", ""phone"": ""021-7980011""}","Universitas Trilogi merupakan pengembangan dari Sekolah Tinggi Ilmu Ekonomi Keuangan dan Perbankan Indonesia (STEKPI), yang didirikan pada tahun 1988 dan bernaung dibawah Yayasan Pengembangan Pendidikan Indonesia Jakarta (YPPIJ). Saat ini, Universitas Trilogi telah terakreditasi B oleh Badan Akreditasi Nasional Perguruan Tinggi (BAN-PT) dan memiliki 12 program studi. Selain itu, Universitas Trilogi juga memiliki komitmen yang dikenal dengan tiga pilar yaitu pengembangan kewirausahaan berbasis penguasaan teknologi (teknopreneur), kemampuan bekerjasama dan mengelola teamwork yang solid serta jejaring yang luas (kolaborasi), dan kemandirian.",{}
quipper-13,Universitas PGRI Kanjuruhan Malang,Universitas Swasta,https://campus.quipper.com/directory/universitas-pgri-kanjuruhan-malang,Rp3.400.000 per semester,4003,216,"{""website"": ""www.unikama.ac.id"", ""email"": ""email@unikama.ac.id"", ""phone"": ""(+62341) 801488""}","Universitas PGRI Kanjuruhan Malang atau UNIKAMA adalah pengembangan dari Institut Keguruan dan Ilmu Pendidikan Persatuan Guru Republik Indonesia (IKIP PGRI) Malang dan Sekolah Tinggi Bahasa Asing (STIBA) Kanjuruhan Malang. Perguruan tinggi ini bernaung di bawah Perkumpulan Pembina Lembaga Pendidikan Perguruan Tinggi Persatuan Guru Republik Indonesia yang disingkat PPLP PT PGRI Malang. Saat ini, UNIKAMA memiliki enam fakultas yaitu Fakultas Ilmu Pendidikan (FIP), Fakultas Sains & Teknologi (FST), Fakultas Ekonomika dan Bisnis (FEB), Fakultas Hukum (FH), Fakultas Bahasa dan Sastra (FBS), dan Fakultas Peternakan (F.Pet). Selain itu, universitas ini juga menyelenggarakan Program Pascasarjana dan Program Pendidikan Profesi Guru.",{}
quipper-14,STIKes Muhammadiyah Cirebon,Sekolah Tinggi Swasta,https://campus.quipper.com/directory/stikes-muhammadiyah-cirebon,Rp5.500.000-Rp18.100.000 per-semester,309,27,"{""website"": ""STIKesmuhcrb.ac.id"", ""email"": ""info@STIKesmuhcrb.ac.id"", ""phone"": ""0231-490677""}","STIKes Muhammadiyah Cirebon adalah salah satu Amal Usaha Muhammadiyah (AUM) yang berdiri sejak 31 Juli 2006 sebagai bentuk transformasi dari Akademi Kebidanan Muhammadiyah Cirebon. Sebagai kampus Muhammadiyah, STIKes Muhammadiyah Cirebon memiliki Catur Darma Perguruan Tinggi sebagai fungsi keberadaannya sebagai institusi Perguruan Tinggi yaitu Pendidikan dan Pengajaran, Penelitian, Pengabdian kepada Masyarakat dan Al-Islam Kemuhammadiyahan. Awal pendirian STIKes Muhammadiyah Cirebon berangkat dari prinsip persyarikatan Muhammadiyah sebagai gerakan Islam amar ma’ruf nahi munkar yang bergerak di bidang pendidikan kesehatan dan kesejahteraan sosial.",{}
quipper-15,Universitas Sahid,Universitas Swasta,https://campus.quipper.com/directory/universitas-sahid,Rp4.850.000 - Rp10.600.000 per semester,4148,127,"{""website"": ""www.usahid.ac.id"", ""email"": ""daftar@usahid.ac.id"", ""phone"": ""(021)83785303/304, (021)8312813/15 ext 104""}","Universitas Sahid (Usahid) merupakan perguruan tinggi yang didirikan pada 14 Maret 1988. Usahid menyelenggarakan berbagai jenjang pendidikan mulai dari diploma hingga profesi. Adapun program studi yang disediakan antara lain D3 Broadcasting (Humas), S1 Manajemen, S1 Teknik Lingkungan, S1 Gizi, dan S3 Ilmu Komunikasi. Silakan simak informasi berikut, untuk mengetahui lebih banyak hal terkait kampus ini!",{}
quipper-16,Universitas Bunda Mulia (UBM),Universitas Swasta,https://campus.quipper.com/directory/universitas-bunda-mulia-ubm,Rp9.000.000-Rp11.500.000 per-semester,8441,316,"{""website"": ""www.ubm.ac.id"", ""email"": ""info@ubm.ac.id"", ""phone"": ""021-6909090, 021-80821428""}","Kampus unggulan Universitas Bunda Mulia (UBM) yang berada di bawah Yayasan Pendidikan Bunda Mulia ini telah sukses berkiprah selama 34 tahun di bidang pendidikan negeri ini, lho, Quipperian.",{}
quipper-17,Institut Agama Kristen Negeri Manado,Institut Negeri,https://campus.quipper.com/directory/institut-agama-kristen-negeri-manado,Rp400.000-Rp2.000.000 per semester,2526,100,"{""website"": ""www.iaknmanado.ac.id"", ""email"": ""info@iaknmanado.ac.id"", ""phone"": ""0431-831732""}","Institusi Agama Kristen Negeri (IAKN) Manado didirikan pada tahun 1949 dengan tujuan untuk memberikan pendidikan agama Kristen yang berkualitas kepada masyarakat. Sebelumnya, kampus ini dikenal sebagai Sekolah Tinggi Agama Kristen Negeri (STAKN) Manado. IAKN Manado menawarkan beberapa program studi yaitu teologi, pendidikan agama Kristen, serta seni dan ilmu keagamaan Kristen untuk jenjang sarjana dan pascasarjana.",{}
quipper-18,Universitas Budi Luhur (UBL),Universitas Swasta,https://campus.quipper.com/directory/universitas-budi-luhur,Rp11.500.000 per semester,10772,445,"{""website"": ""www.budiluhur.ac.id"", ""email"": ""info@budiluhur.ac.id"", ""phone"": ""021-5853753""}","Universitas Budi Luhur adalah hasil integrasi antara Sekolah Tinggi Manajemen Informatika dan Komputer Budi Luhur, Sekolah Tinggi Ilmu Ekonomi Budi Luhur, Sekolah Tinggi Ilmu Sosial dan Ilmu Politik Budi Luhur, dan Sekolah Tinggi Teknik Budi Luhur. Universitas Budi Luhur juga menjalin kerja sama dengan lembaga pendidikan luar negeri, lho, misalnya dengan Hoogeschool Zeeland, University of Canberra, dan Guizhou University of Finance and Economic.",{}
quipper-19,Sekolah Tinggi Teologi Amanat Agung,Sekolah Tinggi Swasta,https://campus.quipper.com/directory/sekolah-tinggi-teologi-amanat-agung,Rp20.000.000 - Rp32.000.000 (selama masa studi),79,19,"{""website"": ""sttaa.ac.id"", ""email"": ""sttaa@sttaa.ac.id"", ""phone"": ""021 5835 7685""}",Sekolah Tinggi Teologi (STT) Amanat Agung adalah lembaga pendidikan teologi yang didirikan oleh Sinode Gereja Kristus Yesus pada tahun 1997 dengan misi menghasilkan pekerja-pekerja bermutu bagi pekerjaan di ladang Tuhan. Sekolah tinggi ini berkomitmen untuk mempersiapkan dan menghasilkan rohaniwan berwawasan Pastor-Theologian.,{}
quipper-20,Sekolah Tinggi Ilmu Komunikasi Almamater Wartawan Surabaya,Sekolah Tinggi Swasta,https://campus.quipper.com/directory/sekolah-tinggi-ilmu-komunikasi-almamater-wartawan-surabaya,Rp950.000 - Rp1.050.000 per bulan,417,15,"{""website"": ""www.stikosa-aws.ac.id"", ""email"": ""info@stikosa-aws.ac.id"", ""phone"": ""031-5967164""}","Sekolah Tinggi Ilmu Komunikasi Almamater Wartawan Surabaya didirikan pada tahun 1964 dengan nama Akademi Wartawan Surabaya. Seiring berjalannya waktu, pada tahun 1984 akademi tersebut berkembang menjadi Sekolah Tinggi Ilmu Komunikasi Massa (Stikosa)-Almamater Wartawan Surabaya (AWS). Saat ini, Stikosa-AWS hanya menyediakan satu program studi yakni S1 Ilmu Komunikasi.",{}
quipper-21,STIKES Yayasan RS Dr. Soetomo,Sekolah Tinggi Swasta,https://campus.quipper.com/directory/stikes-yayasan-rs-dr-soetomo,Rp5.500.000-Rp6.500.000 per semester,429,24,"{""website"": ""www.stikes-yrsds.ac.id"", ""email"": ""humas@stikes-yrsds.ac.id"", ""phone"": ""031-59181757""}","Sekolah Tinggi Ilmu Kesehatan Yayasan RSUD Dr. Soetomo (STIKES Yayasan RS Dr. Soetomo) Surabaya adalah perguruan tinggi swasta yang berada di bawah naungan Yayasan RSUD Dr. Soetomo Surabaya. Pada awal didirikan, kampus ini bernama Akademi Perekam Medis dan Informatika Kesehatan (APIKES) PENA HUSADA SURABAYA. Seiring berkembangnya waktu, APIKES berubah menjadi STIKES dan saat ini memiliki dua jenjang pendidikan yaitu program diploma dan sarjana.",{}
quipper-22,Universitas Kadiri,Universitas Swasta,https://campus.quipper.com/directory/universitas-kadiri,Rp3.350.000-Rp8.750.000 per semester,5906,278,"{""website"": ""www.unik-kediri.ac.id"", ""email"": ""rektor@unik-kediri.ac.id"", ""phone"": ""0354-771649""}","Universitas Kadiri didirikan pada 28 Juli 1980 dan merupakan kampus tertua di wilayah Kediri Raya. Pilihan bidang ilmu yang tersedia di kampus ini sangat beragam, mulai dari teknik, ekonomi, pertanian, sosial dan politik, kesehatan, hingga hukum. Secara keseluruhan, Universitas Kadiri memiliki 6 fakultas dengan 23 program studi untuk jenjang sarjana, pascasarjana, dan profesi.",{}
quipper-23,Politeknik Manufaktur Bandung,Politeknik Negeri,https://campus.quipper.com/directory/politeknik-manufaktur-bandung,Rp500.000 - Rp9.000.000 per semester,1205,94,"{""website"": ""www.polman-bandung.ac.id"", ""email"": ""infopmb@polman-bandung.ac.id"", ""phone"": ""022-2500241""}","Politeknik Manufaktur Bandung atau yang dikenal dengan nama Polman Bandung merupakan salah satu perguruan tinggi negeri vokasi dan politeknik negeri pertama di Indonesia. Saat awal berdiri, politeknik ini bernama Politeknik Mekanik Swiss (PMS-ITB). Pendirian PMS-ITB di tahun 1976 merupakan salah satu hasil perjanjian kerja sama antara Pemerintah Republik Indonesia dengan Pemerintah Konfederasi Swiss. Program studi yang pertama kali dibuka di kampus ini adalah Teknik Pembuatan Perkakas Presisi, Teknik Pemeliharaan Mesin, dan Teknik Gambar.",{}
quipper-24,Universitas Katolik Darma Cendika,Universitas Swasta,https://campus.quipper.com/directory/universitas-katolik-darma-cendika,Rp4.800.000-Rp6.600.000 per semester,912,63,"{""website"": ""www.ukdc.ac.id"", ""email"": ""pmb@ukdc.ac.id"", ""phone"": ""031-5914157, 5946482""}","Universitas Katolik Darma Cendika (UKDC) merupakan perguruan tinggi swasta katolik yang didirikan oleh Yayasan Darma Cendika pada tahun 1986. Pendirian universitas ini bertujuan untuk memberikan pendidikan yang terjangkau bagi masyarakat kurang mampu. UKDC memiliki komitmen untuk menjalankan visi dan misi menjadi universitas yang unggul dengan menyelenggarakan pendidikan characterpreneurship di Indonesia. Langkah tersebut dilakukan UKDC sebagai upaya dalam memberikan kontribusi bagi dunia usaha dan industri di Indonesia dengan menghasilkan lulusan yang memiliki jiwa wirausaha dan memiliki 3 core value: jujur, tanggung jawab, dan peduli.",{}
quipper-25,Universitas Dr Soetomo,Universitas Swasta,https://campus.quipper.com/directory/universitas-dr-soetomo,Rp3.600.000 per semester,8481,238,"{""website"": ""www.unitomo.ac.id"", ""email"": ""humas@unitomo.ac.id"", ""phone"": ""031-5925970""}","Universitas Dr. Soetomo (Unitomo) sudah berdiri sejak tahun 1981, lho Quipperian! Kampus ini terkenal dengan predikatnya sebagai kampus kebangsaan dan kerakyatan. Adapun, menurut survei yang dilakukan oleh 4icu.org, Universitas Dr. Soetomo menempati peringkat 194 universitas yang ada di Indonesia. Saat ini, Unitomo memiliki 9 fakultas dengan 27 program studi. Bagi kalian yang penasaran dengan universitas ini, yuk simak informasi berikut!",{}
quipper-26,Institut Agama Islam Negeri Metro (IAIN Metro),Institut Negeri,https://campus.quipper.com/directory/institut-agama-islam-negeri-metro-iain-metro,Rp1.800.000 - Rp3.400.000 per semester,6524,265,"{""website"": ""www.metrouniv.ac.id"", ""email"": ""iainmetro@metrouniv.ac.id"", ""phone"": ""0725-47297, 41507""}","Cikal bakal berdirinya Institut Agama Islam Negeri (IAIN) Metro tidak terlepas dari sejarah berdirinya IAIN Raden Intan di Bandar Lampung pada tahun 1996. Awalnya, IAIN Metro adalah sebuah fakultas yang merupakan bagian dari IAIN Raden Intan, tetapi berdasarkan surat keputusan presiden nomor 11 tahun 1997 ditetapkan bahwa fakultas di luar induk berubah menjadi Sekolah Tinggi Agama Islam Negeri (STAIN). Dengan begitu, terbentuklah STAIN Jurai Siwo Metro yang merupakan cikal bakal IAIN Metro. Seiring berjalannya waktu, di tahun 2016, STAIN Jurai Siwo Metro berubah status menjadi IAIN Metro. Saat ini, IAIN Metro menyediakan empat fakultas yaitu Fakultas Tarbiyah dan Ilmu Keguruan, Fakultas Ushuluddin Adab dan Dakwah, Fakultas Ekonomi dan Bisnis Islam, serta Fakultas Syariah.",{}
quipper-27,Universitas Raharja,Universitas Swasta,https://campus.quipper.com/directory/universitas-raharja,Rp6.050.000 per Semester,2499,484,"{""website"": ""www.raharja.ac.id"", ""email"": ""ppmb@raharja.info"", ""phone"": ""021 - 5529692, 5529586, 08159146745""}","Pada tahun 1994, Yayasan Nusantara mendirikan Lembaga Pendidikan dan Pelatihan Komputer (LPPK) Raharja yang diresmikan oleh Walikota Tangerang saat itu, Drs.H.Djakaria Machmud. Lembaga ini mempelopori penggunaan operating system Windows beserta aplikasinya di wilayah Tangerang dan sekitarnya.",{}
quipper-28,Universitas dr. Soebandi,Universitas Swasta,https://campus.quipper.com/directory/universitas-dr-soebandi,Rp1.500.000-Rp8.050.000 per semester,2306,87,"{""website"": ""www.uds.ac.id"", ""email"": ""info@uds.ac.id"", ""phone"": ""0331-483536""}","Awal mula berdirinya, kampus ini bernama Sekolah Tinggi Ilmu Kesehatan (STIKES) Bhakti Negara di bawah naungan Yayasan Pendidikan Jember International School. Berbekal restu dari ahli waris keluarga dr. Soebandi yaitu putri ketiganya yang bernama dr. Widorini, Yayasan Jember International School mengajukan perubahan nama kepada Ditjen Dikti dari STIKES Bhakti Negara menjadi STIKES dr. Soebandi sebagai bentuk penghargaan kepada pahlawan Jember tersebut. Di tahun 2018, Akademi Kebidanan dr. Soebandi yang diselenggarakan oleh Yayasan Nasional Amanah Bangsa memutuskan untuk bergabung dengan STIKES dr. Soebandi. Berselang dua tahun kemudian tepatnya di tahun 2020, kampus ini resmi bertransformasi menjadi Universitas dr. Soebandi.",{}
quipper-29,Politeknik Pariwisata Bali,Politeknik Negeri,https://campus.quipper.com/directory/politeknik-pariwisata-bali,Rp2.350.000 per semester,1620,110,"{""website"": ""www.ppb.ac.id"", ""email"": ""info@ppb.ac.id"", ""phone"": ""+62361773537""}","Politeknik Pariwisata Bali merupakan perguruan tinggi negeri yang didirikan pada tahun 1978 dengan nama Sekolah Tinggi Pariwisata Nusa Dua Bali. Namun, pada tahun 2019, sekolah tinggi tersebut resmi alih status menjadi Politeknik Pariwisata Bali. Politeknik ini berada di bawah naungan Kementerian Pariwisata dan Ekonomi Kreatif dan menyediakan 11 program studi yang terdiri atas delapan program vokasi, dua program sarjana, serta satu program pascasarjana.",{}
quipper-30,Sekolah Tinggi Ilmu Ekonomi YAPAN Surabaya,Sekolah Tinggi Swasta,https://campus.quipper.com/directory/sekolah-tinggi-ilmu-ekonomi-yapan-surabaya,Rp3.000.000 kisaran per semester,356,38,"{""website"": ""www.stieyapan.ac.id"", ""email"": ""info@stieyapan.ac.id"", ""phone"": ""031-8721694""}","Sekolah Tinggi Ilmu Ekonomi (STIE) YAPAN Surabaya berdiri pada bulan Agustus tahun 2001 di bawah naungan Yayasan Palapa Nusantara dengan membuka 2 program studi sarjana (S1) yaitu Manajemen dan Akuntansi. Kedua program studi tersebut telah terakreditasi Baik oleh BAN-PT, lho. Selain jenjang sarjana, kampus ini juga membuka program studi magister (S2) Manajemen.",{}
quipper-31,Politeknik Kesehatan Kementerian Kesehatan Jakarta II,Politeknik Negeri,https://campus.quipper.com/directory/politeknik-kesehatan-kementerian-kesehatan-jakarta-ii,Rp6.000.000 per semester,2126,149,"{""website"": ""http://www.poltekkesjkt2.ac.id/"", ""email"": ""info@poltekkesjkt2.ac.id"", ""phone"": ""021-7397641, 021-7397643""}","Ilmu kesehatan merupakan salah satu disiplin ilmu yang memiliki turunan yang cukup banyak. Pada Politeknik Kesehatan Kementerian Kesehatan Jakarta II, penjurusan ilmu kesehatan terbagi ke dalam jenjang D3 dan jenjang D4. Ragam pilihan program studi ini menjadikan kampus ini sebagai pilihan tepat untuk menempuh pendidikan apabila nantinya Quipperian ingin berkarier di bidang kesehatan.",{}
quipper-32,Universitas Advent Indonesia,Universitas Swasta,https://campus.quipper.com/directory/universitas-advent-indonesia,Rp7.365.000 - Rp20.155.000 per semester,1910,89,"{""website"": ""www.unai.edu"", ""email"": ""publicrelations@unai.edu"", ""phone"": ""(+62)877-8391-8408""}","Universitas Advent Indonesia (UNAI) didirikan pada tahun 1949 dengan nama Indonesia Union Seminary (IUS). Lalu pada tahun 1960, IUS diganti nama menjadi Perguruan Tinggi Advent dan resmi terdaftar di pemerintah pada tahun 1962. Kemudian pada tahun 1970 terdapat perubahan nama dari Perguruan Tinggi Advent menjadi Institut Theologia dan Keguruan Advent (ITKA). Namun, pada tahun 1982 berubah lagi menjadi Universitas Advent Indonesia (UNAI) yang kita kenal sekarang. Saat ini, UNAI memiliki 6 fakultas dan program pascasarjana yang terdiri atas berbagai bidang keilmuan.",{}
quipper-33,STKIP Bina Insan Mandiri,Sekolah Tinggi Swasta,https://campus.quipper.com/directory/stkip-bina-insan-mandiri,Rp600.000 per bulan,684,63,"{""website"": ""www.stkipbim.ac.id"", ""email"": ""admin@stkipbim.ac.id"", ""phone"": ""031-7671122, 031-7404404""}","Terbentuknya Sekolah Tinggi Keguruan dan Ilmu Pendidikan (STKIP) Bina Insan Mandiri berawal dari penyerahan STKIP PGRI Mojokerto kepada Perkumpulan Pengelola Pendidikan Bina Insan Mandiri di tahun 2004. Pergantian nama kampus menjadi STKIP Bina Insan Mandiri dilaksanakan pada tanggal 12 April 2005. Sejak berdiri hingga tahun 2022, STKIP Bina Insan Mandiri telah meluluskan lebih dari 3000 alumni, lho.",{}
quipper-34,Universitas Kristen Petra,Universitas Swasta,https://campus.quipper.com/directory/universitas-kristen-petra,Rp6.000.000 - Rp22.000.000 per semester,7260,348,"{""website"": ""www.petra.ac.id"", ""email"": ""info@petra.ac.id"", ""phone"": ""031-8439040""}","Quipperian, Universitas Kristen Petra (UK Petra) merupakan salah satu kampus swasta terbaik di Indonesia dan telah mendapatkan akreditasi dari Badan Akreditasi Nasional (BAN PT) dengan nilai A. Kampus yang bertempat di Kota Surabaya ini memiliki delapan fakultas yang terdiri dari berbagai bidang keilmuan, mulai dari teknik, ekonomi, keguruan, hingga bidang seni. Tentunya ini akan memberi banyak pilihan bagi Quipperian yang ingin melanjutkan pendidikannya di universitas ini.",{}
