faculty,prodi,institution_code
Fakultas Bisnis dan Ekonomika,Akuntansi,quipper-6
Fakultas Bisnis dan Ekonomika,Manajemen,quipper-6
Fakultas Bisnis dan Ekonomika,Ekonomi Pembangunan,quipper-6
Fakultas Ilmu Sosial dan Politik,Sosiologi,quipper-6
Fakultas Ilmu Sosial dan Politik,Ilmu Komunikasi,quipper-6
Program Internasional,International Industrial Engineering Program,quipper-6
Program Internasional,International Civil Engineering Program,quipper-6
Program Internasional,International Undergraduate Program in Business Accounting,quipper-6
Program Internasional,International Business Management Program,quipper-6
Program Internasional,International Communication Program.,quipper-6
Fakultas Ilmu Vokasi,Keperawatan,quipper-7
Fakultas Ilmu Vokasi,Keperawatan Anestesiologi,quipper-7
Fakultas Ilmu Vokasi,Keselamatan dan Kesehatan Kerja,quipper-7
Fakultas Ilmu Vokasi,Pengobatan Tradisional Tiongkok,quipper-7
Fakultas Ilmu Sosial dan Teknologi,Bisnis Digital,quipper-7
Fakultas Ilmu Sosial dan Teknologi,Manajemen Ritel,quipper-7
Fakultas Ilmu Kesehatan,Farmasi,quipper-7
Fakultas Ilmu Kesehatan,Administrasi Kesehatan,quipper-7
Fakultas Ilmu Kesehatan,Keperawatan,quipper-7
Fakultas Ilmu Kesehatan,Kebidanan,quipper-7
Fakultas Ilmu Kesehatan,Fisioterapi,quipper-7
Fakultas Ilmu Kesehatan,Gizi,quipper-7
Fakultas Ilmu Kesehatan,Ners,quipper-7
Fakultas Ilmu Kesehatan,Bidan,quipper-7
Syariah,Hukum Keluarga Islam,quipper-8
Syariah,Hukum Ekonomi Syariah,quipper-8
Syariah,Ilmu Falak,quipper-8
Tarbiyah dan Keguruan,Pendidikan Bahasa Arab (B),quipper-8
Tarbiyah dan Keguruan,Pendidikan Bahasa Inggris (Baik),quipper-8
Tarbiyah dan Keguruan,Pendidikan IPS (Baik Sekali),quipper-8
Tarbiyah dan Keguruan,Pendidikan IPA Biologi (Baik Sekali),quipper-8
Tarbiyah dan Keguruan,Pendidikan Fisika (Baik),quipper-8
Tarbiyah dan Keguruan,Pendidikan Kimia (Baik),quipper-8
Tarbiyah dan Keguruan,Pendidikan Matematika (B),quipper-8
Tarbiyah dan Keguruan,Pendidikan Profesi Guru (Baik),quipper-8
Dakwah dan Ilmu Komunikasi,Bimbingan Konseling Islam,quipper-8
Dakwah dan Ilmu Komunikasi,Komunikasi Penyiaran Islam,quipper-8
Dakwah dan Ilmu Komunikasi,Manajemen Dakwah,quipper-8
Dakwah dan Ilmu Komunikasi,Pengembangan Masyarakat Islam,quipper-8
Ekonomi dan Bisnis Islam,Ekonomi Syariah,quipper-8
Ekonomi dan Bisnis Islam,Pariwisata Syariah,quipper-8
Ekonomi dan Bisnis Islam,Perbankan Syariah,quipper-8
Ushuluddin dan Studi Agama,Ilmu Qur’an dan Tafsir,quipper-8
Ushuluddin dan Studi Agama,Pemikiran Politik Islam,quipper-8
Ushuluddin dan Studi Agama,Sosiologi Agama,quipper-8
Pascasarjana,Pendidikan Agama Islam,quipper-8
Pascasarjana,Hukum Keluarga Islam,quipper-8
Pascasarjana,Komunikasi dan Penyiaran Islam,quipper-8
Pascasarjana,Pendidikan Bahasa Arab,quipper-8
Pascasarjana,Manajemen Pendidikan Islam,quipper-8
Pascasarjana,Ekonomi Syariah,quipper-8
Pascasarjana,Pendidikan Agama Islam,quipper-8
Sarjana,Manajemen,quipper-10
Sarjana,Akuntansi,quipper-10
Magister,Manajemen,quipper-10
Diploma,Akuntansi,quipper-10
Diploma,Manajemen Perusahaan,quipper-10
"Fakultas Sains, Teknologi, dan Desain",Agribisnis,quipper-12
"Fakultas Sains, Teknologi, dan Desain",Desain Komunikasi Visual,quipper-12
"Fakultas Sains, Teknologi, dan Desain",Desain Produk Industri,quipper-12
"Fakultas Sains, Teknologi, dan Desain",Ilmu dan Teknologi Pangan,quipper-12
"Fakultas Sains, Teknologi, dan Desain",Sistem Informasi,quipper-12
"Fakultas Sains, Teknologi, dan Desain",Teknik Informatika,quipper-12
"Fakultas Ekonomi, Bisnis, dan Humaniora",Manajemen,quipper-12
"Fakultas Ekonomi, Bisnis, dan Humaniora",Akuntansi,quipper-12
"Fakultas Ekonomi, Bisnis, dan Humaniora",Ekonomi Pembangunan,quipper-12
"Fakultas Ekonomi, Bisnis, dan Humaniora",Pendidikan Guru Sekolah Dasar,quipper-12
"Fakultas Ekonomi, Bisnis, dan Humaniora",Pendidikan Guru Pendidikan Anak Usia Dini,quipper-12
Profesi,Bidan,quipper-14
Sarjana,Farmasi,quipper-14
Sarjana,Kebidanan,quipper-14
Fakultas Teknik,Teknik Lingkungan,quipper-15
Fakultas Teknik,Teknik Industri,quipper-15
Fakultas Ekonomi dan Bisnis,Manajemen,quipper-15
Fakultas Ekonomi dan Bisnis,Akuntansi,quipper-15
Fakultas Ilmu Komunikasi,Ilmu Komunikasi,quipper-15
Fakultas Ilmu Komunikasi,Broadcasting (Humas),quipper-15
Fakultas Hukum,Ilmu Hukum,quipper-15
Fakultas Teknologi Pangan & Kesehatan,Gizi,quipper-15
Fakultas Teknologi Pangan & Kesehatan,Teknologi Pangan,quipper-15
Sekolah Pascasarjana,Manajemen,quipper-15
Sekolah Pascasarjana,Ilmu Komunikasi,quipper-15
Fakultas Teknologi dan Desain,Teknik Informatika,quipper-16
Fakultas Teknologi dan Desain,Sistem Informasi,quipper-16
Fakultas Teknologi dan Desain,Teknik Industri,quipper-16
Fakultas Teknologi dan Desain,Desain Komunikasi Visual (DKV),quipper-16
Fakultas Teknologi dan Desain,Bisnis Digital,quipper-16
Fakultas Teknologi dan Desain,Data Science,quipper-16
Fakultas Ilmu Sosial dan Humaniora,Akuntansi,quipper-16
Fakultas Ilmu Sosial dan Humaniora,Manajemen,quipper-16
Fakultas Ilmu Sosial dan Humaniora,Sastra & Bahasa Asing,quipper-16
Fakultas Ilmu Sosial dan Humaniora,Sastra Inggris,quipper-16
Fakultas Ilmu Sosial dan Humaniora,Ilmu Komunikasi,quipper-16
Fakultas Ilmu Sosial dan Humaniora,Psikologi,quipper-16
Fakultas Ilmu Sosial dan Humaniora,Pariwisata,quipper-16
Akademi Pariwisata,Perhotelan,quipper-16
Bunda Mulia Long Distance Learning (BMLD),Akuntansi (Pembelajaran Jarak Jauh),quipper-16
Bunda Mulia Long Distance Learning (BMLD),Manajemen (Pembelajaran Jarak Jauh),quipper-16
Fakultas Ilmu Sosial dan Ilmu Politik,Hubungan Internasional,quipper-18
Fakultas Ilmu Sosial dan Ilmu Politik,Kriminologi,quipper-18
Fakultas Teknik,Arsitektur,quipper-18
Fakultas Teknik,Teknik Elektro,quipper-18
Fakultas Komunikasi dan Desain Kreatif,Ilmu Komunikasi,quipper-18
Fakultas Komunikasi dan Desain Kreatif,Desain Komunikasi Visual,quipper-18
Fakultas Ekonomi dan Bisnis,Manajemen,quipper-18
Fakultas Ekonomi dan Bisnis,Akuntansi,quipper-18
Fakultas Ekonomi dan Bisnis,Sekretari,quipper-18
Fakultas Ekonomi dan Bisnis,Manajemen Bencana,quipper-18
Fakultas Teknologi Informasi,Ilmu Komputer,quipper-18
Fakultas Teknologi Informasi,Sistem Informasi,quipper-18
Fakultas Teknologi Informasi,Sistem Komputer,quipper-18
Fakultas Teknologi Informasi,Teknik Informatika,quipper-18
Fakultas Teknologi Informasi,Manajemen Informatika,quipper-18
Fakultas Teknologi Informasi,Komputerisasi Akuntansi,quipper-18
Sarjana,Teologi,quipper-19
Magister,Teologi,quipper-19
Magister,Ministri,quipper-19
Magister,Divinitas,quipper-19
Ilmu Sosial dan Ilmu Politik,Administrasi Publik,quipper-22
Teknik,Teknik Elektromedis,quipper-22
Teknik,Teknik Sipil,quipper-22
Teknik,Teknik Industri,quipper-22
Pertanian,Agroteknologi,quipper-22
Pertanian,Agribisnis,quipper-22
Ilmu Kesehatan,Kebidanan,quipper-22
Ilmu Kesehatan,Keperawatan,quipper-22
Ilmu Kesehatan,Teknologi Laboratorium Medis,quipper-22
Ilmu Kesehatan,Farmasi,quipper-22
Ilmu Kesehatan,Kesehatan Masyarakat,quipper-22
Ekonomi dan Bisnis,Akuntansi Sektor Publik,quipper-22
Ekonomi dan Bisnis,Ekonomi Pembangunan,quipper-22
Ekonomi dan Bisnis,Manajemen,quipper-22
Hukum,Hukum,quipper-22
Jurusan Teknik Manufaktur,Teknik Manufaktur,quipper-23
Fakultas Ekonomi,Manajemen,quipper-24
Fakultas Ekonomi,Akuntansi,quipper-24
Fakultas Hukum,Ilmu Hukum,quipper-24
Fakultas Teknik,Akunpunktur dan Pengobatan Herbal,quipper-24
Fakultas Teknik,Teknik Industri,quipper-24
Fakultas Teknik,Informatika,quipper-24
Fakultas Teknik,Arsitektur,quipper-24
Ilmu Komunikasi,Ilmu Komunikasi,quipper-25
Ekonomi dan Bisnis,Manajemen,quipper-25
Ekonomi dan Bisnis,Akuntansi,quipper-25
Ekonomi dan Bisnis,Ekonomi Pembangunan,quipper-25
Sastra,Sastra Jepang,quipper-25
Sastra,Sastra Inggris,quipper-25
Hukum,Ilmu Hukum,quipper-25
Ilmu Kesehatan,Kebidanan,quipper-25
Ilmu Kesehatan,Teknologi Bank Darah,quipper-25
Ilmu Administrasi,Ilmu Administrasi Negara,quipper-25
Ilmu Administrasi,Ilmu Administrasi Niaga,quipper-25
Ilmu Administrasi,Ilmu Administrasi,quipper-25
Ilmu Administrasi,Kesekretariatan,quipper-25
Keguruan dan Ilmu Pendidikan,Pendidikan Bahasa dan Sastra Indonesia,quipper-25
Keguruan dan Ilmu Pendidikan,Pendidikan Matematika,quipper-25
Keguruan dan Ilmu Pendidikan,Pendidikan Bahasa Indonesia,quipper-25
Keguruan dan Ilmu Pendidikan,Teknologi Pendidikan,quipper-25
Pertanian,Agrobisnis Perikanan,quipper-25
Pertanian,Pemanfaatan Sumberdaya Perikanan,quipper-25
Pertanian,Teknologi Pangan,quipper-25
Pertanian,Budidaya Perairan,quipper-25
Teknik,Teknik Informatika,quipper-25
Teknik,Teknik Sipil,quipper-25
Teknik,Teknik Geomatika,quipper-25
Fakultas Sains dan Teknologi,Komputerisasi Akuntansi,quipper-27
Fakultas Sains dan Teknologi,Manajemen Informatika,quipper-27
Fakultas Sains dan Teknologi,Teknik Informatika,quipper-27
Fakultas Sains dan Teknologi,Sistem Informasi,quipper-27
Fakultas Sains dan Teknologi,Sistem Komputer,quipper-27
Fakultas Sains dan Teknologi,Pendidikan Teknologi Informasi,quipper-27
Fakultas Sains dan Teknologi,Desain Komunikasi Visual,quipper-27
Fakultas Sains dan Teknologi,Sains Data,quipper-27
Fakultas Sains dan Teknologi,Magister Teknik Informatika,quipper-27
Fakultas Ekonomi dan Bisnis,Akuntansi,quipper-27
Fakultas Ekonomi dan Bisnis,Manajemen Retail,quipper-27
Fakultas Ekonomi dan Bisnis,Bisnis Digital,quipper-27
Fakultas Ekonomi dan Bisnis,Kewirausahaan,quipper-27
Ekonomi dan Bisnis,Bisnis Digital,quipper-28
Ekonomi dan Bisnis,Kewirausahaan,quipper-28
Ilmu Kesehatan,Kebidanan,quipper-28
Ilmu Kesehatan,Teknologi Laboratorium Medis,quipper-28
Ilmu Kesehatan,Ilmu Keperawatan,quipper-28
Ilmu Kesehatan,Farmasi,quipper-28
Sarjana,Akuntansi,quipper-30
Sarjana,Manajemen,quipper-30
Magister,Manajemen,quipper-30
Kesehatan,Farmasi,quipper-31
Kesehatan,Gizi,quipper-31
Kesehatan,Pendidikan Dokter Gigi,quipper-31
Kesehatan,Kesehatan Lingkungan,quipper-31
Kesehatan,Ilmu Teknik,quipper-31
Fakultas Matematika & Ilmu Pengetahuan Alam,Biologi,quipper-32
Fakultas Matematika & Ilmu Pengetahuan Alam,Farmasi,quipper-32
Fakultas Keguruan dan Ilmu Pendidikan,Pendidikan Matematika,quipper-32
Fakultas Keguruan dan Ilmu Pendidikan,Pendidikan Bahasa Inggris,quipper-32
Fakultas Ekonomi,Akuntansi,quipper-32
Fakultas Ekonomi,Manajemen,quipper-32
Fakultas Ekonomi,Sekretari,quipper-32
Fakultas Filsafat,Ilmu Filsafat,quipper-32
Fakultas Ilmu Keperawatan,Profesi Ners,quipper-32
Fakultas Ilmu Keperawatan,Ilmu Keperawatan,quipper-32
Fakultas Ilmu Keperawatan,Keperawatan Umum,quipper-32
Fakultas Teknologi Informasi,Teknik Informatika,quipper-32
Fakultas Teknologi Informasi,Sistem Informasi,quipper-32
Pascasarjana,Ilmu Filsafat,quipper-32
Pascasarjana,Manajemen,quipper-32
Sarjana,Pendidikan Bahasa & Sastra Indonesia,quipper-33
Sarjana,Pendidikan Matematika,quipper-33
Sarjana,Pendidikan Guru Sekolah Dasar,quipper-33
Sarjana,Pendidikan Guru Pendidikan Anak Usia Dini,quipper-33
Sarjana,Pendidikan Bahasa & Sastra Inggris,quipper-33
Industrial Technology,Electrical Engineering. Internet of Things,quipper-34
Industrial Technology,Sustainable Mechanical Engineering and Design,quipper-34
Industrial Technology,Automotive Industrial Engineering,quipper-34
Industrial Technology,Global Logistics and Supply Chain,quipper-34
Industrial Technology,International Business Engineering,quipper-34
Industrial Technology,Informatics,quipper-34
Industrial Technology,Business Information System,quipper-34
Industrial Technology,Data Science and Analytics,quipper-34
Teacher Education,Elementary Teacher Education,quipper-34
Teacher Education,Early Childhood Teacher Education,quipper-34
School of Business and Management,Creative Tourism,quipper-34
School of Business and Management,Hotel Management,quipper-34
School of Business and Management,Finance and Investment,quipper-34
School of Business and Management,Marketing Management,quipper-34
School of Business and Management,Business Management,quipper-34
School of Business and Management,International Business Management,quipper-34
School of Business and Management,Business Accounting,quipper-34
School of Business and Management,Tax Accounting,quipper-34
School of Business and Management,International Business Accounting,quipper-34
Humanities and Creative Industries,English for Creative Industry,quipper-34
Humanities and Creative Industries,English for Business,quipper-34
Humanities and Creative Industries,Chinese,quipper-34
Humanities and Creative Industries,Interior Product Design,quipper-34
Humanities and Creative Industries,International Program in Digital Media,quipper-34
Humanities and Creative Industries,Textile and Fashion Design,quipper-34
Humanities and Creative Industries,Interior Design and Styling,quipper-34
Humanities and Creative Industries,Visual Communication Design,quipper-34
Humanities and Creative Industries,Strategic Communication,quipper-34
Humanities and Creative Industries,Broadcast and Journalism,quipper-34
Civil Engineering and Planning,Civil Engineering,quipper-34
Civil Engineering and Planning,Architecture,quipper-34
Civil Engineering and Planning,Architecture of Sustainable Housing and Real Estate,quipper-34
"Sains, Teknologi, dan Industri",Sistem dan Teknologi Informasi,quipper-36
"Sains, Teknologi, dan Industri",Rekayasa Perangkat Lunak.,quipper-36
Ekonomi dan Bisnis,Ekonomi Pembangunan,quipper-36
Ekonomi dan Bisnis,Akuntansi,quipper-36
Ekonomi dan Bisnis,Manajemen,quipper-36
Fakultas Ilmu Sosial dan Ilmu Politik,Ilmu Pemerintahan,quipper-37
Fakultas Ilmu Sosial dan Ilmu Politik,Ilmu Komunikasi,quipper-37
Fakultas Sains dan Teknologi,Teknik Informatika,quipper-37
Fakultas Sains dan Teknologi,Teknik Mesin,quipper-37
Fakultas Sains dan Teknologi,Teknik Elektro,quipper-37
Fakultas Sains dan Teknologi,Teknik Industri,quipper-37
Fakultas Ekonomi dan Bisnis,Manajemen,quipper-37
Fakultas Ekonomi dan Bisnis,Akuntansi,quipper-37
Fakultas Ekonomi dan Bisnis,,quipper-37
Sarjana,Teknik Informatika,quipper-39
Sarjana,Sistem Informasi,quipper-39
Diploma,Manajemen Informatika,quipper-39
Diploma,Komputerisasi Akuntansi,quipper-39
Kedokteran,Pendidikan Dokter,quipper-40
Hukum,Hukum,quipper-40
Pertanian dan Peternakan,Agroteknologi/Agronomi,quipper-40
Pertanian dan Peternakan,Agribisnis,quipper-40
Pertanian dan Peternakan,Teknologi Pangan,quipper-40
Pertanian dan Peternakan,Kehutanan,quipper-40
Pertanian dan Peternakan,Peternakan,quipper-40
Pertanian dan Peternakan,Akuakultur,quipper-40
Keguruan dan Ilmu Pendidikan,Pendidikan Matematika,quipper-40
Keguruan dan Ilmu Pendidikan,Pendidikan Biologi,quipper-40
Keguruan dan Ilmu Pendidikan,Pendidikan Bahasa Indonesia,quipper-40
Keguruan dan Ilmu Pendidikan,Pendidikan Pancasila dan Kewarganegaraan,quipper-40
Keguruan dan Ilmu Pendidikan,Pendidikan Bahasa Inggris,quipper-40
Keguruan dan Ilmu Pendidikan,Pendidikan Guru Sekolah Dasar,quipper-40
Ilmu Sosial dan Ilmu Politik,Ilmu Komunikasi,quipper-40
Ilmu Sosial dan Ilmu Politik,Ilmu Pemerintahan,quipper-40
Ilmu Sosial dan Ilmu Politik,Hubungan Internasional,quipper-40
Ilmu Sosial dan Ilmu Politik,Kesejahteraan Sosial,quipper-40
Ilmu Sosial dan Ilmu Politik,Sosiologi,quipper-40
Ekonomi dan Bisnis,Manajemen,quipper-40
Ekonomi dan Bisnis,Akuntansi,quipper-40
Ekonomi dan Bisnis,Ekonomi Pembangunan,quipper-40
Ekonomi dan Bisnis,Keuangan dan Perbankan,quipper-40
Agama Islam,Pendidikan Agama Islam,quipper-40
Agama Islam,Hukum Keluarga Islam- Ahwal Syakhshiyyah,quipper-40
Agama Islam,Ekonomi Syariah,quipper-40
Agama Islam,Pendidikan Bahasa Arab,quipper-40
Teknik,Teknik Mesin,quipper-40
Teknik,Teknik Sipil,quipper-40
Teknik,Teknik Industri,quipper-40
Teknik,Informatika,quipper-40
Teknik,Teknik Elektro/Teknologi Elektronika,quipper-40
Psikologi,Psikologi,quipper-40
llmu Kesehatan,Ilmu Keperawatan,quipper-40
llmu Kesehatan,Farmasi,quipper-40
llmu Kesehatan,Fisioterapi,quipper-40
Sarjana,Pendidikan Teologi,quipper-41
Profesi,Ners,quipper-42
Diploma,Keperawatan,quipper-42
Sarjana,Ilmu Keperawatan,quipper-42
Sarjana,Administrasi Rumah Sakit,quipper-42
Program Vokasi,Perpajakan,quipper-43
Program Vokasi,Administrasi Bisnis,quipper-43
Program Vokasi,Akuntansi Bisnis,quipper-43
Fakultas Ilmu Sosial dan Manajemen,Manajemen Komunikasi,quipper-43
Fakultas Ilmu Sosial dan Manajemen,Hospitality dan Pariwisata,quipper-43
Fakultas Ilmu Sosial dan Manajemen,Manajemen Logistik,quipper-43
Fakultas Ilmu Administrasi,Administrasi Publik,quipper-43
Fakultas Ilmu Administrasi,Administrasi Bisnis,quipper-43
Program Pascasarjana,Ilmu Administrasi,quipper-43
Program Diploma,Teknik Pembuatan Peralatan Perkakas Produksi,quipper-44
Program Diploma,Teknik Produksi dan Proses Manufaktur,quipper-44
Program Diploma,Manajemen Informatika,quipper-44
Program Diploma,Mesin Otomotif,quipper-44
Program Diploma,Mekatronika Teknologi Konstruksi Bangunan Gedung,quipper-44
Ilmu Ekonomi,Akuntansi,quipper-45
Ilmu Ekonomi,Manajemen,quipper-45
Fakultas Seni Pertunjukan,Seni Tari,quipper-46
Fakultas Seni Pertunjukan,Seni Musik,quipper-46
Fakultas Seni Pertunjukan,Seni Rupa Murni,quipper-46
Fakultas Seni Rupa dan Desain,Kriya Seni,quipper-46
Fakultas Seni Rupa dan Desain,Desain Komunikasi Visual,quipper-46
Fakultas Psikologi,Psikologi,quipper-47
Fakultas Psikologi,Magister Psikologi,quipper-47
Fakultas Psikologi,Profesi Psikologi,quipper-47
Fakultas Psikologi,Doktoral Psikologi,quipper-47
Fakultas Ilmu Administrasi Bisnis dan Ilmu Komunikasi,Administrasi Bisnis,quipper-47
Fakultas Ilmu Administrasi Bisnis dan Ilmu Komunikasi,Ilmu Komunikasi,quipper-47
Fakultas Ilmu Administrasi Bisnis dan Ilmu Komunikasi,Pariwisata,quipper-47
Fakultas Ilmu Administrasi Bisnis dan Ilmu Komunikasi,Ilmu Administrasi Bisnis,quipper-47
Fakultas Ekonomi dan Bisnis,Manajemen,quipper-47
Fakultas Ekonomi dan Bisnis,Akuntansi,quipper-47
Fakultas Ekonomi dan Bisnis,Ekonomi Pembangunan,quipper-47
Fakultas Teknobiologi,Bioteknologi,quipper-47
Fakultas Teknobiologi,Teknologi Pangan,quipper-47
Fakultas Kedokteran dan Ilmu Kesehatan,Kedokteran,quipper-47
Fakultas Kedokteran dan Ilmu Kesehatan,Dokter,quipper-47
Fakultas Kedokteran dan Ilmu Kesehatan,Farmasi,quipper-47
Fakultas Kedokteran dan Ilmu Kesehatan,Biomedik,quipper-47
Fakultas Teknik,Teknik Mesin,quipper-47
Fakultas Teknik,Teknik Industri,quipper-47
Fakultas Teknik,Teknik Elektro,quipper-47
Fakultas Teknik,Sistem Informasi,quipper-47
Fakultas Hukum,Ilmu Hukum,quipper-47
Fakultas Pendidikan dan Bahasa,Bimbingan dan Konseling,quipper-47
Fakultas Pendidikan dan Bahasa,Ilmu Pendidikan Teologi (Keagamaan Katolik),quipper-47
Fakultas Pendidikan dan Bahasa,Pendidikan Guru Sekolah Dasar,quipper-47
Fakultas Pendidikan dan Bahasa,Pendidikan Bahasa Inggris,quipper-47
Fakultas Pendidikan dan Bahasa,Linguistik Terapan Bahasa Inggris,quipper-47
Fakultas Psikologi dan Ilmu Sosial Budaya,Pendidikan Bahasa Inggris,quipper-49
Fakultas Psikologi dan Ilmu Sosial Budaya,Ilmu Komunikasi,quipper-49
Fakultas Psikologi dan Ilmu Sosial Budaya,Hubungan Internasional,quipper-49
Fakultas Psikologi dan Ilmu Sosial Budaya,Psikologi,quipper-49
Fakultas Teknik Sipil dan Perencanaan,Arsitektur,quipper-49
Fakultas Teknik Sipil dan Perencanaan,Teknik Sipil,quipper-49
Fakultas Teknik Sipil dan Perencanaan,Teknik Lingkungan,quipper-49
Fakultas Kedokteran,Pendidikan Dokter,quipper-49
Fakultas Ilmu Agama Islam,Ilmu Hukum,quipper-49
Fakultas Ilmu Agama Islam,Ilmu Agama Islam,quipper-49
Fakultas Ilmu Agama Islam,Ilmu Ekonomi,quipper-49
Fakultas Ilmu Agama Islam,Ekonomi Syariah,quipper-49
Fakultas Matematika dan Ilmu Pengetahuan Alam,Kimia,quipper-49
Fakultas Matematika dan Ilmu Pengetahuan Alam,Farmasi,quipper-49
Fakultas Matematika dan Ilmu Pengetahuan Alam,Statistika,quipper-49
Fakultas Hukum,Ilmu Hukum,quipper-49
Fakultas Teknologi Industri,Teknik Industri,quipper-49
Fakultas Teknologi Industri,Teknik Kimia,quipper-49
Fakultas Teknologi Industri,Teknik Elektro,quipper-49
Fakultas Teknologi Industri,Teknik Mesin,quipper-49
Fakultas Teknologi Industri,Teknik Informatika,quipper-49
Fakultas Bisnis dan Ekonomika,Ilmu Ekonomi,quipper-49
Fakultas Bisnis dan Ekonomika,Akuntansi,quipper-49
Fakultas Bisnis dan Ekonomika,Manajemen,quipper-49
Fakultas Bisnis dan Ekonomika,Ekonomi Pembangunan,quipper-49
Ilmu Kesehatan,Keperawatan,quipper-50
Ilmu Kesehatan,Kebidanan,quipper-50
Ilmu Kesehatan,Farmasi,quipper-50
Magister,Teologi,quipper-51
Sarjana,Teologi,quipper-51
Sarjana,Pendidikan Agama Kristen,quipper-51
Doktor,Teologi,quipper-51
Ilmu Kesehatan,Farmasi,quipper-52
Ilmu Kesehatan,Gizi,quipper-52
Ilmu Kesehatan,Keperawatan,quipper-52
Ilmu Kesehatan,Teknologi Laboratorium Medis,quipper-52
