id_sp,kab_kota_pt,provinsi_pt,akreditasi,nama_singkat,status_pt,nama_pt,jenis_pt,jumlah_prodi,range_biaya_kuliah,kelompok,pembina,kode_pt,email,no_tel,no_fax,website,alamat,nm_singkat,kode_pos,kecamatan_pt,lintang_pt,bujur_pt,tgl_berdiri_pt,tgl_sk_pendirian_sp,sk_pendirian_sp,akreditasi_pt,status_akreditasi
7FIPPxmbnwwBAwOX3rynbhAQtn1fsnctrQQXuuZhBnrEYQQ2Gcc3NGVw-bt6I6IBUxeNuw==,Kota Makassar,Prov. Sulawesi Selatan,Baik,STAI Al Furqan MKS,Aktif,STAI Al-Furqan Makassar  Sulawesi Selatan,Agama,6,1.500.000 - 1.500.000,Perguruan Tinggi Agama,PTA Islam Swasta,213329  ,admin1@Staialfurqanmakassar.ac.id,0411512050,125577,www.staialfurqanmakassar.ac.id,Jl.Perintis KM. 15 Daya,STAI Al Furqan MKS,90241,Tidak Diisi,-5.1048869,119.5073304,2008-01-30T00:00:00Z,2008-01-30T00:00:00Z,Dj.I/35/2008,Baik,-
t4ZfayYgaR77y76nvP6H5sIF9l-UdGu5or2B-nwN2h2_Wyycr0EsyyiqD05ELX9B256ZEA==,Kota Balikpapan,Prov. Kalimantan Timur,Baik Sekali,STIE Balikpapan,Aktif,Sekolah Tinggi Ilmu Ekonomi Balikpapan,Swasta,3,1.125.000 - 7.800.000,Perguruan Tinggi Swasta,LLDIKTI XI,113012  ,info@stiebalikpapan.ac.id,0542-8500850/424819,-,www.stiebalikpapan.ac.id,Perkampungan Pelajar Gn Pasir   Balikpapan,STIE Balikpapan,76111,Tidak Diisi,-1.252092,116.854047,1984-09-20T00:00:00Z,1984-09-20T00:00:00Z,03,Baik Sekali,-
PYVx3UeyQAmT7Z-jlxNSvMvs6WEqitJ4YGhoetgReIqQgz0qYVFPQqPbJXtyLFnqvJ2HqA==,Kota Bogor,Prov. Jawa Barat,Baik,Akatek,Aktif,Akademi Teknologi Bogor,Swasta,2,4.000.000 - 4.000.000,Perguruan Tinggi Swasta,LLDIKTI IV,044078  ,akademi_teknologi@yahoo.com,0251-8316-556,-, akatek-bogor.ac.id,Jalan Bina Marga No. 17 Bogor,Akatek,16143,Kec. Kota Bogor Timur,-6.6023333,106.8115855,1998-02-11T00:00:00Z,1998-02-11T00:00:00Z,07/D/O/1998,Baik,-
6ey2bB1ulnIzkYoDi5fy-UvsVoXa3x_U9kw2d2YLZlfCCCTkcEoRH6622_PChzWySdhbPw==,Kota Gorontalo,Prov. Gorontalo,Baik,STMIK Ichsan,Alih Bentuk,Sekolah Tinggi Manajemen Informatika dan Komputer Ichsan Gorontalo,Swasta,5,-,Perguruan Tinggi Swasta,LLDIKTI XVI,163024  ,akademik@stmik-ichsan.ac.id,085256994441,(0435) 831247,www.stmik-ichsan.ac.id,Jalan Raden Saleh No 17 ,STMIK Ichsan,96115,Tidak Diisi,0.555558,123.057075,2000-06-09T00:00:00Z,2000-06-09T00:00:00Z,86/D/O/2000,Baik,-
u5ot2DNFxfFayLijdUUmR8Aeuse0KSgqgKttu9B52JJj4ktJNK7yQHGtgvp5Yoo9GSVZQw==,Kota Payakumbuh,Prov. Sumatera Barat,Baik,STT-PAYAKUMBUH,Aktif,Sekolah Tinggi Teknologi Payakumbuh,Swasta,3,-,Perguruan Tinggi Swasta,LLDIKTI X,103080  ,stt.payakumbuh@yahoo.com,0752-796063, 0752-90063, www.sttpyk.ac.id,Khatib Sulaiman ,STT-PAYAKUMBUH,26227,Kec. Payakumbuh Selatan,-0.2491183,100.6272061,2005-07-18T00:00:00Z,2005-07-18T00:00:00Z,99DO2005,Baik,-
_X3MmAYpVxGxj1gifF5d6nBanaL0XWqqPPynYlTqEYvwEIlRjn2h3z2iYrf3_OMyN2opCg==,Kab. Tabanan,Prov. Bali,B,IKIP SARASWATI,Aktif,IKIP Saraswati,Swasta,7,3.190.000 - 3.190.000,Perguruan Tinggi Swasta,LLDIKTI VIII,082001  , ikipsaraswati@yahoo.co.id / ikipsaraswati240983@gmail.com,0361814909,0361814909,https://www.ikip-saraswati.ac.id/,Jalan Pahlawan No 2 ,IKIP SARASWATI,82113,Tidak Diisi,-8.5379791,115.1359516,1989-12-16T00:00:00Z,1989-12-16T00:00:00Z,0829O1989,B,-
XT8we8dYSexCc_0wsiXO-Bo0rx168ZQubZSZ2F446G5K9wTJ4ucZTwPOqwmPzAAwhYtPEQ==,Kab. Sumenep,Prov. Jawa Timur,Baik,UA,Aktif,Universitas Annuqayah,Swasta,8,950.000 - 6.500.000,Perguruan Tinggi Swasta,LLDIKTI VII,071116  ,info@ua.ac.id,-,-,www.ua.ac.id,-,UA,-,Tidak Diisi,-7.06434,113.6745,2023-12-20T00:00:00Z,2023-12-20T00:00:00Z,979/E/O/2023,Baik,-
2si75JeS7KBOAVT1hpLH3ehizY3_04up1Tq1m-TlnWRRcCR6nw1lcr1kDICGqEWzmUlQmw==,Kota Surabaya,Prov. Jawa Timur,Baik,STT Sabda Agung,Aktif,Sekolah Tinggi Teologi Sabda Agung (STTSA),Agama,2,-,Perguruan Tinggi Agama,PTA Kristen Swasta,233284  , sttsabdaagung@gmail.com, 082141794060, , https://sttsabdaagung.ac.id,-,STT Sabda Agung,-,Tidak Diisi,-7.324619,112.689094,2013-05-07T00:00:00Z,2013-05-07T00:00:00Z,160,Baik,-
iRuGD0Te-4SXFu7HSG6zLTj7MMWg9IsI9b24m_kgglP1S4B1LXHBQnks0ymoWFhhRlQFNg==,Kab. Kudus,Prov. Jawa Tengah,-,-,Alih Bentuk,Akademi Keperawatan Krida Husada,Swasta,1,-,Perguruan Tinggi Swasta,LLDIKTI VI,064126  ,akperkridahusada@yahoo.co.id,0291.4248655,0291.4248657, akperkridahusada.ac.id,Jalan lambao Singocandi No 1 ,-,12345,Tidak Diisi,0.0,0.0,1995-08-14T00:00:00Z,2009-06-12T00:00:00Z,2490DTK-VI2009,-,-
8ih7vR7RgGQbA9BauMEqRcHfp7jlXw9XS6Qd3DdIxfXKoApgenVfqMbSisY914BKFuzXSA==,Kota Kendari,Prov. Sulawesi Tenggara,-,-,Alih Bentuk,Akademi Kesehatan Gigi Kendari,Swasta,1,-,Perguruan Tinggi Swasta,LLDIKTI IX,094108  , akademikesehatangigikendari@gmail.com,0401-3190193,0401-3190193, ,Jalan Asrama Haji No 17 ,-,93117,Kec. Baruga,0.0,0.0,2007-09-03T00:00:00Z,2007-09-03T00:00:00Z,166DO2007,-,-
QImSFieMfX6tFFDztwN9xHeIvfQoRJg88b79C3nZSdxohdqxq9N4-YEK4pfTp_ozdZV5Iw==,Kota Banjarmasin,Prov. Kalimantan Selatan,Baik Sekali,IBITEK,Aktif,Institut Bisnis dan Teknologi Kalimantan,Swasta,5,-,Perguruan Tinggi Swasta,LLDIKTI XI,112011  ,baak@ibitek.ac.id,+6285250345454,-,https://ibitek.ac.id/,-,IBITEK,-,Tidak Diisi,-3.3011672,114.58931,2024-10-17T00:00:00Z,2024-10-17T00:00:00Z,698/E/O/2024,Baik Sekali,-
HvoBYJiFwpAU_eDNNY-wyvruMcIadsDJGvItNZjn2ewkvb-raZT_EJPjjcOsTOlcb79IuA==,Kota Jakarta Selatan,Prov. D.K.I. Jakarta,Baik Sekali,Prasmul,Aktif,Universitas Prasetiya Mulya,Swasta,13,1.000.000 - 50.000.000,Perguruan Tinggi Swasta,LLDIKTI III,031063  ,bpm@pmbs.ac.id,021-7511126/30450500,021-7500460/30450505,www.prasetiyamulya.ac.id,Jl. RA. Kartini  Cilandak Barat ,Prasmul,12430,Kec. Cilandak,-6.29129,106.78877,1982-08-31T00:00:00Z,2015-11-18T00:00:00Z,87/KPT/I/2015,Baik Sekali,-
BY5KK8RG9-dcNhmK_agRbOAOlusU6mXfpCbsPLeiCNVBi3AaBvfWc2jlu5ovgm3dPCuD0g==,Kota Tasikmalaya,Prov. Jawa Barat,Baik,UMTAS,Aktif,Universitas Muhammadiyah Tasikmalaya,Swasta,16,100.000 - 17.350.000,Perguruan Tinggi Swasta,LLDIKTI IV,041061  , kotaksurat@umtas.ac.id,0265-2350982,0265-2350982,www.umtas.ac.id,Jalan Tamansari Gobras,UMTAS,46196,Tidak Diisi,-7.3702981,108.2311678,2014-10-17T00:00:00Z,2014-10-17T00:00:00Z,598/E/O/2014,Baik,-
drCXccoCLShtAC-NfYzkXvPp2TIhUBz3BZp8vsKRc14qYuaoyUO7JcR-kN14JeQmkyXgQQ==,Kota Sukabumi,Prov. Jawa Barat,Baik,IMWI,Alih Bentuk,Institut Manajemen Wiyata Indonesia,Swasta,6,-,Perguruan Tinggi Swasta,LLDIKTI IV,042011  ,info@imwi.ac.id,0266-6253500,0266-6253800,www.imwi.ac.id,Jalan Gudang No. 9 Sukabumi,IMWI,43112,Tidak Diisi,-6.9189128,106.9256938,2014-10-16T00:00:00Z,2014-10-16T00:00:00Z,505/E/O/2014,Baik,-
VuQryXpvdTqENs0rDzKMyiLkTbrKwOA08EDCfkILylJRIxxX1hkEmybWEi351hCxnZb0Pg==,Kota Lhokseumawe,Prov. Aceh,-,ASM T. Rencong,Tutup,Akademi Sekretari Manajemen Tanah Rencong,Swasta,1,-,Perguruan Tinggi Swasta,LLDIKTI XIII,134004  ,asmtanahrencong@gmail.com,0645-40521,064541215,www//http.asmtr/lsm.com,Jalan Teuku Maharaja No 16 Mon Geudong,ASM T. Rencong,24351,Tidak Diisi,0.0,0.0,1987-03-20T00:00:00Z,2021-04-26T00:00:00Z,083/D/OT/2021,-,-
QKVXRko81htFpUdNuc9JGrQcUG4fSfzTHHlhL0dQmrFiGglG0AuwGNJrwXqXlW8C5PGnhQ==,Kota Makassar,Prov. Sulawesi Selatan,-,Akper Muhammadiyah M,Alih Bentuk,Akademi Keperawatan Muhammadiyah Makassar,Swasta,1,-,Perguruan Tinggi Swasta,LLDIKTI IX,094015  ,info@akpermuhammadiyahmks.ac.id,0411-859127,0411-859127,http://akpermuhammadiyahmks.ac.id,Jalan Dr Ratulangi No 101 ,Akper Muhammadiyah M,90132,Tidak Diisi,0.0,0.0,1992-06-22T00:00:00Z,1981-04-20T00:00:00Z,824,-,-
Cp62_kH-KBiyRFaRA-IGOOjOqsBzbBB2fJLJuaj90I7LbThVcJaPFfXzHv3RFYxaSzfniQ==,Kab. Pasuruan,Prov. Jawa Timur,-,STAK SABDA HOLISTIK,Aktif,Sekolah Tinggi Agama Kristen Sabda Holistik Malang,Agama,2,4.700.000 - 4.700.000,Perguruan Tinggi Agama,PTA Kristen Swasta,233396  ,staksabdaholistik@gmail.com,-,-,https://www.staksh.ac.id/,Dusun Cemoro RT.003/RW.002 Desa Pungging  Kecamatan Tutur,STAK SABDA HOLISTIK,67165,Tidak Diisi,0.0,0.0,2024-07-24T00:00:00Z,2024-07-24T00:00:00Z,820 Tahun 2024,-,-
9-8Sr1VTHQRMPy7ZyNKKlMafvSg0A3lTPTprioBJAaHRVe7XQunU5W4Szwgy-9B-8tP7ew==,Kab. Bantul,Prov. D.I. Yogyakarta,Baik,-,Aktif,Sekolah Tinggi Ilmu Kesehatan Bantul,Swasta,2,800.000 - 8.000.000,Perguruan Tinggi Swasta,LLDIKTI V,053053  ,stikesbantul@gmail.com,0274367760,-,www.stikesbantul.ac.id,-,-,-,Tidak Diisi,-7.894207,110.3523767,2022-03-23T00:00:00Z,2022-03-23T00:00:00Z,231/E/O/2022,Baik,-
CNGRPoCWFYYUp3B5lpKVfTssxTlIr3AwL3MKFWA1lm7G4UB2_pNk14Wg3povHq5ycMlMTg==,Kota Palembang,Prov. Sumatera Selatan,-,-,Pembinaan,Institut Agama Islam Widya Dharma Palembang,Agama,6,-,Perguruan Tinggi Agama,PTA Islam Swasta,212082  ,-,-,-,-,Jl. Soekarno Hatta No. 234 Kelurahan Siring Agung  Kecamatan Ilir Barat I  Kota Palembang  Provinsi Sumatera Selatan,-,30138,Kec. Ilir Barat I,0.0,0.0,2019-05-22T00:00:00Z,2019-05-22T00:00:00Z,Nomor 312 Tahun 2019,-,-
SktpbANpi9o8VexaPdNC839xlfUwijmuvfIzvKrA8qdANz3R5cobDAaOwD95uGCcEm-tBg==,Kab. Berau,Prov. Kalimantan Timur,Baik,STITM Tanjung Redeb,Aktif,Sekolah Tinggi Ilmu Tarbiyah Muhammadiyah Tanjung Redeb Berau,Agama,2,3.650.000 - 6.500.000,Perguruan Tinggi Agama,PTA Islam Swasta,213420  ,info@stitmberkemajuan.ac.id,0554 2020230,0554 2020230,www.stitmberkemajuan.ac.id,Jl. Jend. Sudirman Kel. Bugis Tg. Redeb  Berau,STITM Tanjung Redeb,77312,Tidak Diisi,0.0,0.0,2003-12-03T00:00:00Z,2003-12-03T00:00:00Z,-,Baik,-
