quipper_institution_code,institution_name,body_type,link,fee,student_amount,lecturer_amount,contact,description,unknown_field
11,Universitas Setia Budi Surakarta,Universitas Swasta,https://campus.quipper.com/directory/universitas-setia-budi-surakarta,Rp8.000.000 per semester,3131,125,"{""website"": ""www.setiabudi.ac.id"", ""email"": ""info@setiabudi.ac.id"", ""phone"": ""0271-852518""}","Cikal bakal Universitas Setia Budi (USB) adalah Akademi Analis Kesehatan yang didirikan pada tahun 1983. Kemudian, akademi tersebut bergabung dengan akademi lain seperti Akademi Teknik Kimia, Akademi Teknik Gigi, dan Akademi Farmasi yang juga berada di bawah Yayasan Pendidikan Setia Budi pada tanggal 11 November 1997 dan resmi bertransformasi menjadi Universitas Setia Budi.",{}
12,Politeknik Pembangunan Pertanian Gowa,Politeknik Negeri,https://campus.quipper.com/directory/politeknik-pembangunan-pertanian-gowa,Gratis,1589,38,"{""website"": ""www.polbangtan-gowa.ac.id"", ""email"": ""polbangtangowa@pertanian.go.id, info@polbangtan-gowa.ac.id"", ""phone"": ""(0411) 821 0117""}","Politeknik Pembangunan Pertanian (Polbangtan) Gowa merupakan perguruan tinggi di lingkungan Kementerian Pertanian yang menyelenggarakan pendidikan tinggi program vokasi dengan metode teaching factory dalam berbagai rumpun ilmu terapan yang bertujuan untuk mendukung pembangunan pertanian. Saat ini, Polbangtan Gowa menyediakan empat program studi yaitu D3 Budidaya Tanaman Hortikultura, D3 Budidaya Ternak, D4 Penyuluhan Pertanian Berkelanjutan, serta D4 Penyuluhan Peternakan dan Kesejahteraan Hewan. Jika Quipperian sangat tertarik di bidang pertanian atau peternakan, kampus ini dapat menjadi pilihan yang tepat bagi kalian!",{}
13,Universitas Kristen Indonesia (UKI),Universitas Swasta,https://campus.quipper.com/directory/universitas-kristen-indonesia,Rp4.000.000 - Rp26.000.000 per semester,5761,360,"{""website"": ""www.uki.ac.id"", ""email"": ""humas-uki@uki.ac.id"", ""phone"": ""021\u20138092425, ext. 232""}","""Universitas Kristen Indonesia (UKI) diresmikan pada tahun 1953 dengan dua fakultas yaitu Fakultas Sastra dan Filsafat serta Fakultas Ekonomi. Kemudian, dalam perjalanan pengabdiannya, universitas ini mendirikan Fakultas Hukum (1956), Fakultas Kedokteran (1962), Fakultas Teknik (1963), dan Fakultas Ilmu Sosial dan Politik (1994).",{}
14,Universitas Bunda Mulia (UBM),Universitas Swasta,https://campus.quipper.com/directory/universitas-bunda-mulia-ubm,Rp9.000.000-Rp11.500.000 per-semester,8441,316,"{""website"": ""www.ubm.ac.id"", ""email"": ""info@ubm.ac.id"", ""phone"": ""021-6909090, 021-80821428""}","Kampus unggulan Universitas Bunda Mulia (UBM) yang berada di bawah Yayasan Pendidikan Bunda Mulia ini telah sukses berkiprah selama 34 tahun di bidang pendidikan negeri ini, lho, Quipperian.",{}
15,STIKes Mitra Keluarga,Sekolah Tinggi Swasta,https://campus.quipper.com/directory/stikes-mitra-keluarga,,837,33,"{""website"": ""stikesmitrakeluarga.ac.id"", ""email"": ""pmb@stikesmitrakeluarga.ac.id"", ""phone"": ""021-88345797, 021-88345997, 021-88351995""}","Untuk memenuhi kebutuhan tenaga kesehatan di Grup RS Mitra Keluarga, Yayasan Pendidikan Mitra Keluarga mulai mendirikan lembaga pendidikan tinggi dalam bidang kesehatan yaitu Akademi Keperawatan Mitra Keluarga (AKMK) di tahun 1993. Lalu di tahun 2014, AKMK resmi berubah bentuk menjadi Sekolah Tinggi Ilmu Kesehatan Mitra Keluarga. STIKes Mitra Keluarga terus berkembang dengan menambahkan beberapa program studi baru seperti S1 Farmasi di tahun 2016 dan S1 Keperawatan serta Profesi Ners di tahun 2017. Di tahun 2020, kampus ini akhirnya berhasil memperoleh status akreditasi ""Baik Sekali"" dari Badan Akreditasi Nasional Perguruan Tinggi (BAN-PT).",{}
16,Universitas Musamus (UNMUS),Universitas Negeri,https://campus.quipper.com/directory/universitas-musamus-unmus,,12147,342,"{""website"": ""www.unmus.ac.id"", ""email"": ""info@unmus.ac.id"", ""phone"": ""+0971325923""}","Universitas Musamus (UNMUS) didirikan pada tahun 2001 dengan nama Sekolah Tinggi Teknologi Merauke (STTM). Kemudian pada tahun 2006 terjadi perubahan status dari STTM menjadi Universitas Musamus Merauke (UNIMMER). Pada saat itu, status UNIMMER adalah Universitas Swasta.",{}
17,Sekolah Tinggi Ilmu Ekonomi Cirebon,Sekolah Tinggi Swasta,https://campus.quipper.com/directory/sekolah-tinggi-ilmu-ekonomi-cirebon,Rp5.000.000-Rp15.000.000 per semester (tergantung program studi),267,25,"{""website"": ""www.stiecirebon.ac.id"", ""email"": ""pmb@stiecirebon.ac.id"", ""phone"": ""081111122543""}","Sekolah Tinggi Ilmu Ekonomi Cirebon didirikan pada tanggal 22 Agustus 1996 dengan visi menjadi sekolah ekonomi berbasis Information and Communication Technology (ICT). STIE Cirebon berusaha untuk selalu mengedepankan pengetahuan dan pemahaman tentang ICT untuk menunjang kegiatan ekonomi, bisnis, dan perdagangan. Pembelajaran yang ada di kampus ini pun dirancang untuk memahami dan menguasai kondisi lingkungan yang dinamis, inovatif, dan kreatif yang berlandaskan teknologi mobile computing.",{}
18,Sekolah Tinggi Agama Katolik Negeri Pontianak,Sekolah Tinggi Negeri,https://campus.quipper.com/directory/sekolah-tinggi-agama-katolik-negeri-pontianak,Rp600.000-Rp5.000.000 per semester,831,36,"{""website"": ""www.stakatnpontianak.ac.id"", ""email"": ""info@stakatnpontianak.ac.id"", ""phone"": ""0561-6710424""}","Sekolah Tinggi Agama Katolik Negeri Pontianak (STAKatN Pontianak) adalah sekolah tinggi Katolik pertama di Indonesia yang berstatus negeri. Awalnya, kampus ini berdiri sebagai perguruan tinggi swasta dengan nama Sekolah Tinggi Pastoral (STP) St. Agustinus, Keuskupan Agung Pontianak yang berdiri sejak tahun 2006. STAKatN Pontianak diresmikan oleh Menteri Agama RI Lukman Hakim Syaifudin di Kubu Raya pada 6 April 2017.",{}
19,Universitas Katolik Darma Cendika,Universitas Swasta,https://campus.quipper.com/directory/universitas-katolik-darma-cendika,Rp4.800.000-Rp6.600.000 per semester,912,63,"{""website"": ""www.ukdc.ac.id"", ""email"": ""pmb@ukdc.ac.id"", ""phone"": ""031-5914157, 5946482""}","Universitas Katolik Darma Cendika (UKDC) merupakan perguruan tinggi swasta katolik yang didirikan oleh Yayasan Darma Cendika pada tahun 1986. Pendirian universitas ini bertujuan untuk memberikan pendidikan yang terjangkau bagi masyarakat kurang mampu. UKDC memiliki komitmen untuk menjalankan visi dan misi menjadi universitas yang unggul dengan menyelenggarakan pendidikan characterpreneurship di Indonesia. Langkah tersebut dilakukan UKDC sebagai upaya dalam memberikan kontribusi bagi dunia usaha dan industri di Indonesia dengan menghasilkan lulusan yang memiliki jiwa wirausaha dan memiliki 3 core value: jujur, tanggung jawab, dan peduli.",{}
20,STIE Jakarta International College,Sekolah Tinggi Swasta,https://campus.quipper.com/directory/stie-jakarta-international-college,Rp7.170.000-Rp12.200.000 per tahun,1212,32,"{""website"": ""www.jic-stie.ac.id"", ""email"": ""info-business-school@jic.ac.id"", ""phone"": ""021-420 7238, 021-425 7368, 021-425 7369""}","Cikal bakal STIE Jakarta International College adalah STIE Setiabudi yang berasal dari Akademi Keuangan dan Perbankan Setiabudi (Akademi Bank Nasional) yang berdiri di bawah naungan Yayasan Pendidikan Setiabudi. Kampus ini berhasil mendapatkan akreditasi B oleh BAN-PT dan sudah menggunakan kurikulum berbasis nasional dan internasional yang ter-update, guna menopang kompetensi mahasiswa di dunia kerja. Selama masa studi, mahasiswa STIE Jakarta International College akan dibekali dengan beragam sertifikasi kompetensi seperti seminar, kegiatan kampus, dan sertifikat pendukung lainnya. Terdapat dua pilihan kelas yang tersedia di kampus ini, yaitu kelas reguler dengan jam perkuliahan pagi dan kelas profesional dengan jam perkuliahan malam. Yuk, simak dulu profil lengkapnya!",{}
21,Universitas Islam Malang,Universitas Swasta,https://campus.quipper.com/directory/universitas-islam-malang,Rp3.850.000 per semester,16363,447,"{""website"": ""www.unisma.ac.id"", ""email"": ""humas@unisma.ac.id"", ""phone"": ""0341 - 551932""}","Terbentuk sejak Maret 1981, Universitas Islam Malang (UNISMA) adalah salah satu perguruan tinggi swasta yang dipelopori oleh para sarjana Muslim ahlussunnah wal jama’ah yang bertekad mendirikan suatu perguruan tinggi Islam berkualitas dan mandiri. Pada awalnya, universitas ini hanya memiliki satu fakultas yakni Fakultas Tarbiyah. Namun, saat ini UNISMA telah berhasil mengembangkan 10 fakultas dan menyediakan program diploma hingga pascasarjana. FYI, UNISMA berhasil memecahkan rekor Museum Rekor Indonesia (MURI) berupa Penandatangan Sikap Mempertahankan Ideologi Pancasila dan Bentuk Negara Republik Indonesia oleh Mahasiswa Terbanyak (11.680 mahasiswa) pada 6 September 2017",{}
22,Universitas Medika Suherman,Universitas Swasta,https://campus.quipper.com/directory/universitas-medika-suherman,-,1092,93,"{""website"": ""www.medikasuherman.ac.id"", ""email"": ""info@medikasuherman.ac.id"", ""phone"": ""02189111110""}","Universitas Medika Suherman pada mulanya bernama Sekolah Tinggi Ilmu Kesehatan (STIKes) Medika Cikarang yang didirikan pada tahun 2005. Lalu pada tahun 2018, STIKes Medika Cikarang berubah bentuk menjadi Institut Medika Drg. Suherman. Barulah kemudian pada tahun 2021 resmi menyandang nama Universitas Medika Suherman (UMS) sampai sekarang. Saat ini, UMS memiliki 14 program studi yang terbagi menjadi 3 fakultas. Selain itu, kampus ini juga telah meraih akreditasi B dari Badan Akreditasi Perguruan Tinggi (BAN-PT).",{}
23,Sekolah Tinggi Filsafat Teologi Widya Sasana,Sekolah Tinggi Swasta,https://campus.quipper.com/directory/sekolah-tinggi-filsafat-teologi-widya-sasana,,463,20,"{""website"": ""www.stfwidyasasana.ac.id"", ""email"": ""stftws@gmail.com"", ""phone"": ""0341552120""}","Sekolah Tinggi Filsafat Teologi (STFT) Widya Sasana berdiri pada tahun 1971 karena penyatuan Seminari Tinggi CM Kediri dan Seminari Tinggi Ordo Karmel Batu. Saat ini, STFT Widya Sasana menyediakan tiga jenjang pendidikan yaitu S1 Filsafat Keilahian, S2 Filsafat, dan S3 Teologi. Semua program studi tersebut telah terakreditasi oleh Badan Akreditasi Nasional Perguruan Tinggi (BAN-PT). Jika Quipperian memiliki minat terhadap ilmu filsafat, kalian dapat melanjutkan studi ke kampus ini!",{}
24,Sekolah Tinggi Ilmu Kesehatan Ahmad Dahlan Cirebon,Sekolah Tinggi Swasta,https://campus.quipper.com/directory/sekolah-tinggi-ilmu-kesehatan-ahmad-dahlan-cirebon,Rp7.775.000 - Rp13.075.000,246,12,"{""website"": ""stikes-adc.ac.id"", ""email"": ""info_akpermuh@akpermuh.ac.id"", ""phone"": ""0231-201942""}","Sekolah Tinggi Ilmu Kesehatan Ahmad Dahlan Cirebon merupakan bentuk transformasi dari Akademi Keperawatan (Akper) Muhammadiyah Cirebon yang diresmikan sejak bulan Oktober 2020. STIKes Ahmad Dahlan Cirebon menyediakan pembelajaran dengan kurikulum kekinian yang sesuai dengan kebutuhan instansi kesehatan yang ada di Indonesia, khususnya di Wilayah 3 Cirebon.",{}
25,Sekolah Tinggi Ilmu Kesehatan William Booth,Sekolah Tinggi Swasta,https://campus.quipper.com/directory/sekolah-tinggi-ilmu-kesehatan-william-booth,Rp5.000.000-Rp6.000.000 per semester,229,22,"{""website"": ""www.stikeswilliambooth.ac.id"", ""email"": ""admin@stikeswilliambooth.ac.id"", ""phone"": ""031-5633365""}","Quipperian tahu nggak sih kalau kampus ini sudah menyelenggarakan pendidikan di bidang kesehatan selama hampir 100 tahun? Cikal bakal Sekolah Tinggi Ilmu Kesehatan William Booth adalah Sekolah Bidan yang pendiriannya dipelopori oleh Ny. Komisioner Margst Lebbink di tahun 1929. Sempat berubah bentuk menjadi Sekolah Perawat Kesehatan dan Akademi Keperawatan, akhirnya kampus ini resmi bertransformasi menjadi Sekolah Tinggi Ilmu Kesehatan William Booth di tahun 2011.",{}
26,Universitas Langlangbuana,Universitas Swasta,https://campus.quipper.com/directory/universitas-langlangbuana,Rp4.000.000-Rp7.500.000,7872,259,"{""website"": ""www.unla.ac.id"", ""email"": ""info@unla.ac.id"", ""phone"": ""022-4218084""}",Berdirinya Universitas Langlangbuana (UNLA) pada awal tahun 1980 diprakarsai oleh beberapa purnawirawan Polri yang peduli terhadap pendidikan yang berdomisili di Bandung dan cendikiawan dari Universitas Padjadjaran. Setelah mendapatkan restu oleh Kadapol VIII Langlangbuana Jabar (sekarang Polda Jabar) Universitas Langlangbuana didirikan secara resmi oleh Yayasan Pendidikan Tri Bhakti (disingkat YPTB) pada tahun 1982.,{}
27,Universitas Raharja,Universitas Swasta,https://campus.quipper.com/directory/universitas-raharja,Rp6.050.000 per Semester,2499,484,"{""website"": ""www.raharja.ac.id"", ""email"": ""ppmb@raharja.info"", ""phone"": ""021 - 5529692, 5529586, 08159146745""}","Pada tahun 1994, Yayasan Nusantara mendirikan Lembaga Pendidikan dan Pelatihan Komputer (LPPK) Raharja yang diresmikan oleh Walikota Tangerang saat itu, Drs.H.Djakaria Machmud. Lembaga ini mempelopori penggunaan operating system Windows beserta aplikasinya di wilayah Tangerang dan sekitarnya.",{}
28,STIKES Adi Husada,Sekolah Tinggi Swasta,https://campus.quipper.com/directory/stikes-adi-husada,Rp6.600.000 per semester,148,20,"{""website"": ""www.adihusada.ac.id"", ""email"": ""info@adihusada.ac.id"", ""phone"": ""031-3721750""}","Sejarah lahirnya Adi Husada diprakarsai oleh dr. Oie Kiauw Pik di tahun 1923-1924. Kemudian pada tanggal 25 November 1927, berdirilah Perkumpulan Soe Swie Tiong Hwa Ie Wan yang saat ini bernama Perkumpulan Adi Husada. Di tahun 1983, Perkumpulan Adi Husada membangun sebuah lembaga pendidikan yakni Akademi Keperawatan (Akper) Adi Husada. Akper Adi Husada terus beroperasi dan berkembang selama 36 tahun hingga akhirnya mengalami perubahan bentuk menjadi Sekolah Tinggi Ilmu Kesehatan (STIKES) Adi Husada di tahun 2019. Di tahun yang sama, kampus ini berhasil mendapatkan penghargaan sebagai Kampus Unggulan peringkat pertama se-Jawa Timur dari LLDIKTI VII Jatim.",{}
29,Universitas Kristen Duta Wacana,Universitas Swasta,https://campus.quipper.com/directory/universitas-kristen-duta-wacana,Rp8.000.000 per semester,4420,153,"{""website"": ""www.ukdw.ac.id"", ""email"": ""humas@staff.ukdw.ac.id"", ""phone"": ""0274-563929""}","Berawal dari Sekolah Tinggi Theologia Duta Wacana, saat ini Universitas Kristen Duta Wacana (UKDW) menjadi kampus swasta terkemuka di Yogyakarta. Kualitasnya dibuktikan lewat akreditasi A dari Badan Akreditasi Nasional Perguruan Tinggi (BAN-PT) berdasarkan Surat Keputusan (SK) Nomor 3290/SK/BAN-PT/Akred/PT/IX/2017. UKDW juga termasuk perguruan tinggi protestan terbaik seluruh dunia pada posisi ke-61 berdasarkan daftar Top Protestant Universities in the World dari University Ranking (UniRank) 2022, keren banget ya Quipperian!",{}
30,Politeknik Negeri Kupang,Politeknik Negeri,https://campus.quipper.com/directory/politeknik-negeri-kupang,Kisaran Rp2.000.000 per semester,6164,215,"{""website"": ""www.pnk.ac.id"", ""email"": ""pnkkupang@gmail.com"", ""phone"": ""0380-881245, 0380-881246""}","Saat awal didirikan pada tahun 1985, politeknik ini bernama Politeknik Undana Kupang yang berada di bawah naungan Universitas Nusa Cendana. Barulah di tahun 2004, kampus ini secara resmi melepaskan diri dan berdiri sebagai Politeknik Negeri Kupang. Sebagai lembaga pendidikan profesional, para calon staf pengajar Politeknik Negeri Kupang diwajibkan mengikuti pendidikan kursus selama 10 bulan di Pusat Pengembangan Pendidikan Politeknik Bandung untuk menyeragamkan pola pembelajaran program pendidikan politeknik di seluruh Indonesia.",{}
31,Sekolah Tinggi Ilmu Ekonomi Malangkucecwara,Sekolah Tinggi Swasta,https://campus.quipper.com/directory/sekolah-tinggi-ilmu-ekonomi-malangkucecwara,Rp5.000.000 per semester,1340,54,"{""website"": ""web.stie-mce.ac.id"", ""email"": ""info@stie-mce.ac.id"", ""phone"": ""0341-491813, 081936936399""}","Sekolah Tinggi Ilmu Ekonomi Malangkucecwara adalah salah satu kampus tertua di kota Malang dan telah berdiri sejak tahun 1971. Cikal bakal kampus ini adalah Akademi Bank Malang (ABM) yang didirikan oleh Yayasan Pendidikan Nasional Penunjang Pelita (Y3P). Sampai sekarang, STIE Malangkucecwara masih dikenal dengan sebutan ""Kampus ABM"".",{}
32,Ma'had Aly Riyadul Jannah,Lainnya,https://campus.quipper.com/directory/mahad-aly-riyadul-jannah,Rp 150.000 per semester,95,20,"{""website"": ""asshiddiqiyah2.com"", ""email"": ""mahadalyriyaduljannah@gmail.com"", ""phone"": ""081280499053""}","Ma'had Aly Riyadul Jannah adalah sebuah lembaga pendidikan tinggi pesantren yang didirikan di Pondok Pesantren Asshiddiqiiyah 2 oleh KH. Muhammad Ulil Abshor, Al-Hafidz, Lc., atas restu Ayahanda Dr. KH. Noer Muhammad Iskandar, S.Q. Bermula dari sebuah kelas takhasus yang kini para alumninya sudah diterima di berbagai kampus di Timur Tengah seperti Mesir, Turki, Yaman, Maroko dan lainnya.",{}
33,Universitas Persada Indonesia YAI,Universitas Swasta,https://campus.quipper.com/directory/universitas-persada-indonesia-yai,Rp10.000.000 kisaran per-semester,5449,224,"{""website"": ""www.upi-yai.ac.id"", ""email"": ""humas@upi-yai.ac.id"", ""phone"": ""021-3916000""}","Universitas Persada Indonesia YAI (UPI YAI) merupakan salah satu kampus yang termasuk ke dalam naungan Lembaga Pendidikan Tinggi Yayasan Administrasi Indonesia. Universitas swasta ini memiliki 4 fakultas, yaitu Fakultas Ekonomi & Bisnis, Fakultas Psikologi, Fakultas Teknik, dan Fakultas Ilmu Komunikasi. Berlokasi di pusat kota Jakarta tepatnya di kawasan Diponegoro Jakarta Pusat, kampus ini menyediakan fasilitas lengkap dan modern serta pembelajaran oleh dosen yang qualified. Selain itu, UPI YAI juga banyak menjalin kerja sama dengan kampus internasional, seperti Colorado State University USA, Northern Arizona University USA, The University Of Bucharest Romania, dan lainnya. So, nggak heran jika Universitas Persada Indonesia Y.A.I berhasil meraih akreditasi B oleh BAN-PT, ya, Quipperian.",{}
