faculty,prodi,quipper_institution_code
Fakultas Matematika dan Ilmu Pengetahuan Alam,Biologi,21
Fakultas Ilmu Vokasi,Keperawatan,22
Fakultas Ilmu Vokasi,Keperawatan Anestesiologi,22
Fakultas Ilmu Vokasi,Keselamatan dan Kesehatan Kerja,22
Fakultas Ilmu Vokasi,Pengobatan Tradisional Tiongkok,22
Fakultas Ilmu Sosial dan Teknologi,Bisnis Digital,22
Fakultas Ilmu Sosial dan Teknologi,Manajemen Ritel,22
Fakultas Ilmu Kesehatan,Farmasi,22
Fakultas Ilmu Kesehatan,Administrasi Kesehatan,22
Fakultas Ilmu Kesehatan,Keperawatan,22
Fakultas Ilmu Kesehatan,Kebidanan,22
Fakultas Ilmu Kesehatan,Fisioterapi,22
Fakultas Ilmu Kesehatan,Gizi,22
Fakultas Ilmu Kesehatan,Ners,22
Fakultas Ilmu Kesehatan,Bidan,22
Sarjana,Administrasi Rumah Sakit,24
Diploma,Keperawatan,24
Diploma,Keperawatan,25
Diploma,Kebidanan,25
Sarjana,Keperawatan,25
Profesi,Ners,25
Keguruan dan Ilmu Pendidikan,Pendidikan Ekonomi,26
Keguruan dan Ilmu Pendidikan,Pendidikan Matematika,26
Keguruan dan Ilmu Pendidikan,Pendidikan Guru Sekolah Dasar,26
Pascasarjana,Ilmu Hukum,26
Pascasarjana,Ilmu Pemerintahan,26
Pascasarjana,Manajemen,26
Pascasarjana,Teknik Informatika,26
Ekonomi dan Bisnis,Manajemen,26
Ekonomi dan Bisnis,Akuntansi,26
Hukum,Ilmu Hukum,26
Teknik,Teknik Industri,26
Teknik,Teknik Sipil,26
Teknik,Arsitektur,26
Teknik,Teknik Informatika,26
Teknik,Teknik Elektro,26
Ilmu Sosial dan Ilmu Politik,Kepolisian,26
Ilmu Sosial dan Ilmu Politik,Ilmu Pemerintahan,26
Ilmu Sosial dan Ilmu Politik,Ilmu Kesejahteraan Sosial,26
Ilmu Sosial dan Ilmu Politik,Ilmu Komunikasi,26
Fakultas Sains dan Teknologi,Komputerisasi Akuntansi,27
Fakultas Sains dan Teknologi,Manajemen Informatika,27
Fakultas Sains dan Teknologi,Teknik Informatika,27
Fakultas Sains dan Teknologi,Sistem Informasi,27
Fakultas Sains dan Teknologi,Sistem Komputer,27
Fakultas Sains dan Teknologi,Pendidikan Teknologi Informasi,27
Fakultas Sains dan Teknologi,Desain Komunikasi Visual,27
Fakultas Sains dan Teknologi,Sains Data,27
Fakultas Sains dan Teknologi,Magister Teknik Informatika,27
Fakultas Ekonomi dan Bisnis,Akuntansi,27
Fakultas Ekonomi dan Bisnis,Manajemen Retail,27
Fakultas Ekonomi dan Bisnis,Bisnis Digital,27
Fakultas Ekonomi dan Bisnis,Kewirausahaan,27
Diploma,Keperawatan,28
Sarjana,Administrasi Rumah Sakit,28
Teologi,Filsafat Keilahian,29
Teologi,Magister Ilmu Teologi,29
Teologi,Magister Kajian Konflik dan Perdamaian,29
Teologi,Doktor Teologi,29
Bisnis,Manajemen,29
Bisnis,Akuntansi,29
Arsitektur dan Desain,Arsitektur dan Desain Produk,29
Kedokteran,Pendidikan Kedokteran,29
Kedokteran,Profesi Dokter,29
Bioteknologi,Biologi,29
Teknologi Informasi,Sistem Informasi,29
Teknologi Informasi,Teknik Informatika,29
Kependidikan dan Humaniora,Pendidikan Bahasa Inggris,29
Kependidikan dan Humaniora,Studi Humanitas,29
Sarjana,Akuntansi,31
Sarjana,Manajemen,31
Profesi,Akuntansi,31
Pascasarjana,Manajemen,31
Ma'had Aly Riyadhul Jannah,Ilmu Al-Qur'an,32
Teknik,Manajemen Informatika,33
Teknik,Teknik Informatika,33
Teknik,Sistem Informasi,33
Teknik,Arsitektur,33
Teknik,Teknik Sipil,33
Teknik,Teknik Industri,33
Psikologi,Psikologi,33
Ilmu Komunikasi,Ilmu Komunikasi,33
Ilmu Komunikasi,Desain Komunikasi Visual,33
Ekonomi dan Bisnis,Manajemen Perusahaan,33
Ekonomi dan Bisnis,Akuntansi,33
Ekonomi dan Bisnis,Manajemen,33
Ilmu Ekonomi,Akuntansi,35
Ilmu Ekonomi,Manajemen,35
Fakultas Ekonomi & Bisnis,Ekonomi Pembangunan,36
Fakultas Ekonomi & Bisnis,Akuntansi,36
Fakultas Ekonomi & Bisnis,Manajemen,36
Fakultas Teknik & Informatika,Teknik Elektro,36
Fakultas Teknik & Informatika,Teknik Industri,36
Fakultas Teknik & Informatika,Teknik Mesin,36
Fakultas Teknik & Informatika,Sistem Informasi,36
Fakultas Teknik & Informatika,Fisika,36
Fakultas Ilmu Sosial & Budaya,Bahasa Inggris,36
Fakultas Ilmu Sosial & Budaya,Ilmu Komunikasi,36
Fakultas Ilmu Sosial & Budaya,Psikologi,36
Pascasarjana,Akuntansi,36
Pascasarjana,Manajemen,36
Fakultas Ekonomi Digital,Akuntansi,37
Fakultas Ekonomi Digital,Keuangan Perbankan,37
Fakultas Ekonomi Digital,Manajemen,37
Fakultas Ekonomi Digital,Keuangan Syariah,37
Fakultas Teknik dan Desain,Teknologi Informasi,37
Fakultas Teknik dan Desain,Sistem Informasi,37
Fakultas Teknik dan Desain,Arsitektur,37
Fakultas Teknik dan Desain,Desain Komunikasi Visual,37
Jurusan Teknik Manufaktur,Teknik Manufaktur,39
Sarjana,Pariwisata,41
Diploma,Perhotelan,41
Fakultas Ekonomi dan Bisnis,Bisnis Perhotelan,43
Fakultas Ekonomi dan Bisnis,Kewirausahaan,43
Fakultas Ekonomi dan Bisnis,Akuntansi,43
Fakultas Hukum,Hukum Bisnis,43
Fakultas Teknik,Manajemen Rekayasa dan Konstruksi,43
Fakultas Teknik,Arsitektur,43
Fakultas Teknik,Perencanaan Wilayah dan Kota,43
Fakultas Teknik,Desain Produk,43
Vokasi dan Profesi,Administrasi Rumah Sakit,45
Vokasi dan Profesi,Asuransi Kesehatan,45
Vokasi dan Profesi,Periklanan,45
Vokasi dan Profesi,Kebidanan,45
Vokasi dan Profesi,Manajemen Informasi Kesehatan,45
Vokasi dan Profesi,Kesehatan dan Keselamatan Kerja (K3),45
Vokasi dan Profesi,Bidan,45
Psikologi,Psikologi,45
Hukum,Hukum,45
Ilmu Kesehatan,Kesehatan Masyarakat,45
Ilmu Kesehatan,Keperawatan,45
Ilmu Kesehatan,Administrasi Rumah Sakit,45
Ilmu Kesehatan,Gizi,45
Ilmu Kesehatan,Farmasi,45
Ilmu Kesehatan,Ners,45
Ekonomi dan Bisnis,Manajemen,45
Ekonomi dan Bisnis,Akuntansi,45
Ilmu Komunikasi,Ilmu Komunikasi,45
Program Diploma,Perpajakan,46
Ekonomi dan Bisnis,Kewirausahaan,47
Kesehatan,Ilmu Keperawatan,47
Kesehatan,Ilmu Gizi,47
Kesehatan,Ners,47
Kesehatan,Kebidanan,47
Sains dan Teknologi,Bisnis Digital,47
Sains dan Teknologi,Ilmu Komputer,47
Fakultas Ekonomika dan Bisnis,Manajemen,48
Fakultas Ekonomika dan Bisnis,Akuntansi,48
Fakultas Ekonomika dan Bisnis,Ekonomi Pembangunan,48
Fakultas Teknik,Teknik Elektro,48
Fakultas Teknik,Teknik Sipil,48
Fakultas Teknik,Arsitektur,48
Fakultas Hukum,Ilmu Hukum,48
Fakultas Ilmu Sosial dan Ilmu Politik,Ilmu Administrasi Negara,48
Fakultas Peternakan,Peternakan,48
Sarjana,Manajemen,50
Sarjana,Akuntansi,50
Magister,Manajemen,50
Diploma,Akuntansi,50
Diploma,Manajemen Perusahaan,50
Fakultas Syariah dan Ekonomi Islam,Hukum Ekonomi Syariah (Muamalah),51
Fakultas Syariah dan Ekonomi Islam,Manajemen Zakat dan Wakaf,51
Fakultas Ushuluddin dan Dakwah,Ilmu Al-Qur'an dan Tafsir,51
Fakultas Ushuluddin dan Dakwah,Komunikasi dan Penyiaran Islam,51
Pascasarjana,Hukum Ekonomi Syariah,51
Pascasarjana,Ilmu Al-Qur'an dan Tafsir,51
Pascasarjana,Pendidikan Agama Islam,51
Fakultas Tarbiyah,Pendidikan Agama Islam,51
Fakultas Tarbiyah,Pendidikan Islam Anak Usia Dini,51
Industrial Technology,Electrical Engineering. Internet of Things,52
Industrial Technology,Sustainable Mechanical Engineering and Design,52
Industrial Technology,Automotive Industrial Engineering,52
Industrial Technology,Global Logistics and Supply Chain,52
Industrial Technology,International Business Engineering,52
Industrial Technology,Informatics,52
Industrial Technology,Business Information System,52
Industrial Technology,Data Science and Analytics,52
Teacher Education,Elementary Teacher Education,52
Teacher Education,Early Childhood Teacher Education,52
School of Business and Management,Creative Tourism,52
School of Business and Management,Hotel Management,52
School of Business and Management,Finance and Investment,52
School of Business and Management,Marketing Management,52
School of Business and Management,Business Management,52
School of Business and Management,International Business Management,52
School of Business and Management,Business Accounting,52
School of Business and Management,Tax Accounting,52
School of Business and Management,International Business Accounting,52
Humanities and Creative Industries,English for Creative Industry,52
Humanities and Creative Industries,English for Business,52
Humanities and Creative Industries,Chinese,52
Humanities and Creative Industries,Interior Product Design,52
Humanities and Creative Industries,International Program in Digital Media,52
Humanities and Creative Industries,Textile and Fashion Design,52
Humanities and Creative Industries,Interior Design and Styling,52
Humanities and Creative Industries,Visual Communication Design,52
Humanities and Creative Industries,Strategic Communication,52
Humanities and Creative Industries,Broadcast and Journalism,52
Civil Engineering and Planning,Civil Engineering,52
Civil Engineering and Planning,Architecture,52
Civil Engineering and Planning,Architecture of Sustainable Housing and Real Estate,52
Sarjana,Sastra Jepang,53
Sarjana,Sastra Inggris,53
Sarjana,Pendidikan Guru Sekolah Dasar,53
Sarjana,Pendidikan Teknologi Informasi dan Komunikasi,53
Sarjana,Pendidikan Bahasa Inggris,53
"Farmasi, Administrasi Rumah Sakit, Kesehatan Masyarakat, Radiologi (FAKAR)",Farmasi,54
"Farmasi, Administrasi Rumah Sakit, Kesehatan Masyarakat, Radiologi (FAKAR)",Administrasi Rumah Sakit,54
"Farmasi, Administrasi Rumah Sakit, Kesehatan Masyarakat, Radiologi (FAKAR)",Kesehatan Masyarakat,54
"Farmasi, Administrasi Rumah Sakit, Kesehatan Masyarakat, Radiologi (FAKAR)",Radiologi,54
Pascasarjana,Keperawatan,54
Pascasarjana,Kesehatan Masyarakat,54
Keperawatan dan Kebidanan,Keperawatan,54
Keperawatan dan Kebidanan,Kebidanan,54
Ilmu Kesehatan,Ilmu Keperawatan,55
Ilmu Kesehatan,Gizi,55
Ilmu Kesehatan,Lainnya,55
Sarjana,Manajemen,56
Sarjana,Akuntansi,56
Magister,Manajemen,56
Diploma,Akuntansi,56
Fakultas Hukum,Ilmu Hukum,58
Fakultas Ilmu Sosial dan Politik,Ilmu Administrasi,58
Fakultas Ilmu Sosial dan Politik,Hubungan Internasional,58
Fakultas Ilmu Komunikasi,Lainnya,58
Fakultas Ilmu Komunikasi,Ilmu Komunikasi,58
Fakultas Teknologi Industri,Teknik Kimia,58
Fakultas Teknologi Industri,Teknik Elektro,58
Fakultas Teknologi Industri,Teknik Mesin,58
Fakultas Psikologi,Psikologi,58
Fakultas Ekonomi dan Bisnis,Manajemen,58
Fakultas Ekonomi dan Bisnis,Akuntansi,58
Fakultas Teknik Sipil dan Perencanaan,Teknik Sipil,58
Fakultas Teknik Sipil dan Perencanaan,Arsitektur,58
Pascasarjana,Ilmu Komunikasi,58
Pascasarjana,Ilmu Hukum,58
Pascasarjana,Manajemen,58
Pascasarjana,Ilmu Administrasi,58
Fakultas Keguruan dan Ilmu Pendidikan,Pendidikan Masyarakat,60
Fakultas Keguruan dan Ilmu Pendidikan,Pendidikan Bahasa Inggris,60
Fakultas Keguruan dan Ilmu Pendidikan,Teknologi Pendidikan,60
Fakultas Keguruan dan Ilmu Pendidikan,Pendidikan Vokasional Desain Fashion,60
Fakultas Teknik dan Sains,Teknik Informatika,60
Fakultas Teknik dan Sains,Teknik  Sipil,60
Fakultas Teknik dan Sains,Teknik Mesin,60
Fakultas Teknik dan Sains,Teknik Elektro,60
Fakultas Hukum,Ilmu Hukum,60
Fakultas Ilmu Kesehatan,Kesehatan Masyarakat,60
Fakultas Ekonomi dan Bisnis,Manajemen,60
Fakultas Ekonomi dan Bisnis,Akuntansi,60
Fakultas Ekonomi dan Bisnis,Keuangan Perbankan,60
Fakultas Ekonomi dan Bisnis,Ekonomi Syariah,60
Fakultas Agama Islam,Komunikasi dan Penyiaran Islam,60
Fakultas Agama Islam,Hukum Keluarga Islam,60
Fakultas Agama Islam,Pendidikan Agama Islam,60
Fakultas Agama Islam,Ekonomi Syariah,60
Fakultas Agama Islam,Pendidikan Guru Madrasah Ibtidaiyah,60
Fakultas Agama Islam,Bimbingan dan Konseling Pendidikan Islam,60
Fakultas Bahasa dan Sastra,Sastra & Bahasa Asing,62
Fakultas Bahasa dan Sastra,Sastra Indonesia,62
Fakultas Bahasa dan Sastra,Sastra Inggris,62
Fakultas Hukum,Ilmu Hukum,62
Fakultas Ilmu Kesehatan,Kebidanan,62
Fakultas Ilmu Kesehatan,Ilmu Keperawatan,62
Fakultas Teknologi Komunikasi dan Informatika,Teknik Informatika,62
Fakultas Teknologi Komunikasi dan Informatika,Sistem Informasi,62
Fakultas Pertanian,Agroteknologi,62
Fakultas Biologi,Biologi,62
Fakultas Ekonomi dan Bisnis,Perhotelan,62
Fakultas Ekonomi dan Bisnis,Manajemen,62
Fakultas Ekonomi dan Bisnis,Akuntansi,62
Fakultas Ekonomi dan Bisnis,Pariwisata,62
Fakultas Teknik dan Sains,Ilmu Teknik,62
Fakultas Teknik dan Sains,Teknik Elektro,62
Fakultas Teknik dan Sains,Teknik Mesin,62
Fakultas Teknik dan Sains,Fisika,62
Fakultas Sekolah Pascasarjana,Biologi,62
Fakultas Sekolah Pascasarjana,Ilmu Politik,62
Fakultas Sekolah Pascasarjana,Manajemen,62
Fakultas Sekolah Pascasarjana,Ilmu Administrasi,62
Fakultas Sekolah Pascasarjana,Ilmu Hukum,62
Fakultas Ilmu Sosial Ilmu Politik,Hubungan Internasional,62
Fakultas Ilmu Sosial Ilmu Politik,Ilmu Politik,62
Fakultas Ilmu Sosial Ilmu Politik,Sosiologi,62
Fakultas Ilmu Sosial Ilmu Politik,Ilmu Komunikasi,62
Fakultas Ilmu Sosial Ilmu Politik,Administrasi Negara (Publik),62
Magister,Keperawatan,64
Profesi,Ners,64
Profesi,Bidan,64
Sarjana,Ilmu Keperawatan,64
Sarjana,Kebidanan,64
Sarjana,Ilmu Gizi,64
Informatika & Pariwisata,Sistem Informasi,65
Informatika & Pariwisata,Teknik Informatika,65
Informatika & Pariwisata,Pariwisata,65
Vokasi,Perbankan & Keuangan,65
Vokasi,Manajemen Pemasaran,65
Vokasi,Akuntansi,65
Bisnis,Akuntansi,65
Bisnis,Manajemen,65
Bisnis,Biokewirausahaan,65
Pascasarjana,Akuntansi,65
Profesi,Bidan,67
Sarjana,Farmasi,67
Sarjana,Kebidanan,67
Fakultas Ekonomi,Akuntansi,68
Fakultas Ekonomi,Manajemen,68
Fakultas Kedokteran Gigi,Pendidikan Dokter Gigi,68
Fakultas Kesehatan Masyarakat,Kesehatan Masyarakat,68
Fakultas Matematika dan Ilmu Pengetahuan,Kimia,68
Fakultas Matematika dan Ilmu Pengetahuan,Statistika,68
Fakultas Matematika dan Ilmu Pengetahuan,Pendidikan Matematika,68
Fakultas Ilmu Keperawatan dan Kesehatan,Ilmu dan Teknologi Pangan,68
Fakultas Ilmu Keperawatan dan Kesehatan,Ilmu Keperawatan,68
Fakultas Ilmu Keperawatan dan Kesehatan,Kebidanan,68
