faculty,prodi,institution_code
FAKULTAS ILMU-ILMU KESEHATAN,KEPERAWATAN,quipper-5
FAKULTAS ILMU-ILMU KESEHATAN,MANAJEMEN INFORMASI KESEHATAN,quipper-5
FAKULTAS ILMU-ILMU KESEHATAN,BIOTEKNOLOGI,quipper-5
FAKULTAS ILMU-ILMU KESEHATAN,FARMASI,quipper-5
PASCASARJANA,ILMU KOMPUTER,quipper-5
PASCASARJANA,MANAJEMEN,quipper-5
PASCASARJANA,AKUNTANSI,quipper-5
PASCASARJANA,ILMU ADMINISTRASI,quipper-5
PASCASARJANA,ILMU HUKUM,quipper-5
PASCASARJANA,ILMU KOMUNIKASI,quipper-5
FAKULTAS TEKNOLOGI INDUSTRI,SISTEM INFORMASI,quipper-6
FAKULTAS TEKNOLOGI INDUSTRI,TEKNIK INDUSTRI,quipper-6
FAKULTAS TEKNOLOGI INDUSTRI,INFORMATIKA,quipper-6
FAKULTAS TEKNIK,TEKNIK SIPIL,quipper-6
FAKULTAS TEKNIK,ARSITEKTUR,quipper-6
FAKULTAS HUKUM,HUKUM,quipper-6
FAKULTAS TEKNOBIOLOGI,BIOLOGI,quipper-6
FAKULTAS BISNIS DAN EKONOMIKA,AKUNTANSI,quipper-6
FAKULTAS BISNIS DAN EKONOMIKA,MANAJEMEN,quipper-6
FAKULTAS BISNIS DAN EKONOMIKA,EKONOMI PEMBANGUNAN,quipper-6
FAKULTAS ILMU SOSIAL DAN POLITIK,SOSIOLOGI,quipper-6
FAKULTAS ILMU SOSIAL DAN POLITIK,ILMU KOMUNIKASI,quipper-6
PROGRAM INTERNASIONAL,INTERNATIONAL INDUSTRIAL ENGINEERING PROGRAM,quipper-6
PROGRAM INTERNASIONAL,INTERNATIONAL CIVIL ENGINEERING PROGRAM,quipper-6
PROGRAM INTERNASIONAL,INTERNATIONAL UNDERGRADUATE PROGRAM IN BUSINESS ACCOUNTING,quipper-6
PROGRAM INTERNASIONAL,INTERNATIONAL BUSINESS MANAGEMENT PROGRAM,quipper-6
PROGRAM INTERNASIONAL,INTERNATIONAL COMMUNICATION PROGRAM.,quipper-6
FAKULTAS ILMU VOKASI,KEPERAWATAN,quipper-7
FAKULTAS ILMU VOKASI,KEPERAWATAN ANESTESIOLOGI,quipper-7
FAKULTAS ILMU VOKASI,KESELAMATAN DAN KESEHATAN KERJA,quipper-7
FAKULTAS ILMU VOKASI,PENGOBATAN TRADISIONAL TIONGKOK,quipper-7
FAKULTAS ILMU SOSIAL DAN TEKNOLOGI,BISNIS DIGITAL,quipper-7
FAKULTAS ILMU SOSIAL DAN TEKNOLOGI,MANAJEMEN RITEL,quipper-7
FAKULTAS ILMU KESEHATAN,FARMASI,quipper-7
FAKULTAS ILMU KESEHATAN,ADMINISTRASI KESEHATAN,quipper-7
FAKULTAS ILMU KESEHATAN,KEPERAWATAN,quipper-7
FAKULTAS ILMU KESEHATAN,KEBIDANAN,quipper-7
FAKULTAS ILMU KESEHATAN,FISIOTERAPI,quipper-7
FAKULTAS ILMU KESEHATAN,GIZI,quipper-7
FAKULTAS ILMU KESEHATAN,NERS,quipper-7
FAKULTAS ILMU KESEHATAN,BIDAN,quipper-7
SYARIAH,HUKUM KELUARGA ISLAM,quipper-8
SYARIAH,HUKUM EKONOMI SYARIAH,quipper-8
SYARIAH,ILMU FALAK,quipper-8
TARBIYAH DAN KEGURUAN,PENDIDIKAN BAHASA ARAB,quipper-8
TARBIYAH DAN KEGURUAN,PENDIDIKAN BAHASA INGGRIS,quipper-8
TARBIYAH DAN KEGURUAN,PENDIDIKAN IPS,quipper-8
TARBIYAH DAN KEGURUAN,PENDIDIKAN IPA BIOLOGI,quipper-8
TARBIYAH DAN KEGURUAN,PENDIDIKAN FISIKA,quipper-8
TARBIYAH DAN KEGURUAN,PENDIDIKAN KIMIA,quipper-8
TARBIYAH DAN KEGURUAN,PENDIDIKAN MATEMATIKA,quipper-8
TARBIYAH DAN KEGURUAN,PENDIDIKAN PROFESI GURU,quipper-8
DAKWAH DAN ILMU KOMUNIKASI,BIMBINGAN KONSELING ISLAM,quipper-8
DAKWAH DAN ILMU KOMUNIKASI,KOMUNIKASI PENYIARAN ISLAM,quipper-8
DAKWAH DAN ILMU KOMUNIKASI,MANAJEMEN DAKWAH,quipper-8
DAKWAH DAN ILMU KOMUNIKASI,PENGEMBANGAN MASYARAKAT ISLAM,quipper-8
EKONOMI DAN BISNIS ISLAM,EKONOMI SYARIAH,quipper-8
EKONOMI DAN BISNIS ISLAM,PARIWISATA SYARIAH,quipper-8
EKONOMI DAN BISNIS ISLAM,PERBANKAN SYARIAH,quipper-8
USHULUDDIN DAN STUDI AGAMA,ILMU QUR’AN DAN TAFSIR,quipper-8
USHULUDDIN DAN STUDI AGAMA,PEMIKIRAN POLITIK ISLAM,quipper-8
USHULUDDIN DAN STUDI AGAMA,SOSIOLOGI AGAMA,quipper-8
PASCASARJANA,PENDIDIKAN AGAMA ISLAM,quipper-8
PASCASARJANA,HUKUM KELUARGA ISLAM,quipper-8
PASCASARJANA,KOMUNIKASI DAN PENYIARAN ISLAM,quipper-8
PASCASARJANA,PENDIDIKAN BAHASA ARAB,quipper-8
PASCASARJANA,MANAJEMEN PENDIDIKAN ISLAM,quipper-8
PASCASARJANA,EKONOMI SYARIAH,quipper-8
SARJANA,MANAJEMEN,quipper-10
SARJANA,AKUNTANSI,quipper-10
MAGISTER,MANAJEMEN,quipper-10
DIPLOMA,AKUNTANSI,quipper-10
DIPLOMA,MANAJEMEN PERUSAHAAN,quipper-10
"FAKULTAS SAINS, TEKNOLOGI, DAN DESAIN",AGRIBISNIS,quipper-12
"FAKULTAS SAINS, TEKNOLOGI, DAN DESAIN",DESAIN KOMUNIKASI VISUAL,quipper-12
"FAKULTAS SAINS, TEKNOLOGI, DAN DESAIN",DESAIN PRODUK INDUSTRI,quipper-12
"FAKULTAS SAINS, TEKNOLOGI, DAN DESAIN",ILMU DAN TEKNOLOGI PANGAN,quipper-12
"FAKULTAS SAINS, TEKNOLOGI, DAN DESAIN",SISTEM INFORMASI,quipper-12
"FAKULTAS SAINS, TEKNOLOGI, DAN DESAIN",TEKNIK INFORMATIKA,quipper-12
"FAKULTAS EKONOMI, BISNIS, DAN HUMANIORA",MANAJEMEN,quipper-12
"FAKULTAS EKONOMI, BISNIS, DAN HUMANIORA",AKUNTANSI,quipper-12
"FAKULTAS EKONOMI, BISNIS, DAN HUMANIORA",EKONOMI PEMBANGUNAN,quipper-12
"FAKULTAS EKONOMI, BISNIS, DAN HUMANIORA",PENDIDIKAN GURU SEKOLAH DASAR,quipper-12
"FAKULTAS EKONOMI, BISNIS, DAN HUMANIORA",PENDIDIKAN GURU PENDIDIKAN ANAK USIA DINI,quipper-12
PROFESI,BIDAN,quipper-14
SARJANA,FARMASI,quipper-14
SARJANA,KEBIDANAN,quipper-14
FAKULTAS TEKNIK,TEKNIK LINGKUNGAN,quipper-15
FAKULTAS TEKNIK,TEKNIK INDUSTRI,quipper-15
FAKULTAS EKONOMI DAN BISNIS,MANAJEMEN,quipper-15
FAKULTAS EKONOMI DAN BISNIS,AKUNTANSI,quipper-15
FAKULTAS ILMU KOMUNIKASI,ILMU KOMUNIKASI,quipper-15
FAKULTAS ILMU KOMUNIKASI,BROADCASTING,quipper-15
FAKULTAS HUKUM,ILMU HUKUM,quipper-15
FAKULTAS TEKNOLOGI PANGAN & KESEHATAN,GIZI,quipper-15
FAKULTAS TEKNOLOGI PANGAN & KESEHATAN,TEKNOLOGI PANGAN,quipper-15
SEKOLAH PASCASARJANA,MANAJEMEN,quipper-15
SEKOLAH PASCASARJANA,ILMU KOMUNIKASI,quipper-15
FAKULTAS TEKNOLOGI DAN DESAIN,TEKNIK INFORMATIKA,quipper-16
FAKULTAS TEKNOLOGI DAN DESAIN,SISTEM INFORMASI,quipper-16
FAKULTAS TEKNOLOGI DAN DESAIN,TEKNIK INDUSTRI,quipper-16
FAKULTAS TEKNOLOGI DAN DESAIN,DESAIN KOMUNIKASI VISUAL,quipper-16
FAKULTAS TEKNOLOGI DAN DESAIN,BISNIS DIGITAL,quipper-16
FAKULTAS TEKNOLOGI DAN DESAIN,DATA SCIENCE,quipper-16
FAKULTAS ILMU SOSIAL DAN HUMANIORA,AKUNTANSI,quipper-16
FAKULTAS ILMU SOSIAL DAN HUMANIORA,MANAJEMEN,quipper-16
FAKULTAS ILMU SOSIAL DAN HUMANIORA,SASTRA & BAHASA ASING,quipper-16
FAKULTAS ILMU SOSIAL DAN HUMANIORA,SASTRA INGGRIS,quipper-16
FAKULTAS ILMU SOSIAL DAN HUMANIORA,ILMU KOMUNIKASI,quipper-16
FAKULTAS ILMU SOSIAL DAN HUMANIORA,PSIKOLOGI,quipper-16
FAKULTAS ILMU SOSIAL DAN HUMANIORA,PARIWISATA,quipper-16
AKADEMI PARIWISATA,PERHOTELAN,quipper-16
BUNDA MULIA LONG DISTANCE LEARNING,AKUNTANSI,quipper-16
BUNDA MULIA LONG DISTANCE LEARNING,MANAJEMEN,quipper-16
FAKULTAS ILMU SOSIAL DAN ILMU POLITIK,HUBUNGAN INTERNASIONAL,quipper-18
FAKULTAS ILMU SOSIAL DAN ILMU POLITIK,KRIMINOLOGI,quipper-18
FAKULTAS TEKNIK,ARSITEKTUR,quipper-18
FAKULTAS TEKNIK,TEKNIK ELEKTRO,quipper-18
FAKULTAS KOMUNIKASI DAN DESAIN KREATIF,ILMU KOMUNIKASI,quipper-18
FAKULTAS KOMUNIKASI DAN DESAIN KREATIF,DESAIN KOMUNIKASI VISUAL,quipper-18
FAKULTAS EKONOMI DAN BISNIS,MANAJEMEN,quipper-18
FAKULTAS EKONOMI DAN BISNIS,AKUNTANSI,quipper-18
FAKULTAS EKONOMI DAN BISNIS,SEKRETARI,quipper-18
FAKULTAS EKONOMI DAN BISNIS,MANAJEMEN BENCANA,quipper-18
FAKULTAS TEKNOLOGI INFORMASI,ILMU KOMPUTER,quipper-18
FAKULTAS TEKNOLOGI INFORMASI,SISTEM INFORMASI,quipper-18
FAKULTAS TEKNOLOGI INFORMASI,SISTEM KOMPUTER,quipper-18
FAKULTAS TEKNOLOGI INFORMASI,TEKNIK INFORMATIKA,quipper-18
FAKULTAS TEKNOLOGI INFORMASI,MANAJEMEN INFORMATIKA,quipper-18
FAKULTAS TEKNOLOGI INFORMASI,KOMPUTERISASI AKUNTANSI,quipper-18
SARJANA,TEOLOGI,quipper-19
MAGISTER,TEOLOGI,quipper-19
MAGISTER,MINISTRI,quipper-19
MAGISTER,DIVINITAS,quipper-19
ILMU SOSIAL DAN ILMU POLITIK,ADMINISTRASI PUBLIK,quipper-22
TEKNIK,TEKNIK ELEKTROMEDIS,quipper-22
TEKNIK,TEKNIK SIPIL,quipper-22
TEKNIK,TEKNIK INDUSTRI,quipper-22
PERTANIAN,AGROTEKNOLOGI,quipper-22
PERTANIAN,AGRIBISNIS,quipper-22
ILMU KESEHATAN,KEBIDANAN,quipper-22
ILMU KESEHATAN,KEPERAWATAN,quipper-22
ILMU KESEHATAN,TEKNOLOGI LABORATORIUM MEDIS,quipper-22
ILMU KESEHATAN,FARMASI,quipper-22
ILMU KESEHATAN,KESEHATAN MASYARAKAT,quipper-22
EKONOMI DAN BISNIS,AKUNTANSI SEKTOR PUBLIK,quipper-22
EKONOMI DAN BISNIS,EKONOMI PEMBANGUNAN,quipper-22
EKONOMI DAN BISNIS,MANAJEMEN,quipper-22
HUKUM,HUKUM,quipper-22
JURUSAN TEKNIK MANUFAKTUR,TEKNIK MANUFAKTUR,quipper-23
FAKULTAS EKONOMI,MANAJEMEN,quipper-24
FAKULTAS EKONOMI,AKUNTANSI,quipper-24
FAKULTAS HUKUM,ILMU HUKUM,quipper-24
FAKULTAS TEKNIK,AKUNPUNKTUR DAN PENGOBATAN HERBAL,quipper-24
FAKULTAS TEKNIK,TEKNIK INDUSTRI,quipper-24
FAKULTAS TEKNIK,INFORMATIKA,quipper-24
FAKULTAS TEKNIK,ARSITEKTUR,quipper-24
ILMU KOMUNIKASI,ILMU KOMUNIKASI,quipper-25
EKONOMI DAN BISNIS,MANAJEMEN,quipper-25
EKONOMI DAN BISNIS,AKUNTANSI,quipper-25
EKONOMI DAN BISNIS,EKONOMI PEMBANGUNAN,quipper-25
SASTRA,SASTRA JEPANG,quipper-25
SASTRA,SASTRA INGGRIS,quipper-25
HUKUM,ILMU HUKUM,quipper-25
ILMU KESEHATAN,KEBIDANAN,quipper-25
ILMU KESEHATAN,TEKNOLOGI BANK DARAH,quipper-25
ILMU ADMINISTRASI,ILMU ADMINISTRASI NEGARA,quipper-25
ILMU ADMINISTRASI,ILMU ADMINISTRASI NIAGA,quipper-25
ILMU ADMINISTRASI,ILMU ADMINISTRASI,quipper-25
ILMU ADMINISTRASI,KESEKRETARIATAN,quipper-25
KEGURUAN DAN ILMU PENDIDIKAN,PENDIDIKAN BAHASA DAN SASTRA INDONESIA,quipper-25
KEGURUAN DAN ILMU PENDIDIKAN,PENDIDIKAN MATEMATIKA,quipper-25
KEGURUAN DAN ILMU PENDIDIKAN,PENDIDIKAN BAHASA INDONESIA,quipper-25
KEGURUAN DAN ILMU PENDIDIKAN,TEKNOLOGI PENDIDIKAN,quipper-25
PERTANIAN,AGROBISNIS PERIKANAN,quipper-25
PERTANIAN,PEMANFAATAN SUMBERDAYA PERIKANAN,quipper-25
PERTANIAN,TEKNOLOGI PANGAN,quipper-25
PERTANIAN,BUDIDAYA PERAIRAN,quipper-25
TEKNIK,TEKNIK INFORMATIKA,quipper-25
TEKNIK,TEKNIK SIPIL,quipper-25
TEKNIK,TEKNIK GEOMATIKA,quipper-25
FAKULTAS SAINS DAN TEKNOLOGI,KOMPUTERISASI AKUNTANSI,quipper-27
FAKULTAS SAINS DAN TEKNOLOGI,MANAJEMEN INFORMATIKA,quipper-27
FAKULTAS SAINS DAN TEKNOLOGI,TEKNIK INFORMATIKA,quipper-27
FAKULTAS SAINS DAN TEKNOLOGI,SISTEM INFORMASI,quipper-27
FAKULTAS SAINS DAN TEKNOLOGI,SISTEM KOMPUTER,quipper-27
FAKULTAS SAINS DAN TEKNOLOGI,PENDIDIKAN TEKNOLOGI INFORMASI,quipper-27
FAKULTAS SAINS DAN TEKNOLOGI,DESAIN KOMUNIKASI VISUAL,quipper-27
FAKULTAS SAINS DAN TEKNOLOGI,SAINS DATA,quipper-27
FAKULTAS SAINS DAN TEKNOLOGI,MAGISTER TEKNIK INFORMATIKA,quipper-27
FAKULTAS EKONOMI DAN BISNIS,AKUNTANSI,quipper-27
FAKULTAS EKONOMI DAN BISNIS,MANAJEMEN RETAIL,quipper-27
FAKULTAS EKONOMI DAN BISNIS,BISNIS DIGITAL,quipper-27
FAKULTAS EKONOMI DAN BISNIS,KEWIRAUSAHAAN,quipper-27
EKONOMI DAN BISNIS,BISNIS DIGITAL,quipper-28
EKONOMI DAN BISNIS,KEWIRAUSAHAAN,quipper-28
ILMU KESEHATAN,KEBIDANAN,quipper-28
ILMU KESEHATAN,TEKNOLOGI LABORATORIUM MEDIS,quipper-28
ILMU KESEHATAN,ILMU KEPERAWATAN,quipper-28
ILMU KESEHATAN,FARMASI,quipper-28
SARJANA,AKUNTANSI,quipper-30
SARJANA,MANAJEMEN,quipper-30
MAGISTER,MANAJEMEN,quipper-30
KESEHATAN,FARMASI,quipper-31
KESEHATAN,GIZI,quipper-31
KESEHATAN,PENDIDIKAN DOKTER GIGI,quipper-31
KESEHATAN,KESEHATAN LINGKUNGAN,quipper-31
KESEHATAN,ILMU TEKNIK,quipper-31
FAKULTAS MATEMATIKA & ILMU PENGETAHUAN ALAM,BIOLOGI,quipper-32
FAKULTAS MATEMATIKA & ILMU PENGETAHUAN ALAM,FARMASI,quipper-32
FAKULTAS KEGURUAN DAN ILMU PENDIDIKAN,PENDIDIKAN MATEMATIKA,quipper-32
FAKULTAS KEGURUAN DAN ILMU PENDIDIKAN,PENDIDIKAN BAHASA INGGRIS,quipper-32
FAKULTAS EKONOMI,AKUNTANSI,quipper-32
FAKULTAS EKONOMI,MANAJEMEN,quipper-32
FAKULTAS EKONOMI,SEKRETARI,quipper-32
FAKULTAS FILSAFAT,ILMU FILSAFAT,quipper-32
FAKULTAS ILMU KEPERAWATAN,PROFESI NERS,quipper-32
FAKULTAS ILMU KEPERAWATAN,ILMU KEPERAWATAN,quipper-32
FAKULTAS ILMU KEPERAWATAN,KEPERAWATAN UMUM,quipper-32
FAKULTAS TEKNOLOGI INFORMASI,TEKNIK INFORMATIKA,quipper-32
FAKULTAS TEKNOLOGI INFORMASI,SISTEM INFORMASI,quipper-32
PASCASARJANA,ILMU FILSAFAT,quipper-32
PASCASARJANA,MANAJEMEN,quipper-32
SARJANA,PENDIDIKAN BAHASA & SASTRA INDONESIA,quipper-33
SARJANA,PENDIDIKAN MATEMATIKA,quipper-33
SARJANA,PENDIDIKAN GURU SEKOLAH DASAR,quipper-33
SARJANA,PENDIDIKAN GURU PENDIDIKAN ANAK USIA DINI,quipper-33
SARJANA,PENDIDIKAN BAHASA & SASTRA INGGRIS,quipper-33
INDUSTRIAL TECHNOLOGY,ELECTRICAL ENGINEERING. INTERNET OF THINGS,quipper-34
INDUSTRIAL TECHNOLOGY,SUSTAINABLE MECHANICAL ENGINEERING AND DESIGN,quipper-34
INDUSTRIAL TECHNOLOGY,AUTOMOTIVE INDUSTRIAL ENGINEERING,quipper-34
INDUSTRIAL TECHNOLOGY,GLOBAL LOGISTICS AND SUPPLY CHAIN,quipper-34
INDUSTRIAL TECHNOLOGY,INTERNATIONAL BUSINESS ENGINEERING,quipper-34
INDUSTRIAL TECHNOLOGY,INFORMATICS,quipper-34
INDUSTRIAL TECHNOLOGY,BUSINESS INFORMATION SYSTEM,quipper-34
INDUSTRIAL TECHNOLOGY,DATA SCIENCE AND ANALYTICS,quipper-34
TEACHER EDUCATION,ELEMENTARY TEACHER EDUCATION,quipper-34
TEACHER EDUCATION,EARLY CHILDHOOD TEACHER EDUCATION,quipper-34
SCHOOL OF BUSINESS AND MANAGEMENT,CREATIVE TOURISM,quipper-34
SCHOOL OF BUSINESS AND MANAGEMENT,HOTEL MANAGEMENT,quipper-34
SCHOOL OF BUSINESS AND MANAGEMENT,FINANCE AND INVESTMENT,quipper-34
SCHOOL OF BUSINESS AND MANAGEMENT,MARKETING MANAGEMENT,quipper-34
SCHOOL OF BUSINESS AND MANAGEMENT,BUSINESS MANAGEMENT,quipper-34
SCHOOL OF BUSINESS AND MANAGEMENT,INTERNATIONAL BUSINESS MANAGEMENT,quipper-34
SCHOOL OF BUSINESS AND MANAGEMENT,BUSINESS ACCOUNTING,quipper-34
SCHOOL OF BUSINESS AND MANAGEMENT,TAX ACCOUNTING,quipper-34
SCHOOL OF BUSINESS AND MANAGEMENT,INTERNATIONAL BUSINESS ACCOUNTING,quipper-34
HUMANITIES AND CREATIVE INDUSTRIES,ENGLISH FOR CREATIVE INDUSTRY,quipper-34
HUMANITIES AND CREATIVE INDUSTRIES,ENGLISH FOR BUSINESS,quipper-34
HUMANITIES AND CREATIVE INDUSTRIES,CHINESE,quipper-34
HUMANITIES AND CREATIVE INDUSTRIES,INTERIOR PRODUCT DESIGN,quipper-34
HUMANITIES AND CREATIVE INDUSTRIES,INTERNATIONAL PROGRAM IN DIGITAL MEDIA,quipper-34
HUMANITIES AND CREATIVE INDUSTRIES,TEXTILE AND FASHION DESIGN,quipper-34
HUMANITIES AND CREATIVE INDUSTRIES,INTERIOR DESIGN AND STYLING,quipper-34
HUMANITIES AND CREATIVE INDUSTRIES,VISUAL COMMUNICATION DESIGN,quipper-34
HUMANITIES AND CREATIVE INDUSTRIES,STRATEGIC COMMUNICATION,quipper-34
HUMANITIES AND CREATIVE INDUSTRIES,BROADCAST AND JOURNALISM,quipper-34
CIVIL ENGINEERING AND PLANNING,CIVIL ENGINEERING,quipper-34
CIVIL ENGINEERING AND PLANNING,ARCHITECTURE,quipper-34
CIVIL ENGINEERING AND PLANNING,ARCHITECTURE OF SUSTAINABLE HOUSING AND REAL ESTATE,quipper-34
"SAINS, TEKNOLOGI, DAN INDUSTRI",SISTEM DAN TEKNOLOGI INFORMASI,quipper-36
"SAINS, TEKNOLOGI, DAN INDUSTRI",REKAYASA PERANGKAT LUNAK.,quipper-36
EKONOMI DAN BISNIS,EKONOMI PEMBANGUNAN,quipper-36
EKONOMI DAN BISNIS,AKUNTANSI,quipper-36
EKONOMI DAN BISNIS,MANAJEMEN,quipper-36
FAKULTAS ILMU SOSIAL DAN ILMU POLITIK,ILMU PEMERINTAHAN,quipper-37
FAKULTAS ILMU SOSIAL DAN ILMU POLITIK,ILMU KOMUNIKASI,quipper-37
FAKULTAS SAINS DAN TEKNOLOGI,TEKNIK INFORMATIKA,quipper-37
FAKULTAS SAINS DAN TEKNOLOGI,TEKNIK MESIN,quipper-37
FAKULTAS SAINS DAN TEKNOLOGI,TEKNIK ELEKTRO,quipper-37
FAKULTAS SAINS DAN TEKNOLOGI,TEKNIK INDUSTRI,quipper-37
FAKULTAS EKONOMI DAN BISNIS,MANAJEMEN,quipper-37
FAKULTAS EKONOMI DAN BISNIS,AKUNTANSI,quipper-37
SARJANA,TEKNIK INFORMATIKA,quipper-39
SARJANA,SISTEM INFORMASI,quipper-39
DIPLOMA,MANAJEMEN INFORMATIKA,quipper-39
DIPLOMA,KOMPUTERISASI AKUNTANSI,quipper-39
KEDOKTERAN,PENDIDIKAN DOKTER,quipper-40
HUKUM,HUKUM,quipper-40
PERTANIAN DAN PETERNAKAN,AGROTEKNOLOGI/AGRONOMI,quipper-40
PERTANIAN DAN PETERNAKAN,AGRIBISNIS,quipper-40
PERTANIAN DAN PETERNAKAN,TEKNOLOGI PANGAN,quipper-40
PERTANIAN DAN PETERNAKAN,KEHUTANAN,quipper-40
PERTANIAN DAN PETERNAKAN,PETERNAKAN,quipper-40
PERTANIAN DAN PETERNAKAN,AKUAKULTUR,quipper-40
KEGURUAN DAN ILMU PENDIDIKAN,PENDIDIKAN MATEMATIKA,quipper-40
KEGURUAN DAN ILMU PENDIDIKAN,PENDIDIKAN BIOLOGI,quipper-40
KEGURUAN DAN ILMU PENDIDIKAN,PENDIDIKAN BAHASA INDONESIA,quipper-40
KEGURUAN DAN ILMU PENDIDIKAN,PENDIDIKAN PANCASILA DAN KEWARGANEGARAAN,quipper-40
KEGURUAN DAN ILMU PENDIDIKAN,PENDIDIKAN BAHASA INGGRIS,quipper-40
KEGURUAN DAN ILMU PENDIDIKAN,PENDIDIKAN GURU SEKOLAH DASAR,quipper-40
ILMU SOSIAL DAN ILMU POLITIK,ILMU KOMUNIKASI,quipper-40
ILMU SOSIAL DAN ILMU POLITIK,ILMU PEMERINTAHAN,quipper-40
ILMU SOSIAL DAN ILMU POLITIK,HUBUNGAN INTERNASIONAL,quipper-40
ILMU SOSIAL DAN ILMU POLITIK,KESEJAHTERAAN SOSIAL,quipper-40
ILMU SOSIAL DAN ILMU POLITIK,SOSIOLOGI,quipper-40
EKONOMI DAN BISNIS,MANAJEMEN,quipper-40
EKONOMI DAN BISNIS,AKUNTANSI,quipper-40
EKONOMI DAN BISNIS,EKONOMI PEMBANGUNAN,quipper-40
EKONOMI DAN BISNIS,KEUANGAN DAN PERBANKAN,quipper-40
