institution_code,institution_name,body_type,link,student_amount,lecturer_amount,contact,description,unknown_field,average_semester_fee,starting_semester_fee,ending_semester_fee,average_yearly_fee,starting_yearly_fee,ending_yearly_fee
quipper-16,UNIVERSITAS BUNDA MULIA,SWASTA,https://campus.quipper.com/directory/universitas-bunda-mulia-ubm,8441.0,316.0,"{""website"": ""www.ubm.ac.id"", ""email"": ""info@ubm.ac.id"", ""phone"": ""021-6909090, 021-80821428""}","Kampus unggulan Universitas Bunda Mulia  yang berada di bawah Yayasan Pendidikan Bunda Mulia ini telah sukses berkiprah selama 34 tahun di bidang pendidikan negeri ini, lho, Quipperian.",{},10250000.0,9000000.0,11500000.0,20500000.0,18000000.0,23000000.0
quipper-18,UNIVERSITAS BUDI LUHUR,SWASTA,https://campus.quipper.com/directory/universitas-budi-luhur,10772.0,445.0,"{""website"": ""www.budiluhur.ac.id"", ""email"": ""info@budiluhur.ac.id"", ""phone"": ""021-5853753""}","Universitas Budi Luhur adalah hasil integrasi antara Sekolah Tinggi Manajemen Informatika dan Komputer Budi Luhur, Sekolah Tinggi Ilmu Ekonomi Budi Luhur, Sekolah Tinggi Ilmu Sosial dan Ilmu Politik Budi Luhur, dan Sekolah Tinggi Teknik Budi Luhur. Universitas Budi Luhur juga menjalin kerja sama dengan lembaga pendidikan luar negeri, lho, misalnya dengan Hoogeschool Zeeland, University of Canberra, dan Guizhou University of Finance and Economic.",{},11500000.0,11500000.0,11500000.0,23000000.0,23000000.0,23000000.0
quipper-19,SEKOLAH TINGGI TEOLOGI AMANAT AGUNG,SWASTA,https://campus.quipper.com/directory/sekolah-tinggi-teologi-amanat-agung,79.0,19.0,"{""website"": ""sttaa.ac.id"", ""email"": ""sttaa@sttaa.ac.id"", ""phone"": ""021 5835 7685""}",Sekolah Tinggi Teologi  Amanat Agung adalah lembaga pendidikan teologi yang didirikan oleh Sinode Gereja Kristus Yesus pada tahun 1997 dengan misi menghasilkan pekerja-pekerja bermutu bagi pekerjaan di ladang Tuhan. Sekolah tinggi ini berkomitmen untuk mempersiapkan dan menghasilkan rohaniwan berwawasan Pastor-Theologian.,{},26000000.0,20000000.0,32000000.0,52000000.0,40000000.0,64000000.0
quipper-20,SEKOLAH TINGGI ILMU KOMUNIKASI ALMAMATER WARTAWAN SURABAYA,SWASTA,https://campus.quipper.com/directory/sekolah-tinggi-ilmu-komunikasi-almamater-wartawan-surabaya,417.0,15.0,"{""website"": ""www.stikosa-aws.ac.id"", ""email"": ""info@stikosa-aws.ac.id"", ""phone"": ""031-5967164""}","Sekolah Tinggi Ilmu Komunikasi Almamater Wartawan Surabaya didirikan pada tahun 1964 dengan nama Akademi Wartawan Surabaya. Seiring berjalannya waktu, pada tahun 1984 akademi tersebut berkembang menjadi Sekolah Tinggi Ilmu Komunikasi Massa -Almamater Wartawan Surabaya . Saat ini, Stikosa-AWS hanya menyediakan satu program studi yakni S1 Ilmu Komunikasi.",{},1000000.0,950000.0,1050000.0,2000000.0,1900000.0,2100000.0
quipper-21,STIKES YAYASAN RS DR. SOETOMO,SWASTA,https://campus.quipper.com/directory/stikes-yayasan-rs-dr-soetomo,429.0,24.0,"{""website"": ""www.stikes-yrsds.ac.id"", ""email"": ""humas@stikes-yrsds.ac.id"", ""phone"": ""031-59181757""}","Sekolah Tinggi Ilmu Kesehatan Yayasan RSUD Dr. Soetomo  Surabaya adalah perguruan tinggi swasta yang berada di bawah naungan Yayasan RSUD Dr. Soetomo Surabaya. Pada awal didirikan, kampus ini bernama Akademi Perekam Medis dan Informatika Kesehatan  PENA HUSADA SURABAYA. Seiring berkembangnya waktu, APIKES berubah menjadi STIKES dan saat ini memiliki dua jenjang pendidikan yaitu program diploma dan sarjana.",{},6000000.0,5500000.0,6500000.0,12000000.0,11000000.0,13000000.0
quipper-22,UNIVERSITAS KADIRI,SWASTA,https://campus.quipper.com/directory/universitas-kadiri,5906.0,278.0,"{""website"": ""www.unik-kediri.ac.id"", ""email"": ""rektor@unik-kediri.ac.id"", ""phone"": ""0354-771649""}","Universitas Kadiri didirikan pada 28 Juli 1980 dan merupakan kampus tertua di wilayah Kediri Raya. Pilihan bidang ilmu yang tersedia di kampus ini sangat beragam, mulai dari teknik, ekonomi, pertanian, sosial dan politik, kesehatan, hingga hukum. Secara keseluruhan, Universitas Kadiri memiliki 6 fakultas dengan 23 program studi untuk jenjang sarjana, pascasarjana, dan profesi.",{},6050000.0,3350000.0,8750000.0,12100000.0,6700000.0,17500000.0
quipper-24,UNIVERSITAS KATOLIK DARMA CENDIKA,SWASTA,https://campus.quipper.com/directory/universitas-katolik-darma-cendika,912.0,63.0,"{""website"": ""www.ukdc.ac.id"", ""email"": ""pmb@ukdc.ac.id"", ""phone"": ""031-5914157, 5946482""}","Universitas Katolik Darma Cendika  merupakan perguruan tinggi swasta katolik yang didirikan oleh Yayasan Darma Cendika pada tahun 1986. Pendirian universitas ini bertujuan untuk memberikan pendidikan yang terjangkau bagi masyarakat kurang mampu. UKDC memiliki komitmen untuk menjalankan visi dan misi menjadi universitas yang unggul dengan menyelenggarakan pendidikan characterpreneurship di Indonesia. Langkah tersebut dilakukan UKDC sebagai upaya dalam memberikan kontribusi bagi dunia usaha dan industri di Indonesia dengan menghasilkan lulusan yang memiliki jiwa wirausaha dan memiliki 3 core value: jujur, tanggung jawab, dan peduli.",{},5700000.0,4800000.0,6600000.0,11400000.0,9600000.0,13200000.0
quipper-25,UNIVERSITAS DR SOETOMO,SWASTA,https://campus.quipper.com/directory/universitas-dr-soetomo,8481.0,238.0,"{""website"": ""www.unitomo.ac.id"", ""email"": ""humas@unitomo.ac.id"", ""phone"": ""031-5925970""}","Universitas Dr. Soetomo  sudah berdiri sejak tahun 1981, lho Quipperian! Kampus ini terkenal dengan predikatnya sebagai kampus kebangsaan dan kerakyatan. Adapun, menurut survei yang dilakukan oleh 4icu.org, Universitas Dr. Soetomo menempati peringkat 194 universitas yang ada di Indonesia. Saat ini, Unitomo memiliki 9 fakultas dengan 27 program studi. Bagi kalian yang penasaran dengan universitas ini, yuk simak informasi berikut!",{},3600000.0,3600000.0,3600000.0,7200000.0,7200000.0,7200000.0
quipper-27,UNIVERSITAS RAHARJA,SWASTA,https://campus.quipper.com/directory/universitas-raharja,2499.0,484.0,"{""website"": ""www.raharja.ac.id"", ""email"": ""ppmb@raharja.info"", ""phone"": ""021 - 5529692, 5529586, 08159146745""}","Pada tahun 1994, Yayasan Nusantara mendirikan Lembaga Pendidikan dan Pelatihan Komputer  Raharja yang diresmikan oleh Walikota Tangerang saat itu, Drs.H.Djakaria Machmud. Lembaga ini mempelopori penggunaan operating system Windows beserta aplikasinya di wilayah Tangerang dan sekitarnya.",{},6050000.0,6050000.0,6050000.0,12100000.0,12100000.0,12100000.0
quipper-28,UNIVERSITAS DR. SOEBANDI,SWASTA,https://campus.quipper.com/directory/universitas-dr-soebandi,2306.0,87.0,"{""website"": ""www.uds.ac.id"", ""email"": ""info@uds.ac.id"", ""phone"": ""0331-483536""}","Awal mula berdirinya, kampus ini bernama Sekolah Tinggi Ilmu Kesehatan  Bhakti Negara di bawah naungan Yayasan Pendidikan Jember International School. Berbekal restu dari ahli waris keluarga dr. Soebandi yaitu putri ketiganya yang bernama dr. Widorini, Yayasan Jember International School mengajukan perubahan nama kepada Ditjen Dikti dari STIKES Bhakti Negara menjadi STIKES dr. Soebandi sebagai bentuk penghargaan kepada pahlawan Jember tersebut. Di tahun 2018, Akademi Kebidanan dr. Soebandi yang diselenggarakan oleh Yayasan Nasional Amanah Bangsa memutuskan untuk bergabung dengan STIKES dr. Soebandi. Berselang dua tahun kemudian tepatnya di tahun 2020, kampus ini resmi bertransformasi menjadi Universitas dr. Soebandi.",{},4775000.0,1500000.0,8050000.0,9550000.0,3000000.0,16100000.0
quipper-30,SEKOLAH TINGGI ILMU EKONOMI YAPAN SURABAYA,SWASTA,https://campus.quipper.com/directory/sekolah-tinggi-ilmu-ekonomi-yapan-surabaya,356.0,38.0,"{""website"": ""www.stieyapan.ac.id"", ""email"": ""info@stieyapan.ac.id"", ""phone"": ""031-8721694""}","Sekolah Tinggi Ilmu Ekonomi  YAPAN Surabaya berdiri pada bulan Agustus tahun 2001 di bawah naungan Yayasan Palapa Nusantara dengan membuka 2 program studi sarjana  yaitu Manajemen dan Akuntansi. Kedua program studi tersebut telah terakreditasi Baik oleh BAN-PT, lho. Selain jenjang sarjana, kampus ini juga membuka program studi magister  Manajemen.",{},3000000.0,3000000.0,3000000.0,6000000.0,6000000.0,6000000.0
quipper-32,UNIVERSITAS ADVENT INDONESIA,SWASTA,https://campus.quipper.com/directory/universitas-advent-indonesia,1910.0,89.0,"{""website"": ""www.unai.edu"", ""email"": ""publicrelations@unai.edu"", ""phone"": ""877-8391-8408""}","Universitas Advent Indonesia  didirikan pada tahun 1949 dengan nama Indonesia Union Seminary . Lalu pada tahun 1960, IUS diganti nama menjadi Perguruan Tinggi Advent dan resmi terdaftar di pemerintah pada tahun 1962. Kemudian pada tahun 1970 terdapat perubahan nama dari Perguruan Tinggi Advent menjadi Institut Theologia dan Keguruan Advent . Namun, pada tahun 1982 berubah lagi menjadi Universitas Advent Indonesia  yang kita kenal sekarang. Saat ini, UNAI memiliki 6 fakultas dan program pascasarjana yang terdiri atas berbagai bidang keilmuan.",{},13760000.0,7365000.0,20155000.0,27520000.0,14730000.0,40310000.0
quipper-33,STKIP BINA INSAN MANDIRI,SWASTA,https://campus.quipper.com/directory/stkip-bina-insan-mandiri,684.0,63.0,"{""website"": ""www.stkipbim.ac.id"", ""email"": ""admin@stkipbim.ac.id"", ""phone"": ""031-7671122, 031-7404404""}","Terbentuknya Sekolah Tinggi Keguruan dan Ilmu Pendidikan  Bina Insan Mandiri berawal dari penyerahan STKIP PGRI Mojokerto kepada Perkumpulan Pengelola Pendidikan Bina Insan Mandiri di tahun 2004. Pergantian nama kampus menjadi STKIP Bina Insan Mandiri dilaksanakan pada tanggal 12 April 2005. Sejak berdiri hingga tahun 2022, STKIP Bina Insan Mandiri telah meluluskan lebih dari 3000 alumni, lho.",{},600000.0,600000.0,600000.0,1200000.0,1200000.0,1200000.0
quipper-34,UNIVERSITAS KRISTEN PETRA,SWASTA,https://campus.quipper.com/directory/universitas-kristen-petra,7260.0,348.0,"{""website"": ""www.petra.ac.id"", ""email"": ""info@petra.ac.id"", ""phone"": ""031-8439040""}","Quipperian, Universitas Kristen Petra  merupakan salah satu kampus swasta terbaik di Indonesia dan telah mendapatkan akreditasi dari Badan Akreditasi Nasional  dengan nilai A. Kampus yang bertempat di Kota Surabaya ini memiliki delapan fakultas yang terdiri dari berbagai bidang keilmuan, mulai dari teknik, ekonomi, keguruan, hingga bidang seni. Tentunya ini akan memberi banyak pilihan bagi Quipperian yang ingin melanjutkan pendidikannya di universitas ini.",{},14000000.0,6000000.0,22000000.0,28000000.0,12000000.0,44000000.0
quipper-36,INSTITUT TEKNOLOGI DAN SAINS MANDALA,SWASTA,https://campus.quipper.com/directory/institut-teknologi-dan-sains-mandala,1772.0,44.0,"{""website"": ""www.itsm.ac.id"", ""email"": ""itsmandala@itsm.ac.id"", ""phone"": ""0331-321304""}","Institut Teknologi dan Sains  Mandala adalah bentuk tranformasi dari Sekolah Tinggi Ilmu Ekonomi Mandala yang diresmikan sejak Juli 2022. Seiring dengan peralihan bentuk menjadi institut, ITS Mandala berupaya meningkatkan pengembangan dalam proses pembelajaran berbasis teknologi informasi melalui akses global dan e-learning, penyeimbangan hard skill dan soft skill mahasiswa melalui proses pembelajaran yang berorientasi pada students centered learning, penyediaan sarana dan prasarana lengkap, serta peningkatan kemampuan entrepreneur bagi mahasiswa.",{},4350000.0,2700000.0,6000000.0,8700000.0,5400000.0,12000000.0
quipper-37,UNIVERSITAS PRAMITA INDONESIA,SWASTA,https://campus.quipper.com/directory/universitas-pramita-indonesia,1500.0,80.0,"{""website"": ""www.unpri.ac.id"", ""email"": ""marketingunpri@gmail.com"", ""phone"": ""081381862747""}","Universitas Pramita Indonesia  adalah perguruan tinggi inovatif yang banyak menjalin kemitraan dengan industri dan pemerintah. UNPRI menjawab kebutuhan generasi muda yang memerlukan pendidikan perguruan tinggi dalam mempersiapkan diri menjadi sumber daya manusia yang terdidik, unggul, dan link and match  dengan Dunia Usaha, Dunia Industri, dan Dunia Kerja  di Kabupaten Tangerang dan Provinsi Banten di lingkungan yang inklusif serta kolaboratif.",{},395000.0,395000.0,395000.0,790000.0,790000.0,790000.0
quipper-38,UNIVERSITAS NAHDLATUL ULAMA SURABAYA,SWASTA,https://campus.quipper.com/directory/universitas-nahdlatul-ulama-surabaya,6078.0,237.0,"{""website"": ""www.unusa.ac.id"", ""email"": ""info@unusa.ac.id"", ""phone"": ""+62318479070""}","Universitas Nahdlatul Ulama Surabaya  merupakan perguruan tinggi yang didirikan oleh Yayasan Rumah Sakit Islam Surabaya  pada tahun 2013. Saat ini, UNUSA terdiri atas lima fakultas yang menyediakan beberapa jenjang pendidikan di antaranya diploma, sarjana, magister, dan profesi. Yuk, simak profil berikut untuk mengetahui lebih banyak informasi terkait kampus ini!",{},18000000.0,5000000.0,31000000.0,36000000.0,10000000.0,62000000.0
quipper-39,SEKOLAH TINGGI ILMU KOMPUTER POLTEK CIREBON,SWASTA,https://campus.quipper.com/directory/sekolah-tinggi-ilmu-komputer-poltek-cirebon,342.0,43.0,"{""website"": ""www.stikompoltek.ac.id"", ""email"": ""informasi@stikompoltek.ac.id"", ""phone"": ""0231-486005, 081111112636""}","Sekolah Tinggi Ilmu Komputer Poltek Cirebon  merupakan salah satu perguruan tinggi yang bergerak di bidang Teknologi Informasi  dan terletak di wilayah Cirebon, tepatnya dalam koordinasi kopertis wilayah IV. STIKOM Poltek Cirebon memiliki visi dan misi dalam mewujudkan Sekolah Tinggi sebagai pusat pendidikan unggulan berbasis Information & Communication Technology  di tingkat nasional pada tahun 2025. Kampus ini berfokus untuk mencetak tenaga profesional yang mandiri dan mampu menerapkan keilmuan ICT di dunia kerja, melaksanakan penelitian berkualitas sesuai kebutuhan dan budaya masyarakat lokal dan nasional, melaksanakan pengabdian masyarakat yang berbasis pada pengembangan ilmu dan teknologi untuk peningkatan kesejahteraan masyarakat, serta menjalin kerjasama yang baik dengan lembaga pemerintah ataupun swasta di dalam maupun luar negeri.",{},6000000.0,6000000.0,6000000.0,12000000.0,12000000.0,12000000.0
quipper-40,UNIVERSITAS MUHAMMADIYAH MALANG,SWASTA,https://campus.quipper.com/directory/universitas-muhammadiyah-malang,7500.0,812.0,"{""website"": ""umm.ac.id"", ""email"": ""humas@umm.ac.id"", ""phone"": ""0341-464318""}","Universitas Muhammadiyah Malang  merupakan perguruan tinggi swasta  yang didirikan tahun 1964 dan berada di bawah naungan Persyarikatan Muhammadiyah. Saat ini, UMM memiliki 62 program studi dalam beberapa jenjang pendidikan .",{},5300000.0,5300000.0,5300000.0,10600000.0,10600000.0,10600000.0
quipper-41,STKIP WIDYA YUWANA,SWASTA,https://campus.quipper.com/directory/stkip-widya-yuwana,229.0,17.0,"{""website"": ""www.widyayuwana.ac.id"", ""email"": ""pmbwidyayuwana@gmail.com"", ""phone"": ""0351-463208""}","Tahukah Quipperian, STKIP Widya Yuwana sempat menjadi bagian dari Universitas Katolik Widya Mandala yang berpusat di Surabaya? Cikal bakal sekolah tinggi ini adalah Akademi Lembaga Misionaris Awam yang di tahun 1960 bergabung menjadi jurusan di Fakultas Pendidikan Universitas Katolik Widya Mandala. Barulah sejak tahun 1985, resmi berdiri sendiri sebagai STKIP Widya Yuwana.",{},5000000.0,5000000.0,5000000.0,10000000.0,10000000.0,10000000.0
quipper-42,SEKOLAH TINGGI ILMU KESEHATAN KEPANJEN,SWASTA,https://campus.quipper.com/directory/sekolah-tinggi-ilmu-kesehatan-kepanjen,598.0,31.0,"{""website"": ""www.stikeskepanjen-pemkabmalang.ac.id"", ""email"": ""stikeskpj@stikeskepanjen-pemkabmalang.ac.id"", ""phone"": ""0341-397644""}","Awal berdirinya Sekolah Tinggi Ilmu Kesehatan Kepanjen dimulai dari pengembangan Sekolah Perawat Kesehatan  Kepanjen. SPK Kepanjen berdiri pada 1 Oktober 1985 yang diawali dari kelas Ekstensi SPK Depkes Celaket Malang, ketika itu berada di bawah pembinaan Rumah Sakit Umum Kanjuruhan Kepanjen. Seiring bertambahnya kebutuhan tenaga kesehatan yang menuntut peningkatan jenjang pendidikan bagi tenaga profesi keperawatan, kemudian status SPK Kepanjen berubah menjadi Akademi Keperawatan Kabupaten Malang pada tahun 1998. Barulah di tahun 2009, kampus ini resmi berubah bentuk menjadi Sekolah Tinggi Ilmu Kesehatan Kepanjen.",{},7725000.0,3950000.0,11500000.0,15450000.0,7900000.0,23000000.0
quipper-44,POLITEKNIK ASTRA,SWASTA,https://campus.quipper.com/directory/politeknik-astra,750.0,72.0,"{""website"": ""www.polytechnic.astra.ac.id"", ""email"": ""sekretariat@polman.astra.ac.id"", ""phone"": ""081384296901, 0216519555 / 821""}","Politeknik Astra berdiri pada tahun 1995 dan berada di bawah naungan yayasan milik PT Astra International Tbk. Awalnya perguruan tinggi ini bernama Akademi Teknik Federal, lalu pada tahun 2001 berganti nama menjadi Politeknik Manufaktur Astra . Barulah kemudian pada tahun 2021 diubah lagi menjadi Politeknik Astra. Saat ini, Politeknik Astra memiliki 6 program studi yaitu D3 Teknik Pembuatan Peralatan Perkakas Produksi , D3 Teknik Produksi dan Proses Manufaktur , D3 Manajemen Informatika , D3 Mesin Otomotif , D3 Mekatronika , dan D3 Teknologi Konstruksi Bangunan Gedung .",{},10000000.0,10000000.0,10000000.0,20000000.0,20000000.0,20000000.0
quipper-45,SEKOLAH TINGGI ILMU EKONOMI MAHARDHIKA,SWASTA,https://campus.quipper.com/directory/sekolah-tinggi-ilmu-ekonomi-mahardhika,8060.0,172.0,"{""website"": ""www.stiemahardhika.com"", ""email"": ""institusi.stiem@stiemahardhika.ac.id"", ""phone"": ""031-8550077, 8550099""}","Hai Quipperian, apakah kalian memiliki cita-cita menjadi seorang manajer, akuntan, atau jenjang karier lainnya di bidang bisnis dan keuangan? Kampus yang berlokasi di Surabaya ini bisa kamu jadikan pilihan yang tepat untuk menimba ilmu, lho! Perguruan tinggi yang memiliki fokus pada bidang ilmu ekonomi dan penerapan teknologi informasi ini akan menunjang cita-cita dan karier Quipperian di masa depan. Ingin tahu lebih lanjut tentang STIE Mahardhika? Yuk, simak profil lengkapnya!",{},5050000.0,3600000.0,6500000.0,10100000.0,7200000.0,13000000.0
