institution_code,institution_name,email,akreditasi_institusi,link
24,AKADEMI KESEHATAN ARGA HUSADA,ARGAHUSADA_PARE@YAHOO.COM,BELUM TERAKREDITASI/KEDALUARSA,HTTPS://LLDIKTI7.KEMDIKBUD.GO.ID/DETAIL-PERGURUAN-TINGGI/74107
25,AKADEMI KESEHATAN DHARMA HUSADA KEDIRI,"AKBID_DHARMA_KDR@YAHOO.COM, AKPERDH@GMAIL.COM",BAIK,HTTPS://LLDIKTI7.KEMDIKBUD.GO.ID/DETAIL-PERGURUAN-TINGGI/74138
26,AKADEMI KESEHATAN SUMENEP,AKADEMIKESEHATANSUMENEP@GMAIL.COM,BAIK,HTTPS://LLDIKTI7.KEMDIKBUD.GO.ID/DETAIL-PERGURUAN-TINGGI/74133
27,AKADEMI KOMUNITAS DARUSSALAM BLOKAGUNG,AKBPBLOKAGUNG@GMAIL.COM,BAIK,HTTPS://LLDIKTI7.KEMDIKBUD.GO.ID/DETAIL-PERGURUAN-TINGGI/76006
28,AKADEMI KOMUNITAS KEBUN ANOM,-,BELUM TERAKREDITASI/KEDALUARSA,HTTPS://LLDIKTI7.KEMDIKBUD.GO.ID/DETAIL-PERGURUAN-TINGGI/76005
29,AKADEMI KOMUNITAS KOPI AL-HASAN,-,BELUM TERAKREDITASI/KEDALUARSA,HTTPS://LLDIKTI7.KEMDIKBUD.GO.ID/DETAIL-PERGURUAN-TINGGI/76008
30,AKADEMI KOMUNITAS NURUL JADID,YAYASAN.MAHAD.NURULJADID.JBR@GMAIL.COM,BAIK,HTTPS://LLDIKTI7.KEMDIKBUD.GO.ID/DETAIL-PERGURUAN-TINGGI/76007
31,AKADEMI KOMUNITAS PENABULU SAMUDRA WIYATA,-,BELUM TERAKREDITASI/KEDALUARSA,HTTPS://LLDIKTI7.KEMDIKBUD.GO.ID/DETAIL-PERGURUAN-TINGGI/76010
32,AKADEMI KOMUNITAS SEMEN INDONESIA,AKSI.SEMENINDONESIA@GMAIL.COM,BELUM TERAKREDITASI/KEDALUARSA,HTTPS://LLDIKTI7.KEMDIKBUD.GO.ID/DETAIL-PERGURUAN-TINGGI/76001
33,AKADEMI KOMUNITAS TEKNOLOGI SYARIFUDDIN,OFFICIAL@AKTS.AC.ID,BAIK,HTTPS://LLDIKTI7.KEMDIKBUD.GO.ID/DETAIL-PERGURUAN-TINGGI/76003
34,AKADEMI KULINER DAN PATISERI OTTIMMO INTERNASIONAL,"INFO@OTTIMO-INTERNATIONAL.COM, PRODIKULINER@OTTIMMO.AC.ID",BAIK,HTTPS://LLDIKTI7.KEMDIKBUD.GO.ID/DETAIL-PERGURUAN-TINGGI/74130
35,AKADEMI KULINER MONAS PASIFIK,INFO@MONASKULINER.COM,BAIK,HTTPS://LLDIKTI7.KEMDIKBUD.GO.ID/DETAIL-PERGURUAN-TINGGI/74057
36,AKADEMI MANAJEMEN INFORMATIKA DAN KOMPUTER JOMBANG,AMIK-JOMBANG@GMAIL.COM,BAIK,HTTPS://LLDIKTI7.KEMDIKBUD.GO.ID/DETAIL-PERGURUAN-TINGGI/74023
37,AKADEMI MANAJEMEN INFORMATIKA DAN KOMPUTER TARUNA,AMIK.TARUNA.PROBOLINGGO@GMAIL.COM,BAIK,HTTPS://LLDIKTI7.KEMDIKBUD.GO.ID/DETAIL-PERGURUAN-TINGGI/74033
38,AKADEMI MANAJEMEN KOPERASI TANTULAR,AMKOPTANTULAR@GMAIL.COM,BAIK,HTTPS://LLDIKTI7.KEMDIKBUD.GO.ID/DETAIL-PERGURUAN-TINGGI/74014
39,AKADEMI MANAJEMEN PERPAJAKAN INDONESIA BLITAR,AMPINDO@PLASA.COM,BELUM TERAKREDITASI/KEDALUARSA,HTTPS://LLDIKTI7.KEMDIKBUD.GO.ID/DETAIL-PERGURUAN-TINGGI/74018
40,AKADEMI PARIWISATA 17 AGUSTUS 1945 SURABAYA,-,BELUM TERAKREDITASI/KEDALUARSA,HTTPS://LLDIKTI7.KEMDIKBUD.GO.ID/DETAIL-PERGURUAN-TINGGI/74027
41,AKADEMI PARIWISATA DAN PERHOTELAN GANESHA,INFO@APARTEL-GANESHA.AC.ID,BAIK,HTTPS://LLDIKTI7.KEMDIKBUD.GO.ID/DETAIL-PERGURUAN-TINGGI/74064
42,AKADEMI PARIWISATA MAJAPAHIT,AKPARMAJAPAHIT@GMAIL.COM,BAIK,HTTPS://LLDIKTI7.KEMDIKBUD.GO.ID/DETAIL-PERGURUAN-TINGGI/74032
43,AKADEMI REFRAKSI OPTISI SURABAYA,"ARO_SBY@YAHOO.CO.ID, ARO_SBY@TELKOM.NET",BAIK,HTTPS://LLDIKTI7.KEMDIKBUD.GO.ID/DETAIL-PERGURUAN-TINGGI/74081
44,AKADEMI SAGES,INFO@SAGES.AC.ID,BELUM TERAKREDITASI/KEDALUARSA,HTTPS://LLDIKTI7.KEMDIKBUD.GO.ID/DETAIL-PERGURUAN-TINGGI/74134
45,AKADEMI SEKRETARI DAN MANAJEMEN INDONESIA SURABAYA,INFO@ASMISURABAYA.AC.ID,BAIK,HTTPS://LLDIKTI7.KEMDIKBUD.GO.ID/DETAIL-PERGURUAN-TINGGI/74002
46,AKADEMI TEKNIK ALAT BERAT INDONESIA,-,BAIK,HTTPS://LLDIKTI7.KEMDIKBUD.GO.ID/DETAIL-PERGURUAN-TINGGI/74136
47,AKBID HARAPAN MULYA PONOROGO,AKBIDHARAPANMULYA@GMAIL.COM,BAIK,HTTPS://LLDIKTI7.KEMDIKBUD.GO.ID/DETAIL-PERGURUAN-TINGGI/74088
48,IKIP PGRI BOJONEGORO,REKTORAT@IKIPPGRIBOJONEGORO.AC.ID,BAIK,HTTPS://LLDIKTI7.KEMDIKBUD.GO.ID/DETAIL-PERGURUAN-TINGGI/72011
49,IKIP WIDYA DARMA,IKIP.WIDYA.DHARMA@GMAIL.COM,BAIK,HTTPS://LLDIKTI7.KEMDIKBUD.GO.ID/DETAIL-PERGURUAN-TINGGI/72003
50,INSTITUT ILMU KESEHATAN BHAKTI WIYATA KEDIRI,"IIKREKTORAT@YAHOO.CO.ID, ADMIN@IIK.AC.ID",BAIK SEKALI,HTTPS://LLDIKTI7.KEMDIKBUD.GO.ID/DETAIL-PERGURUAN-TINGGI/72015
51,INSTITUT ILMU KESEHATAN NAHDLATUL ULAMA TUBAN,ADMIN@STIKESNU.COM,BAIK,HTTPS://LLDIKTI7.KEMDIKBUD.GO.ID/DETAIL-PERGURUAN-TINGGI/72029
52,INSTITUT INFORMATIKA INDONESIA SURABAYA,INFO@III.AC.ID,BAIK,HTTPS://LLDIKTI7.KEMDIKBUD.GO.ID/DETAIL-PERGURUAN-TINGGI/72014
53,INSTITUT KESEHATAN DAN BISNIS SURABAYA,-,BAIK,HTTPS://LLDIKTI7.KEMDIKBUD.GO.ID/DETAIL-PERGURUAN-TINGGI/72028
54,INSTITUT PERTANIAN MALANG,ADMIN@IPM.AC.ID,BAIK,HTTPS://LLDIKTI7.KEMDIKBUD.GO.ID/DETAIL-PERGURUAN-TINGGI/72006
55,INSTITUT SAINS DAN TEKNOLOGI PALAPA,INSTITUTSAINS.TEKNOLOGIPALAPA@GMAIL.COM,BELUM TERAKREDITASI/KEDALUARSA,HTTPS://LLDIKTI7.KEMDIKBUD.GO.ID/DETAIL-PERGURUAN-TINGGI/72013
56,INSTITUT SAINS DAN TEKNOLOGI TERPADU SURABAYA,"WEB_ADMIN@STTS.EDU, REKTORAT@STTS.EDU",B,HTTPS://LLDIKTI7.KEMDIKBUD.GO.ID/DETAIL-PERGURUAN-TINGGI/72021
57,INSTITUT SAINS TEKNOLOGI DAN KESEHATAN INSAN CENDEKIA HUSADA BOJONEGORO,"STIKESICSADA1.BOJONEGORO@GMAIL.COM, ADMIN@STIKESICSADA.AC.ID",BAIK,HTTPS://LLDIKTI7.KEMDIKBUD.GO.ID/DETAIL-PERGURUAN-TINGGI/72041
58,INSTITUT TEKNOLOGI ADHI TAMA SURABAYA,"ITATS@ITATS.AC.ID, FORLAP@ITATS.AC.ID",BAIK SEKALI,HTTPS://LLDIKTI7.KEMDIKBUD.GO.ID/DETAIL-PERGURUAN-TINGGI/72002
59,INSTITUT TEKNOLOGI AI MAHRUSIYAH,-,BELUM TERAKREDITASI/KEDALUARSA,HTTPS://LLDIKTI7.KEMDIKBUD.GO.ID/DETAIL-PERGURUAN-TINGGI/72035
60,INSTITUT TEKNOLOGI BISNIS DAN KESEHATAN MUHAMMADIYAH TULUNGAGUNG,BPH.ITBKMT@GMAIL.COM,BAIK,HTTPS://LLDIKTI7.KEMDIKBUD.GO.ID/DETAIL-PERGURUAN-TINGGI/72038
61,INSTITUT TEKNOLOGI DAN BISNIS AHMAD DAHLAN LAMONGAN,STIEKHADLA@YAHOO.CO.ID,BAIK,HTTPS://LLDIKTI7.KEMDIKBUD.GO.ID/DETAIL-PERGURUAN-TINGGI/72027
62,INSTITUT TEKNOLOGI DAN BISNIS ASIA MALANG,LPMI.STMIK.ASIA@GMAIL.COM,BAIK,HTTPS://LLDIKTI7.KEMDIKBUD.GO.ID/DETAIL-PERGURUAN-TINGGI/72023
63,INSTITUT TEKNOLOGI DAN BISNIS KRISTEN REGENT,-,BELUM TERAKREDITASI/KEDALUARSA,HTTPS://LLDIKTI7.KEMDIKBUD.GO.ID/DETAIL-PERGURUAN-TINGGI/72036
64,INSTITUT TEKNOLOGI DAN BISNIS MUHAMMADIYAH BANYUWANGI,BPH.ITBM@GMAIL.COM,BELUM TERAKREDITASI/KEDALUARSA,HTTPS://LLDIKTI7.KEMDIKBUD.GO.ID/DETAIL-PERGURUAN-TINGGI/72024
65,INSTITUT TEKNOLOGI DAN BISNIS TRENGGALEK,ITB.TRENGGALEK@GMAIL.COM,BAIK,HTTPS://LLDIKTI7.KEMDIKBUD.GO.ID/DETAIL-PERGURUAN-TINGGI/72033
66,INSTITUT TEKNOLOGI DAN BISNIS TUBAN,ITB.TUBAN.JATIM@GMAIL.COM,BAIK,HTTPS://LLDIKTI7.KEMDIKBUD.GO.ID/DETAIL-PERGURUAN-TINGGI/72037
67,INSTITUT TEKNOLOGI DAN BISNIS WIDYA GAMA LUMAJANG,INFO@STIEWIDYAGAMALUMAJANG.AC.ID,BAIK,HTTPS://LLDIKTI7.KEMDIKBUD.GO.ID/DETAIL-PERGURUAN-TINGGI/72034
68,INSTITUT TEKNOLOGI DAN BISNIS YADIKA PASURUAN,"MAIL@STMIK-YADIKA.AC.ID
 STIE.YADIKA.BANGIL@GMAIL.COM",BAIK,HTTPS://LLDIKTI7.KEMDIKBUD.GO.ID/DETAIL-PERGURUAN-TINGGI/72040
69,INSTITUT TEKNOLOGI DAN SAINS MANDALA,STIE-MJ@STIE-MANDALA.AC.ID,BAIK,HTTPS://LLDIKTI7.KEMDIKBUD.GO.ID/DETAIL-PERGURUAN-TINGGI/72042
70,INSTITUT TEKNOLOGI INSAN CENDEKIA MANDIRI,KAMPUS.ITICM@GMAIL.COM,BAIK,HTTPS://LLDIKTI7.KEMDIKBUD.GO.ID/DETAIL-PERGURUAN-TINGGI/72030
71,INSTITUT TEKNOLOGI KESEHATAN MALANG WIDYA CIPTA HUSADA,STIKES.WCH@GMAIL.COM,BAIK,HTTPS://LLDIKTI7.KEMDIKBUD.GO.ID/DETAIL-PERGURUAN-TINGGI/72031
72,INSTITUT TEKNOLOGI MOJOSARI,ADMIN@ITMNGANJUK.AC.ID,TIDAK TERAKREDITASI,HTTPS://LLDIKTI7.KEMDIKBUD.GO.ID/DETAIL-PERGURUAN-TINGGI/72032
73,INSTITUT TEKNOLOGI NASIONAL MALANG,"ITN@ITN.AC.ID, REKTORAT@SCHOLAR.ITN.AC.ID",B,HTTPS://LLDIKTI7.KEMDIKBUD.GO.ID/DETAIL-PERGURUAN-TINGGI/72004
74,INSTITUT TEKNOLOGI PEMBANGUNAN SURABAYA,SBYITPS@GMAIL.COM,BELUM TERAKREDITASI/KEDALUARSA,HTTPS://LLDIKTI7.KEMDIKBUD.GO.ID/DETAIL-PERGURUAN-TINGGI/72001
75,INSTITUT TEKNOLOGI SAINS DAN KESEHATAN INSAN CENDEKIA MEDIKA JOMBANG,BAAK.ICME@GMAIL.COM,BAIK,HTTPS://LLDIKTI7.KEMDIKBUD.GO.ID/DETAIL-PERGURUAN-TINGGI/72039
76,"INSTITUT TEKNOLOGI, SAINS, DAN KESEHATAN RS.DR. SOEPRAOEN KESDAM V/BRW","TUPOLTEKKESDRSOEPRAOEN@GMAIL.COM, INFORMASI@POLTEKKES-SOEPRAOEN.AC.ID",BELUM TERAKREDITASI/KEDALUARSA,HTTPS://LLDIKTI7.KEMDIKBUD.GO.ID/DETAIL-PERGURUAN-TINGGI/72026
77,KING'S COLLEGE LONDON,-,BELUM TERAKREDITASI/KEDALUARSA,HTTPS://LLDIKTI7.KEMDIKBUD.GO.ID/DETAIL-PERGURUAN-TINGGI/71119
78,POLITEKNIK BATU,-,BELUM TERAKREDITASI/KEDALUARSA,HTTPS://LLDIKTI7.KEMDIKBUD.GO.ID/DETAIL-PERGURUAN-TINGGI/75024
79,POLITEKNIK CAHAYA SURYA,OFFICE@CAHAYASURYA.AC.ID,TIDAK TERAKREDITASI,HTTPS://LLDIKTI7.KEMDIKBUD.GO.ID/DETAIL-PERGURUAN-TINGGI/75001
80,POLITEKNIK INTERNASIONAL TAMANSISWA MOJOKERTO,-,BAIK,HTTPS://LLDIKTI7.KEMDIKBUD.GO.ID/DETAIL-PERGURUAN-TINGGI/75020
81,POLITEKNIK KESEHATAN JEMBER,"AKBIDJEMBER@GMAIL.COM, AKFARJEMBER@GMAIL.COM",BAIK,HTTPS://LLDIKTI7.KEMDIKBUD.GO.ID/DETAIL-PERGURUAN-TINGGI/75023
82,POLITEKNIK KESEHATAN KERTA CENDEKIA,AKPER.KERTACENDEKIA@GMAIL.COM,BAIK,HTTPS://LLDIKTI7.KEMDIKBUD.GO.ID/DETAIL-PERGURUAN-TINGGI/75017
83,POLITEKNIK KESEHATAN PUTRA INDONESIA MALANG,"AKFAR.PIM@GMAIL.COM, AKAFARMA_PIM@YAHOO.COM, AKAFARMA.PIM@GMAIL.COM",BAIK,HTTPS://LLDIKTI7.KEMDIKBUD.GO.ID/DETAIL-PERGURUAN-TINGGI/75022
84,POLITEKNIK KESEHATAN WIRA HUSADA NUSANTARA MALANG,AKBIDWHNMLG@GMAIL.COM,BAIK,HTTPS://LLDIKTI7.KEMDIKBUD.GO.ID/DETAIL-PERGURUAN-TINGGI/75018
85,POLITEKNIK KOTA MALANG,INFO@POLTEKOM.AC.ID,BAIK,HTTPS://LLDIKTI7.KEMDIKBUD.GO.ID/DETAIL-PERGURUAN-TINGGI/75010
86,POLITEKNIK MASAMY INTERNASIONAL,MASAMI.INTERNASIONAL@GMAIL.COM,BAIK,HTTPS://LLDIKTI7.KEMDIKBUD.GO.ID/DETAIL-PERGURUAN-TINGGI/75015
87,POLITEKNIK MERCUSUAR INDONESIA,AMW@MEDIKAWIYATA.AC.ID,BELUM TERAKREDITASI/KEDALUARSA,HTTPS://LLDIKTI7.KEMDIKBUD.GO.ID/DETAIL-PERGURUAN-TINGGI/75019
88,POLITEKNIK MITRA GLOBAL,POLITEKNIKMG@GMAIL.COM,BELUM TERAKREDITASI/KEDALUARSA,HTTPS://LLDIKTI7.KEMDIKBUD.GO.ID/DETAIL-PERGURUAN-TINGGI/75016
89,POLITEKNIK NSC SURABAYA,NSCPOITEK@NSCPOLTEKSBY.AC.ID,BAIK,HTTPS://LLDIKTI7.KEMDIKBUD.GO.ID/DETAIL-PERGURUAN-TINGGI/75002
90,POLITEKNIK PERTANIAN DAN PETERNAKAN MAPENA,POLTANAMAPENA@YAHOO.CO.ID,BAIK,HTTPS://LLDIKTI7.KEMDIKBUD.GO.ID/DETAIL-PERGURUAN-TINGGI/75014
91,POLITEKNIK SAKTI SURABAYA,BAAKPOLTEKSAKTI@GMAIL.COM,BELUM TERAKREDITASI/KEDALUARSA,HTTPS://LLDIKTI7.KEMDIKBUD.GO.ID/DETAIL-PERGURUAN-TINGGI/75007
92,POLITEKNIK SEMEN INDONESIA,-,BAIK,HTTPS://LLDIKTI7.KEMDIKBUD.GO.ID/DETAIL-PERGURUAN-TINGGI/75021
93,POLITEKNIK SURABAYA,"POLITEKNIKSBY@GMAIL.COM, INFO@POLTEKSURABAYA.AC.ID",TIDAK TERAKREDITASI,HTTPS://LLDIKTI7.KEMDIKBUD.GO.ID/DETAIL-PERGURUAN-TINGGI/75004
94,POLITEKNIK UBAYA,"POLTEK@UBAYA.AC.ID, POLTEK@UNIT.UBAYA.AC.ID",BAIK SEKALI,HTTPS://LLDIKTI7.KEMDIKBUD.GO.ID/DETAIL-PERGURUAN-TINGGI/75003
95,POLITEKNIK UNISMA MALANG,ADMIN@POLTEKUNISMA.AC.ID,BAIK,HTTPS://LLDIKTI7.KEMDIKBUD.GO.ID/DETAIL-PERGURUAN-TINGGI/75005
96,SEKOLAH TINGGI BAHASA ASING CAHAYA SURYA,OFFICE@CAHAYASURYA.AC.ID,BELUM TERAKREDITASI/KEDALUARSA,HTTPS://LLDIKTI7.KEMDIKBUD.GO.ID/DETAIL-PERGURUAN-TINGGI/73118
97,SEKOLAH TINGGI BAHASA ASING MALANG,MALANGSTIBA87@YAHOO.COM,BAIK,HTTPS://LLDIKTI7.KEMDIKBUD.GO.ID/DETAIL-PERGURUAN-TINGGI/73055
98,SEKOLAH TINGGI FILSAFAT TEOLOGI WIDYA SASANA,STFTWS@GMAIL.COM,BELUM TERAKREDITASI/KEDALUARSA,HTTPS://LLDIKTI7.KEMDIKBUD.GO.ID/DETAIL-PERGURUAN-TINGGI/73020
99,SEKOLAH TINGGI ILMU ADMINISTRASI BAYUANGGA,STIA_BAYUANGGA@YAHOO.CO.ID,BAIK,HTTPS://LLDIKTI7.KEMDIKBUD.GO.ID/DETAIL-PERGURUAN-TINGGI/73038
100,SEKOLAH TINGGI ILMU ADMINISTRASI MALANG,INFO@STIA-MALANG.AC.ID,BAIK,HTTPS://LLDIKTI7.KEMDIKBUD.GO.ID/DETAIL-PERGURUAN-TINGGI/73023
101,SEKOLAH TINGGI ILMU ADMINISTRASI PEMBANGUNAN,STIA.PEMBANGUNAN@YAHOO.CO.ID,BAIK,HTTPS://LLDIKTI7.KEMDIKBUD.GO.ID/DETAIL-PERGURUAN-TINGGI/73058
102,SEKOLAH TINGGI ILMU BAHASA DAN SASTRA SATYA WIDYA,STIBA.SURABAYA@GMAIL.COM,BAIK,HTTPS://LLDIKTI7.KEMDIKBUD.GO.ID/DETAIL-PERGURUAN-TINGGI/73011
103,SEKOLAH TINGGI ILMU EKONOMI AL-ANWAR,INFO@STIE-ALANWAR.AC.ID,BAIK,HTTPS://LLDIKTI7.KEMDIKBUD.GO.ID/DETAIL-PERGURUAN-TINGGI/73094
104,SEKOLAH TINGGI ILMU EKONOMI ARTHA BODHI ISWARA,0,BAIK,HTTPS://LLDIKTI7.KEMDIKBUD.GO.ID/DETAIL-PERGURUAN-TINGGI/73007
105,SEKOLAH TINGGI ILMU EKONOMI CENDEKIA BOJONEGORO,STIE.CENDEKIA.BOJONEGORO@GMAIL.COM,BAIK,HTTPS://LLDIKTI7.KEMDIKBUD.GO.ID/DETAIL-PERGURUAN-TINGGI/73089
106,SEKOLAH TINGGI ILMU EKONOMI DARUL FALAH,"STIEDARULFALAHMOJOKERTO@GMAIL.COM, STIEDAFA@YAHOO.CO.ID",BAIK,HTTPS://LLDIKTI7.KEMDIKBUD.GO.ID/DETAIL-PERGURUAN-TINGGI/73185
107,SEKOLAH TINGGI ILMU EKONOMI DHARMA NASIONAL JEMBER,STIE_DHARMANASIONAL@YAHOO.CO.ID,BAIK,HTTPS://LLDIKTI7.KEMDIKBUD.GO.ID/DETAIL-PERGURUAN-TINGGI/73028
108,SEKOLAH TINGGI ILMU EKONOMI GEMPOL,STIEWALISONGO@GMAIL.COM,BAIK,HTTPS://LLDIKTI7.KEMDIKBUD.GO.ID/DETAIL-PERGURUAN-TINGGI/73106
109,SEKOLAH TINGGI ILMU EKONOMI IBMT,IBMTEDU@IBMT.AC.ID,BAIK,HTTPS://LLDIKTI7.KEMDIKBUD.GO.ID/DETAIL-PERGURUAN-TINGGI/73075
110,SEKOLAH TINGGI ILMU EKONOMI IEU,INFO@IEU.AC.ID,BAIK,HTTPS://LLDIKTI7.KEMDIKBUD.GO.ID/DETAIL-PERGURUAN-TINGGI/73069
111,SEKOLAH TINGGI ILMU EKONOMI INDOCAKTI,"HUMAS.STIEINDOCAKTI@GMAIL.COM, INFO@INDOCAKTI.AC.ID",BAIK,HTTPS://LLDIKTI7.KEMDIKBUD.GO.ID/DETAIL-PERGURUAN-TINGGI/73111
112,SEKOLAH TINGGI ILMU EKONOMI INDONESIA MALANG,STIEI.MALANG@GMAIL.COM,BAIK,HTTPS://LLDIKTI7.KEMDIKBUD.GO.ID/DETAIL-PERGURUAN-TINGGI/73024
113,SEKOLAH TINGGI ILMU EKONOMI INDONESIA SURABAYA,"STIESIA@SBY.DNET.NET.ID, STIESIA@STIESIA.AC.ID",B,HTTPS://LLDIKTI7.KEMDIKBUD.GO.ID/DETAIL-PERGURUAN-TINGGI/73001
114,SEKOLAH TINGGI ILMU EKONOMI JAYA NEGARA TAMANSISWA,"STIEKN_JAYANEGARA@YAHOO.COM, STIEKNJAYANEGARA@GMAIL.COM",BAIK,HTTPS://LLDIKTI7.KEMDIKBUD.GO.ID/DETAIL-PERGURUAN-TINGGI/73018
115,SEKOLAH TINGGI ILMU EKONOMI KERTANEGARA,ADMINISTRASI@STIEKMA.AC.ID,BAIK,HTTPS://LLDIKTI7.KEMDIKBUD.GO.ID/DETAIL-PERGURUAN-TINGGI/73022
116,SEKOLAH TINGGI ILMU EKONOMI KESUMANEGARA,INFO@STIEKEN.AC.ID,BAIK,HTTPS://LLDIKTI7.KEMDIKBUD.GO.ID/DETAIL-PERGURUAN-TINGGI/73063
117,SEKOLAH TINGGI ILMU EKONOMI KOPERASI MALANG,STIEKOP_MALANG@YAHOO.CO.ID,BAIK,HTTPS://LLDIKTI7.KEMDIKBUD.GO.ID/DETAIL-PERGURUAN-TINGGI/73056
