quipper_institution_code,email,institution_name,body_type,link,fee,student_amount,lecturer_amount,contact,description,unknown_field
11,admin@stimbudibakti.ac.id,Sekolah Tinggi Ilmu Manajemen Budi Bakti,Sekolah Tinggi Swasta,https://campus.quipper.com/directory/sekolah-tinggi-ilmu-manajemen-budi-bakti,Rp1.200.000 - Rp1.800.000 per semester,493,41,"{""website"": ""https://stimbudibakti.ac.id/"", ""email"": ""admin@stimbudibakti.ac.id"", ""phone"": ""0251-8606509, 082111785006""}","Sekolah Tinggi Ilmu Manajemen Budi Bakti (STIM Budi Bakti) dibangun pada tahun 2002. Awalnya, sekolah tinggi ini berada di bawah naungan Yayasan Pendidikan Ilmu Bakti, lalu pengelolaannya beralih ke Yayasan Dompet Dhuafa Republika pada tahun 2019. Sejak awal berdiri, STIM Budi Bakti memiliki 5 prinsip people campus: accesable, empowerment, social impact, dedication, dan local wisdom. Terbentuknya prinsip ini sejalan dengan tekad untuk mewujudkan visi dan misi kampus ini, yaitu menjadi people campus yang terdepan dalam menghasilkan lulusan berkarakter sosiotechnopreneur.",{}
12,info@ubm.ac.id,Universitas Bunda Mulia (UBM),Universitas Swasta,https://campus.quipper.com/directory/universitas-bunda-mulia-ubm,Rp9.000.000-Rp11.500.000 per-semester,8441,316,"{""website"": ""www.ubm.ac.id"", ""email"": ""info@ubm.ac.id"", ""phone"": ""021-6909090, 021-80821428""}","Kampus unggulan Universitas Bunda Mulia (UBM) yang berada di bawah Yayasan Pendidikan Bunda Mulia ini telah sukses berkiprah selama 34 tahun di bidang pendidikan negeri ini, lho, Quipperian.",{}
13,humas@uika-bogor.ac.id,Universitas Ibn Khaldun Bogor,Universitas Swasta,https://campus.quipper.com/directory/universitas-ibn-khaldun-bogor,Rata-rata 6.000.000 per semester,7910,285,"{""website"": ""https://uika-bogor.ac.id/"", ""email"": ""humas@uika-bogor.ac.id"", ""phone"": ""0251-8356884""}","Universitas Ibn Khaldun (UIKA) Bogor merupakan kampus Islam yang didirikan oleh para tokoh bangsa dan alim ulama, dan berdiri sejak 1961 di bawah naungan Yayasan Pendidikan Islam Ibn Khaldun Bogor. Sejak awal berdiri, UIKA Bogor telah banyak melahirkan lulusan yang berhasil serta turut berperan membangun bangsa dan negara di berbagai bidang, baik pada skala lokal, nasional, maupun Internasional.",{}
14,info@stikosa-aws.ac.id,Sekolah Tinggi Ilmu Komunikasi Almamater Wartawan Surabaya,Sekolah Tinggi Swasta,https://campus.quipper.com/directory/sekolah-tinggi-ilmu-komunikasi-almamater-wartawan-surabaya,Rp950.000 - Rp1.050.000 per bulan,417,15,"{""website"": ""www.stikosa-aws.ac.id"", ""email"": ""info@stikosa-aws.ac.id"", ""phone"": ""031-5967164""}","Sekolah Tinggi Ilmu Komunikasi Almamater Wartawan Surabaya didirikan pada tahun 1964 dengan nama Akademi Wartawan Surabaya. Seiring berjalannya waktu, pada tahun 1984 akademi tersebut berkembang menjadi Sekolah Tinggi Ilmu Komunikasi Massa (Stikosa)-Almamater Wartawan Surabaya (AWS). Saat ini, Stikosa-AWS hanya menyediakan satu program studi yakni S1 Ilmu Komunikasi.",{}
15,info@nusamadiri.ac.id,Universitas Nusa Mandiri,Universitas Swasta,https://campus.quipper.com/directory/stmik-nusa-mandiri,Rp4.000.000 - Rp10.000.000 per semester,3514,267,"{""website"": ""www.nusamandiri.ac.id"", ""email"": ""info@nusamadiri.ac.id"", ""phone"": ""(021) 8005722""}","Universitas Nusa Mandiri (UNM) memiliki visi menjadi sekolah tinggi yang berkualitas di bidang pendidikan, penelitian, dan pengabdian masyarakat berbasis teknologi informasi di tahun 2035. Saat ini, Universitas Nusa Mandiri memiliki tujuh kampus yang tersebar di empat kota yakni Jakarta, Depok, Bekasi, dan Tangerang. Selain itu, UNM juga memiliki tujuh program studi yaitu S1 Informatika, S1 Sistem Informasi, S1 Sains Data, S1 Manajemen, S1 Bisnis Digital, S2 Ilmu Komputer, dan D3 Perhotelan. Sebagian besar program studi telah terakreditasi oleh Badan Akreditasi Nasional Perguruan Tinggi (BAN-PT).",{}
16,info@uia.ac.id,Universitas Islam As-Syafi'iyah,Universitas Swasta,https://campus.quipper.com/directory/universitas-islam-as-syafi-iyah,Rp4.700.000 - Rp5.250.000 per semester,4101,194,"{""website"": ""www.uia.ac.id"", ""email"": ""info@uia.ac.id"", ""phone"": ""087783223999""}","Universitas Islam As-Syafi’iyah (UIA) pada mulanya berbentuk akademi dengan nama Akademi Pendidikan Islam (AKPI) As-Syafi’iyah yang didirikan pada tanggal 14 November 1965. Pada tanggal 12 Maret 1969, AKPI ditingkatkan statusnya menjadi universitas. Saat ini, UIA memiliki 14 program studi yang terbagi menjadi 6 fakultas yakni Agama Islam, Hukum, Ekonomi & Bisnis, Sains & Teknologi, Keguruan & Ilmu Pendidikan, serta Ilmu Kesehatan. Jika Quipperian ingin melanjutkan pendidikan ke perguruan tinggi yang mengintegrasi ilmu dengan agama, maka UIA dapat menjadi pilihan yang tepat!",{}
17,info@stiemj.ac.id,Sekolah Tinggi Ilmu Ekonomi Muhammadiyah Jakarta (STIEMJ),Lainnya,https://campus.quipper.com/directory/sekolah-tinggi-ilmu-ekonomi-muhammadiyah-jakarta,Rp4.260.000 - Rp7.500.000 per semester,796,37,"{""website"": ""www.stiemj.ac.id"", ""email"": ""info@stiemj.ac.id"", ""phone"": ""(021) 8354683""}","Cikal bakal Sekolah Tinggi Ilmu Ekonomi Muhammadiyah Jakarta (STIEMJ) adalah Akademi Akuntansi Muhammadiyah (AAM) Jakarta. Pada tahun 1996, barulah akademi tersebut dikembangkan menjadi sekolah tinggi. Saat ini, STIEMJ sudah memiliki 4 (empat) program studi yaitu D3 Akuntansi, S1 Akuntansi, S1 Manajemen, dan Magister Manajemen.",{}
18,poltekkes-smg@poltekkes-smg.ac.id,Politeknik Kesehatan Kemenkes Semarang,Politeknik Negeri,https://campus.quipper.com/directory/politeknik-kesehatan-kemenkes-semarang,Rp5.400.000 - Rp12.850.000 per semester,9841,356,"{""website"": ""www.poltekkes-smg.ac.id"", ""email"": ""poltekkes-smg@poltekkes-smg.ac.id"", ""phone"": ""024-7460274""}","Berdiri di tahun 2001, Politeknik Kesehatan Kementerian Kesehatan Semarang (Poltekkes Semarang) yang berdiri tahun 2001 merupakan gabungan dari 11 Akademi Kesehatan milik Departemen Kesehatan RI yang ada di Jawa Tengah. Kampus ini menjadi satu-satunya Poltekkes yang memiliki Program Pascasarjana, lho. Selain itu, Poltekkes Semarang berhasil menduduki peringkat 1 Politeknik Kesehatan Kemenkes Terbaik versi Webometrics di tahun 2022. Jadi, kualitas pendidikan di kampus ini tidak perlu diragukan lagi, Quipperian!",{}
19,info@binainsani.ac.id,Bina Insani University,Universitas Swasta,https://campus.quipper.com/directory/perguruan-tinggi-bina-insani,,1356,71,"{""website"": ""www.binainsani.ac.id"", ""email"": ""info@binainsani.ac.id"", ""phone"": ""021-82436886, 021-82436996""}","Bina Insani University (BiU) bermula dari tiga sekolah tinggi yang memiliki konsentrasi pendidikan berbeda, yakni pada bidang manajemen informatika dan komputer, akuntansi, serta sekretasi dan manajemen. Kampus yang berlokasi di area strategis dan dekat dengan pusat industri di Kota Bekasi ini memiliki tagline utama, yakni ""Cepat Lulus, Cepat Kerja, dan Cepat Sukses"". Wah, pasti harapan yang sama juga ada dibenakmu ya, Quipperian!",{}
20,polbangtan.bogor@pertanian.go.id,Politeknik Pembangunan Pertanian Bogor,Politeknik Negeri,https://campus.quipper.com/directory/sekolah-tinggi-penyuluhan-pertanian-stpp-bogor,Gratis (biaya pendidikan ditanggung oleh Kementerian Pertanian RI),759,51,"{""website"": ""www.polbangtan-bogor.ac.id"", ""email"": ""polbangtan.bogor@pertanian.go.id"", ""phone"": ""08001234567""}","Politeknik Pembangunan Pertanian Bogor (Polbangtan Bogor) didirikan melalui proses transformasi kelembagaan dari Sekolah Tinggi Penyuluhan Pertanian (STPP) Bogor. Polbangtan Bogor resmi berdiri pada tanggal 25 Juni 2018 dan saat ini memiliki dua kampus yang terletak di wilayah Bogor, yaitu Kampus I Cibalagung dan Kampus II Cinagara.",{}
21,sekretariat@unsurya.ac.id,Universitas Dirgantara Marsekal Suryadarma,Universitas Swasta,https://campus.quipper.com/directory/universitas-marsekal-suryadarma,Rp1.425.000 - Rp10.350.000 per semester,3491,354,"{""website"": ""https://www.unsurya.ac.id/"", ""email"": ""sekretariat@unsurya.ac.id"", ""phone"": ""(021) 8009249, 8009246, 8093475""}","Universitas Dirgantara Marsekal Suryadarma (Unsurya) adalah perguruan tinggi swasta yang dipimpin Tentara Nasional Indonesia Angkatan Udara (TNI AU) dan dikelola oleh Yayasan Adi Upaya (YASAU). Unsurya merupakan satu-satunya universitas di Jakarta yang fokus dalam ilmu kedirgantaraan. Universitas ini didirikan tahun 1988 dengan nama Institut Teknologi Dirgantara Suryadarma (ITD), kemudian pada tahun 1989 berubah menjadi Sekolah Tinggi Teknologi Dirgantara Suryadarma (STTD). Seiring perkembangan kampus maka pada tahun 1999 STTD berubah menjadi Universitas Suryadarma. Kemudian, pada tahun 2016 dilakukan penambahan kata “Dirgantara” dan “Marsekal"", sehingga menjadi Universitas Dirgantara Marsekal Suryadarma. Nama tersebut menunjukan jati diri sebagai universitas yang mempunyai kekhasan di bidang kedirgantaraan sesuai dengan visinya. Saat ini Unsurya mempunyai 4 fakultas, 11 prodi, dan 2 program pelatihan khusus.",{}
22,pmb@ciputra.ac.id,Universitas Ciputra Surabaya,Universitas Swasta,https://campus.quipper.com/directory/universitas-ciputra-surabaya,Rp18.000.000 - Rp41.000.000 per semester,5187,222,"{""website"": ""www.uc.ac.id"", ""email"": ""pmb@ciputra.ac.id"", ""phone"": ""(031) 7451699""}","Universitas Ciputra merupakan perguruan tinggi yang berfokus pada bidang akademik dan kewirausahaan. Oleh karena itu, para mahasiswa diharapkan dapat mengembangkan pola pikir dan keterampilan kewirausahaan secara efektif dan inovatif sejak di bangku perkuliahan. Penyampaian pendidikan kewirausahaan dilaksanakan melalui proyek berdasarkan permasalahan nyata yang ada di lingkungan industri dan jaringan bisnis Ciputra Group. Bagi Quipperian yang berminat dan tertarik untuk menjadi wirausaha, kalian dapat melanjutkan studi di kampus ini!",{}
23,pmb@stptrisakti.ac.id,Sekolah Tinggi Pariwisata (STP) Trisakti,Lainnya,https://campus.quipper.com/directory/sekolah-tinggi-pariwisata-trisakti,Rp15.500.000 - Rp16.700.000 per semester,2400,73,"{""website"": ""www.stptrisakti.ac.id"", ""email"": ""pmb@stptrisakti.ac.id"", ""phone"": ""(021) 7377 738-41""}","Sekolah Tinggi Pariwisata (STP) Trisakti didirikan tanggal 2 Juni 1969 dengan nama Akademi Perhotelan & Kepariwisataan Trisakti. Kampus ini baru berganti nama menjadi STP Trisakti pada tahun 1999. FYI, STP Trisakti merupakan perguruan tinggi swasta pertama yang menyelenggarakan program diploma IV setara sarjana dengan gelar Sarjana Terapan Pariwisata (S.Tr.Par).",{}
24,pmb@ukdc.ac.id,Universitas Katolik Darma Cendika,Universitas Swasta,https://campus.quipper.com/directory/universitas-katolik-darma-cendika,Rp4.800.000-Rp6.600.000 per semester,912,63,"{""website"": ""www.ukdc.ac.id"", ""email"": ""pmb@ukdc.ac.id"", ""phone"": ""031-5914157, 5946482""}","Universitas Katolik Darma Cendika (UKDC) merupakan perguruan tinggi swasta katolik yang didirikan oleh Yayasan Darma Cendika pada tahun 1986. Pendirian universitas ini bertujuan untuk memberikan pendidikan yang terjangkau bagi masyarakat kurang mampu. UKDC memiliki komitmen untuk menjalankan visi dan misi menjadi universitas yang unggul dengan menyelenggarakan pendidikan characterpreneurship di Indonesia. Langkah tersebut dilakukan UKDC sebagai upaya dalam memberikan kontribusi bagi dunia usaha dan industri di Indonesia dengan menghasilkan lulusan yang memiliki jiwa wirausaha dan memiliki 3 core value: jujur, tanggung jawab, dan peduli.",{}
25,info@unas.ac.id,Universitas Nasional,Universitas Swasta,https://campus.quipper.com/directory/universitas-nasional,Rp8.000.000 per semester,12229,410,"{""website"": ""www.unas.ac.id"", ""email"": ""info@unas.ac.id"", ""phone"": ""021-7806700""}","Quipperian, Universitas Nasional atau yang lebih dikenal dengan nama UNAS merupakan salah satu universitas swasta tertua di Jakarta dan tertua kedua di Indonesia yang berdiri sejak tahun 1949. Dulunya, universitas ini ditujukan untuk menampung lulusan SLTA di Jakarta yang tidak mau melanjutkan studinya di Universitas Van Indonesia milik Pemerintah Kolonial Belanda. DI tengah revolusi perjuangan kemerdekaan, UNAS menjadi benteng terdepan perjuangan rakyat Indonesia di Jakarta hingga berhasil dianugerahkan gelar sebagai ""Universitas Perjuangan"" oleh Presiden Pertama RI, Bapak Ir. Soekarno.",{}
26,wijayahusada@gmail.com,STIKes Wijaya Husada Bogor,Sekolah Tinggi Swasta,https://campus.quipper.com/directory/stikes-wijaya-husada-bogor,,772,68,"{""website"": ""www.wijayahusada.com"", ""email"": ""wijayahusada@gmail.com"", ""phone"": ""0251-8327396, 0251-8327399""}","STIKes WIjaya Husada Bogor resmi mendapatkan izin beroperasi oleh Mendiknas RI di tahun 2005. Selama hampir 20 tahun menyelenggarakan pendidikan, STIKes Wijaya Husada Bogor memiliki visi untuk menjadi sekolah tinggi yang mampu melahirkan tenaga ahli di bidang kesehatan yang profesional serta mampu menghadapi berbagai tantangan global. Sejalan dengan visinya, STIKes WIjaya Husada Bogor terus berupaya meningkatkan kualitas lulusan dengan memberikan pelatihan first-aid skill, komputer, hingga bahasa asing bagi para mahasiswa. Selain itu, sekolah tinggi ini juga aktif menjalin kerja sama dengan kampus-kampus internasional di Filipina, Thailand, dan Singapura seperti Centro Escolar University, Burapha University, SingHealth Alice Lee Institute of Advanced Nursing, dan masih banyak lagi. Wah, nggak heran kalau lulusan dari sekolah tinggi yang satu ini banyak tersebar di rumah sakit di luar negeri, ya, Quipperian!",{}
27,stikesabi@yahoo.co.id,Sekolah Tinggi Ilmu Kesehatan Artha Bodhi Iswara,Sekolah Tinggi Swasta,https://campus.quipper.com/directory/sekolah-tinggi-ilmu-kesehatan-artha-bodhi-iswara,Rp4.000.000-Rp5.000.000 per semester,175,29,"{""website"": ""web.stikesabi.ac.id"", ""email"": ""stikesabi@yahoo.co.id"", ""phone"": ""031-5937965""}","Sekolah Tinggi Ilmu Kesehatan Artha Bodhi Iswara Surabaya adalah lembaga pendidikan tinggi yang didirikan oleh yayasan perguruan tinggi Tri Dharma pada tanggal 5 Agustus 2003. Pendirian kampus yang dikenal dengan sebutan STIKES-ABI ini berlandaskan upaya peningkatan jumlah dan kualitas tenaga kesehatan keperawatan dan kebidanan yang dapat diandalkan, khususnya dalam akselerasi penurunan angka kematian ibu dan bayi. Saat ini STIKES-ABI memiliki empat program studi yaitu Program Studi S1 Keperawatan, D3 Keperawatan, D3 Kebidanan, dan Profesi Ners.",{}
28,kontak@ppi.ac.id,Politeknik Perkeretaapian Indonesia Madiun,Politeknik Negeri,https://campus.quipper.com/directory/politeknik-perkeretaapian-indonesia-madiun,Rp11.310.000 per semester,174,50,"{""website"": ""ppi.ac.id"", ""email"": ""kontak@ppi.ac.id"", ""phone"": ""0351-474777""}","Industri perkeretaapian nasional sedang membutuhkan 78.740 orang tenaga kerja sampai tahun 2030 untuk memenuhi Rencana Induk Perkeretaapian Nasional (RIPNAS). Nah, bagi Quipperian yang tertarik dengan bidang perkeretaapian nasional dan internasional, kalian bisa memilih perguruan tinggi yang fokus utamanya menyelenggarakan pendidikan di bidang ini seperti Politeknik Perkeretaapian Indonesia (PPI) Madiun! FYI, perguruan tinggi ini didirikan untuk memenuhi amanat Undang-Undang No.23 Tahun 2007 terkait pembentukan lembaga pendidikan di bidang perkeretaapian.",{}
29,pendaftaran@iik.ac.id,Institut Ilmu Kesehatan Bhakti Wiyata Kediri,Institut Swasta,https://campus.quipper.com/directory/institut-ilmu-kesehatan-bhakti-wiyata-kediri,Rp4.320.000-Rp19.200.000 per semester (hanya biaya SPP),4453,223,"{""website"": ""www.iik.ac.id"", ""email"": ""pendaftaran@iik.ac.id"", ""phone"": ""0354-773299, 773535""}","Institut Ilmu Kesehatan Bhakti Wiyata Kediri (IIK Bhakti Wiyata) merupakan bentuk penggabungan dari beberapa Sekolah Menengah Kejuruan (SMK) milik Yayasan Bhakti Wiyata yakni SMK Farmasi, SMK Analis Kesehatan, dan SMK Perawat Gigi yang telah didirikan sejak tahun 1985. Tahukah Quipperian bahwa IIK Bhakti Wiyata berhasil meraih rekor MURI sebagai Institut Kesehatan Pertama di Indonesia? Kampus ini pun sukses menduduki peringkat ke-2 sebagai Institut Swasta Terbaik versi Ristekdikti di tahun 2020. Hebatnya lagi, IIK Bhakti Wiyata merupakan satu-satunya institut dengan penghargaan anugerah perak SNI Award 2021 di antara 2.694 kampus lainnya di Indonesia. Wow!",{}
30,publicrelations@unai.edu,Universitas Advent Indonesia,Universitas Swasta,https://campus.quipper.com/directory/universitas-advent-indonesia,Rp7.365.000 - Rp20.155.000 per semester,1910,89,"{""website"": ""www.unai.edu"", ""email"": ""publicrelations@unai.edu"", ""phone"": ""(+62)877-8391-8408""}","Universitas Advent Indonesia (UNAI) didirikan pada tahun 1949 dengan nama Indonesia Union Seminary (IUS). Lalu pada tahun 1960, IUS diganti nama menjadi Perguruan Tinggi Advent dan resmi terdaftar di pemerintah pada tahun 1962. Kemudian pada tahun 1970 terdapat perubahan nama dari Perguruan Tinggi Advent menjadi Institut Theologia dan Keguruan Advent (ITKA). Namun, pada tahun 1982 berubah lagi menjadi Universitas Advent Indonesia (UNAI) yang kita kenal sekarang. Saat ini, UNAI memiliki 6 fakultas dan program pascasarjana yang terdiri atas berbagai bidang keilmuan.",{}
31,info@unla.ac.id,Universitas Langlangbuana,Universitas Swasta,https://campus.quipper.com/directory/universitas-langlangbuana,Rp4.000.000-Rp7.500.000,7872,259,"{""website"": ""www.unla.ac.id"", ""email"": ""info@unla.ac.id"", ""phone"": ""022-4218084""}",Berdirinya Universitas Langlangbuana (UNLA) pada awal tahun 1980 diprakarsai oleh beberapa purnawirawan Polri yang peduli terhadap pendidikan yang berdomisili di Bandung dan cendikiawan dari Universitas Padjadjaran. Setelah mendapatkan restu oleh Kadapol VIII Langlangbuana Jabar (sekarang Polda Jabar) Universitas Langlangbuana didirikan secara resmi oleh Yayasan Pendidikan Tri Bhakti (disingkat YPTB) pada tahun 1982.,{}
32,info@jayabaya.ac.id,Universitas Jayabaya,Universitas Swasta,https://campus.quipper.com/directory/universitas-jayabaya,Rp10.175.000 - Rp10.775.000 per semester.,4407,192,"{""website"": ""www.jayabaya.ac.id"", ""email"": ""info@jayabaya.ac.id"", ""phone"": ""021-4700892""}","Universitas Jayabaya adalah salah satu universitas swasta tertua di Indonesia, tepatnya didirikan pada tahun 1958 oleh Yayasan Jayabaya. Selama lebih dari 50 tahun kiprahnya dalam dunia pendidikan tinggi di Indonesia, Universitas Jayabaya telah menghasilkan lebih dari 58.500 orang lulusan berkualitas. Quipperian tertarik menjadi mahasiswa Universitas Jayabaya? Baca lebih lanjut ya.",{}
