institution_name,institution_code,body_type,link,student_amount,lecturer_amount,contact,description,average_semester_fee,starting_semester_fee,ending_semester_fee,average_yearly_fee,starting_yearly_fee,ending_yearly_fee,address,province,campus_accreditation,quipper_code,pddikti_code,rencanamu_code,banpt_code
UNIVERSITAS MUSLIM NUSANTARA AL,11,SWASTA,https://rencanamu.id/cari-kampus/universitas-muslim-nusantara-al-wasliyah,7954.0,7954.0,Tel: +6261 786 7044,-,4000000.0,4000000.0,32000000.0,8000000.0,8000000.0,32000000.0,-,SUMATERA UTARA,B,-,-,rencanamu-226,-
UNIVERSITAS MUSLIM INDONESIA MAKASSAR,12,SWASTA,https://rencanamu.id/cari-kampus/universitas-muslim-indonesia-makassar,18828.0,18828.0,Tel: (0411) 455666-455696,-,3975000.0,3975000.0,31800000.0,7950000.0,7950000.0,31800000.0,-,SULAWESI SELATAN,A,-,-,rencanamu-225,-
UNIVERSITAS PEMBANGUNAN JAYA TANGERANG,13,SWASTA,https://rencanamu.id/cari-kampus/universitas-pembangunan-jaya-tangerang,2528.0,2528.0,Tel: +6274 555 555,-,3750000.0,3750000.0,30000000.0,7500000.0,7500000.0,30000000.0,-,BANTEN,B,-,-,rencanamu-240,-
UNIVERSITAS ISLAM AS,14,SWASTA,https://rencanamu.id/cari-kampus/universitas-islam-as-syafi-iyah,3191.0,3191.0,Tel: +6221 846 2361,-,2925000.0,2925000.0,23400000.0,5850000.0,5850000.0,23400000.0,-,DKI JAKARTA,C,-,-,rencanamu-144,-
UNIVERSITAS DR. SOETOMO,15,SWASTA,https://rencanamu.id/cari-kampus/universitas-dr-soetomo,5054.0,5054.0,Tel: +6231 594 7185,-,2550000.0,2550000.0,20400000.0,5100000.0,5100000.0,20400000.0,-,JAWA TIMUR,B,-,-,rencanamu-127,-
UNIVERSITAS BSI BANDUNG,16,SWASTA,https://rencanamu.id/cari-kampus/universitas-bsi-bandung,-1.0,-1.0,Tel: +6222 7100124,-,2075000.0,2075000.0,16600000.0,4150000.0,4150000.0,16600000.0,-,JAWA BARAT,B,-,-,rencanamu-115,-
UNIVERSITAS AL MUSLIM,17,SWASTA,https://rencanamu.id/cari-kampus/universitas-al-muslim,7278.0,7278.0,Tel: +62644 41126,-,1100000.0,1100000.0,8800000.0,2200000.0,2200000.0,8800000.0,-,ACEH,B,-,-,rencanamu-97,-
INSTITUT TEKNOLOGI DAN KESEHATAN MAHARDIKA,18,SWASTA,-,-1.0,-1.0,"{""website"": ""https://mahardika.ac.id/"", ""email"": ""akademik@mahardika.ac.id"", ""phone"": ""+231 488 123""}",-,4300000.0,3600000.0,5000000.0,8600000.0,7200000.0,10000000.0,KOTA CIREBON,JAWA BARAT,BAIK SEKALI,-,pddikti-1245,-,banpt-2083
UNIVERSITAS HKBP NOMMENSEN,19,SWASTA,https://campus.quipper.com/directory/universitas-hkbp-nommensen,14690.0,363.0,"{""website"": ""https://uhn.ac.id/"", ""email"": ""uhn@uhn.ac.id"", ""phone"": ""0614522922 / 0614571426""}",Universitas HKBP Nommensen  merupakan salah satu universitas swasta terkemuka di Sumatera Utara yang telah berdiri selama 63 tahun. Kata Nommensen diambil dari nama salah satu misionaris yang memberitakan Kristus ke Tanah Batak yaitu Dr. I. L. Nommensen. Kampus yang mengemban visi untuk menjadi universitas terkemuka di Asia Tenggara ini tercatat telah melahirkan lebih dari 300 alumni lho Quipperian.,3500000.0,1000000.0,6000000.0,7000000.0,2000000.0,12000000.0,"Jalan Dr Sutomo No 4-A, KOTA MEDAN",SUMATERA UTARA,B,quipper-712,pddikti-2455,rencanamu-139,banpt-1044
UNIVERSITAS NASIONAL PASIM,20,SWASTA,-,-1.0,-1.0,"{""website"": ""www.pasim.ac.id"", ""email"": ""informasi@pasim.ac.id"", ""phone"": ""022-6072803 / 022-6072803""}",-,1800000.0,1400000.0,2200000.0,3600000.0,2800000.0,4400000.0,"Jalan Terusan Pasteur No 167, KOTA BANDUNG",JAWA BARAT,BAIK,-,pddikti-552,-,banpt-951
UNIVERSITAS CIPTA MANDIRI,21,SWASTA,-,-1.0,-1.0,"{""website"": ""http://uncm.ac.id"", ""email"": ""info@uncm.ac.id"", ""phone"": ""082289901960""}",-,1900000.0,1900000.0,1900000.0,3800000.0,3800000.0,3800000.0,"Jl. Lintas Barat Sumatera  Peunaga Cut Ujong  Kecamatan Meureubo, KABUPATEN ACEH BARAT",ACEH,BAIK,-,pddikti-776,-,banpt-922
UNIVERSITAS DIAN NUSANTARA,22,SWASTA,-,-1.0,-1.0,"{""website"": ""http://www.undira.ac.id"", ""email"": ""rektorat@undira.ac.id"", ""phone"": ""021-21194454""}",-,4200000.0,4200000.0,4200000.0,9400000.0,9400000.0,9400000.0,"Jl. Tj. Duren Bar. 2 No.1  RT.1/RW.5  Tj. Duren Utara, KOTA JAKARTA BARAT",D.K.I. JAKARTA,BAIK SEKALI,-,pddikti-680,-,banpt-900
UNIVERSITAS KRISTEN INDONESIA MALUKU,23,SWASTA,https://rencanamu.id/cari-kampus/universitas-kristen-indonesia-maluku,3513.0,3513.0,"{""website"": ""ukim.ac.id"", ""email"": ""ukim_maluku@yahoo.com"", ""phone"": ""0911-348521 / 0911-346206""}",-,4140000.0,5380000.0,2900000.0,8700000.0,5800000.0,11600000.0,"Jalan OT Pattimaipauw. TANAH LAPANG KECIL - 97115 AMBON, KOTA AMBON",MALUKU,B,-,pddikti-2633,rencanamu-178,banpt-3563
UNIVERSITAS SATYAGAMA,24,SWASTA,https://campus.quipper.com/directory/universitas-satyagama,4593.0,143.0,"{""website"": ""www.satyagama.ac.id"", ""email"": ""info@satyagama.ac.id"", ""phone"": ""5452377-78 / 54391325""}","Tahukah Quipperian bahwa seluruh program studi yang ada di Universitas Satyagama telah terakreditasi oleh Badan Akreditasi Nasional Perguruan Tinggi ? Oleh karena itu, lulusan Universitas Satyagama dapat dipercaya dan diterima, serta dapat berkarya dengan baik di Instansi Pemerintah, swasta, maupun sebagai wiraswasta yang mandiri.",3075000.0,3000000.0,3150000.0,9450000.0,6300000.0,12600000.0,"Jalan Kamal Raya No 2-A Cengkareng, KOTA JAKARTA BARAT",D.K.I. JAKARTA,BAIK,quipper-579,pddikti-132,rencanamu-262,banpt-1230
STMIK ADHI GUNA,25,SWASTA,-,-1.0,-1.0,"{""website"": ""stmikadhiguna.ac.id"", ""email"": ""info@stmikadhiguna.ac.id"", ""phone"": ""0451-455530 / 0451-452920""}",-,8580183.0,11440244.0,5720122.0,8584083.0,5722722.0,11445444.0,"Jl. Undata No. 03 PALU, KOTA PALU",SULAWESI TENGAH,BAIK,-,pddikti-431,-,banpt-437
UNIVERSITAS PASUNDAN,26,SWASTA,https://rencanamu.id/cari-kampus/universitas-pasundan,14385.0,14385.0,"{""website"": ""www.unpas.ac.id"", ""email"": ""rektorat@unpas.ac.id"", ""phone"": ""+62 22 86032233 / +62 22 86032244""}","Pengkuh Agamana, Luhung Elmuna, Jembar Budayana. Begitulah slogan Universitas Pasundan  yang bertujuan melahirkan generasi berkualitas dalam aspek agama, ilmu dan budaya. Kampus yang berdiri sejak 14 November 1960 meraih akreditasi ""A""  dari BAN-PT dan menempati rangking ke-8 sebagai perguruan tinggi swasta terbaik se indonesia versi 4lcu",17675000.0,26850000.0,8500000.0,25500000.0,17000000.0,34000000.0,"Jalan Dr. Setiabudi No 193, KOTA BANDUNG",JAWA BARAT,A,quipper-434,pddikti-657,rencanamu-236,banpt-2072
UNIVERSITAS BATURAJA,27,SWASTA,https://rencanamu.id/cari-kampus/universitas-baturaja,4975.0,4975.0,"{""website"": ""www.unbara.ac.id"", ""email"": ""info@unbara.ac.id"", ""phone"": ""0735-326122 / 0735-321822""}",-,2895000.0,3240000.0,2550000.0,7995000.0,5790000.0,10200000.0,"Jl Ratu Penghulu No 2301, KABUPATEN OGAN KOMERING ULU",SUMATERA SELATAN,BAIK SEKALI,-,pddikti-2568,rencanamu-107,banpt-819
UNIVERSITAS BINA INSAN,28,SWASTA,-,-1.0,-1.0,"{""website"": ""univbinainsan.ac.id"", ""email"": ""admin@univbinainsan.ac.id"", ""phone"": ""07334553932""}",-,4125000.0,4950000.0,3300000.0,9900000.0,6600000.0,13200000.0,KOTA LUBUK LINGGAU,SUMATERA SELATAN,BAIK,-,pddikti-264,-,banpt-682
UNIVERSITAS RESPATI INDONESIA,29,SWASTA,https://campus.quipper.com/directory/universitas-respati-indonesia,2449.0,125.0,"{""website"": ""www.urindo.ac.id"", ""email"": ""info@urindo.ac.id"", ""phone"": ""8454731 / 847628""}","Universitas Respati Indonesia  resmi berdiri pada tahun 1986, cikal bakalnya dimulai dengan berdirinya Akademi Manajemen Respati Indonesia  pada tahun 1982. Universitas Respati Indonesia berada dibawah naungan Yayasan Pendidikan dan Kebudayaan Respati.",4800000.0,4800000.0,4800000.0,14400000.0,9600000.0,19200000.0,"Jl Bambu Apus I No 3  Cipayung  Jakarta Timur, KOTA JAKARTA TIMUR",D.K.I. JAKARTA,B,quipper-286,pddikti-1596,-,banpt-1755
UNIVERSITAS MUHAMMADIYAH PURWOKERTO,30,SWASTA,https://rencanamu.id/cari-kampus/universitas-muhammadiyah-purwokerto,6614.0,6614.0,"{""website"": ""www.ump.ac.id"", ""email"": ""sekretariat@ump.ac.id"", ""phone"": ""0281-636751 / 0281-637239""}",-,10000000.0,5000000.0,15000000.0,91025000.0,2050000.0,180000000.0,"Jl. KH. Ahmad Dahlan  PO BOX 202, KABUPATEN BANYUMAS",JAWA TENGAH,B,-,pddikti-464,rencanamu-215,banpt-2401
UNIVERSITAS PGRI PALEMBANG,31,SWASTA,https://rencanamu.id/cari-kampus/universitas-pgri-palembang,6838.0,6838.0,"{""website"": ""univpgri-palembang.ac.id"", ""email"": ""admin@univpgri-palembang.ac.id"", ""phone"": ""0811-7316054 / 0711-514782""}",-,200987500.0,1975000.0,400000000.0,401975000.0,3950000.0,800000000.0,"Jl Jenderal Ahmad Yani Lorong Gotong Royong 910, KOTA PALEMBANG",SUMATERA SELATAN,B,-,pddikti-2234,rencanamu-246,banpt-694
UNIVERSITAS KATOLIK INDONESIA ATMA JAYA,32,SWASTA,https://rencanamu.id/cari-kampus/universitas-katolik-indonesia-atma-jaya,6974.0,6974.0,Tel: (021) 570-3306,"Universitas Katolik Indonesia Atma Jaya Unika Atma Jaya merupakan salah satu Perguruan Tinggi Swasta terbaik se-Indonesia. Unika Atma Jaya mendapatkan akreditasi A dari Badan Akreditasi Nasional Perguruan Tinggi . Salah satu prestasi yang telah diraih yaitu masuk dalam daftar 50 Promising Indonesian Universities dari Direktorat Jenderal Pendidikan Tinggi . Selain itu, Unika Atma Jaya merupakan salah satu dari 17 Perguruan Tinggi Indonesia Terbaik Peringkat Asia versi Quacquarelli Symonds  Asia University Rankings 2018. Pada tahun 2020, kampus ini juga meraih bintang lima untuk kategori Online Learning Pemeringkatan yang dilakukan oleh lembaga peringkat dunia berbasis di London, Quacquarelli Symonds  Stars. Kini, Unika Atma Jaya memiliki 3 lokasi yaitu Kampus 1 Semanggi, Kampus 2 Pluit dan Kampus 3 BSD.",24137500.0,6000000.0,42275000.0,289650000.0,72000000.0,507300000.0,"Jalan Jenderal Sudirman 51, KOTA JAKARTA SELATAN",DKI JAKARTA,A,quipper-47,pddikti-1477,rencanamu-165,banpt-2378
UNIVERSITAS PGRI PALANGKA RAYA,33,SWASTA,-,-1.0,-1.0,"{""website"": ""upgriplk.ac.id"", ""email"": ""univ.pgri.palangkaraya@gmail.com"", ""phone"": ""0536 3213453""}",-,143700000.0,2400000.0,285000000.0,287400000.0,4800000.0,570000000.0,"Jl Hiu Putih Tjilik Riwut Km 7 Palangka Raya, KOTA PALANGKA RAYA",KALIMANTAN TENGAH,BAIK,-,pddikti-381,-,banpt-1994
UNIVERSITAS KRISTEN SATYA WACANA,34,SWASTA,https://campus.quipper.com/directory/universitas-kristen-satya-wacana,10706.0,461.0,"{""website"": ""www.uksw.edu"", ""email"": ""rektor@uksw.edu"", ""phone"": ""0298-321212 / 0298-21433""}","Universitas ini pada awalnya merupakan Pendidikan Tinggi Guru Kristen Indonesia. Namun, pada tanggal 5 Desember 1959 Dewan Pengurus Yayasan Perguruan Tinggi Pendidikan Guru Kristen Indonesia memutuskan untuk menyelenggarakan universitas kristen di Jawa Tengah, sehingga Pendidikan Tinggi Guru Kristen Indonesia resmi berganti menjadi Universitas Kristen Satya Wacana .",138425000.0,5500000.0,276850000.0,276850001.0,11000000.0,553700000.0,"Jalan Diponegoro 52-60, KOTA SALATIGA",JAWA TENGAH,A,quipper-704,pddikti-600,rencanamu-183,banpt-2686
UNIVERSITAS YARSI,35,SWASTA,https://campus.quipper.com/directory/universitas-yarsi,5000.0,278.0,"{""website"": ""www.yarsi.ac.id"", ""email"": ""registrar@yarsi.ac.id"", ""phone"": ""021-4206675 / 021-4243171""}","Universitas YARSI didirikan oleh Yayasan Rumah Sakit Islam Indonesia pada tanggal 15 April 1967 dengan satu program studi kedokteran. Pada awalnya, kampus ini berdiri sebagai Sekolah Tinggi Kedokteran YARSI. Pantas saja, sampai saat inipun perguruan tinggi ini dikenal dengan Fakultas Kedokterannya, Quipperian.",131125000.0,10000000.0,260000000.0,262250000.0,20000000.0,520000000.0,"Menara YARSI  Kav.13 Jl. Letjend Suprapto No.1  RT.10/RW.5 Kelurahan Cempaka Putih Timur  Kecamatan Cempaka Putih  Kota Jakarta Pusat Daerah Khusus Ibukota Jakarta 10510, KOTA JAKARTA PUSAT",D.K.I. JAKARTA,B,quipper-298,pddikti-2533,rencanamu-283,banpt-3251
SEKOLAH TINGGI ILMU HUKUM GUNUNG JATI,36,SWASTA,-,-1.0,-1.0,"{""website"": ""www.stihgunungjati.com"", ""email"": ""stihgunungjati@yahoo.co.id"", ""phone"": ""021-5565-1635 / 021-5565-1635""}",-,125750000.0,1500000.0,250000000.0,251500000.0,3000000.0,500000000.0,"Jl. Besi Raya Kav. No.1 Perumnas II Tangerang, KOTA TANGERANG",BANTEN,BAIK,-,pddikti-2027,-,banpt-2450
INSTITUT TEKNOLOGI HARAPAN BANGSA,37,SWASTA,https://rencanamu.id/cari-kampus/institut-teknologi-harapan-bangsa,924.0,924.0,Tel: 022-2506636,"Kampus yang berada di pusat Kota Bandung ini berdiri pada tahun 2002 dan didirikan oleh Yayasan Petra Harapan Bangsa. Visi dari kampus Institut Teknologi Harapan Bangsa ini adalah “Our vision to brighten the nation by educating future leaders who make a difference”. Nah, siapa yang mau berkuliah di Kota Bandung yang sejuk, ITHB bisa jadi pilihan, ya Quipperian!",121700000.0,121700000.0,973600000.0,243400000.0,243400000.0,973600000.0,"Jalan Dipatiukur No 80-84, KOTA BANDUNG",JAWA BARAT,BAIK SEKALI,quipper-365,pddikti-35,rencanamu-31,banpt-1774
SEKOLAH TINGGI ILMU EKONOMI PELITA BUANA,38,SWASTA,-,-1.0,-1.0,"{""website"": ""https://stie-pb.ac.id/"", ""email"": ""info@stie-pb.ac.id"", ""phone"": """"}",-,121200027.0,2400000.0,240000055.0,242400055.0,4800000.0,480000110.0,"Jl Tamalanrea Raya Blok A5-A, KOTA MAKASSAR",SULAWESI SELATAN,BAIK,-,pddikti-1963,-,banpt-1177
UNIVERSITAS KATOLIK WIDYA MANDALA SURABAYA,39,SWASTA,https://campus.quipper.com/directory/universitas-katolik-widya-mandala-surabaya,6012.0,419.0,"{""website"": ""www.ukwms.ac.id"", ""email"": ""pr-office@ukwms.ac.id"", ""phone"": ""031-5678478 / 031-5610818""}","Universitas Katolik Widya Mandala Surabaya  merupakan universitas nasional yang telah berdiri sejak 20 September 1960. Kampus ini telah meraih beberapa penghargaan salah satunya Kampus Unggulan Lembaga Layanan Pendidikan Tinggi  Wilayah VII Jawa Timur. Untuk meningkatkan standar kualitas ke level internasional, UKWMS juga tergabung dalam ASEAN University Network-Quality Assurance ; Association of Southeast and East Asia Catholic College and Universities , serta Association to Advance Collegiate Schools of Business. Program unggulan yang ditawarkan pun beragam seperti Joint Degree IBM – Solbridge School of Business , Food Technology, Chemical Engineering, dan lain sebagainya. Yuk simak informasi berikut ini untuk lebih jelasnya!",117235300.0,6000000.0,234045600.0,234470600.0,12000000.0,468091200.0,"Jalan Dinoyo No 42-44, KOTA SURABAYA",JAWA TIMUR,A,quipper-278,pddikti-806,rencanamu-171,banpt-625
UNIVERSITAS MUHAMMADIYAH PALEMBANG,40,SWASTA,https://rencanamu.id/cari-kampus/universitas-muhammadiyah-palembang,3751.0,3751.0,"{""website"": ""www.um-palembang.ac.id"", ""email"": ""humas@um-palembang.ac.id"", ""phone"": ""0711-513022 / 0711-513078""}",-,19305000.0,3700000.0,34910000.0,38610000.0,7400000.0,69820000.0,"Jalan Jenderal Ahmad Yani 13 ULU PLAJU PALEMBANG, KOTA PALEMBANG",SUMATERA SELATAN,UNGGUL,-,pddikti-1757,rencanamu-212,banpt-236
UNIVERSITAS ISLAM SULTAN AGUNG,41,SWASTA,https://rencanamu.id/cari-kampus/universitas-islam-sultan-agung,11251.0,11251.0,"{""website"": ""www.unissula.ac.id"", ""email"": ""informasi@unissula.ac.id"", ""phone"": ""6583584 / 6583455""}",-,100875000.0,5100000.0,201750000.0,201750001.0,10200000.0,403500000.0,"Jalan Raya Kaligawe Km 4  Terboyo Kulon  Gunuk, KOTA SEMARANG",JAWA TENGAH,B,-,pddikti-393,rencanamu-157,banpt-1883
UNIVERSITAS TRISAKTI,42,SWASTA,https://rencanamu.id/cari-kampus/universitas-trisakti,17343.0,17343.0,"{""website"": ""www.trisakti.ac.id"", ""email"": ""universitas@trisakti.ac.id"", ""phone"": ""021-5663232 / 021-5673001""}","Universitas dengan julukan Kampus Pahlawan Reformasi ini menjadi referensi banyak siswa yang ingin melanjutkan studi di bangku kuliah. Tentunya hal ini disebabkan karena unggulnya kualitas pendidikan Universitas Trisakti. Sebagai contoh, kampus ini dan semua jurusan yang disediakan telah mendapatkan akreditasi oleh BAN-PT. Selain itu, Universitas Trisakti juga unggul dalam bidang penelitian. Hal ini dibuktikan dengan pencapaian USAKTI yang berada di posisi ke-14 pada Indonesia Top 5.000 Scientists Rankings versi AD Scientific Index 2022.",84225000.0,12000000.0,165700000.0,168450000.0,24000000.0,331400000.0,"Jalan Kyai Tapa No 1 Grogol, KOTA JAKARTA BARAT",D.K.I. JAKARTA,A,quipper-521,pddikti-1619,rencanamu-276,banpt-1521
UNIVERSITAS BOSOWA,43,SWASTA,-,-1.0,-1.0,"{""website"": ""https://unibos.ac.id"", ""email"": ""info@unibos.ac.id"", ""phone"": ""452901-452 78 / 424 568""}",-,84125000.0,250000.0,168000000.0,168250000.0,500000.0,336000000.0,"Jalan Urip Sumoharjo Km. 4, KOTA MAKASSAR",SULAWESI SELATAN,BAIK SEKALI,-,pddikti-1858,-,banpt-3889
UNIVERSITAS HANG TUAH,44,SWASTA,https://campus.quipper.com/directory/universitas-hang-tuah,5376.0,327.0,"{""website"": ""www.hangtuah.ac.id"", ""email"": ""hangtuah@hangtuah.ac.id"", ""phone"": ""031-5945864;5945894 / 031-5946261""}","Universitas Hang Tuah  adalah perguruan tinggi yang didirikan oleh TNI AL di bawah naungan Yayasan Nala. Nama yayasan tersebut diambil dari nama seorang panglima Angkatan Laut Kerajaan Majapahit, yaitu Laksamana Nala. Kampus ini telah lebih dari 30 tahun menyelenggarakan pendidikan tinggi. Kampus yang dikenal dengan sebutan Blue Ocean Campus ini memiliki 7 fakultas dengan 20 jurusan yang terdiri dari empat jenjang pendidikan, mulai dari program diploma, sarjana, magister, dan doktor. Selain itu, ada juga program profesi pada Fakultas Kedokteran dan Fakultas Kedokteran Gigi. Yuk, cek profil lengkapnya untuk tahu informasi lebih lanjut tentang UHT!",73450000.0,5000000.0,146800000.0,146900000.0,10000000.0,293600000.0,"Jl Arief Rachman Hakim No 150, KOTA SURABAYA",JAWA TIMUR,B,quipper-290,pddikti-300,rencanamu-138,banpt-1867
UNIVERSITAS MUHAMMADIYAH SURABAYA,45,SWASTA,https://campus.quipper.com/directory/universitas-muhammadiyah-surabaya,7074.0,355.0,"{""website"": ""www.um-surabaya.ac.id"", ""email"": ""rektorat@um-surabaya.ac.id"", ""phone"": ""031-381-1966 / 031-381-3096""}","Universitas Muhammadiyah Surabaya pada awalnya terdiri atas beberapa lembaga pendidikan tinggi Muhammadiyah, diantaranya Universitas Muhammadiyah Gresik, IKIP Muhammadiyah Surabaya, dan Institut Teknologi Muhammadiyah Surabaya. Berdasarkan SK Menteri Pendidikan dan Kebudayaan RI No.:0141/0/1984, seluruh lembaga tersebut resmi bergabung menjadi satu dan bertransformasi menjadi Universitas Muhammadiyah Surabaya pada tanggal 9 Maret 1984.",71100000.0,4700000.0,142000000.0,142200000.0,9400000.0,284000000.0,"Jalan Sutorejo 59, KOTA SURABAYA",JAWA TIMUR,UNGGUL,quipper-132,pddikti-904,-,banpt-965
UNIVERSITAS PANCASILA,46,SWASTA,https://campus.quipper.com/directory/universitas-pancasila,13380.0,405.0,"{""website"": ""www.univpancasila.ac.id"", ""email"": ""info@univpancasila.ac.id"", ""phone"": ""021-7270086 / 021-7271868""}","Universitas Pancasila yang didirikan pada tanggal 28 Oktober 1966 ini,  merupakan penggabungan dari Universitas Pancasila  yang telah berdiri sejak tahun 1963 dan Universitas Bung Karno.",68340000.0,12000000.0,135680000.0,136680000.0,24000000.0,271360000.0,"Jalan Srengseng Sawah Jagakarsa, KOTA JAKARTA SELATAN",D.K.I. JAKARTA,A,quipper-315,pddikti-1400,rencanamu-234,banpt-2125
UNIVERSITAS HINDU INDONESIA,47,SWASTA,-,-1.0,-1.0,"{""website"": ""www.unhi.ac.id"", ""email"": ""infos1@unhi.ac.id"", ""phone"": ""0361-464700 / 0361-464800""}",-,4700000.0,4050000.0,5350000.0,142175000.0,22350000.0,262000000.0,"Jalan Sangalangit Tembau  Penatih, KOTA DENPASAR",BALI,B,-,pddikti-243,-,banpt-3122
UNIVERSITAS PERTAMINA,48,SWASTA,https://rencanamu.id/cari-kampus/universitas-pertamina,1198.0,1198.0,"{""website"": ""https://universitaspertamina.ac.id"", ""email"": ""info@universitaspertamina.ac.id"", ""phone"": ""+6221 50857540""}","Universitas Pertamina  didirikan  pada 1 Februari 2016 berdasarkan Surat Keputusan  Menteri Riset, Teknologi, dan Pendidikan Tinggi No. 60/KPT/I/2016 dan diresmikan pada 11 Februari 2016 oleh Menteri Riset, Teknologi, dan Pendidikan Tinggi dan Direktur Utama PT. Pertamina , yang didukung oleh Menteri BUMN dan Menteri ESDM.",63000000.0,11750000.0,125000000.0,126000000.0,23500000.0,250000000.0,"Jalan Teuku Nyak Arief  Simprug  Kecamatan Kebayoran Lama, KOTA JAKARTA SELATAN",D.K.I. JAKARTA,BAIK,quipper-702,pddikti-944,rencanamu-243,banpt-3823
UNIVERSITAS ISLAM AL-AZHAR,49,SWASTA,-,-1.0,-1.0,"{""website"": ""www.unizar.ac.id"", ""email"": ""admin@unizar.ac.id"", ""phone"": ""6175565 / 671650""}",-,57550000.0,500000.0,114600000.0,115100000.0,1000000.0,229200000.0,"JALAN UNIZAR NO.20 TURIDE SANDUBAYA MATARAM NUSA TENGGARA BARAT, KOTA MATARAM",NUSA TENGGARA BARAT,BAIK SEKALI,-,pddikti-1485,-,banpt-551
UNIVERSITAS 17 AGUSTUS 1945 JAKARTA,50,SWASTA,https://rencanamu.id/cari-kampus/universitas-17-agustus-1945-jakarta,1914.0,1914.0,"{""website"": ""http://www.uta45jakarta.ac.id"", ""email"": ""info@uta45jakarta.ac.id"", ""phone"": ""64715666 / 6410287""}","Univeritas 17 Agustus Jakarta atau yang dikenal dengan UTA'45 Jakarta Identik sebagai kampus ""Merah Putih"". Kampus ini berdiri pada 14 Juli 1952 oleh beberapa tokoh nasional yang beraliran kebangsaan dan bernaung di bawah Yayasan Perguruan Tinggi 17 Agustus 1945 Jakarta. Nama 17 Agustus 1945 digunakan untuk mengabadikan peristiwa bersejarah Indonesia yakni Proklamasi Kemerdekaan.",57490000.0,2500000.0,114730000.0,114980000.0,5000000.0,229460000.0,"Jl Sunter Permai Raya Sunter Agung Podomoro, KOTA JAKARTA UTARA",D.K.I. JAKARTA,BAIK SEKALI,quipper-598,pddikti-2629,rencanamu-88,banpt-3990
