institution_code,institution_name,campus_accreditation,address,province,body_type,link,description,contact,lecturer_amount,student_amount,average_semester_fee,starting_semester_fee,ending_semester_fee,average_yearly_fee,starting_yearly_fee,ending_yearly_fee
rencanamu-113,UNIVERSITAS BOROBUDUR,C,-,DKI JAKARTA,-,-,-,Tel: +6221 861 8293,2787,2787,4250000,4250000,34000000,8500000,8500000,34000000
rencanamu-114,UNIVERSITAS BOYOLALI,B,-,JAWA TENGAH,-,-,-,Tel: +62(076) 321328,-1,-1,-1,-1,-1,-1,-1,-1
rencanamu-115,UNIVERSITAS BSI BANDUNG,B,-,JAWA BARAT,-,-,-,Tel: +6222 7100124,-1,-1,2075000,2075000,16600000,4150000,4150000,16600000
rencanamu-116,UNIVERSITAS BUDI LUHUR,B,-,BANTEN,-,-,-,Tel: +6221 585 3753,13404,13404,8450000,8450000,67600000,16900000,16900000,67600000
rencanamu-117,UNIVERSITAS BUNDA MULIA,B,-,DKI JAKARTA,-,-,-,Tel: +6221 6909090,4732,4732,9000000,9000000,72000000,18000000,18000000,72000000
rencanamu-118,UNIVERSITAS BUNG HATTA,B,-,SUMATERA BARAT,-,-,-,Tel: +62751 705 1678,8625,8625,6500000,6500000,52000000,13000000,13000000,52000000
rencanamu-119,UNIVERSITAS BUNG KARNO,B,-,DKI JAKARTA,-,-,-,Tel: (021) 3929591,-1,-1,-1,-1,-1,-1,-1,-1
rencanamu-12,CAMBRIDGE INTERNATIONAL COLLEGE FOR AVIATION,-,-,KEPULAUAN RIAU,-,-,-,Tel: (0778) 8016750,-1,-1,20350000,20350000,162800000,40700000,40700000,162800000
rencanamu-120,UNIVERSITAS CIPUTRA,A,-,JAWA TIMUR,-,-,-,Tel: +6231 745 1699,3818,3818,13600000,13600000,108800000,27200000,27200000,108800000
rencanamu-121,UNIVERSITAS COKROAMINOTO PALOPO,B,-,SULAWESI SELATAN,-,-,-,Tel: 0471 22111,7839,7839,-1,-1,-1,-1,-1,-1
rencanamu-122,UNIVERSITAS DARMA PERSADA,B,-,DKI JAKARTA,-,-,-,Tel: +6221 864905,2045,2045,2750000,2750000,22000000,5500000,5500000,22000000
rencanamu-123,UNIVERSITAS DAYANU IKHSANUDDIN,-,-,SULAWESI TENGGARA,-,-,-,Tel: +62402 2 1327,5289,5289,2000000,2000000,16000000,4000000,4000000,16000000
rencanamu-124,UNIVERSITAS DHYANA PURA,B,-,BALI,-,-,-,Tel: +62-361-426450,-1,-1,-1,-1,-1,-1,-1,-1
rencanamu-125,UNIVERSITAS DIAN NUSWANTORO,A,-,JAWA TENGAH,-,-,-,Tel: +6224 35 1726,9587,9587,1500000,1500000,12000000,3000000,3000000,12000000
rencanamu-126,UNIVERSITAS DJUANDA,B,-,JAWA BARAT,-,-,-,Tel: +6251 824 0773,2278,2278,2100000,2100000,16800000,4200000,4200000,16800000
rencanamu-127,UNIVERSITAS DR. SOETOMO,B,-,JAWA TIMUR,-,-,-,Tel: +6231 594 7185,5054,5054,2550000,2550000,20400000,5100000,5100000,20400000
rencanamu-128,UNIVERSITAS DWIJENDRA,B,-,BALI,-,-,-,-,-1,-1,-1,-1,-1,-1,-1,-1
rencanamu-129,UNIVERSITAS EKASAKTI,B,-,SUMATERA BARAT,-,-,-,Tel: +62751 2 8859,6685,6685,-1,-1,-1,-1,-1,-1
rencanamu-13,ESMOD JAKARTA,-,-,DKI JAKARTA,-,-,-,Tel: +6221 765 9181,-1,-1,25000000,25000000,200000000,50000000,50000000,200000000
rencanamu-130,UNIVERSITAS ESA UNGGUL,B,-,DKI JAKARTA,-,-,-,Tel: +6221 567 4223,11345,11345,9000000,9000000,72000000,18000000,18000000,72000000
rencanamu-131,UNIVERSITAS FAJAR,B,-,SULAWESI SELATAN,-,-,-,Tel: 0411-447508,-1,-1,-1,-1,-1,-1,-1,-1
rencanamu-132,UNIVERSITAS FLORES,B,-,NUSA TENGGARA TIMUR,-,-,-,Tel: +62381 2 1094,6930,6930,-1,-1,-1,-1,-1,-1
rencanamu-133,UNIVERSITAS GAJAYANA MALANG,B,-,JAWA TIMUR,-,-,-,Tel: +62341 56 2411,1476,1476,4250000,4250000,34000000,8500000,8500000,34000000
rencanamu-134,UNIVERSITAS GALUH CIAMIS,B,-,JAWA BARAT,-,-,-,Tel: 0625 77 6787,5412,5412,1575000,1575000,12600000,3150000,3150000,12600000
rencanamu-135,UNIVERSITAS GRAHA NUSANTARA,-,-,SUMATERA UTARA,-,-,-,Tel: +62634 2 5292,4914,4914,-1,-1,-1,-1,-1,-1
rencanamu-136,UNIVERSITAS GUNADARMA,A,-,JAWA BARAT,-,-,-,Tel: +6221 7888 1112,37611,37611,8050000,8050000,64400000,16100000,16100000,64400000
rencanamu-137,UNIVERSITAS HAMZANWADI,B,-,NUSA TENGGARA BARAT,-,-,-,Tel: (0376) 22954,-1,-1,-1,-1,-1,-1,-1,-1
rencanamu-138,UNIVERSITAS HANG TUAH,B,-,JAWA TIMUR,-,-,-,Tel: +6231 594 5864,2819,2819,2625000,2625000,21000000,5250000,5250000,21000000
rencanamu-139,UNIVERSITAS HKBP NOMMENSEN,B,-,SUMATERA UTARA,-,-,-,Tel: +6261 452 2922,13665,13665,2700000,2700000,21600000,5400000,5400000,21600000
rencanamu-14,IKIP MATARAM,-,-,NUSA TENGGARA BARAT,-,-,-,Tel: +62370 63 2082,9689,9689,-1,-1,-1,-1,-1,-1
rencanamu-140,UNIVERSITAS ICHSAN GORONTALO,B,-,GORONTALO,-,-,-,Tel: +62435 82 9975,3954,3954,-1,-1,-1,-1,-1,-1
rencanamu-141,UNIVERSITAS INDRAPRASTA PGRI,B,-,DKI JAKARTA,-,-,-,Tel: +6221 7883 5283,34925,34925,1350000,1350000,10800000,2700000,2700000,10800000
rencanamu-142,UNIVERSITAS INTERNASIONAL SEMEN INDONESIA,-,-,JAWA TIMUR,-,-,-,Tel: (031) 3985482,1870,1870,6250000,6250000,50000000,12500000,12500000,50000000
rencanamu-143,UNIVERSITAS ISLAM 45 BEKASI,B,-,JAWA BARAT,-,-,-,Tel: +6221 880 1027,5838,5838,5650000,5650000,45200000,11300000,11300000,45200000
rencanamu-144,UNIVERSITAS ISLAM AS,C,-,DKI JAKARTA,-,-,-,Tel: +6221 846 2361,3191,3191,2925000,2925000,23400000,5850000,5850000,23400000
rencanamu-145,UNIVERSITAS ISLAM BALITAR,B,-,JAWA TIMUR,-,-,-,Tel: (0342) 813145,-1,-1,-1,-1,-1,-1,-1,-1
rencanamu-146,UNIVERSITAS ISLAM BANDUNG,-,-,JAWA BARAT,-,-,-,Tel: +6222 250 4922,10167,10167,6075000,6075000,48600000,12150000,12150000,48600000
rencanamu-147,UNIVERSITAS ISLAM BATIK,B,-,JAWA TENGAH,-,-,-,Tel: (0271) 714751,-1,-1,-1,-1,-1,-1,-1,-1
rencanamu-148,UNIVERSITAS ISLAM INDONESIA,A,-,DI YOGYAKARTA,-,-,-,Tel: +62274 89 8444,23185,23185,1275000,1275000,10200000,2550000,2550000,10200000
rencanamu-149,UNIVERSITAS ISLAM INDRAGIRI,-,-,RIAU,-,-,-,Tel: +62768 32 4918,4771,4771,4222500,4222500,33780000,8445000,8445000,33780000
rencanamu-15,INDONESIA INTERNATIONAL INSTITUTE FOR LIFE SCIENCES,-,-,DKI JAKARTA,-,-,-,Tel: 021 29567888,-1,-1,25000000,25000000,200000000,50000000,50000000,200000000
rencanamu-150,UNIVERSITAS ISLAM JAKARTA,B,-,DKI JAKARTA,-,-,-,Tel: +6221 856 6451,-1,-1,3750000,3750000,30000000,7500000,7500000,30000000
rencanamu-151,UNIVERSITAS ISLAM KADIRI,B,-,JAWA TIMUR,-,-,-,Tel: (0354) 683243,-1,-1,-1,-1,-1,-1,-1,-1
rencanamu-152,UNIVERSITAS ISLAM KALIMANTAN M A B BANJARMASIN,-,-,KALIMANTAN SELATAN,-,-,-,Tel: +62511 30 4592,7550,7550,1650000,1650000,13200000,3300000,3300000,13200000
rencanamu-153,UNIVERSITAS ISLAM LAMONGAN,-,-,JAWA TIMUR,-,-,-,Tel: +62322 32 4706,4261,4261,312500,312500,2500000,625000,625000,2500000
rencanamu-154,UNIVERSITAS ISLAM MALANG,B,-,JAWA TIMUR,-,-,-,Tel: (0341) 551932,2485,2485,3750000,3750000,30000000,7500000,7500000,30000000
rencanamu-155,UNIVERSITAS ISLAM NAHDLATUL ULAMA' JEPARA,-,-,JAWA TENGAH,-,-,-,Tel: +62291 59 5320,6114,6114,2750000,2750000,22000000,5500000,5500000,22000000
rencanamu-156,UNIVERSITAS ISLAM NUSANTARA,-,-,JAWA BARAT,-,-,-,Tel: +6222 750 9656,3793,3793,2700000,2700000,21600000,5400000,5400000,21600000
rencanamu-157,UNIVERSITAS ISLAM SULTAN AGUNG,B,-,JAWA TENGAH,-,-,-,Tel: +6224 58 3584,11251,11251,5100000,5100000,40800000,10200000,10200000,40800000
rencanamu-158,UNIVERSITAS ISLAM SUMATERA UTARA,B,-,SUMATERA UTARA,-,-,-,Tel: +6261 786 6932,2455,2455,3250000,3250000,26000000,6500000,6500000,26000000
rencanamu-159,UNIVERSITAS ISLAM SYEKH YUSUF,B,-,BANTEN,-,-,-,Tel: +6221 552 7063,4229,4229,7500000,7500000,60000000,15000000,15000000,60000000
rencanamu-16,INSTITUT BISNIS DAN INFORMATIKA KWIK KIAN GIE,-,-,DKI JAKARTA,-,-,-,Tel: +6221 6530 7062,3394,3394,4800000,4800000,38400000,9600000,9600000,38400000
rencanamu-160,UNIVERSITAS JANABADRA,B,-,DI YOGYAKARTA,-,-,-,Tel: +62274 56 1039,2933,2933,975000,975000,7800000,1950000,1950000,7800000
rencanamu-161,UNIVERSITAS JAYABAYA,-,-,DKI JAKARTA,-,-,-,Tel: +6221 470 0892,3773,3773,4157500,4157500,33260000,8315000,8315000,33260000
rencanamu-162,UNIVERSITAS JENDERAL ACHMAD YANI,B,-,JAWA BARAT,-,-,-,Tel: +6222 665 6190,10685,10685,8300000,8300000,66400000,16600000,16600000,66400000
rencanamu-163,UNIVERSITAS KANJURUHAN,-,-,JAWA TIMUR,-,-,-,Tel: +62341 80 1488,10706,10706,2375000,2375000,19000000,4750000,4750000,19000000
rencanamu-164,UNIVERSITAS KATOLIK DARMA CENDIKA,B,-,JAWA TIMUR,-,-,-,Tel: (031) 5946482,-1,-1,-1,-1,-1,-1,-1,-1
rencanamu-165,UNIVERSITAS KATOLIK INDONESIA ATMA JAYA,A,-,DKI JAKARTA,-,-,-,Tel: (021) 570-3306,6974,6974,169250000,169250000,1354000000,338500000,338500000,1354000000
rencanamu-166,UNIVERSITAS KATOLIK MUSI CHARITAS,B,-,SUMATERA SELATAN,-,-,-,Tel: (0711)321801,-1,-1,-1,-1,-1,-1,-1,-1
rencanamu-167,UNIVERSITAS KATOLIK PARAHYANGAN,A,-,JAWA BARAT,-,-,-,Tel: +6222 203 2655,9863,9863,4500000,4500000,36000000,9000000,9000000,36000000
rencanamu-168,UNIVERSITAS KATOLIK SANTO THOMAS,B,-,SUMATERA UTARA,-,-,-,Tel: +6261 821 0161,3538,3538,6500000,6500000,52000000,13000000,13000000,52000000
rencanamu-169,UNIVERSITAS KATOLIK SOEGIJAPRANATA,A,-,JAWA TENGAH,-,-,-,Tel: +6224 844 1555,5069,5069,7750000,7750000,62000000,15500000,15500000,62000000
rencanamu-17,INSTITUT BISNIS NUSANTARA,-,-,DKI JAKARTA,-,-,-,Tel: +621 856 4932,2224,2224,4905000,4905000,39240000,9810000,9810000,39240000
rencanamu-170,UNIVERSITAS KATOLIK WIDYA KARYA MALANG,-,-,JAWA TIMUR,-,-,-,Tel: +62341 55 3171,463,463,2000000,2000000,16000000,4000000,4000000,16000000
rencanamu-171,UNIVERSITAS KATOLIK WIDYA MANDALA SURABAYA,A,-,JAWA TIMUR,-,-,-,Tel: +6231 568 2665,4380,4380,5500000,5500000,44000000,11000000,11000000,44000000
rencanamu-172,UNIVERSITAS KATOLIK WIDYA MANDIRA KUPANG,-,-,NUSA TENGGARA TIMUR,-,-,-,Tel: +62380 83 3395,5657,5657,1050000,1050000,8400000,2100000,2100000,8400000
rencanamu-173,UNIVERSITAS KLABAT,B,-,SULAWESI UTARA,-,-,-,Tel: 0431- 891035,-1,-1,-1,-1,-1,-1,-1,-1
rencanamu-174,UNIVERSITAS KOMPUTER INDONESIA,B,-,JAWA BARAT,-,-,-,Tel: +6222 250 4119,8236,8236,12475000,12475000,99800000,24950000,24950000,99800000
rencanamu-175,UNIVERSITAS KRISNADWIPAYANA,-,-,DKI JAKARTA,-,-,-,Tel: +6221 846 2229,6515,6515,4075000,4075000,32600000,8150000,8150000,32600000
rencanamu-176,UNIVERSITAS KRISTEN DUTA WACANA,A,-,DI YOGYAKARTA,-,-,-,Tel: +62274 56 3929,4068,4068,5100000,5100000,40800000,10200000,10200000,40800000
rencanamu-177,UNIVERSITAS KRISTEN INDONESIA,B,-,DKI JAKARTA,-,-,-,Tel: +6221 809 2425,4179,4179,4875000,4875000,39000000,9750000,9750000,39000000
rencanamu-178,UNIVERSITAS KRISTEN INDONESIA MALUKU,-,-,MALUKU,-,-,-,Tel: +62911 34 8521,3513,3513,5380000,5380000,43040000,10760000,10760000,43040000
rencanamu-179,UNIVERSITAS KRISTEN INDONESIA PAULUS,B,-,SULAWESI SELATAN,-,-,-,Tel: +62411 582825,4801,4801,4350000,4350000,34800000,8700000,8700000,34800000
rencanamu-18,INSTITUT ILMU SOSIAL DAN ILMU POLITIK JAKARTA,-,-,DKI JAKARTA,-,-,-,Tel: +6221 7806 2234,3798,3798,6745000,6745000,53960000,13490000,13490000,53960000
rencanamu-180,UNIVERSITAS KRISTEN KRIDA WACANA,C,-,DKI JAKARTA,-,-,-,Tel: 021 566 6952,-1,-1,-1,-1,-1,-1,-1,-1
rencanamu-181,UNIVERSITAS KRISTEN MARANATHA,B,-,JAWA BARAT,-,-,-,Tel: +6222 201 2186,6005,6005,3900000,3900000,31200000,7800000,7800000,31200000
rencanamu-182,UNIVERSITAS KRISTEN PETRA,A,-,JAWA TIMUR,-,-,-,Tel: +6231 843 9040,8245,8245,7600000,7600000,60800000,15200000,15200000,60800000
rencanamu-183,UNIVERSITAS KRISTEN SATYA WACANA,A,-,JAWA TENGAH,-,-,-,Tel: 0298-321212,1622,1622,1800000,1800000,14400000,3600000,3600000,14400000
rencanamu-184,UNIVERSITAS KUNINGAN,B,-,JAWA BARAT,-,-,-,Tel: (0232) 873 696,-1,-1,-1,-1,-1,-1,-1,-1
rencanamu-185,UNIVERSITAS LANCANG KUNING,B,-,RIAU,-,-,-,Tel: (0761) 52248,-1,-1,-1,-1,-1,-1,-1,-1
rencanamu-186,UNIVERSITAS LANGLANGBUANA,B,-,JAWA BARAT,-,-,-,Tel: +6222 421 8084,3872,3872,3675000,3675000,29400000,7350000,7350000,29400000
rencanamu-187,UNIVERSITAS MA CHUNG,B,-,JAWA TIMUR,-,-,-,Tel: +62341 550171,863,863,9000000,9000000,72000000,18000000,18000000,72000000
rencanamu-188,UNIVERSITAS MADURA,B,-,JAWA TIMUR,-,-,-,Tel: (0324) 322231,-1,-1,-1,-1,-1,-1,-1,-1
rencanamu-189,UNIVERSITAS MAHASARASWATI DENPASAR,-,-,BALI,-,-,-,Tel: +62361 22 7019,6221,6221,1500000,1500000,12000000,3000000,3000000,12000000
rencanamu-19,INSTITUT INFORMATIKA DAN BISNIS DARMAJAYA,-,-,LAMPUNG,-,-,-,Tel: +62721 78 7214,5821,5821,5000000,5000000,40000000,10000000,10000000,40000000
rencanamu-190,UNIVERSITAS MAJALENGKA,-,-,JAWA BARAT,-,-,-,Tel: +62233 28 1496,3153,3153,1500000,1500000,12000000,3000000,3000000,12000000
rencanamu-191,UNIVERSITAS MALAHAYATI,B,-,LAMPUNG,-,-,-,Tel: +62721 27 1112,3117,3117,-1,-1,-1,-1,-1,-1
rencanamu-192,UNIVERSITAS MATANA,-,-,BANTEN,-,-,-,-,642,642,7500000,7500000,60000000,15000000,15000000,60000000
rencanamu-193,UNIVERSITAS MATHLA'UL ANWAR,-,-,BANTEN,-,-,-,Tel: +62253 40 1307,124,-1,2125000,2125000,17000000,4250000,4250000,17000000
rencanamu-194,UNIVERSITAS MEDAN AREA,B,-,SUMATERA UTARA,-,-,-,Tel: +6261 736 6878,9103,9103,7000000,7000000,56000000,14000000,14000000,56000000
rencanamu-195,UNIVERSITAS MERCU BUANA JAKARTA,A,-,DKI JAKARTA,-,-,-,Tel: 021 5840816,-1,-1,-1,-1,-1,-1,-1,-1
rencanamu-196,UNIVERSITAS MERCU BUANA YOGYAKARTA,A,-,DI YOGYAKARTA,-,-,-,Tel: +62274 649 8212,3414,3414,1045000,1045000,8360000,2090000,2090000,8360000
rencanamu-197,UNIVERSITAS MERDEKA MALANG,B,-,JAWA TIMUR,-,-,-,Tel: +62341 568395,172,-1,6375000,6375000,51000000,12750000,12750000,51000000
rencanamu-198,UNIVERSITAS METHODIST INDONESIA,B,-,SUMATERA UTARA,-,-,-,Tel: 0614536465,1968,1968,3000000,3000000,24000000,6000000,6000000,24000000
rencanamu-199,UNIVERSITAS MOHAMMAD HUSNI THAMRIN,B,-,DKI JAKARTA,-,-,-,Tel: 021-8096411,5389,5389,-1,-1,-1,-1,-1,-1
rencanamu-2,AKADEMI KIMIA ANALISIS CARAKA NUSANTARA,-,-,JAWA BARAT,-,-,-,Tel: +6221 871 0001,-1,-1,4400000,4400000,35200000,8800000,8800000,35200000
rencanamu-20,INSTITUT KESENIAN JAKARTA,-,-,DKI JAKARTA,-,-,-,Tel: +6221 3924 018,1350,1350,8675000,8675000,69400000,17350000,17350000,69400000
rencanamu-200,UNIVERSITAS MPU TANTULAR,B,-,DKI JAKARTA,-,-,-,Tel: 021-856 2011,-1,-1,2750000,2750000,22000000,5500000,5500000,22000000
rencanamu-201,UNIVERSITAS MUHAMMADIYAH BENGKULU,B,-,BENGKULU,-,-,-,Tel: +62736 2 2765,5061,5061,2287500,2287500,18300000,4575000,4575000,18300000
rencanamu-202,UNIVERSITAS MUHAMMADIYAH BUTON,-,-,SULAWESI TENGGARA,-,-,-,Tel: +62402 282 7038,7577,7577,925000,925000,7400000,1850000,1850000,7400000
rencanamu-203,UNIVERSITAS MUHAMMADIYAH JAKARTA,B,-,BANTEN,-,-,-,Tel: 021-7492862,21613,21613,-1,-1,-1,-1,-1,-1
rencanamu-204,UNIVERSITAS MUHAMMADIYAH JEMBER,B,-,JAWA TIMUR,-,-,-,Tel: +62331 33 6728,5299,5299,4905000,4905000,39240000,9810000,9810000,39240000
rencanamu-205,UNIVERSITAS MUHAMMADIYAH KENDARI,-,-,SULAWESI UTARA,-,-,-,Tel: +62401 319 0710,5434,5434,1600000,1600000,12800000,3200000,3200000,12800000
rencanamu-206,UNIVERSITAS MUHAMMADIYAH MAGELANG,B,-,JAWA TENGAH,-,-,-,Tel: (0293) 326945,-1,-1,-1,-1,-1,-1,-1,-1
rencanamu-207,UNIVERSITAS MUHAMMADIYAH MAKASSAR,B,-,SULAWESI SELATAN,-,-,-,Tel: +62411 866972,20658,20658,1875000,1875000,15000000,3750000,3750000,15000000
rencanamu-208,UNIVERSITAS MUHAMMADIYAH MALANG,A,-,JAWA TIMUR,-,-,-,Tel: 0341-464318-19,34426,34426,10000000,10000000,80000000,20000000,20000000,80000000
rencanamu-209,UNIVERSITAS MUHAMMADIYAH MALUKU UTARA,-,-,MALUKU UTARA,-,-,-,Tel: +62921 312 3979,9997,9997,1750000,1750000,14000000,3500000,3500000,14000000
rencanamu-21,INSTITUT MANAJEMEN KOPERASI INDONESIA,-,-,JAWA BARAT,-,-,-,Tel: +6222 779 8179,2197,2197,2500000,2500000,20000000,5000000,5000000,20000000
rencanamu-210,UNIVERSITAS MUHAMMADIYAH MATARAM,-,-,NUSA TENGGARA BARAT,-,-,-,Tel: +62370 63 3723,5984,5984,-1,-1,-1,-1,-1,-1
rencanamu-211,UNIVERSITAS MUHAMMADIYAH METRO,-,-,LAMPUNG,-,-,-,Tel: +62725 4 2445,4782,4782,-1,-1,-1,-1,-1,-1
rencanamu-212,UNIVERSITAS MUHAMMADIYAH PALEMBANG,-,-,SUMATERA SELATAN,-,-,-,Tel: +6271 151 3022,3751,3751,-1,-1,-1,-1,-1,-1
rencanamu-213,UNIVERSITAS MUHAMMADIYAH PALU,-,-,SULAWESI TENGAH,-,-,-,Tel: +62451 42 5627,6578,6578,2650000,2650000,21200000,5300000,5300000,21200000
rencanamu-214,UNIVERSITAS MUHAMMADIYAH PROF. DR. HAMKA,A,-,DKI JAKARTA,-,-,-,Tel: +62(021) 7394451,18726,18726,-1,-1,-1,-1,-1,-1
rencanamu-215,UNIVERSITAS MUHAMMADIYAH PURWOKERTO,B,-,JAWA TENGAH,-,-,-,Tel: +62281 63 6751,6614,6614,1025000,1025000,8200000,2050000,2050000,8200000
rencanamu-216,UNIVERSITAS MUHAMMADIYAH PURWOREJO,-,-,JAWA TENGAH,-,-,-,Tel: +62275 32 1494,4367,4367,2500000,2500000,20000000,5000000,5000000,20000000
rencanamu-217,UNIVERSITAS MUHAMMADIYAH SIDOARJO,B,-,JAWA TIMUR,-,-,-,Tel: +6231 894 5444,8230,8230,-1,-1,-1,-1,-1,-1
rencanamu-218,UNIVERSITAS MUHAMMADIYAH SUMATERA UTARA,B,-,SUMATERA UTARA,-,-,-,Tel: +6261 662 2400,18581,18581,5250000,5250000,42000000,10500000,10500000,42000000
rencanamu-219,UNIVERSITAS MUHAMMADIYAH SURAKARTA,A,-,JAWA TENGAH,-,-,-,Tel: +62271 71 7417,22758,22758,36050000,36050000,288400000,72100000,72100000,288400000
rencanamu-22,INSTITUT PERTANIAN STIPER YOGYAKARTA,-,-,DI YOGYAKARTA,-,-,-,Tel: +62274 88 5479,2963,2963,3500000,3500000,28000000,7000000,7000000,28000000
rencanamu-220,UNIVERSITAS MUHAMMADIYAH TANGERANG,B,-,BANTEN,-,-,-,Tel: +6221 553 7198,11757,11757,3450000,3450000,27600000,6900000,6900000,27600000
rencanamu-221,UNIVERSITAS MUHAMMADIYAH TAPANULI SELATAN,-,-,SUMATERA UTARA,-,-,-,Tel: +0634 2 1696,6314,6314,-1,-1,-1,-1,-1,-1
rencanamu-222,UNIVERSITAS MUHAMMADIYAH YOGYAKARTA,A,-,DI YOGYAKARTA,-,-,-,Tel: +62274 38 7656,19972,19972,8500000,8500000,68000000,17000000,17000000,68000000
rencanamu-223,UNIVERSITAS MULTIMEDIA NUSANTARA,A,-,BANTEN,-,-,-,Tel: +6221 5422 0808,8695,8695,12225000,12225000,97800000,24450000,24450000,97800000
rencanamu-224,UNIVERSITAS MURIA KUDUS,B,-,JAWA TENGAH,-,-,-,Tel: +62291 43 8229,8741,8741,975000,975000,7800000,1950000,1950000,7800000
rencanamu-225,UNIVERSITAS MUSLIM INDONESIA MAKASSAR,A,-,SULAWESI SELATAN,-,-,-,Tel: (0411) 455666-455696,18828,18828,3975000,3975000,31800000,7950000,7950000,31800000
rencanamu-226,UNIVERSITAS MUSLIM NUSANTARA AL,B,-,SUMATERA UTARA,-,-,-,Tel: +6261 786 7044,7954,7954,4000000,4000000,32000000,8000000,8000000,32000000
rencanamu-227,UNIVERSITAS NAROTAMA,B,-,JAWA TIMUR,-,-,-,Tel: (031) 594 - 6404,2910,2910,-1,-1,-1,-1,-1,-1
rencanamu-228,UNIVERSITAS NASIONAL,A,-,DKI JAKARTA,-,-,-,Tel: (021) 7806700,9067,9067,-1,-1,-1,-1,-1,-1
rencanamu-229,UNIVERSITAS PAKUAN,B,-,JAWA BARAT,-,-,-,Tel: +62251 831 2206,13178,13178,1275000,1275000,10200000,2550000,2550000,10200000
rencanamu-23,INSTITUT SAINS DAN TEKNOLOGI AKPRIND,-,-,DI YOGYAKARTA,-,-,-,Tel: +62274 56 3029,3772,3772,1875000,1875000,15000000,3750000,3750000,15000000
rencanamu-230,UNIVERSITAS PAMULANG,C,-,BANTEN,-,-,-,Tel: +6221 7470 9855,63475,63475,1650000,1650000,13200000,3300000,3300000,13200000
rencanamu-231,UNIVERSITAS PANCA BHAKTI,-,-,KALIMANTAN BARAT,-,-,-,Tel: +62561 77 2677,4859,4859,1100000,1100000,8800000,2200000,2200000,8800000
rencanamu-232,UNIVERSITAS PANCA MARGA,-,-,JAWA TIMUR,-,-,-,Tel: +62 335 42 2715,4240,4240,2000000,2000000,16000000,4000000,4000000,16000000
rencanamu-233,UNIVERSITAS PANCASAKTI TEGAL,-,-,JAWA TENGAH,-,-,-,Tel: +62283 35 1082,4726,4726,-1,-1,-1,-1,-1,-1
