quipper_institution_code,institution_name,body_type,link,fee,student_amount,lecturer_amount,contact,description,unknown_field
11,UNIVERSITAS SETIA BUDI SURAKARTA,UNIVERSITAS SWASTA,https://campus.quipper.com/directory/universitas-setia-budi-surakarta,Rp8.000.000 per semester,3131.0,125.0,"{""website"": ""www.setiabudi.ac.id"", ""email"": ""info@setiabudi.ac.id"", ""phone"": ""0271-852518""}","Cikal bakal Universitas Setia Budi  adalah Akademi Analis Kesehatan yang didirikan pada tahun 1983. Kemudian, akademi tersebut bergabung dengan akademi lain seperti Akademi Teknik Kimia, Akademi Teknik Gigi, dan Akademi Farmasi yang juga berada di bawah Yayasan Pendidikan Setia Budi pada tanggal 11 November 1997 dan resmi bertransformasi menjadi Universitas Setia Budi.",{}
12,POLITEKNIK PEMBANGUNAN PERTANIAN GOWA,POLITEKNIK NEGERI,https://campus.quipper.com/directory/politeknik-pembangunan-pertanian-gowa,Gratis,1589.0,38.0,"{""website"": ""www.polbangtan-gowa.ac.id"", ""email"": ""polbangtangowa@pertanian.go.id, info@polbangtan-gowa.ac.id"", ""phone"": "" 821 0117""}","Politeknik Pembangunan Pertanian  Gowa merupakan perguruan tinggi di lingkungan Kementerian Pertanian yang menyelenggarakan pendidikan tinggi program vokasi dengan metode teaching factory dalam berbagai rumpun ilmu terapan yang bertujuan untuk mendukung pembangunan pertanian. Saat ini, Polbangtan Gowa menyediakan empat program studi yaitu D3 Budidaya Tanaman Hortikultura, D3 Budidaya Ternak, D4 Penyuluhan Pertanian Berkelanjutan, serta D4 Penyuluhan Peternakan dan Kesejahteraan Hewan. Jika Quipperian sangat tertarik di bidang pertanian atau peternakan, kampus ini dapat menjadi pilihan yang tepat bagi kalian!",{}
13,UNIVERSITAS KRISTEN INDONESIA,UNIVERSITAS SWASTA,https://campus.quipper.com/directory/universitas-kristen-indonesia,Rp4.000.000 - Rp26.000.000 per semester,5761.0,360.0,"{""website"": ""www.uki.ac.id"", ""email"": ""humas-uki@uki.ac.id"", ""phone"": ""021\u20138092425, ext. 232""}","""Universitas Kristen Indonesia  diresmikan pada tahun 1953 dengan dua fakultas yaitu Fakultas Sastra dan Filsafat serta Fakultas Ekonomi. Kemudian, dalam perjalanan pengabdiannya, universitas ini mendirikan Fakultas Hukum , Fakultas Kedokteran , Fakultas Teknik , dan Fakultas Ilmu Sosial dan Politik .",{}
14,UNIVERSITAS BUNDA MULIA,UNIVERSITAS SWASTA,https://campus.quipper.com/directory/universitas-bunda-mulia-ubm,Rp9.000.000-Rp11.500.000 per-semester,8441.0,316.0,"{""website"": ""www.ubm.ac.id"", ""email"": ""info@ubm.ac.id"", ""phone"": ""021-6909090, 021-80821428""}","Kampus unggulan Universitas Bunda Mulia  yang berada di bawah Yayasan Pendidikan Bunda Mulia ini telah sukses berkiprah selama 34 tahun di bidang pendidikan negeri ini, lho, Quipperian.",{}
17,SEKOLAH TINGGI ILMU EKONOMI CIREBON,SEKOLAH TINGGI SWASTA,https://campus.quipper.com/directory/sekolah-tinggi-ilmu-ekonomi-cirebon,Rp5.000.000-Rp15.000.000 per semester,267.0,25.0,"{""website"": ""www.stiecirebon.ac.id"", ""email"": ""pmb@stiecirebon.ac.id"", ""phone"": ""081111122543""}","Sekolah Tinggi Ilmu Ekonomi Cirebon didirikan pada tanggal 22 Agustus 1996 dengan visi menjadi sekolah ekonomi berbasis Information and Communication Technology . STIE Cirebon berusaha untuk selalu mengedepankan pengetahuan dan pemahaman tentang ICT untuk menunjang kegiatan ekonomi, bisnis, dan perdagangan. Pembelajaran yang ada di kampus ini pun dirancang untuk memahami dan menguasai kondisi lingkungan yang dinamis, inovatif, dan kreatif yang berlandaskan teknologi mobile computing.",{}
18,SEKOLAH TINGGI AGAMA KATOLIK NEGERI PONTIANAK,SEKOLAH TINGGI NEGERI,https://campus.quipper.com/directory/sekolah-tinggi-agama-katolik-negeri-pontianak,Rp600.000-Rp5.000.000 per semester,831.0,36.0,"{""website"": ""www.stakatnpontianak.ac.id"", ""email"": ""info@stakatnpontianak.ac.id"", ""phone"": ""0561-6710424""}","Sekolah Tinggi Agama Katolik Negeri Pontianak  adalah sekolah tinggi Katolik pertama di Indonesia yang berstatus negeri. Awalnya, kampus ini berdiri sebagai perguruan tinggi swasta dengan nama Sekolah Tinggi Pastoral  St. Agustinus, Keuskupan Agung Pontianak yang berdiri sejak tahun 2006. STAKatN Pontianak diresmikan oleh Menteri Agama RI Lukman Hakim Syaifudin di Kubu Raya pada 6 April 2017.",{}
19,UNIVERSITAS KATOLIK DARMA CENDIKA,UNIVERSITAS SWASTA,https://campus.quipper.com/directory/universitas-katolik-darma-cendika,Rp4.800.000-Rp6.600.000 per semester,912.0,63.0,"{""website"": ""www.ukdc.ac.id"", ""email"": ""pmb@ukdc.ac.id"", ""phone"": ""031-5914157, 5946482""}","Universitas Katolik Darma Cendika  merupakan perguruan tinggi swasta katolik yang didirikan oleh Yayasan Darma Cendika pada tahun 1986. Pendirian universitas ini bertujuan untuk memberikan pendidikan yang terjangkau bagi masyarakat kurang mampu. UKDC memiliki komitmen untuk menjalankan visi dan misi menjadi universitas yang unggul dengan menyelenggarakan pendidikan characterpreneurship di Indonesia. Langkah tersebut dilakukan UKDC sebagai upaya dalam memberikan kontribusi bagi dunia usaha dan industri di Indonesia dengan menghasilkan lulusan yang memiliki jiwa wirausaha dan memiliki 3 core value: jujur, tanggung jawab, dan peduli.",{}
20,STIE JAKARTA INTERNATIONAL COLLEGE,SEKOLAH TINGGI SWASTA,https://campus.quipper.com/directory/stie-jakarta-international-college,Rp7.170.000-Rp12.200.000 per tahun,1212.0,32.0,"{""website"": ""www.jic-stie.ac.id"", ""email"": ""info-business-school@jic.ac.id"", ""phone"": ""021-420 7238, 021-425 7368, 021-425 7369""}","Cikal bakal STIE Jakarta International College adalah STIE Setiabudi yang berasal dari Akademi Keuangan dan Perbankan Setiabudi  yang berdiri di bawah naungan Yayasan Pendidikan Setiabudi. Kampus ini berhasil mendapatkan akreditasi B oleh BAN-PT dan sudah menggunakan kurikulum berbasis nasional dan internasional yang ter-update, guna menopang kompetensi mahasiswa di dunia kerja. Selama masa studi, mahasiswa STIE Jakarta International College akan dibekali dengan beragam sertifikasi kompetensi seperti seminar, kegiatan kampus, dan sertifikat pendukung lainnya. Terdapat dua pilihan kelas yang tersedia di kampus ini, yaitu kelas reguler dengan jam perkuliahan pagi dan kelas profesional dengan jam perkuliahan malam. Yuk, simak dulu profil lengkapnya!",{}
21,UNIVERSITAS ISLAM MALANG,UNIVERSITAS SWASTA,https://campus.quipper.com/directory/universitas-islam-malang,Rp3.850.000 per semester,16363.0,447.0,"{""website"": ""www.unisma.ac.id"", ""email"": ""humas@unisma.ac.id"", ""phone"": ""0341 - 551932""}","Terbentuk sejak Maret 1981, Universitas Islam Malang  adalah salah satu perguruan tinggi swasta yang dipelopori oleh para sarjana Muslim ahlussunnah wal jama’ah yang bertekad mendirikan suatu perguruan tinggi Islam berkualitas dan mandiri. Pada awalnya, universitas ini hanya memiliki satu fakultas yakni Fakultas Tarbiyah. Namun, saat ini UNISMA telah berhasil mengembangkan 10 fakultas dan menyediakan program diploma hingga pascasarjana. FYI, UNISMA berhasil memecahkan rekor Museum Rekor Indonesia  berupa Penandatangan Sikap Mempertahankan Ideologi Pancasila dan Bentuk Negara Republik Indonesia oleh Mahasiswa Terbanyak  pada 6 September 2017",{}
22,UNIVERSITAS MEDIKA SUHERMAN,UNIVERSITAS SWASTA,https://campus.quipper.com/directory/universitas-medika-suherman,-,1092.0,93.0,"{""website"": ""www.medikasuherman.ac.id"", ""email"": ""info@medikasuherman.ac.id"", ""phone"": ""02189111110""}","Universitas Medika Suherman pada mulanya bernama Sekolah Tinggi Ilmu Kesehatan  Medika Cikarang yang didirikan pada tahun 2005. Lalu pada tahun 2018, STIKes Medika Cikarang berubah bentuk menjadi Institut Medika Drg. Suherman. Barulah kemudian pada tahun 2021 resmi menyandang nama Universitas Medika Suherman  sampai sekarang. Saat ini, UMS memiliki 14 program studi yang terbagi menjadi 3 fakultas. Selain itu, kampus ini juga telah meraih akreditasi B dari Badan Akreditasi Perguruan Tinggi .",{}
24,SEKOLAH TINGGI ILMU KESEHATAN AHMAD DAHLAN CIREBON,SEKOLAH TINGGI SWASTA,https://campus.quipper.com/directory/sekolah-tinggi-ilmu-kesehatan-ahmad-dahlan-cirebon,Rp7.775.000 - Rp13.075.000,246.0,12.0,"{""website"": ""stikes-adc.ac.id"", ""email"": ""info_akpermuh@akpermuh.ac.id"", ""phone"": ""0231-201942""}","Sekolah Tinggi Ilmu Kesehatan Ahmad Dahlan Cirebon merupakan bentuk transformasi dari Akademi Keperawatan  Muhammadiyah Cirebon yang diresmikan sejak bulan Oktober 2020. STIKes Ahmad Dahlan Cirebon menyediakan pembelajaran dengan kurikulum kekinian yang sesuai dengan kebutuhan instansi kesehatan yang ada di Indonesia, khususnya di Wilayah 3 Cirebon.",{}
25,SEKOLAH TINGGI ILMU KESEHATAN WILLIAM BOOTH,SEKOLAH TINGGI SWASTA,https://campus.quipper.com/directory/sekolah-tinggi-ilmu-kesehatan-william-booth,Rp5.000.000-Rp6.000.000 per semester,229.0,22.0,"{""website"": ""www.stikeswilliambooth.ac.id"", ""email"": ""admin@stikeswilliambooth.ac.id"", ""phone"": ""031-5633365""}","Quipperian tahu nggak sih kalau kampus ini sudah menyelenggarakan pendidikan di bidang kesehatan selama hampir 100 tahun? Cikal bakal Sekolah Tinggi Ilmu Kesehatan William Booth adalah Sekolah Bidan yang pendiriannya dipelopori oleh Ny. Komisioner Margst Lebbink di tahun 1929. Sempat berubah bentuk menjadi Sekolah Perawat Kesehatan dan Akademi Keperawatan, akhirnya kampus ini resmi bertransformasi menjadi Sekolah Tinggi Ilmu Kesehatan William Booth di tahun 2011.",{}
26,UNIVERSITAS LANGLANGBUANA,UNIVERSITAS SWASTA,https://campus.quipper.com/directory/universitas-langlangbuana,Rp4.000.000-Rp7.500.000,7872.0,259.0,"{""website"": ""www.unla.ac.id"", ""email"": ""info@unla.ac.id"", ""phone"": ""022-4218084""}",Berdirinya Universitas Langlangbuana  pada awal tahun 1980 diprakarsai oleh beberapa purnawirawan Polri yang peduli terhadap pendidikan yang berdomisili di Bandung dan cendikiawan dari Universitas Padjadjaran. Setelah mendapatkan restu oleh Kadapol VIII Langlangbuana Jabar  Universitas Langlangbuana didirikan secara resmi oleh Yayasan Pendidikan Tri Bhakti  pada tahun 1982.,{}
27,UNIVERSITAS RAHARJA,UNIVERSITAS SWASTA,https://campus.quipper.com/directory/universitas-raharja,Rp6.050.000 per Semester,2499.0,484.0,"{""website"": ""www.raharja.ac.id"", ""email"": ""ppmb@raharja.info"", ""phone"": ""021 - 5529692, 5529586, 08159146745""}","Pada tahun 1994, Yayasan Nusantara mendirikan Lembaga Pendidikan dan Pelatihan Komputer  Raharja yang diresmikan oleh Walikota Tangerang saat itu, Drs.H.Djakaria Machmud. Lembaga ini mempelopori penggunaan operating system Windows beserta aplikasinya di wilayah Tangerang dan sekitarnya.",{}
28,STIKES ADI HUSADA,SEKOLAH TINGGI SWASTA,https://campus.quipper.com/directory/stikes-adi-husada,Rp6.600.000 per semester,148.0,20.0,"{""website"": ""www.adihusada.ac.id"", ""email"": ""info@adihusada.ac.id"", ""phone"": ""031-3721750""}","Sejarah lahirnya Adi Husada diprakarsai oleh dr. Oie Kiauw Pik di tahun 1923-1924. Kemudian pada tanggal 25 November 1927, berdirilah Perkumpulan Soe Swie Tiong Hwa Ie Wan yang saat ini bernama Perkumpulan Adi Husada. Di tahun 1983, Perkumpulan Adi Husada membangun sebuah lembaga pendidikan yakni Akademi Keperawatan  Adi Husada. Akper Adi Husada terus beroperasi dan berkembang selama 36 tahun hingga akhirnya mengalami perubahan bentuk menjadi Sekolah Tinggi Ilmu Kesehatan  Adi Husada di tahun 2019. Di tahun yang sama, kampus ini berhasil mendapatkan penghargaan sebagai Kampus Unggulan peringkat pertama se-Jawa Timur dari LLDIKTI VII Jatim.",{}
29,UNIVERSITAS KRISTEN DUTA WACANA,UNIVERSITAS SWASTA,https://campus.quipper.com/directory/universitas-kristen-duta-wacana,Rp8.000.000 per semester,4420.0,153.0,"{""website"": ""www.ukdw.ac.id"", ""email"": ""humas@staff.ukdw.ac.id"", ""phone"": ""0274-563929""}","Berawal dari Sekolah Tinggi Theologia Duta Wacana, saat ini Universitas Kristen Duta Wacana  menjadi kampus swasta terkemuka di Yogyakarta. Kualitasnya dibuktikan lewat akreditasi A dari Badan Akreditasi Nasional Perguruan Tinggi  berdasarkan Surat Keputusan  Nomor 3290/SK/BAN-PT/Akred/PT/IX/2017. UKDW juga termasuk perguruan tinggi protestan terbaik seluruh dunia pada posisi ke-61 berdasarkan daftar Top Protestant Universities in the World dari University Ranking  2022, keren banget ya Quipperian!",{}
30,POLITEKNIK NEGERI KUPANG,POLITEKNIK NEGERI,https://campus.quipper.com/directory/politeknik-negeri-kupang,Kisaran Rp2.000.000 per semester,6164.0,215.0,"{""website"": ""www.pnk.ac.id"", ""email"": ""pnkkupang@gmail.com"", ""phone"": ""0380-881245, 0380-881246""}","Saat awal didirikan pada tahun 1985, politeknik ini bernama Politeknik Undana Kupang yang berada di bawah naungan Universitas Nusa Cendana. Barulah di tahun 2004, kampus ini secara resmi melepaskan diri dan berdiri sebagai Politeknik Negeri Kupang. Sebagai lembaga pendidikan profesional, para calon staf pengajar Politeknik Negeri Kupang diwajibkan mengikuti pendidikan kursus selama 10 bulan di Pusat Pengembangan Pendidikan Politeknik Bandung untuk menyeragamkan pola pembelajaran program pendidikan politeknik di seluruh Indonesia.",{}
31,SEKOLAH TINGGI ILMU EKONOMI MALANGKUCECWARA,SEKOLAH TINGGI SWASTA,https://campus.quipper.com/directory/sekolah-tinggi-ilmu-ekonomi-malangkucecwara,Rp5.000.000 per semester,1340.0,54.0,"{""website"": ""web.stie-mce.ac.id"", ""email"": ""info@stie-mce.ac.id"", ""phone"": ""0341-491813, 081936936399""}","Sekolah Tinggi Ilmu Ekonomi Malangkucecwara adalah salah satu kampus tertua di kota Malang dan telah berdiri sejak tahun 1971. Cikal bakal kampus ini adalah Akademi Bank Malang  yang didirikan oleh Yayasan Pendidikan Nasional Penunjang Pelita . Sampai sekarang, STIE Malangkucecwara masih dikenal dengan sebutan ""Kampus ABM"".",{}
32,MA'HAD ALY RIYADUL JANNAH,LAINNYA,https://campus.quipper.com/directory/mahad-aly-riyadul-jannah,Rp 150.000 per semester,95.0,20.0,"{""website"": ""asshiddiqiyah2.com"", ""email"": ""mahadalyriyaduljannah@gmail.com"", ""phone"": ""081280499053""}","Ma'had Aly Riyadul Jannah adalah sebuah lembaga pendidikan tinggi pesantren yang didirikan di Pondok Pesantren Asshiddiqiiyah 2 oleh KH. Muhammad Ulil Abshor, Al-Hafidz, Lc., atas restu Ayahanda Dr. KH. Noer Muhammad Iskandar, S.Q. Bermula dari sebuah kelas takhasus yang kini para alumninya sudah diterima di berbagai kampus di Timur Tengah seperti Mesir, Turki, Yaman, Maroko dan lainnya.",{}
33,UNIVERSITAS PERSADA INDONESIA YAI,UNIVERSITAS SWASTA,https://campus.quipper.com/directory/universitas-persada-indonesia-yai,Rp10.000.000 kisaran per-semester,5449.0,224.0,"{""website"": ""www.upi-yai.ac.id"", ""email"": ""humas@upi-yai.ac.id"", ""phone"": ""021-3916000""}","Universitas Persada Indonesia YAI  merupakan salah satu kampus yang termasuk ke dalam naungan Lembaga Pendidikan Tinggi Yayasan Administrasi Indonesia. Universitas swasta ini memiliki 4 fakultas, yaitu Fakultas Ekonomi & Bisnis, Fakultas Psikologi, Fakultas Teknik, dan Fakultas Ilmu Komunikasi. Berlokasi di pusat kota Jakarta tepatnya di kawasan Diponegoro Jakarta Pusat, kampus ini menyediakan fasilitas lengkap dan modern serta pembelajaran oleh dosen yang qualified. Selain itu, UPI YAI juga banyak menjalin kerja sama dengan kampus internasional, seperti Colorado State University USA, Northern Arizona University USA, The University Of Bucharest Romania, dan lainnya. So, nggak heran jika Universitas Persada Indonesia Y.A.I berhasil meraih akreditasi B oleh BAN-PT, ya, Quipperian.",{}
34,INSTITUT AGAMA ISLAM NEGERI METRO,INSTITUT NEGERI,https://campus.quipper.com/directory/institut-agama-islam-negeri-metro-iain-metro,Rp1.800.000 - Rp3.400.000 per semester,6524.0,265.0,"{""website"": ""www.metrouniv.ac.id"", ""email"": ""iainmetro@metrouniv.ac.id"", ""phone"": ""0725-47297, 41507""}","Cikal bakal berdirinya Institut Agama Islam Negeri  Metro tidak terlepas dari sejarah berdirinya IAIN Raden Intan di Bandar Lampung pada tahun 1996. Awalnya, IAIN Metro adalah sebuah fakultas yang merupakan bagian dari IAIN Raden Intan, tetapi berdasarkan surat keputusan presiden nomor 11 tahun 1997 ditetapkan bahwa fakultas di luar induk berubah menjadi Sekolah Tinggi Agama Islam Negeri . Dengan begitu, terbentuklah STAIN Jurai Siwo Metro yang merupakan cikal bakal IAIN Metro. Seiring berjalannya waktu, di tahun 2016, STAIN Jurai Siwo Metro berubah status menjadi IAIN Metro. Saat ini, IAIN Metro menyediakan empat fakultas yaitu Fakultas Tarbiyah dan Ilmu Keguruan, Fakultas Ushuluddin Adab dan Dakwah, Fakultas Ekonomi dan Bisnis Islam, serta Fakultas Syariah.",{}
35,SEKOLAH TINGGI ILMU EKONOMI MAHARDHIKA,SEKOLAH TINGGI SWASTA,https://campus.quipper.com/directory/sekolah-tinggi-ilmu-ekonomi-mahardhika,Rp3.600.000-Rp6.500.000,8060.0,172.0,"{""website"": ""www.stiemahardhika.com"", ""email"": ""institusi.stiem@stiemahardhika.ac.id"", ""phone"": ""031-8550077, 8550099""}","Hai Quipperian, apakah kalian memiliki cita-cita menjadi seorang manajer, akuntan, atau jenjang karier lainnya di bidang bisnis dan keuangan? Kampus yang berlokasi di Surabaya ini bisa kamu jadikan pilihan yang tepat untuk menimba ilmu, lho! Perguruan tinggi yang memiliki fokus pada bidang ilmu ekonomi dan penerapan teknologi informasi ini akan menunjang cita-cita dan karier Quipperian di masa depan. Ingin tahu lebih lanjut tentang STIE Mahardhika? Yuk, simak profil lengkapnya!",{}
36,UNIVERSITAS GAJAYANA,UNIVERSITAS SWASTA,https://campus.quipper.com/directory/universitas-gajayana,Rp3.000.000-Rp4.000.000 per semester,2255.0,118.0,"{""website"": ""www.unigamalang.ac.id"", ""email"": ""uniga@unigamalang.ac.id"", ""phone"": ""0341-562411""}","Universitas Gajayana dibangun pada tanggal 20 Mei 1980 di bawah naungan Yayasan Pendidikan Gajayana Malang . Selama kurun waktu lebih dari 20 tahun sejak berdiri sebagai institusi pedidikan tinggi, Universitas Gajayana sudah meluluskan lebih dari 11.000 alumni program sarjana dan pascasarjana.",{}
