institution_code,institution_name,province,prodi_normalized,campus_accreditation,average_yearly_fee,contact,cluster_label,link
376,UNIVERSITAS KRISTEN DUTA WACANA,DI YOGYAKARTA,MANAJEMEN,B (BAIK),16000000.0,"{""website"": ""www.ukdw.ac.id"", ""email"": ""humas@staff.ukdw.ac.id"", ""phone"": ""0274-563929""}",DI YOGYAKARTA | Ekonomi & Bisnis | Menengah (10-20jt) | Baik Sekali / B,https://campus.quipper.com/directory/universitas-kristen-duta-wacana
425,UNIVERSITAS SARJANAWIYATA TAMANSISWA,DI YOGYAKARTA,AGRIBISNIS,B (BAIK),14430003.0,"{""website"": ""www.ustjogja.ac.id"", ""email"": ""humas@ustjogja.ac.id"", ""phone"": ""0274375637 / 0274-547042""}",DI YOGYAKARTA | Ekonomi & Bisnis | Menengah (10-20jt) | Baik Sekali / B,https://campus.quipper.com/directory/universitas-sarjanawiyata-tamansiswa
425,UNIVERSITAS SARJANAWIYATA TAMANSISWA,DI YOGYAKARTA,AKUNTANSI,A,14430003.0,"{""website"": ""www.ustjogja.ac.id"", ""email"": ""humas@ustjogja.ac.id"", ""phone"": ""0274375637 / 0274-547042""}",DI YOGYAKARTA | Ekonomi & Bisnis | Menengah (10-20jt) | Unggul / A,https://campus.quipper.com/directory/universitas-sarjanawiyata-tamansiswa
425,UNIVERSITAS SARJANAWIYATA TAMANSISWA,DI YOGYAKARTA,MANAJEMEN,A,14430003.0,"{""website"": ""www.ustjogja.ac.id"", ""email"": ""humas@ustjogja.ac.id"", ""phone"": ""0274375637 / 0274-547042""}",DI YOGYAKARTA | Ekonomi & Bisnis | Menengah (10-20jt) | Unggul / A,https://campus.quipper.com/directory/universitas-sarjanawiyata-tamansiswa
443,SEKOLAH TINGGI ILMU EKONOMI YKPN,DI YOGYAKARTA,AKUNTANSI,A,14000000.0,"{""website"": ""www.stieykpn.ac.id"", ""email"": ""info@stieykpn.ac.id"", ""phone"": ""0274-486321""}",DI YOGYAKARTA | Ekonomi & Bisnis | Menengah (10-20jt) | Unggul / A,https://campus.quipper.com/directory/sekolah-tinggi-ilmu-ekonomi-ykpn
443,SEKOLAH TINGGI ILMU EKONOMI YKPN,DI YOGYAKARTA,BISNIS DIGITAL,BAIK SEKALI,14000000.0,"{""website"": ""www.stieykpn.ac.id"", ""email"": ""info@stieykpn.ac.id"", ""phone"": ""0274-486321""}",DI YOGYAKARTA | Ekonomi & Bisnis | Menengah (10-20jt) | Baik Sekali / B,https://campus.quipper.com/directory/sekolah-tinggi-ilmu-ekonomi-ykpn
443,SEKOLAH TINGGI ILMU EKONOMI YKPN,DI YOGYAKARTA,MANAJEMEN,A,14000000.0,"{""website"": ""www.stieykpn.ac.id"", ""email"": ""info@stieykpn.ac.id"", ""phone"": ""0274-486321""}",DI YOGYAKARTA | Ekonomi & Bisnis | Menengah (10-20jt) | Unggul / A,https://campus.quipper.com/directory/sekolah-tinggi-ilmu-ekonomi-ykpn
463,UNIVERSITAS KRISTEN IMMANUEL,DI YOGYAKARTA,MANAJEMEN,B (BAIK),13575923.0,"{""website"": ""www.ukrimuniversity.ac.id"", ""email"": ""humas@ukrimuniversity.ac.id"", ""phone"": ""0274-496256;496257 / 0274-496423""}",DI YOGYAKARTA | Ekonomi & Bisnis | Menengah (10-20jt) | Baik Sekali / B,-
518,UNIVERSITAS TEKNOLOGI YOGYAKARTA,DI YOGYAKARTA,AKUNTANSI,A,12200000.0,"{""website"": ""uty.ac.id"", ""email"": ""info@uty.ac.id"", ""phone"": ""0274-623310 / 0274-623306""}",DI YOGYAKARTA | Ekonomi & Bisnis | Menengah (10-20jt) | Unggul / A,https://rencanamu.id/cari-kampus/universitas-teknologi-yogyakarta
518,UNIVERSITAS TEKNOLOGI YOGYAKARTA,DI YOGYAKARTA,MANAJEMEN,A,12200000.0,"{""website"": ""uty.ac.id"", ""email"": ""info@uty.ac.id"", ""phone"": ""0274-623310 / 0274-623306""}",DI YOGYAKARTA | Ekonomi & Bisnis | Menengah (10-20jt) | Unggul / A,https://rencanamu.id/cari-kampus/universitas-teknologi-yogyakarta
525,UNIVERSITAS PGRI YOGYAKARTA,DI YOGYAKARTA,AKUNTANSI,B (BAIK),12100000.0,"{""website"": ""www.upy.ac.id"", ""email"": ""info@upy.ac.id"", ""phone"": ""376808 / 376808""}",DI YOGYAKARTA | Ekonomi & Bisnis | Menengah (10-20jt) | Baik Sekali / B,https://rencanamu.id/cari-kampus/universitas-pgri-yogyakarta
525,UNIVERSITAS PGRI YOGYAKARTA,DI YOGYAKARTA,MANAJEMEN,A,12100000.0,"{""website"": ""www.upy.ac.id"", ""email"": ""info@upy.ac.id"", ""phone"": ""376808 / 376808""}",DI YOGYAKARTA | Ekonomi & Bisnis | Menengah (10-20jt) | Unggul / A,https://rencanamu.id/cari-kampus/universitas-pgri-yogyakarta
543,UNIVERSITAS NAHDLATUL ULAMA YOGYAKARTA,DI YOGYAKARTA,AGRIBISNIS,B (BAIK),12000000.0,"{""website"": ""unu-jogja.ac.id"", ""email"": ""info@unu-jogja.ac.id"", ""phone"": ""0274414708""}",DI YOGYAKARTA | Ekonomi & Bisnis | Menengah (10-20jt) | Baik Sekali / B,-
543,UNIVERSITAS NAHDLATUL ULAMA YOGYAKARTA,DI YOGYAKARTA,AKUNTANSI,BAIK SEKALI,12000000.0,"{""website"": ""unu-jogja.ac.id"", ""email"": ""info@unu-jogja.ac.id"", ""phone"": ""0274414708""}",DI YOGYAKARTA | Ekonomi & Bisnis | Menengah (10-20jt) | Baik Sekali / B,-
543,UNIVERSITAS NAHDLATUL ULAMA YOGYAKARTA,DI YOGYAKARTA,MANAJEMEN,B (BAIK),12000000.0,"{""website"": ""unu-jogja.ac.id"", ""email"": ""info@unu-jogja.ac.id"", ""phone"": ""0274414708""}",DI YOGYAKARTA | Ekonomi & Bisnis | Menengah (10-20jt) | Baik Sekali / B,-
554,UNIVERSITAS TEKNOLOGI DIGITAL INDONESIA,DI YOGYAKARTA,BISNIS DIGITAL,BAIK SEKALI,11669000.0,"{""website"": ""utdi.ac.id"", ""email"": ""info@utdi.ac.id"", ""phone"": ""486664 / 486438""}",DI YOGYAKARTA | Ekonomi & Bisnis | Menengah (10-20jt) | Baik Sekali / B,-
554,UNIVERSITAS TEKNOLOGI DIGITAL INDONESIA,DI YOGYAKARTA,MANAJEMEN RITEL,B (BAIK),11669000.0,"{""website"": ""utdi.ac.id"", ""email"": ""info@utdi.ac.id"", ""phone"": ""486664 / 486438""}",DI YOGYAKARTA | Ekonomi & Bisnis | Menengah (10-20jt) | Baik Sekali / B,-
605,UNIVERSITAS AKPRIND INDONESIA,DI YOGYAKARTA,BISNIS DIGITAL,BAIK SEKALI,10630000.0,"{""website"": ""www.akprind.ac.id"", ""email"": ""info@akprind.ac.id"", ""phone"": ""0274-563029 / 0274-563847""}",DI YOGYAKARTA | Ekonomi & Bisnis | Menengah (10-20jt) | Baik Sekali / B,-
605,UNIVERSITAS AKPRIND INDONESIA,DI YOGYAKARTA,MANAJEMEN RITEL,B (BAIK),10630000.0,"{""website"": ""www.akprind.ac.id"", ""email"": ""info@akprind.ac.id"", ""phone"": ""0274-563029 / 0274-563847""}",DI YOGYAKARTA | Ekonomi & Bisnis | Menengah (10-20jt) | Baik Sekali / B,-
620,INSTITUT PERTANIAN STIPER,DI YOGYAKARTA,AGRIBISNIS,A,10356250.0,"{""website"": ""www.instiperjogja.ac.id"", ""email"": ""instiper@instiperjogja.ac.id"", ""phone"": ""885478 / 885479""}",DI YOGYAKARTA | Ekonomi & Bisnis | Menengah (10-20jt) | Unggul / A,https://campus.quipper.com/directory/institut-pertanian-stiper
624,UNIVERSITAS AMIKOM YOGYAKARTA,DI YOGYAKARTA,AKUNTANSI,BAIK SEKALI,10300000.0,"{""website"": ""www.amikom.ac.id"", ""email"": ""amikom@amikom.ac.id"", ""phone"": ""884-201 / 884208""}",DI YOGYAKARTA | Ekonomi & Bisnis | Menengah (10-20jt) | Baik Sekali / B,https://campus.quipper.com/directory/universitas-amikom-yogyakarta
624,UNIVERSITAS AMIKOM YOGYAKARTA,DI YOGYAKARTA,EKONOMI,BAIK SEKALI,10300000.0,"{""website"": ""www.amikom.ac.id"", ""email"": ""amikom@amikom.ac.id"", ""phone"": ""884-201 / 884208""}",DI YOGYAKARTA | Ekonomi & Bisnis | Menengah (10-20jt) | Baik Sekali / B,https://campus.quipper.com/directory/universitas-amikom-yogyakarta
624,UNIVERSITAS AMIKOM YOGYAKARTA,DI YOGYAKARTA,KEWIRAUSAHAAN,BAIK SEKALI,10300000.0,"{""website"": ""www.amikom.ac.id"", ""email"": ""amikom@amikom.ac.id"", ""phone"": ""884-201 / 884208""}",DI YOGYAKARTA | Ekonomi & Bisnis | Menengah (10-20jt) | Baik Sekali / B,https://campus.quipper.com/directory/universitas-amikom-yogyakarta
652,SEKOLAH TINGGI ILMU EKONOMI YKP,DI YOGYAKARTA,AKUNTANSI,B (BAIK),9990000.0,"{""website"": ""www.stieykp.ac.id"", ""email"": ""info@stieykp.ac.id"", ""phone"": ""0274-560436 / 0274-581471""}",DI YOGYAKARTA | Ekonomi & Bisnis | Terjangkau (5-10jt) | Baik Sekali / B,-
652,SEKOLAH TINGGI ILMU EKONOMI YKP,DI YOGYAKARTA,MANAJEMEN,BAIK SEKALI,9990000.0,"{""website"": ""www.stieykp.ac.id"", ""email"": ""info@stieykp.ac.id"", ""phone"": ""0274-560436 / 0274-581471""}",DI YOGYAKARTA | Ekonomi & Bisnis | Terjangkau (5-10jt) | Baik Sekali / B,-
666,UNIVERSITAS JANABADRA,DI YOGYAKARTA,AGRIBISNIS,A,9700000.0,"{""website"": null, ""email"": ""www.janabadra.ac.id"", ""phone"": ""0274-561039""}",DI YOGYAKARTA | Ekonomi & Bisnis | Terjangkau (5-10jt) | Baik Sekali / B,https://campus.quipper.com/directory/universitas-janabadra
666,UNIVERSITAS JANABADRA,DI YOGYAKARTA,AKUNTANSI,B (BAIK),9700000.0,"{""website"": null, ""email"": ""www.janabadra.ac.id"", ""phone"": ""0274-561039""}",DI YOGYAKARTA | Ekonomi & Bisnis | Terjangkau (5-10jt) | Baik Sekali / B,https://campus.quipper.com/directory/universitas-janabadra
666,UNIVERSITAS JANABADRA,DI YOGYAKARTA,EKONOMI,B (BAIK),9700000.0,"{""website"": null, ""email"": ""www.janabadra.ac.id"", ""phone"": ""0274-561039""}",DI YOGYAKARTA | Ekonomi & Bisnis | Terjangkau (5-10jt) | Baik Sekali / B,https://campus.quipper.com/directory/universitas-janabadra
666,UNIVERSITAS JANABADRA,DI YOGYAKARTA,EKONOMI PEMBANGUNAN,B (BAIK),9700000.0,"{""website"": null, ""email"": ""www.janabadra.ac.id"", ""phone"": ""0274-561039""}",DI YOGYAKARTA | Ekonomi & Bisnis | Terjangkau (5-10jt) | Baik Sekali / B,https://campus.quipper.com/directory/universitas-janabadra
666,UNIVERSITAS JANABADRA,DI YOGYAKARTA,MANAJEMEN,B (BAIK),9700000.0,"{""website"": null, ""email"": ""www.janabadra.ac.id"", ""phone"": ""0274-561039""}",DI YOGYAKARTA | Ekonomi & Bisnis | Terjangkau (5-10jt) | Baik Sekali / B,https://campus.quipper.com/directory/universitas-janabadra
773,SEKOLAH TINGGI ILMU MANAJEMEN YKPN YOGYAKARTA,DI YOGYAKARTA,MANAJEMEN,BAIK SEKALI,8300000.0,"{""website"": ""www.stimykpn.ac.id"", ""email"": ""info@stimykpn.ac.id"", ""phone"": ""0274-885805  885700 / 0274-885505""}",DI YOGYAKARTA | Ekonomi & Bisnis | Terjangkau (5-10jt) | Baik Sekali / B,-
799,UNIVERSITAS ALMA ATA,DI YOGYAKARTA,ADMINISTRASI RUMAH SAKIT,B (BAIK),8000000.0,"{""website"": ""www.almaata.ac.id"", ""email"": ""uaa@almaata.ac.id"", ""phone"": ""0274-434 2288""}",DI YOGYAKARTA | Ekonomi & Bisnis | Terjangkau (5-10jt) | Baik Sekali / B,https://campus.quipper.com/directory/universitas-alma-ata
867,UNIVERSITAS COKROAMINOTO YOGYAKARTA,DI YOGYAKARTA,AKUNTANSI,B (BAIK),7500000.0,"{""website"": ""www.ucy.ac.id"", ""email"": ""info@ucy.ac.id"", ""phone"": ""372274 / 4340644""}",DI YOGYAKARTA | Ekonomi & Bisnis | Terjangkau (5-10jt) | Baik Sekali / B,https://campus.quipper.com/directory/universitas-cokroaminoto-yogyakarta
867,UNIVERSITAS COKROAMINOTO YOGYAKARTA,DI YOGYAKARTA,MANAJEMEN,B (BAIK),7500000.0,"{""website"": ""www.ucy.ac.id"", ""email"": ""info@ucy.ac.id"", ""phone"": ""372274 / 4340644""}",DI YOGYAKARTA | Ekonomi & Bisnis | Terjangkau (5-10jt) | Baik Sekali / B,https://campus.quipper.com/directory/universitas-cokroaminoto-yogyakarta
898,SEKOLAH TINGGI ILMU BISNIS KUMALA NUSA,DI YOGYAKARTA,MANAJEMEN RITEL,B (BAIK),7340000.0,"{""website"": ""www.stibsa.ac.id"", ""email"": ""info@stibsa.ac.id"", ""phone"": ""0274-516993 / 0274-516993""}",DI YOGYAKARTA | Ekonomi & Bisnis | Terjangkau (5-10jt) | Baik Sekali / B,-
948,UNIVERSITAS CENDEKIA MITRA INDONESIA,DI YOGYAKARTA,MANAJEMEN,BAIK SEKALI,6950000.0,"{""website"": ""www.unicimi.ac.id"", ""email"": ""info@unicimi.ac.id"", ""phone"": """"}",DI YOGYAKARTA | Ekonomi & Bisnis | Terjangkau (5-10jt) | Baik Sekali / B,-
1054,SEKOLAH TINGGI ILMU EKONOMI WIDYA WIWAHA,DI YOGYAKARTA,AKUNTANSI,BAIK SEKALI,6250000.0,"{""website"": ""www.stieww.ac.id"", ""email"": ""info@stieww.ac.id"", ""phone"": ""0274-377091 / 0274-370394""}",DI YOGYAKARTA | Ekonomi & Bisnis | Terjangkau (5-10jt) | Baik Sekali / B,https://campus.quipper.com/directory/sekolah-tinggi-ilmu-ekonomi-widya-wiwaha
1054,SEKOLAH TINGGI ILMU EKONOMI WIDYA WIWAHA,DI YOGYAKARTA,EKONOMI,B (BAIK),6250000.0,"{""website"": ""www.stieww.ac.id"", ""email"": ""info@stieww.ac.id"", ""phone"": ""0274-377091 / 0274-370394""}",DI YOGYAKARTA | Ekonomi & Bisnis | Terjangkau (5-10jt) | Baik Sekali / B,https://campus.quipper.com/directory/sekolah-tinggi-ilmu-ekonomi-widya-wiwaha
1054,SEKOLAH TINGGI ILMU EKONOMI WIDYA WIWAHA,DI YOGYAKARTA,MANAJEMEN,BAIK SEKALI,6250000.0,"{""website"": ""www.stieww.ac.id"", ""email"": ""info@stieww.ac.id"", ""phone"": ""0274-377091 / 0274-370394""}",DI YOGYAKARTA | Ekonomi & Bisnis | Terjangkau (5-10jt) | Baik Sekali / B,https://campus.quipper.com/directory/sekolah-tinggi-ilmu-ekonomi-widya-wiwaha
1166,SEKOLAH TINGGI ILMU EKONOMI ISTI EKATANA UPAWEDA,DI YOGYAKARTA,MANAJEMEN,B (BAIK),5600000.0,"{""website"": ""https://stieieu.ac.id"", ""email"": ""stieieupaweda@gmail.com"", ""phone"": ""551477 / 551477""}",DI YOGYAKARTA | Ekonomi & Bisnis | Terjangkau (5-10jt) | Baik Sekali / B,-
1207,UNIVERSITAS GUNUNG KIDUL,DI YOGYAKARTA,EKONOMI PEMBANGUNAN,B (BAIK),5200000.0,"{""website"": ""www.ugk.ac.id"", ""email"": ""univ_gunungkidul@yahoo.co.id ; univ_gunungkidul@ugk.ac.id"", ""phone"": ""0274-391342 / 0274-391342""}",DI YOGYAKARTA | Ekonomi & Bisnis | Terjangkau (5-10jt) | Baik Sekali / B,-
1238,UNIVERSITAS AISYIYAH YOGYAKARTA,DI YOGYAKARTA,AKUNTANSI,BAIK SEKALI,5000000.0,"{""website"": ""www.unisayogya.ac.id"", ""email"": ""info@unisayogya.ac.id"", ""phone"": ""0274-4469199 / 0274-4469204""}",DI YOGYAKARTA | Ekonomi & Bisnis | Terjangkau (5-10jt) | Baik Sekali / B,-
1478,UNIVERSITAS MAHAKARYA ASIA,DI YOGYAKARTA,AKUNTANSI,B (BAIK),2990000.0,"{""website"": ""www.unmaha.ac.id"", ""email"": ""adminPT@unmaha.ac.id"", ""phone"": ""0274-866800 / 0274-866800""}",DI YOGYAKARTA | Ekonomi & Bisnis | Hemat (<5jt) | Baik Sekali / B,-
1478,UNIVERSITAS MAHAKARYA ASIA,DI YOGYAKARTA,BISNIS,B (BAIK),2990000.0,"{""website"": ""www.unmaha.ac.id"", ""email"": ""adminPT@unmaha.ac.id"", ""phone"": ""0274-866800 / 0274-866800""}",DI YOGYAKARTA | Ekonomi & Bisnis | Hemat (<5jt) | Baik Sekali / B,-
1478,UNIVERSITAS MAHAKARYA ASIA,DI YOGYAKARTA,KEWIRAUSAHAAN,B (BAIK),2990000.0,"{""website"": ""www.unmaha.ac.id"", ""email"": ""adminPT@unmaha.ac.id"", ""phone"": ""0274-866800 / 0274-866800""}",DI YOGYAKARTA | Ekonomi & Bisnis | Hemat (<5jt) | Baik Sekali / B,-
1478,UNIVERSITAS MAHAKARYA ASIA,DI YOGYAKARTA,MANAJEMEN,B (BAIK),2990000.0,"{""website"": ""www.unmaha.ac.id"", ""email"": ""adminPT@unmaha.ac.id"", ""phone"": ""0274-866800 / 0274-866800""}",DI YOGYAKARTA | Ekonomi & Bisnis | Hemat (<5jt) | Baik Sekali / B,-
186,UNIVERSITAS MUHAMMADIYAH YOGYAKARTA,DI YOGYAKARTA,FARMASI,B (BAIK),27000000.0,"{""website"": ""www.umy.ac.id"", ""email"": ""bhp@umy.ac.id"", ""phone"": ""0274-387656""}",DI YOGYAKARTA | Kesehatan | Mahal (20-50jt) | Baik Sekali / B,https://campus.quipper.com/directory/universitas-muhammadiyah-yogyakarta
186,UNIVERSITAS MUHAMMADIYAH YOGYAKARTA,DI YOGYAKARTA,KEDOKTERAN,B (BAIK),27000000.0,"{""website"": ""www.umy.ac.id"", ""email"": ""bhp@umy.ac.id"", ""phone"": ""0274-387656""}",DI YOGYAKARTA | Kesehatan | Mahal (20-50jt) | Baik Sekali / B,https://campus.quipper.com/directory/universitas-muhammadiyah-yogyakarta
186,UNIVERSITAS MUHAMMADIYAH YOGYAKARTA,DI YOGYAKARTA,KEPERAWATAN,B (BAIK),27000000.0,"{""website"": ""www.umy.ac.id"", ""email"": ""bhp@umy.ac.id"", ""phone"": ""0274-387656""}",DI YOGYAKARTA | Kesehatan | Mahal (20-50jt) | Baik Sekali / B,https://campus.quipper.com/directory/universitas-muhammadiyah-yogyakarta
