institution_code,institution_name,body_type,link,student_amount,lecturer_amount,contact,description,average_semester_fee,starting_semester_fee,ending_semester_fee,average_yearly_fee,starting_yearly_fee,ending_yearly_fee,address,province,campus_accreditation,quipper_code,pddikti_code,rencanamu_code,banpt_code,TUGAS,CHECKED,NOTES,
49,UNIVERSITAS HINDU INDONESIA,SWASTA,-,-1,-1,"{""website"": ""www.unhi.ac.id"", ""email"": ""infos1@unhi.ac.id"", ""phone"": ""0361-464700 / 0361-464800""}",-,65500000,4050000,5350000,142175000,22350000,262000000,"Jalan Sangalangit Tembau  Penatih, KOTA DENPASAR",BALI,B,-,pddikti-243,-,banpt-3122,,TRUE,,FALSE
57,INSTITUT TEKNOLOGI KESEHATAN CENDEKIA UTAMA KUDUS,SWASTA,-,-1,-1,"{""website"": ""www.centamaku.ac.id"", ""email"": ""surat@centamaku.ac.id"", ""phone"": ""4248655 / 4248657""}",-,7475000,6000000,8950000,80000350,72000000,107400000,KABUPATEN KUDUS,JAWA TENGAH,BAIK SEKALI,-,pddikti-1662,-,banpt-27,,TRUE,,FALSE
100,SEKOLAH TINGGI FARMASI INDONESIA,SWASTA,-,-1,-1,"{""website"": ""www.stfi.ac.id"", ""email"": ""stfindonesia@gmail.com"", ""phone"": ""022-756-6484 / 022-756-6666""}",-,24000000,6000000,48000000,48000000,72000000,96000000,"Jalan Soekarno Hatta No 354, KOTA BANDUNG",JAWA BARAT,B,-,pddikti-1102,-,banpt-3120,,TRUE,,FALSE
122,INSTITUT PARIWISATA TRISAKTI,SWASTA,-,-1,-1,"{""website"": ""iptrisakti.ac.id"", ""email"": ""info@iptrisakti.ac.id"", ""phone"": ""021-7377738-41 / 021-73887763""}",-,42250000,8500000,76000000,64250000,22500000,106000000,KOTA JAKARTA SELATAN,D.K.I. JAKARTA,UNGGUL,-,pddikti-1834,-,banpt-2133,,TRUE,,FALSE
124,UNIVERSITAS WARMADEWA,SWASTA,-,-1,-1,"{""website"": ""www.warmadewa.ac.id"", ""email"": ""info@warmadewa.ac.id"", ""phone"": ""0361223858 / 0361235073""}",-,6700000,3100000,10300000,13675000,6700000,20650000,"Jalan Terompong No. 24 Tanjung Bungkak Denpasar Bali, KOTA DENPASAR",BALI,UNGGUL,-,pddikti-308,-,banpt-1582,,TRUE,,FALSE
166,UNIVERSITAS KRISTEN INDONESIA TOMOHON,SWASTA,-,-1,-1,"{""website"": ""-"", ""email"": ""rektorat.ukit@gmail.com"", ""phone"": ""081343606077""}",-,17430000,3460000,31400000,31450000,41520000,62800000,"Jalan Raya Talete II Kampus II UKIT Kuranga, KOTA TOMOHON",SULAWESI UTARA,BAIK,-,pddikti-59,-,banpt-3406,,TRUE,,FALSE
182,UNIVERSITAS AMAL ILMIAH YAPIS WAMENA,SWASTA,-,-1,-1,"{""website"": ""https://www.unaim-wamena.ac.id/"", ""email"": ""unaim.wamena@gmail.com"", ""phone"": ""31751 / 34053""}",-,16125000,5000000,29250000,29250006,10000000,58500000,KABUPATEN JAYAWIJAYA,PAPUA,BAIK,-,pddikti-1909,-,banpt-321,,TRUE,gjls anggep per sms 5jt,FALSE
227,STIKES DARUSSALAM LHOKSEUMAWE,SWASTA,-,-1,-1,"{""website"": ""sdl.ac.id"", ""email"": ""info@sdl.ac.id"", ""phone"": ""0645-48082 / 0645-41150""}",-,12500054,3000000,25000000,25000108,6000000,50000000,"Jalan Sultan Iskandar Muda No. 24F Lhokseumawe, KOTA LHOKSEUMAWE",ACEH,BAIK,-,pddikti-2402,-,banpt-1126,,TRUE,,FALSE
228,UNIVERSITAS SAINS ALQUR AN,SWASTA,-,-1,-1,"{""website"": ""www.unsiq.ac.id"", ""email"": ""humas@unsiq.ac.id"", ""phone"": ""0286 321873 / 0286 323737""}",-,12500025,745000,25000000,25000050,1490000,50000000,"Jalan Raya Kalibeber Km 3 Mojotengah, KABUPATEN WONOSOBO",JAWA TENGAH,UNGGUL,-,pddikti-2459,-,banpt-628,,TRUE,,FALSE
245,POLITEKNIK INDONUSA SURAKARTA,SWASTA,-,-1,-1,"{""website"": ""www.poltekindonusa.ac.id"", ""email"": ""polinus@poltekindonusa.ac.id"", ""phone"": ""0271-743479 / 0271-743479""}",-,12037500,9600000,24000000,24075000,19200000,48000000,"Jalan KH Samanhudi No 31 Surakarta, KOTA SURAKARTA",JAWA TENGAH,BAIK SEKALI,-,pddikti-2471,-,banpt-1074,,TRUE,,FALSE
247,STKIP SINAR PANCASILA,SWASTA,-,-1,-1,"{""website"": ""http://stkip-spb.ac.id"", ""email"": ""stkip.spb26@gmail.com"", ""phone"": ""2511115 / 2511115""}",-,12000012,24,24000000,24000024,48,48000000,"Jln. Bakateu  No. 9 Betun, KABUPATEN MALAKA",NUSA TENGGARA TIMUR,BAIK,-,pddikti-295,-,banpt-2151,gladys,FALSE,web gabisa dibuka,FALSE
248,SEKOLAH TINGGI ILMU ADMINISTRASI CIMAHI,SWASTA,-,-1,-1,"{""website"": ""stiacimahi.ac.id"", ""email"": ""info@stiacimahi.ac.id"", ""phone"": ""087824917963 / 022-667-6561""}",-,12000002,3000000,24000002,24000005,6000000,48000004,"Jalan Raya Cibeber No 148 - Cimahi Selatan  Kota Cimahi, KOTA CIMAHI",JAWA BARAT,BAIK,-,pddikti-2160,-,banpt-3977,,TRUE,,FALSE
270,AKADEMI KEPERAWATAN RS MARTHEN INDEY,SWASTA,-,-1,-1,"{""website"": ""akpermarthenindey.ac.id"", ""email"": ""akpermarthenindey@yahoo.com"", ""phone"": ""523788 / 523788""}",-,11350000,50000,22650000,22700000,100000,45300000,"Jalan Diponegoro No.57 Jayapura Utara, KOTA JAYAPURA",PAPUA,BAIK,-,pddikti-360,-,banpt-2994,,FALSE,harga ga ada di web,FALSE
361,INSTITUT INFORMATIKA INDONESIA SURABAYA,SWASTA,-,-1,-1,"{""website"": ""www.ikado.ac.id"", ""email"": ""kontak@ikado.ac.id"", ""phone"": ""7346375 / 7349324""}",-,9258250,5400000,18500000,18516500,11000000,37000000,"Jalan Raya Sukomanunggal Jaya No. 3, KOTA SURABAYA",JAWA TIMUR,BAIK,-,pddikti-540,-,banpt-3976,,TRUE,,FALSE
413,UNIVERSITAS SANGGA BUANA,SWASTA,-,-1,-1,"{""website"": ""www.usbypkp.ac.id"", ""email"": ""pddikti@usbypkp.ac.id"", ""phone"": ""022-7275489 / 022-7201756""}",-,8225000,5500000,16440000,16450000,11000000,32880000,"Jalan PHH Mustopa No 68, KOTA BANDUNG",JAWA BARAT,UNGGUL,-,pddikti-155,-,banpt-569,,TRUE,,FALSE
462,STIKES WIRA MEDIKA BALI,SWASTA,-,-1,-1,"{""website"": ""www.stikeswiramedika.ac.id"", ""email"": ""info@stikeswiramedika.ac.id"", ""phone"": ""0361427699 / 0361427699""}",-,7500000,1,15000000,15000001,2,30000000,"Jalan Kecak No. 9A, KOTA DENPASAR",BALI,BAIK SEKALI,-,pddikti-1408,-,banpt-671,,FALSE,harga ga ada di web,FALSE
482,STIKES RAFLESIA,SWASTA,-,-1,-1,"{""website"": ""kampus.stikesraflesia.ac.id"", ""email"": ""stikesraflesiadepok@gmail.com"", ""phone"": ""021-8712294 / 021-87709480""}",-,3735000,13000000,14870000,14890000,26000000,29740000,"Jl. Mahkota Raya No. 32 B Komplek Pondok Duta 1, KOTA DEPOK",JAWA BARAT,BAIK,-,pddikti-357,-,banpt-944,,TRUE,,FALSE
559,UNIVERSITAS KRISTEN PALANGKA RAYA,SWASTA,-,-1,-1,"{""website"": ""ukpr.ac.id"", ""email"": ""academica@ukpr.ac.id"", ""phone"": ""0536-3222205 3307494 / 0536-3225316""}",-,6675000,1,13350000,13350001,2,26700000,"Jalan RTA Milono Km 8 5, KOTA PALANGKA RAYA",KALIMANTAN TENGAH,BAIK,-,pddikti-632,-,banpt-3036,,FALSE,ga nemu harga di web,FALSE
569,SEKOLAH TINGGI ILMU EKONOMI SEMARANG,SWASTA,-,-1,-1,"{""website"": ""stiesemarang.ac.id"", ""email"": ""officialstiesmg@gmail.com"", ""phone"": ""0248506802 / 0248506802""}",-,6515000,2050000,13000000,13030000,4100000,26000000,"Jalan Menoreh Utara Raya No 11 Semarang, KOTA SEMARANG",JAWA TENGAH,BAIK SEKALI,-,pddikti-1460,-,banpt-1292,,TRUE,,FALSE
636,UNIVERSITAS JENDERAL ACHMAD YANI YOGYAKARTA,SWASTA,-,-1,-1,"{""website"": ""www.unjaya.ac.id"", ""email"": ""biroaa.unjaya@gmail.com"", ""phone"": ""0274552489 / 0274557228""}",-,6042500,7000000,12000000,12085000,14000000,24000000,KABUPATEN SLEMAN,D.I. YOGYAKARTA,BAIK SEKALI,-,pddikti-1320,-,banpt-2400,,TRUE,,FALSE
637,UNIVERSITAS AKI,SWASTA,-,-1,-1,"{""website"": ""www.unaki.ac.id"", ""email"": ""universitasaki@unaki.ac.id"", ""phone"": ""024-3552555 / 024-3552111""}",-,6037500,3850000,12075000,12075001,7700000,24150000,"Jl. Imam Bonjol No. 15  16  17 Semarang, KOTA SEMARANG",JAWA TENGAH,BAIK SEKALI,-,pddikti-1222,-,banpt-1915,,TRUE,,FALSE
638,INSTITUT TEKNOLOGI KESEHATAN DAN SAINS MUHAMMADIYAH SIDRAP,SWASTA,-,-1,-1,"{""website"": ""itkesmusidrap.ac.id"", ""email"": ""rektorat@itkesmusidrap.ac.id"", ""phone"": ""042191366 / 042191366""}",-,6035000,2500000,12000000,12070000,5000000,24000000,KABUPATEN SIDENRENG RAPPANG,SULAWESI SELATAN,BAIK SEKALI,-,pddikti-1612,-,banpt-566,,TRUE,data 2023,FALSE
698,UNIVERSITAS INDONESIA MEMBANGUN,SWASTA,-,-1,-1,"{""website"": ""https://inaba.ac.id/"", ""email"": ""universitasinaba@inaba.ac.id"", ""phone"": ""7563919 / 7563921""}",-,5600000,4300000,11150000,11200000,8600000,13800000,KOTA BANDUNG,JAWA BARAT,B,-,pddikti-26,-,banpt-257,,TRUE,,FALSE
731,INSTITUT TEKNOLOGI NASIONAL YOGYAKARTA,SWASTA,-,-1,-1,"{""website"": ""itny.ac.id"", ""email"": ""info@itny.ac.id"", ""phone"": ""485390 / 487249""}",-,5352985,7525000,10700000,10705970,15050000,21400000,"Jalan Babarsari  Caturtunggal  Depok  Sleman  Yogyakarta, KOTA YOGYAKARTA",D.I. YOGYAKARTA,B,-,pddikti-2313,-,banpt-3326,,TRUE,,FALSE
758,UNIVERSITAS MUHAMMADIYAH SUMATERA BARAT,SWASTA,-,-1,-1,"{""website"": ""www.umsb.ac.id"", ""email"": ""info@umsb.ac.id"", ""phone"": ""0751-4851002 / 0751-482-274""}",-,5159714,3000000,10287500,10319429,6000000,20575000,"Jalan Pasir Kandang No 4 Koto Tangah, KOTA PADANG",SUMATERA BARAT,BAIK SEKALI,-,pddikti-840,-,banpt-2143,,TRUE,,FALSE
871,UNIVERSITAS MUSLIM NUSANTARA AL-WASHLIYAH,SWASTA,-,-1,-1,"{""website"": ""www.umnaw.ac.id"", ""email"": ""info@umnaw.ac.id"", ""phone"": ""061-7867044  7868487 / 061 - 7862747""}",-,4537500,7500000,9075000,9075001,15000000,18150000,"Jalan Garu II No 2 ; no 52 dan no 93  Jl. Lintas Medan Lubuk Pakam  Jl. Gedung Arc, KOTA MEDAN",SUMATERA UTARA,UNGGUL,-,pddikti-1960,-,banpt-679,,TRUE,,FALSE
874,UNIVERSITAS ISLAM 45,SWASTA,-,-1,-1,"{""website"": ""unismabekasi.ac.id"", ""email"": ""admin@unismabekasi.ac.id"", ""phone"": ""8801027 / 8801192""}",-,4513680,5500000,9027000,9027360,11000000,18054000,"Jalan Cut Meutia No 83, KOTA BEKASI",JAWA BARAT,B,-,pddikti-1170,-,banpt-1645,,TRUE,,FALSE
913,UNIVERSITAS TARUNA BAKTI,SWASTA,-,-1,-1,"{""website"": ""www.tbu.ac.id"", ""email"": ""info@tbu.ac.id"", ""phone"": ""022-4205-888/0888-2000-11""}",-,7825000,7500000,8150000,15650000,15000000,16300000,KOTA BANDUNG,JAWA BARAT,BAIK,-,pddikti-634,-,banpt-784,Feli,TRUE,Data kontak yang kosong udah ditambahin,FALSE
964,UNIVERSITAS DWIJENDRA,SWASTA,https://rencanamu.id/cari-kampus/universitas-dwijendra,-1,-1,"{""website"": ""www.undwi.ac.id"", ""email"": ""universitasdwijendra@yahoo.co.id"", ""phone"": ""0361-224383 / 0361-233974""}",-,5500000,4500000,6500000,11000000,9000000,13000000,"Jalan Kamboja No. 17, KOTA DENPASAR",BALI,B,-,pddikti-631,rencanamu-128,banpt-2521,,TRUE,,FALSE
971,UNIVERSITAS BAKTI INDONESIA,SWASTA,-,-1,-1,"{""website"": ""https://www.ubibanyuwangi.ac.id/"", ""email"": ""office@ubibanyuwangi.ac.id"", ""phone"": ""3912341 / 3912341""}",-,2800000,2200000,3400000,5600000,4400000,6800000,"Kampus terpadu bumi cempokosari no 40 Cluring Banyuwangi, KABUPATEN BANYUWANGI",JAWA TIMUR,BAIK,-,pddikti-677,-,banpt-65,,TRUE,Ketemunya biaya kuliah 2021,FALSE
972,SEKOLAH TINGGI ILMU KESEHATAN KESDAM IX/UDAYANA,SWASTA,-,-1,-1,"{""website"": ""http://stikeskesdamudayana.ac.id/"", ""email"": ""stikes.kesdam9@gmail.com"", ""phone"": ""263384 / 8424147""}",-,6650000,6000000,7300000,13300000,12000000,14600000,"Jl. Taman Kanak-Kanak Komp. PB Sudirman Denpasar, KOTA DENPASAR",BALI,BAIK,-,pddikti-542,-,banpt-83,,TRUE,Ketemunya biaya kuliah 2022,FALSE
1037,UNIVERSITAS PEMBINAAN MASYARAKAT INDONESIA,SWASTA,-,-1,-1,"{""website"": ""www.upmi.ac.id"", ""email"": ""upmi@upmi.ac.id"", ""phone"": ""061 7362927 / 061 7362927""}",-,3900009,2310000,4250000,6560000,4620000,8500000,"Jalan Teladan No 15, KOTA MEDAN",SUMATERA UTARA,BAIK,-,pddikti-1976,-,banpt-2927,,TRUE,,FALSE
1057,AKADEMI ANALIS KESEHATAN DELIMA HUSADA GRESIK,SWASTA,-,-1,-1,"{""website"": ""www.aakdelimahusadagresik.ac.id"", ""email"": ""aakdelimahusadagresik@gmail.com"", ""phone"": ""0313981918 / 0313978628""}",-,3852515,5030,7700000,7705030,10060,15400000,"Gresik, KABUPATEN GRESIK",JAWA TIMUR,BAIK,-,pddikti-68,-,banpt-2468,,FALSE,Gada S1,FALSE
1104,STKIP MUHAMMADIYAH LUMAJANG,SWASTA,-,-1,-1,"{""website"": ""stkipmuhlmj.ac.id"", ""email"": ""stkipmuhlmj@gmail.com"", ""phone"": ""0334-881984""}",-,1500000,1500000,1500000,3000000,3000000,3000000,"Jalan Brantas No 7, KABUPATEN LUMAJANG",JAWA TIMUR,BAIK,-,pddikti-136,-,banpt-2624,,TRUE,"Data web yg kosong udh ditambahin, biaya yg dimasukin cm SPP soalny yg lain gatau bayar per smt ato nda kyk ada biaya perpustakaan",FALSE
1116,AKADEMI FARMASI BUMI SILIWANGI,SWASTA,-,-1,-1,"{""website"": ""www.akfarbumsil.ac.id"", ""email"": ""akfarbumsilbdg@gmail.com"", ""phone"": ""022-87303936""}",-,3655000,0,7310000,7310000,0,14620000,"Bandung, KOTA BANDUNG",JAWA BARAT,BAIK,-,pddikti-2427,-,banpt-2392,,FALSE,Gada S1,FALSE
1137,UNIVERSITAS TEKNOLOGI DIGITAL,SWASTA,-,-1,-1,"{""website"": ""www.digitechuniversity.ac.id"", ""email"": ""univeteknologidigital@gmail.com"", ""phone"": ""0818618611""}",-,4050000,3900000,4200000,8100000,7800000,8400000,KOTA BANDUNG,JAWA BARAT,BAIK,-,pddikti-1136,-,banpt-1600,,TRUE,,FALSE
1139,INSTITUT TEKNOLOGI DAN BISNIS ASIA MALANG,SWASTA,-,-1,-1,"{""website"": ""www.asia.ac.id"", ""email"": ""asia@asia.ac.id"", ""phone"": ""-478877 / -4345225""}",-,3800000,3350000,4250000,7600000,6700000,8500000,KOTA MALANG,JAWA TIMUR,BAIK,-,pddikti-2006,-,banpt-3438,,TRUE,,FALSE
1201,UNIVERSITAS MIKROSKIL,SWASTA,-,-1,-1,"{""website"": ""www.mikroskil.ac.id"", ""email"": ""info@mikroskil.ac.id"", ""phone"": ""4573767 / 4567789""}",-,6250000,5750000,6750000,12500000,11500000,13500000,KOTA MEDAN,SUMATERA UTARA,B,-,pddikti-198,-,banpt-3207,,TRUE,,FALSE
1211,UNIVERSITAS YPPI REMBANG,SWASTA,-,-1,-1,"{""website"": ""http://www.uyr.ac.id"", ""email"": ""univ.yppi.rembang@gmail.com"", ""phone"": ""6999002""}",-,3902500,3695000,4110000,7805000,7390000,8220000,KABUPATEN REMBANG,JAWA TENGAH,BAIK,-,pddikti-2208,-,banpt-2040,,TRUE,Data 2020/2021,FALSE
1230,STIE PASIM SUKABUMI,SWASTA,-,-1,-1,"{""website"": ""www.stiepasim.ac.id"", ""email"": ""stiepasim.smi@gmail.com"", ""phone"": ""0266-221173 / 0266-221173""}",-,2400000,2400000,2400000,4800000,4800000,4800000,"Sukabumi, KOTA SUKABUMI",JAWA BARAT,BAIK,-,pddikti-923,-,banpt-2685,,TRUE,,FALSE
